内容,主题概率,主题类型
满意 旅行 参考 携程 推荐 黑门 市场 鳗鱼 河豚鱼 道乐 打卡 参加 二次 一日游 京都 神户 温泉 体验 满满 酒店 延迟 退房 美食 景点 购物 不错,"[(6, 0.9680905)]",6
日本 大阪 真的 适合 难波 地方 环球 影城 好玩 大阪 公园 樱花 感觉 地铁 路路通 美食 中文 服务 不用 担心 机场 酒店 问路 简单 英语 搞定 整体 不错,"[(0, 0.49470153), (6, 0.48049885)]",0
第一次 日本 选择 自由 悠哉 景点 并不多 第一天 大阪 公园 天守阁 广场 街头 艺人 表演 孩子 鸽子 下午 天宝 摩天轮 海游馆 第二天 环球 影城 提前 淘宝 买好 特别 电子 手机 就行了 细说 第三天 京都 老成 神社 二年 三年 清水 八坂 神社 周边 第四天 修整 自然 酒店 逛街 东西 值得 玩法 第一次 日本 真的 适合 周游 不划算 一张 足矣 交通 真的 费钱 下图 碗面 不到 人民币 一顿 两人份 烤肉 人民币,"[(1, 0.7116444), (4, 0.055222753), (6, 0.22478388)]",1
第二次 日本 出行 选择 大阪 环球 影城 环球 影城 提前 入场 先进 哈利波 特一 小时 三个 项目 搞定 晚上 第二次 住宿 选择 住心 琳琅满目 吃吃喝喝 选择 京都 行程 大阪 北京 暖和 岚山 全红 绿色 遗憾 风景 人文 选择 京都 购物 大阪,"[(1, 0.22383079), (4, 0.75901216)]",4
携程 售后 人员 态度 解决 生气 解决 第一次 大阪 旅行 攻略 海南 航空 飞机 好吃 飞机 喜欢 大阪 热情 喜欢 京都 古香古色 喜欢 奈良 安静 喜欢 日本 街道 干净,"[(1, 0.50401664), (3, 0.47161043)]",1
厦门航空 不错 格兰 酒店 购物 特别 出行 便捷 酒店 服务设施 不错 自由 出行 带上 交通卡 真的 周岁 小朋友 乘坐 电铁 酒店 早餐 免费 景点 小朋友 开心 满意 旅程 推荐,"[(1, 0.9711364)]",1
两个 之家 日本 选择 携程 机酒 组合 满意 杭州 往返 大阪 关西 机场 酒店 超级 满意 酒店 梅田 大阪 近在眼前 房间 很大 两个 行李箱 摊开 房间 随便 孩子 感叹 日本 房间 设计 小小的 急促 酒店 去年 窗户 很大 安静 喜欢 往返 关西 机场 大巴车 直达 超级 携程 出发 组了 两个 微信 负责 购物 负责 玩乐 交通 工作人员 解答 疑问 有问必答 态度 超级 满意 日本 难忘 第一次 选择 携程 真的 挺不错,"[(1, 0.111878164), (4, 0.33989307), (5, 0.118506856), (6, 0.42362124)]",6
酒店 地铁 出行 游玩 期间 生病 前台 热心 搜索 医院 并打印 旅行 开心,"[(0, 0.86453325), (1, 0.010303669), (2, 0.010280989), (3, 0.010296592), (4, 0.08394582), (5, 0.010329686), (6, 0.010309993)]",0
酒店 满意 离心 特别 酒店 楼下 烤肉 好吃 食量 同名,"[(0, 0.013456693), (1, 0.013470871), (2, 0.013456681), (3, 0.013474667), (4, 0.013478302), (5, 0.013464726), (6, 0.91919804)]",6
不错 晚上 台风 回来 日本 关注 天气 关注 天气,"[(0, 0.014340577), (1, 0.63279134), (2, 0.29553694), (3, 0.014331254), (4, 0.014315359), (5, 0.014318766), (6, 0.014365749)]",1
携程 服务 特别 第一 时间 解决 酒店 位置 地铁口 步行 两分钟 酒店 周边 罗森鸟 烧居 酒屋 超市 热门 景点 地铁 总体 满意,"[(1, 0.5295324), (3, 0.09095438), (6, 0.35403633)]",1
飞机 晚点 酒店 地段 出行 购物 周边 美食 享用 酒店 中文 服务 交流 无障碍 每天晚上 免费 夜宵 供应,"[(6, 0.95474344)]",6
关西 自由 圆满 酒店 住宿 满意 中文 服务 热情 友好 离心 地铁站 号口 酒店 边上 第二次 感受 服务 人员 那种 不知疲倦 热情 秩序井然 交通 干净 整洁 街道 有一 日本 制造业 世界 首屈一指 尖端 领域 日本 苦练内功 蓄势待发 飞速 增长 依赖 钢筋 混凝土 创新 发展 成气候 途中 山上 旺仔 牛奶 盒子 翠绿 显得 刺眼 代购 喧哗 夹杂 电车 报站 显得 刺耳 决胜 两个 百年 目标 中华民族 复兴 不懈努力 建议 计划 自由 小伙伴 不用 刻意 攻略 旅行 探索 努力 尝试 颠覆 平淡 冒险 寻求 一种 浸涤 心灵 震撼 收获 朋友圈 更有意义 感受,"[(0, 0.043807525), (6, 0.94792366)]",6
大阪 商场 难波 高岛 日本 本地人 多些 代购 赶上 夏季 打折 奈良 小鹿 游人 惯坏 京都 那么回事 国人,"[(0, 0.7797103), (1, 0.18216895)]",0
宾馆 地理位置 地铁 房间 确实 两个 孩子 推荐 干净 整洁 前台 中国 沟通 无障碍,"[(6, 0.94270945)]",6
好玩 地方 玩不过来 担心 语言不通 发现 商业区 中国 中文 目录,"[(0, 0.013363848), (1, 0.013353641), (2, 0.01332528), (3, 0.56966096), (4, 0.013326512), (5, 0.013337104), (6, 0.36363262)]",3
酒店设施 齐全 按摩椅 应有尽有 西线 嘈杂 大都市 感觉 干净 整洁 舒服 惬意 地铁 出行 大阪 天王 京都 奈良 岚山 快捷 总体 感觉 愉快 旅行,"[(0, 0.1169601), (1, 0.40342918), (6, 0.45648265)]",6
自由 行嘛 自然 全日空 万豪,"[(0, 0.02448536), (1, 0.852723), (2, 0.024626726), (3, 0.024526536), (4, 0.024539664), (5, 0.024511123), (6, 0.024587581)]",1
自由 大阪 神户 京都 宇治 好开心 住心,"[(0, 0.018025042), (1, 0.8917203), (2, 0.018016703), (3, 0.01802304), (4, 0.018147798), (5, 0.01802887), (6, 0.018038256)]",1
总体 不错 大阪 本町 微笑 酒店 工作人员 服务态度 不错 中英文 礼貌 京都 奈良 一日游 导游 胡导 幽默 负责 上海 日本 药妆 价格 真心 国内 便宜 走到 中国 玛雅 走不动 花钱 那种 心情舒畅 东西 一点 货比三家 冲动 药妆 大国 便宜 水杯 梅田 百货 便宜 手办 可惜 手表 玛雅,"[(2, 0.025877995), (4, 0.033777677), (6, 0.92833626)]",6
酒店 位于 顿掘 商店 街内 逛街 房间 干净 舒适,"[(0, 0.18196991), (1, 0.014746602), (2, 0.0147164855), (3, 0.014716326), (4, 0.014756936), (5, 0.01472155), (6, 0.7443722)]",6
孩子 中考 结束 大阪 散散心 两家 小共 四人 旅行社 时间 选择 携程 自由 携程 接送 签证 附加 服务 酒店 离心 崛都 步行 晚上 逛一逛 全家 罗森 便利店 酒店 饭团 早餐 第二天 早上 酒店 大堂 微波炉 一杯 咖啡 酒店 波站 距离 机场 一路 逛到 酒店 酒店 中文 前台 交流 出行 咨询 乘车 线路 前台 提供 纸条 导航 妈妈 孩子 一趟 坐错 旅行 开心 买买 牺牲 游览 大阪 时间 留点 遗憾 下次,"[(5, 0.03007052), (6, 0.95969105)]",6
老婆 出行 第一次 出国 感觉 日本 选择 中文翻译 语言 沟通 不成问题 风景 美食 购物 满意,"[(3, 0.2761133), (6, 0.6790619)]",6
京都 大阪 第二次 日本 去年 选择 日本 选择 自由 套餐 日本 真的 自由 时间 弹性 套餐,"[(4, 0.47768727), (5, 0.4801459)]",5
