word,counts
真的,268
喜欢,240
朋友,158
感觉,128
事情,98
快乐,78
老师,72
开心,65
情绪,63
工作,55
视频,52
探索,51
人格,49
特别,49
世界,44
希望,44
三分钟,43
热度,43
拖延,43
确实,42
状态,40
一点,39
东西,39
想要,39
有时候,37
好像,36
时间,35
理解,35
发现,33
学习,31
不想,30
人生,30
关系,30
讨厌,29
小狗,29
我会,28
社交,28
自我,28
价值,28
内耗,27
生活,26
外向,26
测试,25
那种,24
思考,24
讨好,23
身边,23
尝试,23
热情,23
接受,23
情感,23
价值观,23
真实,22
不好,21
适合,21
分享,21
难过,21
有人,21
性格,20
评论,20
感受,20
分析,20
恋爱,20
独处,19
肯定,19
方式,19
聊天,19
每次,18
有没有,18
找到,18
不到,18
表现,18
看不到,18
痛苦,17
相处,17
外界,17
想法,17
计划,17
原因,17
看完,17
沟通,17
反思,17
这件,17
方向,17
选择,16
过程,16
回应,16
改变,16
学会,15
内心,15
所有人,15
在意,15
错误,15
能力,15
导致,15
影响,15
一种,15
迷茫,14
陷入,14
精神,14
