content,主题概率,主题类型,情感类型,情感得分
china weak nuclear weapon missile level ,"[(0, 0.024080789), (1, 0.023879092), (2, 0.024289872), (3, 0.023845974), (4, 0.11199402), (5, 0.79191023)]",5,NEGATIVE,0.9928691983222961
china week wave covid virus article publish population infect people ,"[(0, 0.015302883), (1, 0.015183686), (2, 0.015190238), (3, 0.015278524), (4, 0.74451965), (5, 0.19452505)]",4,NEGATIVE,0.9542399644851685
china westerner subvert chinese regime fall power public opinion spread false smear future defeat ,"[(0, 0.761138), (1, 0.011244973), (2, 0.19393514), (3, 0.011202148), (4, 0.011309794), (5, 0.011169943)]",0,NEGATIVE,0.9912983775138855
china wonderful country government commit animal protection civil spend penny visit ,"[(0, 0.014042467), (1, 0.5711918), (2, 0.014007519), (3, 0.014159135), (4, 0.37267864), (5, 0.013920503)]",1,POSITIVE,0.9830222725868225
china worry call wrong eater minority farmed source virus assumption hope prejudice chinese people animallover ,"[(0, 0.0105316), (1, 0.3162048), (2, 0.010471156), (3, 0.010450902), (4, 0.6417973), (5, 0.010544202)]",4,NEGATIVE,0.9939099550247192
china wuhan ,"[(0, 0.05581355), (1, 0.055666223), (2, 0.056143988), (3, 0.055675834), (4, 0.7206128), (5, 0.05608759)]",4,POSITIVE,0.9900273680686951
china yulinfestival ,"[(0, 0.055812795), (1, 0.05566141), (2, 0.72130525), (3, 0.055634726), (4, 0.055959504), (5, 0.055626333)]",2,POSITIVE,0.871367335319519
china19covid19 ,"[(0, 0.0834412), (1, 0.083440684), (2, 0.08343946), (3, 0.5827964), (4, 0.083439), (5, 0.083443254)]",3,POSITIVE,0.6422946453094482
chinaa ,"[(0, 0.083427176), (1, 0.08342669), (2, 0.08342553), (3, 0.08342777), (4, 0.083425194), (5, 0.5828676)]",5,POSITIVE,0.9114372730255127
chinaaa ,"[(0, 0.58274287), (1, 0.08345122), (2, 0.08344987), (3, 0.08345262), (4, 0.08344941), (5, 0.08345406)]",0,POSITIVE,0.7557085156440735
chinachina ,"[(0, 0.5827444), (1, 0.08345089), (2, 0.08344957), (3, 0.08345237), (4, 0.083449095), (5, 0.083453655)]",0,NEGATIVE,0.9209632873535156
chinachinachina ,"[(0, 0.5827466), (1, 0.08345046), (2, 0.08344909), (3, 0.0834519), (4, 0.08344861), (5, 0.08345333)]",0,NEGATIVE,0.8912707567214966
chinachinagoodchinastick chinachongchina ,"[(0, 0.055612843), (1, 0.05561259), (2, 0.05561198), (3, 0.055613186), (4, 0.055611778), (5, 0.72193766)]",5,NEGATIVE,0.9773324728012085
chinacome ,"[(0, 0.08349948), (1, 0.08349873), (2, 0.08349694), (3, 0.08350063), (4, 0.58250177), (5, 0.08350247)]",4,NEGATIVE,0.7431516647338867
chinadaily news ,"[(0, 0.05590803), (1, 0.056107137), (2, 0.05590672), (3, 0.05568235), (4, 0.05637895), (5, 0.7200168)]",5,POSITIVE,0.9802669286727905
chinadailynews ,"[(0, 0.08335252), (1, 0.5832376), (2, 0.08335221), (3, 0.08335269), (4, 0.083352126), (5, 0.08335287)]",1,NEGATIVE,0.7233707904815674
chinagetoutofiraaaan ,"[(0, 0.083488435), (1, 0.08348779), (2, 0.5825575), (3, 0.08348953), (4, 0.08348536), (5, 0.083491415)]",2,NEGATIVE,0.8889851570129395
chinagetoutofiran ,"[(0, 0.08335868), (1, 0.08335856), (2, 0.08356653), (3, 0.08335883), (4, 0.5829979), (5, 0.0833595)]",4,NEGATIVE,0.6032232046127319
chinagetoutofiran irannotforsale ,"[(0, 0.05566029), (1, 0.055659804), (2, 0.46559805), (3, 0.055660896), (4, 0.3117587), (5, 0.05566228)]",2,NEGATIVE,0.961613118648529
chinagetoutofiranchinachinagooutiraniran ,"[(0, 0.08346025), (1, 0.58270013), (2, 0.08345815), (3, 0.08346106), (4, 0.083457686), (5, 0.083462715)]",1,NEGATIVE,0.9334267377853394
chinagetthefuckoutofiran ,"[(0, 0.083500914), (1, 0.083500095), (2, 0.08349815), (3, 0.08350215), (4, 0.5824946), (5, 0.08350406)]",4,NEGATIVE,0.9842395782470703
chinagoawayfromiran ,"[(0, 0.08349988), (1, 0.08349881), (2, 0.08349701), (3, 0.083500765), (4, 0.5825009), (5, 0.083502695)]",4,NEGATIVE,0.9751786589622498
chinaislostfromiran ,"[(0, 0.08342689), (1, 0.083426505), (2, 0.08342534), (3, 0.08342759), (4, 0.08342506), (5, 0.5828686)]",5,NEGATIVE,0.9855378270149231
chinaisterrorist chinaiskiller chinaisfascist kill innocent people religion nationality human dont freedom democracy fuck mentality ,"[(0, 0.0111722555), (1, 0.94413), (2, 0.0111640915), (3, 0.011167771), (4, 0.011226557), (5, 0.011139323)]",1,NEGATIVE,0.9854414463043213
chinaleaveiran ,"[(0, 0.08335269), (1, 0.583236), (2, 0.083352365), (3, 0.083352834), (4, 0.08335248), (5, 0.0833536)]",1,POSITIVE,0.6138451099395752
chinastopeatingeverythingthatmoves ,"[(0, 0.083500326), (1, 0.08349942), (2, 0.08349761), (3, 0.083501436), (4, 0.5824979), (5, 0.0835033)]",4,NEGATIVE,0.9667326807975769
chinatown ,"[(0, 0.083358616), (1, 0.083358474), (2, 0.08335818), (3, 0.083358765), (4, 0.5832067), (5, 0.08335926)]",4,POSITIVE,0.8457159399986267
chinaus military nuclear ,"[(0, 0.04169619), (1, 0.04170812), (2, 0.041984428), (3, 0.04184292), (4, 0.041704815), (5, 0.7910635)]",5,NEGATIVE,0.9945545196533203
chinavirus ,"[(0, 0.08334961), (1, 0.08334953), (2, 0.08334934), (3, 0.5832523), (4, 0.08334927), (5, 0.0833499)]",3,NEGATIVE,0.9922339916229248
chinawe chinese ,"[(0, 0.05583517), (1, 0.056049656), (2, 0.05582688), (3, 0.72066605), (4, 0.05593045), (5, 0.05569185)]",3,POSITIVE,0.9584974646568298
chine ,"[(0, 0.08411956), (1, 0.08334376), (2, 0.08334364), (3, 0.5824257), (4, 0.08342333), (5, 0.08334402)]",3,NEGATIVE,0.9881101846694946
chine human ,"[(0, 0.05577021), (1, 0.05615681), (2, 0.05558227), (3, 0.7211409), (4, 0.05577433), (5, 0.05557545)]",3,POSITIVE,0.9862056374549866
chinese ,"[(0, 0.084068604), (1, 0.5794241), (2, 0.08404488), (3, 0.08446496), (4, 0.08436271), (5, 0.08363478)]",1,POSITIVE,0.9944684505462646
chinese antichinese racist marry ,"[(0, 0.034138985), (1, 0.03357373), (2, 0.033499517), (3, 0.8317845), (4, 0.033467487), (5, 0.033535816)]",3,NEGATIVE,0.9724894165992737
chinese ashooles ,"[(0, 0.7198037), (1, 0.056269955), (2, 0.055944994), (3, 0.056139834), (4, 0.05609791), (5, 0.05574359)]",0,NEGATIVE,0.9828220009803772
chinese athlete ,"[(0, 0.05586738), (1, 0.056042906), (2, 0.055915773), (3, 0.055978082), (4, 0.72052854), (5, 0.055667337)]",4,POSITIVE,0.9993709921836853
chinese athlete compete peace mind ,"[(0, 0.027899062), (1, 0.027873363), (2, 0.028029125), (3, 0.027880374), (4, 0.8603931), (5, 0.027924959)]",4,POSITIVE,0.9955028891563416
chinese awesome ,"[(0, 0.055757143), (1, 0.72101647), (2, 0.055842556), (3, 0.055865515), (4, 0.055865783), (5, 0.05565255)]",1,POSITIVE,0.999868631362915
chinese beauty ,"[(0, 0.05582058), (1, 0.056348525), (2, 0.05579554), (3, 0.72028697), (4, 0.055987865), (5, 0.055760518)]",3,POSITIVE,0.9998075366020203
chinese beef ,"[(0, 0.05579988), (1, 0.7211092), (2, 0.0557536), (3, 0.055858303), (4, 0.05583573), (5, 0.055643234)]",1,POSITIVE,0.8769081830978394
chinese beef batch ,"[(0, 0.041803915), (1, 0.7910381), (2, 0.04177909), (3, 0.04183255), (4, 0.041818757), (5, 0.041727588)]",1,NEGATIVE,0.7682927250862122
chinese boyfriend ,"[(0, 0.055835243), (1, 0.056067735), (2, 0.0558269), (3, 0.72064865), (4, 0.055929698), (5, 0.055691823)]",3,POSITIVE,0.9236262440681458
chinese brainwash western medium ,"[(0, 0.41104802), (1, 0.45434868), (2, 0.03375981), (3, 0.03378339), (4, 0.033462413), (5, 0.03359766)]",1,NEGATIVE,0.9968900084495544
chinese breaking ,"[(0, 0.05583509), (1, 0.05605249), (2, 0.05582697), (3, 0.72066015), (4, 0.055933513), (5, 0.0556918)]",3,POSITIVE,0.9907959699630737
chinese carry disease wuhanvirus2020 ,"[(0, 0.03344283), (1, 0.83291316), (2, 0.033405524), (3, 0.033431564), (4, 0.033428077), (5, 0.033378802)]",1,NEGATIVE,0.9789823293685913
chinese cattle ,"[(0, 0.055805705), (1, 0.05626299), (2, 0.05579794), (3, 0.7205222), (4, 0.05589891), (5, 0.05571227)]",3,POSITIVE,0.9162154197692871
chinese cheap ,"[(0, 0.05577096), (1, 0.7204713), (2, 0.056090523), (3, 0.05586785), (4, 0.05614497), (5, 0.055654354)]",1,NEGATIVE,0.9991989731788635
chinese cherry ,"[(0, 0.055762187), (1, 0.7208005), (2, 0.056095265), (3, 0.055858947), (4, 0.055837553), (5, 0.055645503)]",1,POSITIVE,0.9968543648719788
chinese child favorite hahaha ,"[(0, 0.03346423), (1, 0.03350111), (2, 0.033842612), (3, 0.03344289), (4, 0.8322737), (5, 0.0334754)]",4,POSITIVE,0.9879992008209229
chinese china constant connect land produce wonderful flavor ,"[(0, 0.018876435), (1, 0.01858446), (2, 0.018591937), (3, 0.018623304), (4, 0.90677327), (5, 0.018550646)]",4,POSITIVE,0.9998749494552612
chinese china embarrass break week refrigerator ,"[(0, 0.023935458), (1, 0.023898674), (2, 0.02396419), (3, 0.023882745), (4, 0.88038003), (5, 0.023938885)]",4,NEGATIVE,0.9905372262001038
chinese china life dictate gossip ,"[(0, 0.028199801), (1, 0.028061647), (2, 0.8598006), (3, 0.027959567), (4, 0.02807839), (5, 0.027900003)]",2,NEGATIVE,0.7680590152740479
chinese china virus stupid journalist people hate celebrate yulin meat festival azzzzzzzz blind control vietnamese blood blame deep inside forgive kill pervert food culture stole life harm animal circle ,"[(3, 0.11641285), (4, 0.8610935)]",4,NEGATIVE,0.9959115982055664
chinese citizen street protest covid restriction ,"[(0, 0.023929846), (1, 0.17622195), (2, 0.62463474), (3, 0.12709475), (4, 0.024096409), (5, 0.024022322)]",2,NEGATIVE,0.9810457229614258
chinese civilized people ,"[(0, 0.041859865), (1, 0.79071903), (2, 0.041813917), (3, 0.041874334), (4, 0.04196488), (5, 0.041767966)]",1,POSITIVE,0.9873019456863403
chinese claim territory country ,"[(0, 0.0334799), (1, 0.4577375), (2, 0.4080264), (3, 0.03360923), (4, 0.033750378), (5, 0.033396572)]",1,POSITIVE,0.8533599972724915
chinese communist party machine translation ,"[(0, 0.8604915), (1, 0.02800309), (2, 0.027909605), (3, 0.02788717), (4, 0.027880132), (5, 0.027828515)]",0,NEGATIVE,0.9861261248588562
chinese communist party resolve taiwan strait issue peacefully china interference united japan ,"[(0, 0.93524456), (1, 0.012895704), (2, 0.012924549), (3, 0.0129205845), (4, 0.01289732), (5, 0.013117309)]",0,NEGATIVE,0.6597340106964111
chinese congratulation parallel gymnastics olympic game amazing honor people prosperity forever ,"[(0, 0.013919975), (1, 0.7194001), (2, 0.014009251), (3, 0.013935476), (4, 0.2248297), (5, 0.013905466)]",1,POSITIVE,0.9996086955070496
chinese contribute battle amaze ,"[(0, 0.033432025), (1, 0.832911), (2, 0.033394873), (3, 0.033464957), (4, 0.03343524), (5, 0.03336186)]",1,POSITIVE,0.9988189339637756
chinese corona virus ,"[(0, 0.04184639), (1, 0.041906763), (2, 0.041811742), (3, 0.041883375), (4, 0.7908097), (5, 0.041742023)]",4,NEGATIVE,0.9537304043769836
chinese country spread virus ,"[(0, 0.0334513), (1, 0.0335788), (2, 0.03353285), (3, 0.033512812), (4, 0.83254284), (5, 0.03338142)]",4,NEGATIVE,0.9911667704582214
chinese culture extensive profound beautiful ,"[(0, 0.86046916), (1, 0.027998727), (2, 0.02788496), (3, 0.027895706), (4, 0.027909966), (5, 0.027841501)]",0,POSITIVE,0.9998743534088135
chinese death relate inaction local government country poor emergency management capability china scientific proof wuhan origin virus.no virus break shirk responsibility ,"[(4, 0.96188605)]",4,NEGATIVE,0.9946843981742859
chinese despicable olympics google translator suck wrong evaluate people unfair host history pitiful country bring loss population disappear forever~~~ ,"[(4, 0.2576168), (5, 0.708723)]",5,NEGATIVE,0.9979872703552246
chinese destroy corona ,"[(0, 0.04184439), (1, 0.04190149), (2, 0.04180007), (3, 0.04186104), (4, 0.79086256), (5, 0.041730437)]",4,NEGATIVE,0.9987786412239075
chinese destroy culture religion kill people opinion ,"[(0, 0.020999536), (1, 0.5429627), (2, 0.020954778), (3, 0.020964742), (4, 0.37316296), (5, 0.02095535)]",1,NEGATIVE,0.9985172152519226
chinese disease country happy ,"[(0, 0.03360512), (1, 0.8319912), (2, 0.033738278), (3, 0.033503458), (4, 0.033785112), (5, 0.03337676)]",1,POSITIVE,0.9990836381912231
chinese dogeating filthy people iranians love america hate smelly yellow almond ,"[(0, 0.014018063), (1, 0.014118632), (2, 0.013979448), (3, 0.18005167), (4, 0.014024663), (5, 0.76380754)]",5,NEGATIVE,0.985763430595398
chinese dragon fruit ,"[(0, 0.041856878), (1, 0.042002704), (2, 0.7902188), (3, 0.042090796), (4, 0.041951753), (5, 0.04187912)]",2,POSITIVE,0.9974555373191833
chinese european american compare fool ,"[(0, 0.50756836), (1, 0.38061857), (2, 0.028086165), (3, 0.027901083), (4, 0.028016474), (5, 0.027809363)]",0,NEGATIVE,0.9978271126747131
chinese event beauty contest local cattle celebration ,"[(0, 0.020865716), (1, 0.8954636), (2, 0.020862833), (3, 0.021016873), (4, 0.020914942), (5, 0.020876084)]",1,POSITIVE,0.9924351572990417
chinese family middle ,"[(0, 0.7898355), (1, 0.042198364), (2, 0.04187439), (3, 0.042230066), (4, 0.042006567), (5, 0.04185511)]",0,POSITIVE,0.9930585622787476
chinese food ,"[(0, 0.055866387), (1, 0.05623632), (2, 0.055991936), (3, 0.7202361), (4, 0.056010507), (5, 0.055658728)]",3,POSITIVE,0.9994606375694275
chinese girl ,"[(0, 0.055880703), (1, 0.056302425), (2, 0.05592512), (3, 0.7203369), (4, 0.05589582), (5, 0.055659067)]",3,POSITIVE,0.9943915009498596
chinese girl amaze ,"[(0, 0.041898083), (1, 0.79043585), (2, 0.0418743), (3, 0.042238593), (4, 0.0418401), (5, 0.041713085)]",1,POSITIVE,0.9995408058166504
chinese girl chong ,"[(0, 0.041834414), (1, 0.0420097), (2, 0.04185453), (3, 0.7907284), (4, 0.0418411), (5, 0.04173186)]",3,POSITIVE,0.9775945544242859
chinese golden flower ,"[(0, 0.7894588), (1, 0.042475823), (2, 0.041876696), (3, 0.042527262), (4, 0.04191981), (5, 0.041741587)]",0,POSITIVE,0.9997947812080383
chinese guilty ,"[(0, 0.05619222), (1, 0.05603871), (2, 0.05582648), (3, 0.7203236), (4, 0.055927273), (5, 0.05569169)]",3,NEGATIVE,0.9886081218719482
chinese hanfu ,"[(0, 0.05577119), (1, 0.7211496), (2, 0.055751063), (3, 0.055854503), (4, 0.055832915), (5, 0.055640712)]",1,POSITIVE,0.7261393070220947
chinese hanfu beautiful ,"[(0, 0.041951112), (1, 0.79089653), (2, 0.041796308), (3, 0.041817717), (4, 0.041802615), (5, 0.041735712)]",1,POSITIVE,0.9997614026069641
chinese hanfu beautiful happy ,"[(0, 0.0336383), (1, 0.8326644), (2, 0.033441715), (3, 0.033437494), (4, 0.03344156), (5, 0.03337651)]",1,POSITIVE,0.9998586177825928
chinese happy hanfu beautiful ,"[(0, 0.033662755), (1, 0.8326397), (2, 0.033441786), (3, 0.03343757), (4, 0.033441633), (5, 0.033376534)]",1,POSITIVE,0.9998619556427002
chinese hometown increase prosperity learn contact ,"[(0, 0.43472064), (1, 0.024333991), (2, 0.02393955), (3, 0.023954872), (4, 0.46920153), (5, 0.023849422)]",4,POSITIVE,0.9987648725509644
chinese indian ,"[(0, 0.056028523), (1, 0.056281064), (2, 0.71966213), (3, 0.056174707), (4, 0.056125302), (5, 0.055728294)]",2,POSITIVE,0.9943618774414062
chinese infect fruit ,"[(0, 0.042150803), (1, 0.04247133), (2, 0.042314548), (3, 0.042584747), (4, 0.04231804), (5, 0.78816056)]",5,NEGATIVE,0.9326372146606445
chinese iran head ,"[(0, 0.04191332), (1, 0.041933097), (2, 0.04179321), (3, 0.04187664), (4, 0.79035133), (5, 0.0421324)]",4,POSITIVE,0.9803886413574219
chinese jieyu ,"[(0, 0.05579544), (1, 0.7209732), (2, 0.055788476), (3, 0.05589328), (4, 0.055870555), (5, 0.055679087)]",1,POSITIVE,0.9393188953399658
chinese kill ,"[(0, 0.055806793), (1, 0.7203065), (2, 0.05593223), (3, 0.05597161), (4, 0.056118634), (5, 0.055864196)]",1,NEGATIVE,0.9992314577102661
chinese kungfu shaolin temple amazing people prosperous life ,"[(0, 0.25901824), (1, 0.6664674), (2, 0.01859188), (3, 0.01861114), (4, 0.01861762), (5, 0.01869373)]",1,POSITIVE,0.9998155236244202
chinese live china seek news bash antichinese racism ,"[(0, 0.62473637), (1, 0.018693479), (2, 0.018682485), (3, 0.3006041), (4, 0.018679919), (5, 0.018603707)]",0,NEGATIVE,0.9730912446975708
chinese live life entitle gossip ,"[(0, 0.027999064), (1, 0.027977053), (2, 0.028080156), (3, 0.028018564), (4, 0.8600268), (5, 0.027898327)]",4,POSITIVE,0.9894702434539795
chinese lmao antichinese racist girlfriend/wife friend love food ,"[(0, 0.018575937), (1, 0.018617209), (2, 0.018571407), (3, 0.90707177), (4, 0.018584203), (5, 0.018579531)]",3,POSITIVE,0.7857618927955627
chinese love culture food learn ,"[(0, 0.85937667), (1, 0.028175216), (2, 0.02814367), (3, 0.028404955), (4, 0.028050555), (5, 0.02784891)]",0,POSITIVE,0.9991674423217773
chinese medical team fight virus save life ,"[(0, 0.020940676), (1, 0.020994058), (2, 0.021106083), (3, 0.021074569), (4, 0.56041086), (5, 0.35547373)]",4,POSITIVE,0.606874406337738
chinese mosquito scumbags summer time ,"[(0, 0.027838992), (1, 0.027881917), (2, 0.027855778), (3, 0.8606837), (4, 0.027854703), (5, 0.027884942)]",3,NEGATIVE,0.9260513186454773
chinese motherland china ,"[(0, 0.042009775), (1, 0.45357013), (2, 0.0421765), (3, 0.041875254), (4, 0.37862825), (5, 0.041740123)]",1,POSITIVE,0.9896788597106934
chinese muslim ,"[(0, 0.055993672), (1, 0.05603777), (2, 0.056093525), (3, 0.7199048), (4, 0.055895984), (5, 0.05607427)]",3,POSITIVE,0.9228451251983643
chinese niuqiu ,"[(0, 0.055871878), (1, 0.056095134), (2, 0.05586275), (3, 0.05600149), (4, 0.7204507), (5, 0.055718)]",4,POSITIVE,0.9519078731536865
chinese parent leave float fate ,"[(0, 0.027866688), (1, 0.0279432), (2, 0.860285), (3, 0.028152037), (4, 0.027901305), (5, 0.027851775)]",2,NEGATIVE,0.9813718795776367
chinese patriotism ,"[(0, 0.055806607), (1, 0.05601798), (2, 0.05583987), (3, 0.72077066), (4, 0.055901706), (5, 0.05566314)]",3,POSITIVE,0.9996440410614014
chinese people ,"[(0, 0.055962075), (1, 0.720222), (2, 0.055864993), (3, 0.055992097), (4, 0.05619338), (5, 0.0557655)]",1,POSITIVE,0.9925861954689026
chinese people angry sleep tired explain bunch dislike totally fine cancel follow disgust insanitary night ,"[(0, 0.072504364), (1, 0.010533168), (2, 0.010498199), (3, 0.010456768), (4, 0.88546383), (5, 0.010543655)]",4,NEGATIVE,0.9971697926521301
chinese people communist party ,"[(0, 0.83211535), (1, 0.033758156), (2, 0.033494163), (3, 0.033548046), (4, 0.03363202), (5, 0.033452287)]",0,POSITIVE,0.7040579319000244
chinese people free worry hurt idle care human country ,"[(0, 0.016750885), (1, 0.9161751), (2, 0.016794374), (3, 0.016803803), (4, 0.01678801), (5, 0.016687747)]",1,NEGATIVE,0.6850828528404236
chinese people happy chinado fool unscrupulous medium organization ,"[(0, 0.90690154), (1, 0.018641725), (2, 0.018588478), (3, 0.01868355), (4, 0.018617608), (5, 0.018567069)]",0,NEGATIVE,0.9623416662216187
chinese people hard meet speak ,"[(0, 0.027934484), (1, 0.8602288), (2, 0.027901206), (3, 0.028154274), (4, 0.027964447), (5, 0.0278168)]",1,NEGATIVE,0.7420265078544617
chinese people industrial ,"[(0, 0.041874643), (1, 0.7906541), (2, 0.041829877), (3, 0.04188846), (4, 0.041968387), (5, 0.041784476)]",1,POSITIVE,0.614030122756958
chinese people wake trust communist party ,"[(0, 0.24407962), (1, 0.6603169), (2, 0.023927582), (3, 0.023874724), (4, 0.023943782), (5, 0.023857404)]",1,POSITIVE,0.9370040893554688
chinese power ,"[(0, 0.056153215), (1, 0.056260526), (2, 0.71966475), (3, 0.056126364), (4, 0.056082103), (5, 0.055712998)]",2,POSITIVE,0.9997407793998718
chinese prosperity premium vegetable offer market feeling excitement people business life forever ,"[(0, 0.012855034), (1, 0.9354623), (2, 0.012883205), (3, 0.0130685875), (4, 0.012880547), (5, 0.012850343)]",1,POSITIVE,0.9990763664245605
chinese protest government blank paper control medium ,"[(0, 0.021001434), (1, 0.020920996), (2, 0.89527303), (3, 0.020927109), (4, 0.020934386), (5, 0.020943081)]",2,NEGATIVE,0.9984086155891418
chinese receipe cook ,"[(0, 0.041801732), (1, 0.041943297), (2, 0.04179787), (3, 0.79087746), (4, 0.041844487), (5, 0.04173518)]",3,POSITIVE,0.9928076267242432
chinese regime repress live dictatorship shitty country ,"[(0, 0.020965502), (1, 0.29025948), (2, 0.6255787), (3, 0.02095292), (4, 0.020975638), (5, 0.02126777)]",2,NEGATIVE,0.9863835573196411
chinese rhino horn elephant tusk pangolin scale donkey giraffe government prohibit illegal wildlife trade ,"[(0, 0.011171176), (1, 0.011146866), (2, 0.011178322), (3, 0.9440569), (4, 0.011307845), (5, 0.011138877)]",3,NEGATIVE,0.9896642565727234
chinese rice ,"[(0, 0.055757303), (1, 0.7211389), (2, 0.05577542), (3, 0.055854708), (4, 0.055832993), (5, 0.05564065)]",1,POSITIVE,0.9473709464073181
chinese rude dirty spread clown turkish canadian people disease sars coronavirus switzerland watch program train tourist google ,"[(0, 0.6979541), (1, 0.26461005)]",0,NEGATIVE,0.9962800145149231
chinese save terrorist hell president masud azhar government moral sense .for profit support terrorism develop ,"[(0, 0.010502376), (1, 0.010448111), (2, 0.9474895), (3, 0.010603465), (4, 0.010505307), (5, 0.010451214)]",2,NEGATIVE,0.9527983069419861
chinese shameless foul country disappear major earthquake occurs destroy ,"[(0, 0.016715927), (1, 0.016716663), (2, 0.6466187), (3, 0.016716547), (4, 0.28645024), (5, 0.016781941)]",2,NEGATIVE,0.998474657535553
chinese shit animal food ,"[(0, 0.033477936), (1, 0.51779956), (2, 0.34779343), (3, 0.033744786), (4, 0.033727143), (5, 0.0334571)]",1,NEGATIVE,0.9940468072891235
chinese shut speak people understand word ,"[(0, 0.024053337), (1, 0.405151), (2, 0.024059955), (3, 0.024038915), (4, 0.498796), (5, 0.023900824)]",4,NEUTRAL,0.5973470211029053
chinese site worry team ,"[(0, 0.034088597), (1, 0.034141283), (2, 0.8310111), (3, 0.033731043), (4, 0.033634778), (5, 0.033393178)]",2,NEGATIVE,0.9965540170669556
chinese slant ,"[(0, 0.71988213), (1, 0.05624431), (2, 0.05591414), (3, 0.05610888), (4, 0.05606734), (5, 0.055783197)]",0,NEGATIVE,0.9929990768432617
chinese slave government argue ,"[(0, 0.03357436), (1, 0.03356211), (2, 0.8320331), (3, 0.033532277), (4, 0.03386209), (5, 0.033436053)]",2,NEGATIVE,0.9826436638832092
chinese speak china daily respect compatriot understand post english internationally renowned double standard ,"[(0, 0.9401338), (1, 0.011980908), (2, 0.011994796), (3, 0.0119686425), (4, 0.011983448), (5, 0.011938373)]",0,POSITIVE,0.9977376461029053
chinese speak learn advance return ,"[(0, 0.028020399), (1, 0.028028999), (2, 0.85975623), (3, 0.028267492), (4, 0.028101424), (5, 0.027825484)]",2,POSITIVE,0.9838178157806396
chinese speed hate ,"[(0, 0.7898473), (1, 0.04204477), (2, 0.041875534), (3, 0.042051), (4, 0.04233702), (5, 0.041844357)]",0,NEGATIVE,0.9994816184043884
chinese spit road time ,"[(0, 0.03349737), (1, 0.03371936), (2, 0.03344208), (3, 0.8325171), (4, 0.03344052), (5, 0.033383645)]",3,NEGATIVE,0.9812812209129333
chinese strong life ,"[(0, 0.04199942), (1, 0.042163897), (2, 0.7896799), (3, 0.042099528), (4, 0.04212683), (5, 0.041930445)]",2,POSITIVE,0.9998151659965515
chinese student gaokao result ,"[(0, 0.033548042), (1, 0.033891477), (2, 0.29754832), (3, 0.033662725), (4, 0.03360435), (5, 0.5677451)]",5,POSITIVE,0.9832397103309631
chinese swine athlete rogue forbidden ,"[(0, 0.027862974), (1, 0.027892832), (2, 0.027870864), (3, 0.027882151), (4, 0.8606629), (5, 0.027828287)]",4,NEGATIVE,0.9787718057632446
chinese table tennis time ,"[(0, 0.033444688), (1, 0.8322542), (2, 0.033567876), (3, 0.033886306), (4, 0.033463113), (5, 0.03338384)]",1,POSITIVE,0.9946900606155396
chinese team ,"[(0, 0.055949643), (1, 0.056254636), (2, 0.7193863), (3, 0.05635349), (4, 0.05630313), (5, 0.055752814)]",2,POSITIVE,0.9985881447792053
chinese team nice step forward congratulation running relay medal game amazing honorable feeling athlete success glory upcoming competition ,"[(4, 0.9534096)]",4,POSITIVE,0.9997532963752747
chinese team table tennis time ,"[(0, 0.02786629), (1, 0.5812519), (2, 0.30681568), (3, 0.028227627), (4, 0.02800008), (5, 0.027838385)]",1,POSITIVE,0.9959985017776489
chinese team time ,"[(0, 0.04182043), (1, 0.041921772), (2, 0.04222738), (3, 0.79023856), (4, 0.042030383), (5, 0.04176147)]",3,POSITIVE,0.9985913634300232
chinese teamreal team awesome resultsuprightclean cleanthe speed skate strength skating result ,"[(0, 0.014013105), (1, 0.01398807), (2, 0.929749), (3, 0.01398241), (4, 0.014198921), (5, 0.014068432)]",2,POSITIVE,0.9990448355674744
chinese test ,"[(0, 0.055943064), (1, 0.05627908), (2, 0.7196964), (3, 0.05613167), (4, 0.056089878), (5, 0.055859845)]",2,NEGATIVE,0.904982328414917
chinese time ,"[(0, 0.055853803), (1, 0.05612068), (2, 0.05595273), (3, 0.7204446), (4, 0.055945963), (5, 0.055682205)]",3,POSITIVE,0.9925985336303711
chinese time wang shun awesome ,"[(0, 0.027868422), (1, 0.0282633), (2, 0.8600737), (3, 0.028051205), (4, 0.027915908), (5, 0.027827462)]",2,POSITIVE,0.9989973902702332
chinese traditional costume beautiful spicy cabbage grandma admire hanfu ,"[(0, 0.01670982), (1, 0.91630477), (2, 0.016696861), (3, 0.01687978), (4, 0.01672394), (5, 0.016684828)]",1,POSITIVE,0.9984662532806396
chinese traditional culture ,"[(0, 0.042346958), (1, 0.7899298), (2, 0.04192779), (3, 0.04188608), (4, 0.042063173), (5, 0.04184617)]",1,POSITIVE,0.9980962872505188
chinese translate english call stem deep meaning understand ,"[(0, 0.018763972), (1, 0.018779958), (2, 0.01865611), (3, 0.08918193), (4, 0.83606297), (5, 0.018555073)]",4,POSITIVE,0.9965412020683289
chinese true artisan imagination reality ,"[(0, 0.027841384), (1, 0.86079013), (2, 0.027834192), (3, 0.027852383), (4, 0.02787898), (5, 0.027802946)]",1,POSITIVE,0.9995115995407104
chinese uighurs china ethnic minority policy xinjiang uighur live beijing finally correct speech multiethnic country fiftysix economic preference support tibet strong gansu ningxia capital talk feel oppressed nation foreign distinguish ,"[(0, 0.97295624)]",0,POSITIVE,0.9720154404640198
chinese understand ,"[(0, 0.056044728), (1, 0.05627508), (2, 0.055812832), (3, 0.055974316), (4, 0.7200547), (5, 0.055838354)]",4,POSITIVE,0.9979854822158813
