content,emotion_scroe
视频来源@过客,0.7971018239876031
说归说 怎么还人工呼吸上了[看],0.6301806208222077
气氛到这了，二哥今天必须走[泣不成声],0.8346410599495774
还是老三讲义气，赶紧救人，老大就不行，只会坐那哭,0.35303156644316613
这兄弟能交，关键时刻真上嘴啊[捂脸],0.4484991317815983
二哥不走都对不起这气氛[捂脸],0.49999395903096866
硬是让我看了十几次[泪奔][泪奔][泪奔]这声二哥是真感情[泪奔][泪奔][泪奔][泪奔],0.1550108986915022
气氛都哄到这了，二哥今天不走也得走,0.7690732733078723
把老三吓得不轻[大笑][大笑][大笑],0.8585214515571226
这兄弟能交，有事是真哭[捂脸],0.20201415639328157
抱歉，没忍住，被一声二哥给整笑了[捂脸][捂脸],0.009008483191433214
我大鞍山人真是出人才呀。,0.80921026006196
三弟人工呼吸，心脏复苏都用上了，下次喝酒的时候又有得吹了[呲牙],0.9032341208404929
二哥这朋友不错，哭喊的撕心裂肺[捂脸],0.9981104014997424
二哥：气氛烘托到这了，我还好意思喘气？憋我也得憋着。,0.3169207112677349
他二哥呀，你这老弟值得交啊[捂脸][捂脸],0.4278293782707666
二哥本来没走，差点让你给按走了[捂脸][捂脸],0.09639612403308129
@@胸口碎大石,0.5
就冲老三的义气，二哥还得找老三喝一顿,0.8554940505929991
@所爱隔山海༊ 三兄弟。[捂脸][捂脸][捂脸],0.2375340914924301
气氛到这了 二哥必须要走,0.8346410599495774
@防、 哈哈哈哈哈哈,0.9751349273004098
@wjlong 二哥，你别吓唬我啊,0.7763434481590256
走了要赔钱的,0.42989604180766383
@zxy 是你吗，二哥,0.5880539322936313
作为二哥，我朋友让我来看的[泪奔],0.7208450120286398
@薛定猫的鄂 等明年，别养鱼,0.890142453148024
@乖乖 [泪奔],0.5262327818078083
这是真怕摊上事儿啊[捂脸],0.1232663087435899
@@ww 哈哈哈哈，想起了宋小宝沙溢那个,0.9939377974727286
@小公举吖  豆桑  你别吓唬我啊[流泪],0.87915162609708
@Ashely 好兄弟,0.48344303799579114
看几十遍了，还是觉得搞笑,0.6586112100876409
@姜云升 哈哈哈哈哈[泪奔],0.8684210526315791
@坚果  这个看过吧 [笑哭][笑哭],0.36824405891231105
@@,0.5
@乐宝Zzz 乐哥[流泪][流泪][流泪],0.4737672181921917
这老弟够意思，哭半天不知道咋回事呢,0.21131495244968657
@BOOM—— 上号了吗,0.6429335818357281
