Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重
充电,0.056,新能源,0.037,汽车,0.055,新能源,0.018,汽车,0.049,新能源,0.022,汽车,0.040
设施,0.036,汽车,0.033,新能源,0.047,汽车,0.017,新能源,0.047,企业,0.020,新能源,0.036
建设,0.025,充电,0.025,企业,0.025,企业,0.017,企业,0.027,汽车,0.020,企业,0.027
电动汽车,0.018,建设,0.017,生产,0.024,工业,0.015,乘用车,0.021,充电,0.012,生产,0.015
新能源,0.013,发展,0.016,产品,0.016,信息化,0.015,燃料,0.016,技术,0.011,工业,0.011
汽车,0.013,基础设施,0.012,发展,0.011,部门,0.010,生产,0.016,工业,0.010,信息化,0.011
基础设施,0.012,节能,0.010,节能,0.011,产品,0.010,消耗量,0.016,信息化,0.010,情况,0.009
运营,0.010,运营,0.009,公告,0.010,相关,0.009,积分,0.013,电动汽车,0.009,动力,0.009
城市,0.009,示范,0.008,标准,0.009,情况,0.008,车辆,0.011,车辆,0.009,资金,0.009
发展,0.008,企业,0.008,管理,0.009,充电,0.008,工业,0.010,建设,0.008,乘用车,0.008
标准,0.008,推广,0.008,准入,0.008,发展,0.008,信息化,0.010,免征,0.007,回收,0.007
规划,0.008,城市,0.007,工作,0.007,推广,0.007,平均,0.010,国家税务总局,0.007,发展,0.007
停车场,0.008,建立,0.007,政策,0.007,标准,0.007,发展,0.008,购置税,0.007,建设,0.006
公共,0.008,支持,0.007,制定,0.007,补贴,0.006,城市,0.007,标准,0.007,产品,0.006
相关,0.007,部门,0.007,车辆,0.006,城市,0.006,推广,0.007,产品,0.007,管理,0.006
产品,0.007,服务,0.007,工业,0.006,目录,0.006,年度,0.007,财政部,0.007,利用,0.006
企业,0.007,加快,0.007,推广应用,0.006,乘用车,0.006,产品,0.007,公告,0.007,推广,0.005
单位,0.006,推广应用,0.006,信息化,0.005,试点,0.006,目录,0.006,工作,0.007,技术,0.005
管理,0.006,公交车,0.006,动力,0.005,组织,0.006,公告,0.006,相关,0.006,年度,0.005
技术,0.005,推进,0.006,地方,0.005,资金,0.006,财政部,0.006,生产,0.006,积分,0.005
