txt,情感分数,情感类型,分词,主题概率,主题类型
怀疑自己有同性恋倾向，对这种女生着了迷！ ​,0.688978991282801,中性,女生,"[(0, 0.35058948), (1, 0.6494105)]",1
"他在教室里大声宣讲反“腐”知识，一脸憎恶，没发现身后班长满是玩味的表情。下课后，“你你你…你要干什么！!！”“你不是要反腐吗？而且只是说到同性恋就一脸厌恶,想必和我一起也很勉强吧,那我们就到此为止好了。”“别啊啊啊，我错了 ”“那今天晚上知道该怎么做了没?” 收起",0.998608494843202,积极,教室 班长 玩味 表情 下课后 啊啊啊,"[(0, 0.08872103), (1, 0.91127896)]",1
昨天看了《水形物语》我看影片标题是浪漫的人鱼爱情.但看到小伙伴一脸怀疑的表情.我意识到这并不是单纯的人鱼爱情.还有神明与人类的相处相通.奉献.明朗的看这部电影：注定相遇的人不会错过即使没有语言文字.心灵也可以让彼此安慰.那句“你永远不知道我有多么爱你”足以证明一切.最可爱的还是那位同性恋的画家老..如果电影院放的不是删减版就完美了.. 2大连 收起,0.999999999999599,积极,水形 物语 影片 标题 浪漫 人鱼 爱情 小伙伴 表情 意识 人鱼 爱情 神明 人类 明朗 电影 语言文字 心灵 证明 画家 电影院 完美,"[(0, 0.029505104), (1, 0.9704949)]",1
一直不太接受同性恋的， 但是看了她们还是觉得只要幸福就好～祝福她们～,0.994466220101258,积极,幸福 祝福,"[(0, 0.7920271), (1, 0.20797288)]",0
寻找罗麦，很期待的电影，只希望世界能够公平一点.古时候由男人觉得女人有没有资格读书，现在由异性恋决定同性恋合不合法。 ​,0.991426717179335,积极,罗麦 电影 世界 公平 古时候 男人 女人 资格 读书 异性恋 合法,"[(0, 0.06056564), (1, 0.93943435)]",1
"有个小孩子问妈妈什么是同性恋, 该怎么看. 妈妈解释说, 男女好像磁铁的两极, 大多数是异性相吸, 但是有的同极性的相爱了.他们需要克服很大的阻力，才能拥抱在一起.戳爷 网易云 ​",0.99997281991217,积极,小孩子 妈妈 妈妈 男女 磁铁 两极 极性 很大 阻力 网易,"[(0, 0.9468262), (1, 0.05317378)]",0
从前一男生对我哭诉因为他从小没得到家庭的关爱，因此长大后变成了同性恋！刚开始一听他的话，很是同情他，再一想，不对啊，从小没得到家庭爱的男生社会上多的很，还有被家暴的呢，怎么他们都没变成同性恋呢？！因此，同理，自卑的人他、她们会有一大堆变成自卑的原因和理由，但很明显的是那群人不论前世、今生都是一群内心深处自私、冷漠的人，他、她们不过是在继续着他们的恶性循环轮回而已！可怜之人必有可恨之处！吃一堑长一智，慈悲不能乱舍，乱发！ 收起,0.999999999995588,积极,男生 家庭 长大 同情 家庭 男生 社会 家暴 同理 自卑 自卑 原因 理由 那群人 自私 冷漠 慈悲,"[(0, 0.09363407), (1, 0.90636593)]",1
说爱说恨都是两难！周三是同性恋 ​,0.58534378470784,中性,两难,"[(0, 0.7147914), (1, 0.28520855)]",0
我就说我给你拍的好看你就一张也不放，你呢，不仅脑残还手残-_-||让你拍个照片结果只看得到灯光却看不到头，好不容易找了张还看的过去的吧  回忆一下你的经典动作    问你人家会不会以为咱俩同性恋😂你说没准，哈哈哈哈哈哈哈哈哈哈哈哈 ​,0.996950596279527,积极,照片 灯光 经典 动作,"[(0, 0.13937393), (1, 0.8606261)]",1
喜欢就去追，分手了就挽回，吵架了就和解，爱情不需要面子。 ​ ​,0.981812416249372,积极,爱情 面子,"[(0, 0.76728475), (1, 0.23271522)]",0
你跟一群阿姨说同性恋是基因的问题 他们肯定不懂 但是他们肯定会马上拉上自己的孩子去做基因测定 不要以为这世界有多美好 只是你想的美而已 歧视永远都存在每个角落每一分每一秒 你看见的只是抱团之后那一点点的微光 ​,0.999321018876268,积极,阿姨 基因 马上拉 孩子 基因 世界 美好 角落 抱团 微光,"[(0, 0.089220114), (1, 0.9107799)]",1
439能是同性恋，但我不想告诉。我盯着邮件，说得对，这可 ​,0.0339079525850811,消极,邮件,"[(0, 0.38986784), (1, 0.6101321)]",1
右边怎么反对同性恋不？//-:先让你家人纹身了再说//:回复:不明白你说的啥，老师没教过我啥叫纹身，听不懂半文盲说话。,0.110234905871929,消极,纹身 明白 老师 纹身 半文盲,"[(0, 0.9034616), (1, 0.096538454)]",0
我觉得吧！现在的社会对同性恋已经比较接受了，因为有大量腐女的出现吧！😄，但是还不够，大部分我们这代的父母顾及都不了解什么，我一直认为同性恋只是一个人恰好爱的人是一个性别而已，我不想用或者同性恋去称呼她们。总觉得给他们特定称呼好像把他们单独化为一类，希望以后社会接受能力更强，也有相关法律能保证他们，他们结婚是合法的，也能收到大家的认同，毕竟现在的认知水平还不够，我们还是会用异样的眼光去看待他们，这样会让本来就站在弱势地位的他们更受伤，还是希望以后大家会以平常心看待这件事， 收起,0.999999999965526,积极,社会 腐女 父母 性别 社会 能力 法律 合法 水平 眼光 弱势 地位 平常心,"[(0, 0.04541206), (1, 0.95458794)]",1
印度同性恋组织街头拥抱接吻，场面真是让人辣眼睛 ,0.996746843316512,积极,印度 场面 眼睛,"[(0, 0.16084453), (1, 0.8391555)]",1
男女之间的纯友谊我想是不存在的，一切关系好都建立在情欲之上，要不我喜欢你，要不你喜欢我，要不咱俩都是同性恋。 ​,0.999028705108571,积极,友谊 关系 情欲,"[(0, 0.67350584), (1, 0.32649416)]",0
我也不是同性恋，但对异性不是恐惧，只恐惧性。 ​,0.994626353112579,积极,异性 恐惧 恐惧,"[(0, 0.8442687), (1, 0.15573134)]",0
今天做兼职认识了一个小哥哥，他拿起一堆气球之后发现都是紫色的说了句…天这运气一拿都是的颜色我说了句哎呦喂很懂嘛我觉得你有隐藏属性哦~然后他说我没有我没有就我妹每天和我分享所以懂咯(天好的妹子)然后就了一大堆(省略掉因为我要说的不是这个)随后我问了一句那你看过上瘾嘛，他说看过啊我激动的一直戳着我屏幕说那你看过怎么就不认识他们捏？他说就看过小说(然后又是一大堆包括给他安利了一下啾啾和老大)他说当然会被禁啊现在的中国肯定是不允许的啊(我失落的低下头)接着他又说不过台湾都同意了等那边发布了同性恋婚姻合法化后应该到中国了吧或许一两年左右吧，我瞬间抬头眼睛的泪光还没收回去呢(*꒦ິ⌓꒦ີ)我声音都颤抖着问他那中国六年之内有可能吗，他说很有可能吧哇！突然爆哭啊！虽然我知道这回答一点都不有力还只是一个大学生的猜测！但是我真的很激动啊起码有一点点希望啦 收起,0.989149776820594,积极,哥哥 气球 紫色 运气 颜色 属性 妹子 省略 激动 屏幕 小说 安利 中国 低下头 台湾 婚姻 中国 眼睛 泪光 声音 中国 大学生 激动 起码,"[(0, 0.9637556), (1, 0.036244415)]",0
真的喜欢这部电影啊，意大利乡村小镇，灿烂的阳光，挂满成熟果子的果树下吃早餐喝下午茶，随手摘下杏子喝杏子汁，关同性恋啥事呢，明明就是初恋的美好啊,0.997580176174068,积极,电影 意大利 乡村 小镇 灿烂 阳光 成熟 果子 果树 早餐 下午茶 杏子 杏子 美好,"[(0, 0.040221408), (1, 0.9597786)]",1
说得很好，感觉这应该会成为以后主流想法之一（只要国家政策不干预），就像是同性恋现象一样，因为归根结底这是每个人自己的事，只要不干预影响到他人和社会，那么我认为每个人都有自主人生的权利！只是处于新旧时代思想碰撞的我们这一代人啊，呵呵。。。想要这样还是为时过早了,0.999999873303891,积极,感觉 国家 政策 现象 社会 人生 权利 新旧 时代 思想 一代人,"[(0, 0.43535787), (1, 0.5646422)]",1
作者的分类就很有问题，性别认同和性取向是没有关系的，生理性别有男、女，心理性别有男、女、跨性别男、跨性别女等，性取向有单性恋（包括异性恋、同性恋）、双性恋、无性恋。如果对自己的性别认同或性取向认同出现障碍，可能会引起抑郁焦虑，但也不绝对。（未完待续）,0.999999979245238,积极,作者 分类 性别 性取向 关系 性别 心理 性别 性别 性别 性取向 单性 异性恋 双性恋 性别 性取向 障碍 抑郁 焦虑,"[(0, 0.039194435), (1, 0.96080554)]",1
从来不觉得网恋 异地恋 异国恋 同性恋不靠谱 不靠谱的是人 不是感情 ​​​,0.994578350554631,积极,网恋 异地 异国恋 感情,"[(0, 0.15258884), (1, 0.8474111)]",1
我正在看，分享给你，一起看吧！ ▷你是同性恋又不是你决定的，有什么好愧疚的！ 网页链接 ​,0.987218490441044,积极,看吧 愧疚 网页 链接,"[(0, 0.124512635), (1, 0.8754874)]",1
并非出于本意选择的片子，之前想避开来着。高于预期，剧情其实算老套，但在同性恋、残疾人、跨物种恋情这些政治正确的前提下，剧情还是比较饱满的。，政治正确什么时候开始变成评价片子好坏的标准了？就像之前看到的某一个影评说的，这条鱼还是比较像人的，不然……但是拿最佳影片，我是不服的～ ​,0.999236203488347,积极,片子 剧情 老套 残疾人 物种 恋情 政治 正确 前提 剧情 政治 正确 评价 片子 标准 最佳影片,"[(0, 0.95759636), (1, 0.04240361)]",0
何炅和戴军同性恋神马情况？ ​,0.910773878945991,积极,何炅 戴军 神马 情况,"[(0, 0.119514905), (1, 0.88048506)]",1
《观察者》今天披露了脱欧阵营在前年的脱欧运动中支出超过法定限额的消息。这一消息令脱欧公投的合法性受到质疑。《观察者》采访了脱欧组织 的一位前志愿者。这位名叫沙米尔·萨尼（ ）的志愿者告诉该报说，他所在的脱欧组织“可能违反了法律”。他表示，该组织向一个叫的组织捐赠了62万英镑，超过了法定支出限额。但 的负责人多米尼克·卡明斯（ ）否认了这一说法，并说他在捐款前与选举委员会进行了核实。在脱欧运动中支持脱欧的《星期日邮报》也报道了萨尼的指控。但该报将重点放在萨尼的前男友—— 的经理斯帕金森（ ）——对萨尼是同性恋这一隐私的揭露。帕金森现在担任特蕾莎·梅首相的助手一职，他表示，如果不披露他与萨尼的关系，他就无法针对其他指控为自己辩护。《星期日邮报》还表示，有关竞选运动的这些规则已经老掉牙了。而同样支持脱欧的《星期日电讯报》则不满地说，这种指责是在试图“取消公投、质疑其合法性或改变脱欧”，只不过是为了公然逆转人民的选择。 另外，《星期日电讯报》今天封面继续报道的数据泄露丑闻。据报道，在7年前就被告知，它在保护用户数据方面是“失败”的。报告称，爱尔兰数据保护专员曾警告这家社交媒体公司，其数据保护方式存在缺陷，但只进行了“微乎其微的调整”。 据《星期日泰晤士报》报道，特蕾莎·梅将通过增加对的资助来“推翻财政部”。报告称，首相将在未来10年每年额外拨出40亿英镑用于医疗服务。文章说，在外交大臣约翰逊和卫生大臣亨特的游说下，内阁已经逐渐认识到，医疗问题现在是保守党的“阿基琉斯之踵”，意即保守党的致命弱点。《星期日镜报》的社论称，需要更多钱这一点毫无疑问，但问题是，这笔钱要从哪儿来。该报说，政府应该考虑开征一项特别的税，或者引入像法国那样的保险系统。 《星期日快报》封面也报道了医疗方面的新闻。该报说，患有唐氏综合症的儿童没有被列入器官移植名单，因为“他们的寿命可能不如其他儿童长”。有关人士已提交请愿书，呼吁在器官捐赠方面给予平等待遇。该报还介绍了政府打算增加妇产科工作人员的计划。报告说，未来四年将有3000多名助产士接受培训。 复活节就要来了，不过今年的复活节可能要在严寒中渡过，民众可能要面对交通混乱和铁路关闭的窘境。此外，《星期日太阳报》注意到，复活节这个词或者这个节日本身似乎正在经历去宗教化。文章说，2012年的时候，巧克力工厂卖的巧克力蛋礼包叫“   ”，而现在这个礼包却被称为“  ”，去掉了“”。该报的社论谴责说这是一种傻乎乎的政治正确，还质问说，那么以后圣诞布丁是不是也不能用“圣诞”两个字了。该报今天还报道说，英国的军队战斗力似乎成了问题，有报告说，五分之一的军事人员都“不适合战斗”。 收起,1.0,积极,观察者 阵营 法定 限额 消息 消息 合法性 观察者 志愿者 沙米尔 萨尼 志愿者 法律 法定 限额 负责人 卡明斯 委员会 核实 邮报 萨尼 重点 萨尼 前男友 经理 帕金森 萨尼 帕金森 特蕾 助手 萨尼 关系 邮报 规则 电讯报 合法性 电讯报 封面 数据 丑闻 用户 数据 报告 爱尔兰 数据保护 专员 警告 社交 媒体 公司 数据保护 方式 泰晤士报 特蕾 梅将 资助 财政部 报告 医疗 文章 外交大臣 卫生 大臣 游说 内阁 医疗 保守党 琉斯 保守党 弱点 镜报 社论 政府 法国 系统 快报 封面 医疗 新闻 唐氏 综合症 儿童 名单 寿命 儿童 人士 请愿书 器官 政府 妇产科 工作人员 计划 报告 助产士 复活节 复活节 严寒 民众 交通 混乱 铁路 窘境 太阳报 复活节 经历 宗教 文章 巧克力 工厂 巧克力 礼包 礼包 社论 政治 正确 质问 布丁 英国 军队 战斗力 报告 军事 人员,"[(1, 0.99544823)]",1
不是 越来越多，而是现在接受的人越来越多。他们才敢 。 从古到今同性恋的比数都是一样。 希望看到的人，都可以接受，不接受，至少不要歧视。  是正常人，只是喜欢的他（她）恰巧和自己一样的性别而已。 ??? ​,0.000389861918893675,消极,比数 正常人 性别,"[(0, 0.5125963), (1, 0.48740363)]",0
我免费围观了  的回答，问题价值 100 元，快来一起免费围观~ 微博问答 ​,0.98098915746866,积极,围观 价值 围观,"[(0, 0.1389448), (1, 0.8610552)]",1
中国最出名最经典的同性恋电影,0.994540668812913,积极,中国 经典 电影,"[(0, 0.16636685), (1, 0.8336332)]",1
6同志是不是同性恋志愿者？ ​,0.0523485247890145,消极,同志 志愿者,"[(0, 0.2325412), (1, 0.7674588)]",1
 有一个男人我认识他四年他长了头有点长的头发和一张清秀脸他笑起来的时候还有点甜可他一开口说话 就是个二皮脸我俩都一样没女人又没钱可惜了你也不在我的身边不然咱俩就去搞同性恋我们还可以一块去买泡面男人啊你是不是也已经发现这世界跟我们想的不一样身边的人每天都在变我们却越来越怀念从前你这个男人啊折磨我三年如今离开我身边我还有点想念咱说好将来一块考研学的都是材料说不定还能考到一块将来我儿子也得是你儿子的干爹男人啊你是不是也已经发现这世界它有一张伪善的脸我们却还是要勇敢地向前你说咱男人也得顶半边天男人啊你是不是也已经发现这世界跟我们想的不一样身边的人每天都在变我们却越来越怀念从前 收起,0.999999999999228,积极,男人 头发 清秀 开口 女人 泡面 男人 世界 男人 学的 材料 儿子 儿子 干爹 男人 世界 勇敢 男人 男人 世界,"[(0, 0.21511066), (1, 0.78488934)]",1
有时候我真恨不能把同性恋三个字写在脸上，让全世界都知道我是同性恋！ ​,0.310470703140628,中性,全世界,"[(0, 0.57850856), (1, 0.42149147)]",0
85、《看见》（柴静）—十年之间，既有非典、汶川地震、两会报道、北京奥运会这些重大事件现场，也有周正龙华南虎照事件、征地拆迁矛盾、同性恋、吸毒、环境污染、留守儿童、药家鑫事件等等社会敏感问题，无一不是轰动一时的新闻。不知道为什么自从《苍穹之下》后网上关于柴静的负面评价太多，也导致我一直没有看这本书，后来发现豆瓣评分居然将近9分，果断看完。全书充满了感性和理性，这个世界，在我们看不到的地方，依然笼罩着阴影，并不是那么的美好。 收起,0.999999998321106,积极,柴静 汶川 地震 北京 重大事件 现场 周正 华南虎 事件 征地 矛盾 环境污染 儿童 药家 事件 社会 敏感 新闻 苍穹 柴静 负面 评价 豆瓣 评分 全书 充满 感性 理性 世界 地方 阴影 美好,"[(0, 0.036360048), (1, 0.96364)]",1
 不要错过一个爱你爱到骨子里的人 因为每个人的生命里 这样的人 可能都只有一个 而这个人 大概也只可能这样去爱一次 ​​ 怎么挽回前任前男友  怎么挽回前女友女朋友   同性恋分手怎么办，关注博主 失恋挽回旧爱的秒拍视频 ​,0.999999647150966,积极,骨子里 前任 前男友 前女友 女朋友 博主 视频,"[(0, 0.28551146), (1, 0.71448857)]",1
