页码链接,用户id,用户,用户名链接,来自用户名,发表日期,点赞量,转发量,评论数量,content,分词
https://weibo.com/ajax/statuses/searchProfile?uid=1699540307&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,1699540307,中国之声,,,2023年09月27日 09:08,6,34,5,黄瑞是杭州亚运会排球赛场上的志愿者，被称为“快擦手”。他和伙伴们负责场馆地面的清理，在比赛暂停的8-10秒内，飞奔进场地，快速擦干地面上的汗水，避免运动员打滑或受伤。“一场比赛可能要擦上好几十次，我想把自己最好的一面展现给观众和运动员们。”点赞！致敬志愿者,黄瑞 杭州 亚运会 排球赛 场上 志愿者 称为 伙伴 负责 场馆 地面 清理 比赛 暂停 飞奔 进场 快速 擦干 地面 汗水 运动员 打滑 受伤 一场 比赛 几十次 展现 观众 运动员 致敬 志愿者
https://weibo.com/ajax/statuses/searchProfile?uid=1699540307&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,1699540307,中国之声,,,2023年09月26日 20:51,5,52,2,刚，杭州亚运会乒乓球男子团体决赛，中国选手王楚钦、樊振东、马龙出战，击败韩国队，夺得冠军，实现！一起祝贺国乒！ ​,杭州 亚运会 乒乓球 男子 团体 决赛 中国 选手 王楚钦 樊振东 马龙 出战 击败 韩国队 夺得 冠军 祝贺 国乒
https://weibo.com/ajax/statuses/searchProfile?uid=1699540307&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,1699540307,中国之声,,,2023年09月26日 16:48,2,14,1,杭州亚运会乒乓球女子团体决赛，这也是中国乒乓球队本届亚运会获得的首枚金牌。祝贺国乒，继续加油！ ​,杭州 亚运会 乒乓球 女子 团体 决赛 中国乒乓球队 本届 亚运会 首枚 金牌 祝贺 国乒 加油
https://weibo.com/ajax/statuses/searchProfile?uid=1699540307&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,1699540307,中国之声,,,2023年09月26日 12:41,2,9,2,刚，杭州亚运会10米气步枪混合团体决赛，中国组合盛李豪、黄雨婷发挥出色，夺得金牌。到手，好样的！ ​,杭州 亚运会 气步枪 混合 团体 决赛 中国 组合 盛李豪 黄雨婷 发挥 出色 夺得 金牌 到手 好样
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 21:08,738,4427,637,亚运会男女混合4×10米混合泳接力决赛中，徐嘉余、覃海洋、张雨霏、杨浚瑄联袂出战，以3分37秒73的成绩为中国队获得金牌，打破亚洲纪录！ ​,亚运会 男女 混合 混合泳 接力 决赛 徐嘉余 海洋 张雨霏 出战 成绩 中国队 金牌 打破 亚洲纪录
https://weibo.com/ajax/statuses/searchProfile?uid=1699540307&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,1699540307,中国之声,,,2023年09月25日 11:44,11,22,11,【见证历史一刻！诞生 ​,见证 历史 一刻 诞生
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 20:49,146,2034,238,亚运会女子40米个人混合泳决赛中，余依婷发挥出色，获得金牌！恭喜！ ​,亚运会 女子 混合泳 决赛 余依婷 发挥 出色 金牌 恭喜
https://weibo.com/ajax/statuses/searchProfile?uid=1699540307&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,1699540307,中国之声,,,2023年09月25日 11:43,10,21,10,今天，杭州亚运会赛艇比赛迎来收官。一上午的比赛中，中国队分别摘得男子单人双桨、男子四人双桨和女子双人单桨无舵手、女子四人双桨、女子八人单桨有舵手项目的5枚金牌。祝贺！ ​,杭州 亚运会 赛艇 比赛 迎来 收官 一上午 比赛 中国队 摘得 男子 单人 双桨 男子 双桨 女子 双人 单桨 舵手 女子 双桨 女子 单桨 舵手 金牌 祝贺
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 19:46,338,6695,627,亚运会女子10米仰泳决赛中，中国选手万乐天夺得金牌，汪雪儿获得银牌。祝贺！ ​,亚运会 女子 仰泳 决赛 中国 选手 乐天 夺得 金牌 雪儿 银牌 祝贺
https://weibo.com/ajax/statuses/searchProfile?uid=1699540307&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,1699540307,中国之声,,,2023年09月24日 20:28,11,26,11,刚，杭州亚运会女子150米自由泳决赛，中国选手李冰洁夺得金牌，打破赛会纪录！另一名中国选手15岁小将高唯中获得银牌。祝贺！​ ​,杭州 亚运会 女子 自由泳 决赛 中国 选手 李冰 夺得 金牌 打破 赛会 纪录 另一名 中国 选手 小将 高唯 银牌 祝贺
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 19:33,406,5131,393,​亚运会女子10米蝶泳决赛中，张雨霏发挥稳定，以绝对优势获得冠军，拿下中国游泳队杭州亚运会第16金，！另一名中国队员王一淳获得铜牌。祝贺！ ​,亚运会 女子 决赛 张雨霏 发挥 稳定 绝对优势 冠军 拿下 中国 游泳队 杭州 亚运会 另一名 中国 队员 王一淳 铜牌 祝贺
https://weibo.com/ajax/statuses/searchProfile?uid=1699540307&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,1699540307,中国之声,,,2023年09月24日 10:46,19,43,12,今天的杭州亚运会武术男子长拳比赛中，中国队选手武术孙培原夺冠，中国澳门选手宋子君获得澳门在本届亚运会上的首枚奖牌。9年前的仁川亚运会，孙培原就在武术男子刀术棍术全能比赛中夺金；5年前在雅加达，他又获得男子长拳比赛冠军。赞！ ​,杭州 亚运会 武术 男子 长拳 比赛 中国队 选手 武术 孙培原 夺冠 中国 澳门 选手 宋子君 澳门 本届 亚运会 首枚 奖牌 年前 仁川 亚运会 孙培原 武术 男子 刀术 棍术 全能 比赛 夺金 年前 雅加达 男子 长拳 比赛 冠军
