时间,博主,内容,点赞,转发,评论
"
                        01月11日 14:38
                        ",蹦迪喊上我,"
                       在这个AI快速迭代和迈向元宇宙的时代，有一件很重要的事情：管理好信息源，拒绝在垃圾场觅食。 ​​​                ",赞, 转发, 1
"
                        01月11日 12:01
                        ",影子跟读学日语,"
                    20230111日语新闻，文本AI能自动写小说！有感情纠葛，也有起承转折，完成度竟然如此高     ​                ",赞, 转发, 评论
"
                        01月11日 09:57
                        ",张姐和张姐夫,"
                        ​                ",6, 转发, 评论
"
                        01月11日 09:22
                        ",爱可可-爱生活,"
                    《chatGPT拯救了我的期末考 - 知乎》     ​                ",52, 32, 5
"
                        01月11日 08:14
                        ",爱可可-爱生活,"
                    终于……   ​                ",10, 10, 2
"
                        01月11日 07:27
                        ",Okare,"
                     好家伙你咋挂了  ​                ",赞, 转发, 评论
"
                        01月10日 23:35
                        ",花甲麟,"
                    目前来看大多纯数据 算法驱动的数字人，都还傻fufu的    ​                ",赞, 转发, 评论
"
                        01月10日 22:19
                        ",遂昌快活林,"
                     全球大火、ChatGPT开发公司获微软百亿美元注资 汉王科技（002362）天源迪科（300047） 据报道，消息人士透露，微软目前正就向风靡全球的聊天机器人ChatGPT的开发者OpenAI投资100亿美元开展谈判。包括新投资在内，OpenAI的价值将达到290亿美元。最近几周发给潜在投资者的文件中提到，目标是 ​                   ",2, 1, 评论
"
                        01月10日 19:34
                        ",爱可可-爱生活,"
                        ​                ",278, 309, 21
"
                        01月10日 15:58
                        ",宽轨高铁计划,"
                    如何看待房地产泡沫？不得不说，chatgpt的回答极致理性。 当前，房地产泡沫存在问题，但直接去除泡沫也不利于汽车、旅游和其他产业发展，也会使得消费和生育率受到(更大的)抑制等。    ​                ",赞, 转发, 1
"
                        01月10日 15:02
                        ",数据观官微,"
                    【  考虑向  开发者  投资100亿美元】据报道，微软目前正就向ChatGPT的开发者OpenAI投资100亿美元开展谈判。包括新投资在内，OpenAI的价值将达到290亿美元。目前还不清楚这笔交易是否已经敲定，但最近几周发给潜在投资者的文件中提到，目标是在2022年底前完成。知情人 ​                   ",赞, 转发, 1
"
                        01月10日 13:51
                        ",反同女工部部长张美玉,"
                      好耶突然就可以用了 ​                ",1, 转发, 1
"
                        01月10日 12:42
                        ",反同女工部部长张美玉,"
                    chatGPT显示access denied有解决办法吗  ​                ",3, 转发, 3
"
                        01月10日 10:29
                        ",巨蟹没有雨天,"
                    相当之强大了  ​                ",1, 转发, 评论
"
                        02月11日 23:05
                        ",羊就是咩咩叫,"
                    怎么评刘耀文演的？   ​                ",4506, 9, 157
"
                        02月11日 23:00
                        ",说给玫瑰开荒中,"
                     看过电影《无名》，就知道为什么程耳导演要和王一博再次合作艺术片《人鱼》了，而且是在去年就已经透露了合作的计划，与票房流量都无关，单纯是欣赏演员王一博。  ​                ",15854, 1853, 806
"
                        02月11日 23:07
                        ",教练月光,"
                    听完采访 直播间复盘 等了这么久 看了这场比赛 给个面子 来听一下   ​                ",2394, 7, 548
"
                        02月11日 23:05
                        ",久爱吃瓜,"
                       RW 3:0 AG 可能谁也没想到的结果 三局下来RW的团战 配合太令人惊喜了 AG需要尽快调整 ​                ",9247, 61, 864
"
                        02月11日 23:03
                        ",南京Hero久酱酱酱酱,"
                      首战胜利啦！ 酱也在今天经历了一次大起大落 接下来的比赛兄弟们继续冲鸭！  ​                ",4830, 57, 528
"
                        02月11日 23:07
                        ",教练月光,"
                    听完采访 直播间复盘 等了这么久 看了这场比赛 给个面子 来听一下   ​                ",2651, 8, 573
"
                        02月11日 23:17
                        ",哎一股清流,"
                     新歌《Not Your Girl 》饭拍，好好听    ​                ",10796, 562, 1266
"
                        02月11日 23:05
                        ",久爱吃瓜,"
                       RW 3:0 AG 可能谁也没想到的结果 三局下来RW的团战 配合太令人惊喜了 AG需要尽快调整 ​                ",10049, 69, 894
"
                        02月11日 23:29
                        ",Kklipshine_鱼籽,"
                       小君の一圈。 （短道速滑多德雷赫特站 1000m FB    ​                ",2083, 741, 155
