所属主题,文章数量,特征词,主题强度
Topic0,62,干净、珍惜、很棒、合适、不错、卫生、固定、充足、有限、很大、新颖、便宜、友善、恢弘、乐观、友好、痛苦、惊喜、幸福、保洁,0.071842
Topic1,87,厚重、独特、遗憾、很棒、不错、精湛、完美、充满、坚韧、确实、深厚、美好、很大、优秀、鲜活、新颖、友好、苦难、惊艳、辉煌,0.10081
Topic2,61,很大、遗憾、不错、确实、便宜、奇妙、厚重、热爱、挺好、不贵、漂亮、疯狂、独特、便利、舒适、很棒、悲惨、幸福、正好、轻松,0.070684
Topic3,50,很大、不错、完整、干净、充满、尴尬、沉重、便宜、确实、不贵、生硬、紧张、欢乐、深厚、落实、舒服、特效、惊喜、苦难、很棒,0.057937
Topic4,38,不错、很棒、确实、惊喜、豁达、糟糕、热闹、清明、厚重、惊艳、珍惜、幸福、深邃、平遥、单薄、浓郁、配套、优秀、坎坷、平均,0.044032
Topic5,45,很大、完美、不错、惊喜、浪漫、干净、惊艳、紧凑、确实、优秀、很棒、新颖、精美、拖沓、意外、充足、轻松、最爱、完整、幽默,0.052144
Topic6,42,紧凑、不错、豁达、宏大、火爆、很大、苦难、欢乐、辛苦、充足、骄傲、清晰、很棒、很好、简单、轻松、一大、绝美、尊重、友好,0.048667
Topic7,83,不错、很大、很好、无聊、便宜、惊艳、确实、厚重、舒适、宏大、很棒、舒服、干净、努力、便利、有限、不适、壮观、暖和、尊重,0.096176
Topic8,48,确实、不错、很大、快乐、壮观、完整、努力、很棒、轻松、不适、惊喜、舒适、遗憾、便利、不贵、详细、新颖、友好、悠久、固定,0.05562
Topic9,38,不错、苦难、简单、遗憾、沉重、骄傲、深厚、确实、真诚、意外、便利、漂亮、生硬、轻松、优秀、厚重、很大、特效、精湛、完美,0.044032
Topic10,44,独特、充满、精美、新颖、厚重、惊喜、精湛、凌乱、浓厚、宏大、厉害、舒适、惊艳、清晰、最美、漂亮、绚丽、繁华、浓郁、扎实,0.050985
Topic11,47,独特、不错、很大、厚重、充满、苦难、巧妙、便宜、豁达、保洁、干净、连续、耐心、成功、宏大、很好、配套、幽默、高大、整洁,0.054461
Topic12,138,不错、干净、独特、很棒、很好、确实、不贵、惊艳、合适、配套、遗憾、诚意、卫生、有趣、良心、美好、精美、充裕、善良、简单,0.15991
Topic13,50,惊喜、友好、很好、特效、独特、不错、干净、合适、珍惜、快乐、便宜、宏大、确实、挺大、配套、保洁、热闹、厉害、美好、漂亮,0.057937
Topic14,30,有趣、不错、苦难、遗憾、不好意思、精致、很大、很足、干净、新颖、浪漫、有尬、最多、热闹、漂亮、害羞、厚重、客满、很好、合适,0.034762
