word1,word2,weight
自己,工作,106
没有,工作,101
自己,生活,82
自己,感觉,76
自己,别人,76
自己,焦虑,74
没有,生活,74
自己,事情,69
感觉,没有,68
焦虑,没有,68
自己,一直,68
自己,问题,67
自己,朋友,67
别人,没有,66
一直,没有,65
没有,问题,64
事情,没有,63
焦虑,工作,63
自己,不能,63
没有,不能,60
自己,如果,60
没有,朋友,57
事情,工作,57
自己,孩子,56
问题,工作,55
工作,生活,54
自己,每天,52
一直,工作,52
感觉,工作,51
如果,没有,51
事情,生活,51
自己,努力,51
别人,工作,50
自己,不想,50
别人,生活,49
没有,每天,48
孩子,没有,48
自己,压力,48
焦虑,生活,48
工作,不能,48
自己,希望,48
希望,没有,46
没有,结果,46
如果,工作,46
工作,朋友,46
自己,结果,45
自己,学习,45
如果,生活,44
自己,总是,44
没有,压力,44
没有,不想,44
焦虑,事情,44
自己,能力,44
努力,没有,44
自己,状态,43
没有,状态,43
事情,问题,43
自己,选择,43
没有,选择,42
自己,比较,42
事情,如果,42
感觉,焦虑,42
焦虑,问题,42
自己,家里,41
感觉,生活,41
自己,害怕,41
生活,不能,41
每天,工作,41
感觉,事情,41
问题,生活,40
选择,工作,40
压力,工作,40
工作,结果,40
感觉,别人,40
焦虑,一直,40
事情,别人,40
问题,不能,40
自己,情绪,40
没有,比较,40
感觉,不想,40
如果,问题,39
没有,学习,39
一直,生活,39
生活,朋友,39
自己,担心,39
自己,父母,39
焦虑,如果,39
焦虑,别人,38
没有,能力,38
孩子,工作,38
工作,不想,38
感觉,如果,38
自己,经常,38
没有,总是,38
自己,心理,38
别人,朋友,37
别人,问题,37
如果,别人,37
焦虑,压力,37
感觉,一直,37
没有,家里,37
自己,人生,36
努力,工作,36
工作,能力,36
事情,不能,36
没有,改变,36
每天,生活,36
自己,经历,36
一直,事情,36
没有,害怕,36
一直,别人,35
孩子,生活,35
没有,人生,35
感觉,问题,35
焦虑,不能,35
学习,工作,35
没有,父母,35
事情,朋友,35
焦虑,朋友,34
自己,面对,34
感觉,朋友,34
自己,学校,34
自己,痛苦,34
自己,未来,34
工作,担心,34
没有,不敢,34
自己,过去,34
别人,不想,34
自己,改变,34
家里,工作,34
没有,环境,34
工作,状态,33
没有,情绪,33
感觉,压力,33
一直,不能,33
没有,家庭,33
大学,没有,33
一直,朋友,33
焦虑,每天,33
自己,不敢,33
希望,工作,33
自己,大学,33
没有,经常,33
希望,问题,33
没有,心理,33
别人,不能,33
工作,公司,33
如果,不能,33
自己,家庭,33
希望,事情,32
没有,学校,32
感觉,希望,32
工作,比较,32
自己,老师,32
没有,心里,32
没有,未来,32
问题,朋友,32
一直,结果,32
感觉,每天,32
一直,问题,32
没有,痛苦,32
没有,经历,32
问题,能力,31
没有,老师,31
生活,结果,31
压力,问题,31
自己,同学,31
工作,父母,31
孩子,事情,31
焦虑,能力,31
希望,生活,31
事情,总是,31
没有,身体,31
希望,焦虑,31
问题,选择,31
孩子,问题,31
感觉,不能,31
孩子,如果,31
焦虑,比较,30
工作,经历,30
没有,面对,30
希望,如果,30
问题,状态,30
自己,毕业,30
生活,情绪,30
自己,心里,30
没有,公司,30
生活,比较,30
朋友,不能,30
事情,结果,30
压力,生活,30
如果,结果,30
焦虑,结果,30
努力,感觉,30
希望,一直,30
工作,人生,30
环境,工作,30
问题,结果,30
一直,如果,29
孩子,感觉,29
努力,别人,29
压力,不能,29
自己,成绩,29
工作,未来,29
焦虑,环境,29
自己,理解,29
自己,环境,29
事情,学习,29
自己,身体,29
如果,朋友,29
工作,情绪,29
焦虑,担心,29
事情,状态,28
工作,总是,28
自己,公司,28
别人,总是,28
学习,问题,28
自己,更好,28
没有,担心,28
结果,不能,28
不能,比较,28
焦虑,学习,28
努力,焦虑,28
焦虑,选择,28
努力,事情,28
同学,没有,28
工作,面对,28
希望,别人,28
工作,经常,28
工作,心理,28
人生,生活,28
没有,过去,28
孩子,焦虑,28
自己,地方,28
焦虑,人生,28
毕业,没有,28
没有,地方,28
生活,不想,28
没有,现实,27
努力,一直,27
没有,结婚,27
如果,选择,27
事情,不想,27
别人,压力,27
别人,学习,27
如果,压力,27
别人,不敢,27
自己,关系,27
毕业,工作,27
生活,状态,27
问题,不想,27
自己,现实,27
生活,心理,27
如果,担心,27
事情,面对,27
孩子,别人,27
工作,害怕,27
生活,经常,27
生活,总是,27
成绩,没有,27
孩子,一直,27
如果,不想,27
努力,问题,27
生活,能力,27
如果,能力,27
自己,遇到,26
别人,能力,26
别人,每天,26
自己,内心,26
自己,目标,26
孩子,希望,26
自己,一切,26
生活,经历,26
感觉,总是,26
希望,不能,26
孩子,父母,26
一年,工作,26
自己,紧张,26
自己,开心,26
如果,人生,26
生活,身体,26
别人,经常,26
焦虑,面对,26
自己,妈妈,26
别人,结果,26
如果,状态,26
学习,生活,26
事情,能力,26
事情,每天,26
自己,自我,26
自己,世界,26
问题,每天,26
自己,恐惧,26
工作,结婚,26
自己,方式,26
自己,结婚,25
别人,害怕,25
事情,压力,25
问题,比较,25
别人,比较,25
问题,担心,25
事情,选择,25
事情,比较,25
别人,选择,25
自己,严重,25
努力,不能,25
没有,在家,25
问题,心理,25
没有,上班,25
别人,状态,25
生活,父母,25
成绩,工作,25
事情,过去,25
工作,不敢,25
焦虑,总是,25
没有,一年,25
焦虑,经历,25
自己,不行,25
自己,感受,25
自己,一年,25
自己,机会,25
情绪,不能,25
如果,情绪,25
焦虑,父母,25
没有,世界,25
自己,社会,25
改变,生活,25
焦虑,心理,25
自己,成功,25
焦虑,情绪,25
自己,意义,25
自己,接受,25
生活,未来,25
感觉,选择,25
朋友,不想,25
孩子,不能,25
工作,身体,25
焦虑,状态,25
事情,情绪,25
家庭,工作,25
感觉,能力,24
学校,工作,24
朋友,结果,24
没有,方式,24
家庭,生活,24
每天,不能,24
意义,没有,24
压力,比较,24
大学,工作,24
问题,面对,24
问题,总是,24
生活,面对,24
事情,担心,24
问题,经历,24
努力,生活,24
一直,状态,24
自己,想法,24
自己,专业,24
问题,经常,24
自己,不断,24
事情,经历,24
事情,经常,24
问题,不敢,24
事情,人生,24
问题,环境,24
自己,永远,24
理解,没有,24
感觉,担心,24
自己,上班,24
感觉,学习,24
感觉,结果,24
没有,领导,24
自己,社交,24
自己,怎么办,24
生活,担心,24
结果,能力,24
感觉,家里,24
如果,心理,24
压力,选择,24
别人,担心,24
不能,不想,24
感觉,老师,24
如果,不敢,24
焦虑,未来,24
痛苦,生活,24
工作,领导,24
不能,能力,24
压力,朋友,24
一直,能力,24
选择,生活,24
没有,严重,24
工作,不断,24
状态,不能,24
没有,关系,24
工作,上班,24
一直,压力,24
别人,经历,24
改变,工作,24
如果,总是,24
每天,朋友,23
如果,经历,23
一直,家里,23
没有,目标,23
如果,经常,23
自己,在家,23
问题,父母,23
没有,更好,23
问题,人生,23
过去,工作,23
自己,精神,23
努力,如果,23
没有,怎么办,23
焦虑,目标,23
选择,不能,23
别人,人生,23
工作,痛苦,23
感觉,改变,23
自己,关注,23
学校,问题,23
自己,领导,23
别人,情绪,23
没有,开心,23
自己,失败,23
同学,工作,23
事情,心理,23
焦虑,公司,23
没有,机会,23
没有,永远,23
事情,环境,23
总是,不能,23
事情,未来,23
没有,内心,23
工作,老师,23
自己,不同,23
没有,精神,23
没有,妈妈,23
担心,不能,23
机会,工作,23
自己,方法,23
孩子,选择,23
一直,未来,23
