所属主题,文章数量,特征词,主题强度
Topic0,34,房间、环境、老板、不错、设施、舒服、入住、干净、民宿、位置、泳池、感觉、贴心、酒店、卫生、朋友、喜欢、押金、烧烤、院子、清爽、离店、整体、地理位置、提供、姐妹、好看、还给、充足、孩子、咖啡厅、窗户、风格、出行、打卡、接触、装修、解决、店家、灰尘、惬意、宽敞、完善、坡子、服务态度、退房、阳台、吃饭、适合、房东、住宿、耳塞、细节、蒸汽、推荐、眼罩、体验、情屋、垃圾、朋友圈、提醒、放在、投影仪、家具用品、周到、好像、书桌、创意、椅子、微风、库房、车程、询问、搭理、商业街、中心、亲肤、闯进、床头、管家、床单、宗街、打听、清洁卫生、选错、印象、地铁、腔调、品味、回复、小风、用心、退回、睡觉、一大、楼房、看得出、小店、代名词、亮点,0.050074
Topic1,72,环境、民宿、房间、酒店、设施、干净、卫生、舒服、前台、热情、位置、推荐、江景、适合、不错、选择、风格、态度、装修、满意、舒适、好吃、下午茶、管家、打卡、早餐、整洁、烧烤、喜欢、洗衣机、交通、对面、感觉、开心、机会、老板娘、入住、干湿、床品、惬意、好闻、盟重、回复、友好、泳池、味道、很大、解决、小吃、智能、店家、客人、分离、值得、冰箱、朋友、体验、拍照、老板、时间、地道、冬瓜、闹市、全屋、热闹、坐在、蒸饺、距离、窗户、可惜、情侣、酒吧、布料、天花板、地铁、网红、嚣张、品质、不用、咖啡、餐厅、宠物、粉面、浴缸、咖啡馆、夜市、粉店、首选、价格、住宿、小朋友、耐心、特色、遗憾、角落、不到、提供、美景、出行、贴心,0.10604
Topic2,34,房间、干净、民宿、入住、卫生、店家、老板、行李、位置、满意、热情、体验、不错、好看、设施、厕所、推荐、酒店、地铁站、装修、喜欢、清洁、态度、退房、客服、攻略、解决、国金、整体、步行、提供、便利、风格、公寓、电梯、选择、服务态度、打扫、价格、环境、客人、管家、协商、友好、携程、打开、特色、距离、照片、出行、交通、性价比、总体、贴心、异味、拍照、便利店、烧烤、收拾、值得、被子、地铁口、下午茶、前台、电话、弄堂、帮忙、洗衣机、阳台、接受、情况、好评、宗街、沟通、发现、经历、整洁、咖啡厅、费用、尊重、蜗牛、院子、感受、给予、点点、公交、正好、火车、独立、房卡、剃须刀、直通、简单、酒吧、麻烦、划伤、回到、有没有、粉店、投影仪,0.050074
Topic3,36,房间、民宿、老板、满意、热情、干净、院子、推荐、不错、卫生、设施、体验、蜗牛、环境、打扫、装修、地理位置、值得、行李、喜欢、舒服、很棒、洗衣机、服务员、外卖、咖啡、距离、泳池、细节、预订、品味、客服、地方、适合、提前、下午茶、亲切、灰尘、天气、效果、情况、很火、肯定、确实、拉满、离开、小院、态度、提醒、家具、店家、商圈、便宜、卫生间、用心、规矩、格调、预定、住宿、咖啡店、前台、配套、价格、巷子、耐心、江景、酒店、出行、冰箱、打卡、冬瓜、服务态度、地铁站、出门、位置、交通、给送、走进、收到、外溢、宿舍、太火、纠结、选房、无比、窗户、喧嚣、高标准、时间、挑毛病、隔离、护发素、喧哗、惊喜、糊弄、消防局、号线、酒水、坐在、界面,0.053019
Topic4,34,环境、不错、满意、房间、民宿、舒适、入住、地理位置、风景、干净、位置、整洁、景色、图片、解决、机会、选择、出行、到位、房东、推荐、地段、很棒、要住、吃饭、日式、牛奶、过关、姐姐、环境卫生、出门、面包、完备、提供、回并、开心、妥妥、落地窗、很漂亮、院子、好评、管家、责任、粉面、可观、客服、吧台、失望、整体、垃圾、感受、泳池、收藏、惊喜、布置、墙裂、咖啡、开阔、取近、出入、再见、大气、冰粉、住店、灯光、品质、餐食、办理手续、点心、自助、烧烤、公寓、说法、适合、超值、一条街、确实、店家、给出、主打、视野、大树、风格、性价比、觉对、市中心、很大、景点、便利、设施、宽敞、肯定、送来、酒店、帮忙、休息、格调、感觉、柔和、打扫,0.050074
Topic5,43,干净、卫生、房间、管家、位置、入住、酒店、环境、适合、整洁、民宿、洗衣机、冰箱、早餐、地理位置、舒服、不错、出行、感觉、热情、水果、贴心、地方、服务态度、浴缸、照片、好吃、走路、老板、推荐、选择、设施、风格、洗脸、蒸汽、朋友、精致、下雨天、地铁、投影仪、点心、对面、姐妹、距离、拍照、居住、公交车站、体验、值得、兄弟、放松、下午茶、舒适、出片、送来、提供、下楼、眼罩、到位、友好、喜欢、好看、耳塞、出差、挺好、失望、漏掉、接送、通风、干静、电影、配备、丫头、床上、红枣、宠物、小酒馆、工作人员、糖水、房型、衣帽间、饭店、商业街、解决问题、毛孩子、不用、不太好、时间、全身、解答、信息、小吃、满满、拍摄、好评、洗手间、氛围、烟花、电动车、帆布袋,0.063328
Topic6,61,不错、干净、满意、房间、环境、舒服、房东、贴心、民宿、卫生、下午茶、推荐、性价比、交通、客服、朋友、位置、热情、酒店设施、行李、老板娘、房子、地铁口、投影、喜欢、整洁、地理位置、酒店、名宿、打车、很大、双人、女生、穿出去、预约、吃饭、超有、闺蜜、对面、重点、隔音、携带、不用、电梯、面包、时尚、选择、电视、服务员、游玩、愉快、地铁、美食、巨幅、后巷、庭院、热心、摆设、小孩子、好吃、下雨、设施、亲切感、密码锁、房卡、提供、吝啬、浴室、喷得、回头客、提前、生活用品、公寓、洗衣服、安排、拍照、公交车、需求、担心、超高、房主、登记、玻璃门、小酒馆、泳池、拿到、投屏、出炉、日式、攻略、店家、逛街、咖啡厅、治愈、文和友、开房、起床、步行、小哥、布置,0.089838
Topic7,115,房间、干净、卫生、老板、入住、环境、民宿、地理位置、推荐、酒店、设施、舒服、满意、装修、交通、热情、感觉、很大、整洁、拍照、好吃、贴心、洗衣机、位置、性价比、住宿、冰箱、小吃、朋友、浴缸、服务态度、不错、美食、帮忙、攻略、价格、江景、早餐、适合、泳池、床品、打扫、地方、介绍、前台、环境优美、舒适、便利、巷子、空间、市中心、好看、房东、店家、出行、很漂亮、小哥、管家、网红、不太好、拖鞋、缺点、浴室、氛围、隔音、商圈、厨房、投影仪、退房、味道、走路、停车、解决、很棒、距离、周到、总体、宽敞、步行、惊喜、机会、体验、地铁站、正街、泡澡、看得出、麻烦、耳塞、出门、温暖、耐心、标注、足够、配套、床边、露台、饭店、卫生条件、污渍、宗街,0.16937
Topic8,76,房间、不错、环境、干净、位置、舒服、舒适、民宿、地方、入住、酒店、整洁、拍照、卫生、好吃、感觉、交通、装修、设施、地铁、选择、管家、很棒、出行、服务态度、路线、老板娘、外卖、耐心、冬瓜、图片、一楼、好喝、整体、阳台、好找、客服、好看、到位、咖啡、体验、正好、小吃街、坡子、喜欢、满意、适合、店家、国金、确实、视野、大厅、细节、衣服、提前、市中心、工作人员、打卡、对面、早餐、冰箱、很大、泳池、味道、完美、会儿、休息、退房、楼梯、客栈、床垫、电梯、打扫、建议、环境卫生、情况、自助、告诉、房东、风格、围炉、住宿、夜景、热闹、机会、便利、民俗、走动、煮茶、下午茶、吃饭、老板、地理位置、夜市、好评、霸王、人会、日式、事业、游客,0.11193
Topic9,53,房间、民宿、不错、老板、推荐、干净、入住、风格、喜欢、位置、体验、地理位置、装修、好吃、卫生、马桶、步行街、智能、朋友、出行、舒服、环境、退房、好玩、放心、适合、设施、热情、靠近、不到、夜景、江景、舒适、楼梯、担心、贴心、整洁、广场、兄弟、行李、很大、地方、酒店、前台、交通、攻略、值得、地铁站、景点、配置、感动、住宿、走路、夫妻、回来、找到、小米、感觉、帮忙、完美、市中心、中心、餐馆、大床、国金、打车、无敌、拍照、地铁、超大、好看、浴缸、宽敞、潮牌、满意、细节、咖啡、隔音、情侣、不用、打卡、便利、管家、好喝、艺术、原木、满满、布置、很爽、快乐、店家、节奏、图书室、产品、定位、符合、不行、开过、分享、露台,0.078056
