内容,主题概率,主题类型
巴厘岛 愉快 客服 团队 导游 解决 旅游 各项 需求 自选 泳池 别墅 雅娜 赛格 酒店 满意 中午 到达 巴厘岛 航班 多出 大半天 时间 休息 当天 升级 全天 包车 飞机 滑翔 滑翔 巴兰 海滩 落日 吃海鲜 放松 修复 机场 感觉 饱满 充实,"[(1, 0.8520654), (4, 0.13186574)]",1
老父亲 第一次 出国 旅游 老父亲 比较满意 巴厘岛 导游 司机 服务 满意度 辛苦,"[(0, 0.012949589), (1, 0.93530154), (2, 0.012946268), (3, 0.012905257), (4, 0.012968009), (5, 0.0129293315)]",1
比较满意 巴厘岛 五天 七天 下雨 行程 泡汤 几天 天气 黑黑的 轻微 晒伤 景色 随手 好看 导游 娜娜 推荐 唯一 不好 漂流 很脏 漂流 河水 好多 估计 臭臭 漂流 教练 态度 不好 卡住 发脾气 几次 船桨 使劲 河水 妈妈 吓到,"[(4, 0.13138883), (5, 0.85177916)]",5
游玩 行程 算下来 两天 客服 人员 核对 行程 项目 提前 导游 沟通 凌晨 一点 导游 慧慧 司机 大哥 机场 等待 办理 出关 行程 游玩 两天 时间 时间 玩耍 导游 旅行社 安排 自费 项目 人性化 自由 时间 酒店 泳池 沙滩 妥妥 酒店 很大 沙滩 晕车 不爽 第一天 特别 难受 下午 梯田 自愿 放弃 第四天 挑选 自费 漂流 包含 漂流 秋千 两顿 导游 司机 耐心 提醒 开窗 停车 休息 很烦 时间 几天 餐食 说实话 中餐厅 选择 异国他乡 胃口,"[(1, 0.094616555), (4, 0.896656)]",4
行程 完美 行程 原因 入住 两家 酒店 服务 满意 第一家 安瓦雅 海滩 度假 酒店 入住 期间 卫生间 一块 掉下来 险些 母亲 酒店 情况 照说 会事 反馈 第二天 退房 酒店 没人 交代 导游 酒店 交涉 酒店 不明 缘由 推脱 调查 情况 怀疑 生气 行程 安排 前往 第二家 酒店 办理 入住 不想 纠缠 这家 酒店 服务 第二家 巴兰 酒店 入住 护照 前台 只能 一间 生气 携程 一间 携程 客服 沟通 过后 查不到 一间 订单 只能 一间 没想到 退房 酒店 查到 一间 名下 入住 房间 期间 携程 酒店 沟通 对接 带来 很大 不必要 麻烦 困扰 房款 事宜 增加 麻烦 满意,"[(1, 0.1804215), (4, 0.8126934)]",4
导游 接到 服务 特别 特别 细心 全程 下车 上车 提前 开车 行程 不用 排队 提前 安排 司机 开车 特别 做事 负责 帮忙 行李 全程 操心 导游 安排 开心 旅行 照片 导游 专业 摄影师 喜欢,"[(4, 0.97599214)]",4
行程 安排 七天 时间 充裕 的必 景点 说实话 算不上 景点 啥样 三天 自由 导游 阿荣 推荐 总统 俱乐部 悬崖 酒吧 两个 地方 巴厘 地方 五星 好评 总统 俱乐部 沙滩 超级 悬崖 酒吧 日落 感觉 特别 蓝梦岛 失望 样子 名气 期望 有一 晚在 巴兰 海滩 吃海鲜 晚餐 日落 气氛 环境 海鲜 挺贵 五个 东西 酒店 乡村 别墅 条件 厕所 浴缸 露天 那种 植物 导致 虫子 希尔顿 度假村 房间 服务 早餐 很棒 沙滩 不好 机场 那晚 希尔顿 花园酒店 房间 设施 泳池,"[(4, 0.98947537)]",4
满意 张弛 有度 特别 巴厘岛 度假 类型 行程 完美 诠释 度假 舒服 要说 感谢 客服 携程 李妍 小姐姐 温柔 尽职尽责 说真的 产品 售后 满意 感觉 办法 每次 李妍 小姐姐 小姐姐 每次 及时处理 适适 记不得 麻烦 每次 热情 很小 一件 感谢 巴厘岛 导游 黄伟翔 真的 多年 出游 当得上 第一 导游 负责 舒适 服务态度 满意 行程 不解 负责 行程 想加 行程 项目 最快 对接 有事 小时 服务 老婆 蚂蚁 医院 满头大汗 体贴 喝水 零零碎碎 细节 感受 深刻 强烈推荐 抱团 朋友 导游 行程 真的 满意 瑕疵 产品 售后 消息 很慢 事情 手段 回程 转机 时间 安排 不合理 差点 赶不上 成都 飞机 一大 推行 多分钟 跑断 赶上,"[(1, 0.99189)]",1
地导 惠丽 全程 接送 希尔顿酒店 入住 开心 携程 地导 配合 解决 负责,"[(0, 0.012903734), (1, 0.012994538), (2, 0.013026568), (3, 0.37358984), (4, 0.27825308), (5, 0.30923223)]",3
出行 满意 行程 安排 轻松 旅游 度假 样子 酒店 满意 豪华 海景房 真的 漂亮 客服 人员 尽责 安排 售前 售后 出游 期间 客服 团队 出国 旅游 携程 私家,"[(4, 0.9710335)]",4
