所属主题,文章数量,特征词,主题强度
Topic0,1136,导游、行程、安排、领队、携程、时间、满意、不错、特别、景点、旅游、自由、照顾、开心、酒店、感谢、服务、推荐、热情、泰国,0.14277
Topic1,542,行程、导游、安排、不错、领队、旅行、感谢、讲解、开心、司机、新加坡、特别、服务、景点、时间、酒店、清迈、满意、巴厘岛、总体,0.068116
Topic2,302,酒店、导游、行程、真的、满意、特别、不错、巴厘岛、房间、安排、泳池、中文、服务、司机、出行、很棒、市中心、下次、餐厅、度假,0.037954
Topic3,713,酒店、导游、不错、行程、安排、司机、服务、特别、自由、时间、沙滩、热情、巴厘岛、推荐、满意、景点、小时、开心、总体、舒服,0.089607
Topic4,897,酒店、不错、感觉、早餐、时间、总体、珍珠、自由、沙滩、景点、房间、中国、海鲜、价格、便宜、泳池、晚上、整体、推荐、环境,0.11273
Topic5,75,越南、芽庄、不错、酒店、宾馆、国家、导游、海关、自由、成员、感觉、城市、美奈、适合、小费、中国、描述、风景、东西、总体,0.0094257
Topic6,295,酒店、导游、不错、服务、巴厘岛、地方、值得、真的、携程、景点、全程、日落、行程、感觉、体验、沙滩、旅游、推荐、安排、拍照,0.037074
Topic7,607,酒店、新加坡、携程、行程、不错、服务、安排、出行、自由、选择、房间、时间、金沙、马来西亚、满意、景点、环球、影城、孩子、圣淘沙,0.076285
Topic8,1556,导游、行程、安排、酒店、满意、旅行、不错、携程、服务、热情、领队、开心、时间、司机、讲解、总体、周到、中文、耐心、景点,0.19555
Topic9,1425,导游、行程、安排、酒店、特别、不错、满意、开心、服务、热情、感谢、旅行、自由、愉快、照顾、细心、出行、全程、携程、负责,0.17909
Topic10,409,领队、越南、携程、导游、服务、不错、柬埔寨、芽庄、酒店、行程、幽默、选择、风趣、旅行、出行、团友、下次、安排、热情、满意,0.051401
