Source,Target,Type,Weight
时间,昨天,Undirected,112
时间,疫情,Undirected,53
时间,防控,Undirected,80
时间,健康,Undirected,94
时间,公司,Undirected,103
时间,难受,Undirected,110
时间,阳性,Undirected,125
时间,睡觉,Undirected,95
时间,体温,Undirected,106
时间,希望,Undirected,109
时间,一点,Undirected,98
时间,人员,Undirected,124
时间,浑身,Undirected,81
时间,睡不着,Undirected,53
时间,嗓子,Undirected,92
时间,新型,Undirected,61
时间,冠状病毒,Undirected,65
时间,网页,Undirected,36
时间,中国,Undirected,105
昨天,晚上,Undirected,30
昨天,防控,Undirected,9
昨天,健康,Undirected,43
昨天,公司,Undirected,126
昨天,难受,Undirected,24
昨天,情况,Undirected,127
昨天,下午,Undirected,74
昨天,早上,Undirected,113
昨天,发烧,Undirected,66
昨天,感觉,Undirected,1
昨天,工作,Undirected,96
昨天,人员,Undirected,23
昨天,嗓子,Undirected,67
昨天,新型,Undirected,4
昨天,冠状病毒,Undirected,7
昨天,检测,Undirected,104
昨天,咳嗽,Undirected,33
昨天,网页,Undirected,6
昨天,中国,Undirected,12
口罩,晚上,Undirected,27
口罩,疫情,Undirected,58
口罩,核酸,Undirected,98
口罩,症状,Undirected,91
口罩,发烧,Undirected,82
口罩,感觉,Undirected,67
口罩,人员,Undirected,120
口罩,浑身,Undirected,107
口罩,睡不着,Undirected,43
口罩,新型,Undirected,66
口罩,冠状病毒,Undirected,64
口罩,新冠,Undirected,60
口罩,网页,Undirected,50
口罩,中国,Undirected,38
晚上,防控,Undirected,8
晚上,核酸,Undirected,21
晚上,健康,Undirected,62
晚上,病毒,Undirected,63
晚上,抗原,Undirected,5
晚上,早上,Undirected,51
晚上,症状,Undirected,54
晚上,感觉,Undirected,71
晚上,人员,Undirected,34
晚上,感染,Undirected,27
晚上,浑身,Undirected,62
晚上,新型,Undirected,4
晚上,冠状病毒,Undirected,2
晚上,咳嗽,Undirected,24
晚上,网页,Undirected,16
晚上,中国,Undirected,14
