word,counts
疫情,60559
病毒,42150
新冠,41880
感染,39232
健康,20919
症状,19331
中国,16768
真的,16444
疫苗,15939
发烧,15375
核酸,15249
感觉,14780
生活,14419
工作,12816
防控,12417
口罩,11706
医院,11425
检测,11123
患者,10953
服务,10829
放开,10534
情况,10500
国家,10403
希望,10257
抗原,10139
咳嗽,10031
治疗,9756
时间,9439
高峰,9112
明年,9091
接种,8894
研究,8644
更新,8602
隔离,8445
晚上,8387
身体,8333
市场,8226
感冒,8192
增加,8088
河南,7852
朋友,7774
三年,7720
肺炎,7697
美国,7632
做好,7575
提供,7508
人类,7450
难受,7442
发现,7392
公司,7349
病例,7326
新闻,7242
阳性,7156
疾病,7151
人群,7136
小时,7057
死亡,7055
人数,7045
领域,6998
北京,6964
重症,6916
过后,6729
防护,6617
孩子,6585
智能,6580
全国,6496
提高,6494
影响,6469
视频,6454
奥密克,6421
全球,6414
病毒感染,6408
发布,6384
人员,6370
水平,6351
春暖花开,6345
变异,6338
机器人,6319
几天,6291
家里,6278
建议,6224
措施,6203
资源,6186
风险,6116
专家,6071
关注,6049
冠状病毒,6041
回家,6039
技术,6018
昨天,6008
上班,5994
嗓子,5939
药物,5909
居家,5857
数据,5799
卫生,5707
上海,5656
同事,5644
新型,5614
医疗,5599
政策,5584
特别,5583
防疫,5569
能力,5554
发热,5489
免疫,5471
流感,5440
报道,5405
恢复,5354
相关,5345
流行,5267
感染者,5253
状态,5242
都阳,5242
期间,5228
知识,5226
一点,5224
月份,5106
医生,5087
取消,5067
导致,5019
制造,5005
有人,4981
客服,4971
保护,4910
结束,4880
发生,4857
身边,4839
传播,4794
毒株,4781
老人,4736
经济,4731
系统,4687
安全性,4674
学校,4665
发展,4658
文明,4649
官方,4645
两个,4634
城市,4626
商品,4625
积累,4551
世界,4541
阳了,4521
追求,4518
广州,4484
下午,4477
社会,4449
预防,4436
特斯拉,4422
舒服,4421
一种,4404
微博,4403
环保,4384
持续,4380
无锡,4333
常州,4315
无症状,4252
舒适性,4252
基础,4246
热能,4242
喜欢,4231
调整,4222
热线,4211
担心,4207
妈妈,4142
包括,4135
体温,4048
终于,4040
好像,4025
早上,4009
我阳,4002
作贡,3991
链接,3980
医疗系统,3979
两天,3972
免疫力,3932
一级,3914
出门,3884
地方,3882
高峰会,3871
电话,3868
一二,3867
老年人,3853
平复,3844
大象,3844
全省,3836
东西,3835
产品,3806
重点,3805
科学,3798
从现在起,3787
在家,3746
价格,3726
网页,3725
不想,3719
阴性,3699
只能,3682
浑身,3678
下降,3665
