Word1,Word2,Weight
疫情,无症状,51
疫情,人员,116
疫情,防控,57
疫情,确诊,66
疫情,病例,85
疫情,工作,15
疫情,政策,82
疫情,死亡,40
疫情,感染,33
疫情,人生,55
疫情,学校,92
疫情,时间,13
疫情,疫苗,94
疫情,检测,110
疫情,接种,17
疫情,关系,83
疫情,发现,14
疫情,病毒,60
疫情,喜欢,89
疫情,世界,26
疫情,代表,74
疫情,趋势,17
疫情,行情,81
疫情,影响,58
疫情,生命,16
疫情,走势,14
疫情,市场,31
疫情,反弹,11
疫情,指数,56
疫情,预期,120
疫情,下跌,51
疫情,能量,69
疫情,未知,39
疫情,经济,90
疫情,阳性,83
疫情,震荡,23
疫情,板块,106
疫情,资金,34
疫情,作用,10
疫情,有人,66
疫情,家里,125
疫情,婚姻,22
疫情,大道,85
疫情,阴阳,95
疫情,中医,84
疫情,阳气,34
疫情,中药,101
疫情,万物,88
疫情,中国,57
疫情,企业,79
疫情,服务,1
疫情,天地,26
疫情,女人,47
疫情,患者,23
疫情,疾病,102
疫情,医疗,11
疫情,股价,124
疫情,日子,117
疫情,输入,55
疫情,治疗,25
疫情,都阳,86
疫情,社区,66
疫情,老师,114
疫情,阳华,2
疫情,山东,124
疫情,临床,59
疫情,出生,118
疫情,哈哈哈哈,47
疫情,男人,51
疫情,也阳了,32
疫情,上门,111
疫情,又阳,39
疫情,呜呜,35
疫情,辖区,68
疫情,干嘛,83
疫情,安然,43
疫情,保定,95
朋友,新冠,67
朋友,感染者,88
朋友,人员,51
朋友,防控,19
朋友,调整,22
朋友,隔离,47
朋友,措施,75
朋友,病例,37
朋友,公司,18
朋友,咳嗽,97
朋友,疫苗,30
朋友,数据,11
朋友,关系,77
朋友,发现,4
朋友,病毒,117
朋友,世界,43
朋友,代表,27
朋友,自然,47
朋友,感觉,110
朋友,影响,120
朋友,生命,58
朋友,走势,85
朋友,指数,35
朋友,下跌,74
朋友,身体,107
朋友,隔壁,53
朋友,人类,12
朋友,未知,60
朋友,经济,90
朋友,突破,108
朋友,震荡,91
朋友,板块,32
朋友,资金,38
朋友,股票,41
朋友,作用,38
朋友,有人,58
朋友,家里,74
朋友,婚姻,114
朋友,大道,64
朋友,症状,45
朋友,中医,17
朋友,温暖,15
朋友,中药,123
朋友,昨天,24
朋友,万物,80
朋友,服务,127
朋友,防疫,59
朋友,女人,111
朋友,患者,52
朋友,疾病,108
朋友,医院,55
朋友,放开,6
朋友,精神,1
朋友,股价,76
朋友,日子,114
朋友,保护,118
朋友,好好,102
朋友,境外,63
朋友,治疗,20
朋友,都阳,78
朋友,老师,71
朋友,阳华,37
朋友,山东,51
朋友,感冒,36
朋友,临床,124
朋友,办事处,19
朋友,出生,92
朋友,三年,9
朋友,爸爸,93
朋友,哈哈哈哈,48
朋友,重庆,113
朋友,男人,99
朋友,也阳了,36
朋友,上门,81
朋友,又阳,17
朋友,呜呜,33
朋友,干嘛,28
朋友,文字,113
朋友,安然,12
朋友,行者,25
朋友,保定,36
,新冠,117
,肺炎,51
,防控,122
,调整,24
,核酸,5
,隔离,51
,措施,111
,学生,77
,公司,25
,工作,127
,人生,24
,向阳,39
,身边,14
,做好,34
,国家,5
,研究,84
,时间,121
,疫苗,46
,风险,29
,数据,52
,发现,65
,喜欢,118
,感觉,95
,趋势,126
,上涨,27
,阳线,97
,市场,6
,反弹,120
,一线,18
,身体,8
,隔壁,97
,能量,76
,未知,66
,突破,58
,资金,29
,大盘,123
,作用,48
,有人,103
,婚姻,102
,大道,108
,阴阳,92
,症状,103
,中医,40
,生活,4
,药物,56
,阳气,23
,中药,37
,万物,84
,中国,51
,企业,44
,服务,63
,防疫,41
,女人,92
,医院,53
,医疗,29
,精神,6
,保护,62
,永远,79
,好好,48
,境外,87
,方舱,51
,治疗,70
,老师,34
,重症,121
,回家,95
,意识,83
,阳华,78
,街道,86
,好多,56
,重庆,19
,也阳了,123
,上门,72
,又阳,21
,辖区,121
,文字,11
,保定,13
新冠,肺炎,6
新冠,核酸,105
新冠,隔离,18
新冠,病例,37
新冠,工作,66
新冠,死亡,70
新冠,感染,88
新冠,向阳,54
新冠,咳嗽,10
新冠,做好,28
新冠,研究,62
新冠,接种,95
新冠,关系,90
新冠,发现,11
新冠,病毒,62
新冠,世界,90
新冠,代表,121
新冠,感觉,37
新冠,行情,126
新冠,阳线,45
新冠,生命,33
新冠,指数,95
新冠,预期,93
新冠,东西,52
新冠,隔壁,51
新冠,小区,23
新冠,人类,61
新冠,发展,85
新冠,老年人,15
新冠,阳性,21
新冠,突破,7
新冠,资金,50
新冠,大盘,94
新冠,变化,97
新冠,婚姻,5
新冠,不好,10
新冠,阴阳,50
新冠,症状,91
新冠,药物,3
新冠,阳气,27
新冠,温暖,102
新冠,中药,21
新冠,万物,20
新冠,中国,4
新冠,服务,110
新冠,广州,111
新冠,抗疫,104
新冠,防疫,24
新冠,女人,14
新冠,患者,1
新冠,医院,102
新冠,医疗,14
新冠,放开,23
新冠,股价,80
新冠,日子,47
新冠,境外,64
新冠,方舱,60
新冠,治疗,120
新冠,都阳,45
新冠,重症,111
新冠,打电话,80
新冠,意识,118
新冠,还好,77
新冠,优化,32
新冠,感冒,8
新冠,好多,127
新冠,临床,97
新冠,办事处,114
新冠,出生,57
新冠,爸爸,42
新冠,哈哈哈哈,12
新冠,重庆,122
新冠,男人,19
新冠,也阳了,29
新冠,又阳,32
新冠,呜呜,2
新冠,干嘛,38
新冠,文字,53
新冠,安然,16
新冠,行者,66
新冠,保定,41
肺炎,无症状,69
肺炎,感染者,18
肺炎,人员,78
肺炎,隔离,35
肺炎,学生,79
肺炎,确诊,115
肺炎,病例,44
肺炎,公司,15
肺炎,工作,99
肺炎,死亡,85
肺炎,感染,112
肺炎,人生,60
