Word1,Word2,Weight
时间,昨天,112
时间,,57
时间,疫情,53
时间,防控,80
时间,健康,94
时间,公司,103
时间,难受,110
时间,阳性,125
时间,睡觉,95
时间,体温,106
时间,希望,109
时间,一点,98
时间,人员,124
时间,浑身,81
时间,睡不着,53
时间,嗓子,92
时间,新型,61
时间,冠状病毒,65
时间,网页,36
时间,中国,105
昨天,晚上,30
昨天,防控,9
昨天,健康,43
昨天,公司,126
昨天,难受,24
昨天,情况,127
昨天,下午,74
昨天,早上,113
昨天,发烧,66
昨天,感觉,1
昨天,工作,96
昨天,人员,23
昨天,嗓子,67
昨天,新型,4
昨天,冠状病毒,7
昨天,检测,104
昨天,咳嗽,33
昨天,网页,6
昨天,中国,12
口罩,晚上,27
口罩,疫情,58
口罩,核酸,98
口罩,症状,91
口罩,发烧,82
口罩,感觉,67
口罩,人员,120
口罩,浑身,107
口罩,睡不着,43
口罩,新型,66
口罩,冠状病毒,64
口罩,新冠,60
口罩,网页,50
口罩,中国,38
晚上,防控,8
晚上,核酸,21
晚上,健康,62
晚上,病毒,63
晚上,抗原,5
晚上,早上,51
晚上,症状,54
晚上,感觉,71
晚上,人员,34
晚上,感染,27
晚上,浑身,62
晚上,新型,4
晚上,冠状病毒,2
晚上,咳嗽,24
晚上,网页,16
晚上,中国,14
,小时,44
,感冒,120
,情况,44
,下午,84
,医院,115
,阳性,18
,病毒,3
,睡觉,23
,几天,110
,体温,11
,希望,85
,早上,88
,人员,41
,浑身,94
,嗓子,45
,新型,95
,新冠,59
,咳嗽,91
疫情,防控,101
疫情,小时,24
疫情,核酸,71
疫情,感冒,31
疫情,医院,35
疫情,阳性,63
疫情,病毒,103
疫情,睡觉,105
疫情,体温,101
疫情,希望,37
疫情,症状,108
疫情,感觉,10
疫情,人员,103
疫情,浑身,95
疫情,睡不着,56
疫情,嗓子,114
疫情,新型,17
疫情,冠状病毒,34
疫情,新冠,31
疫情,网页,27
防控,小时,93
防控,公司,36
防控,感冒,38
防控,难受,8
防控,情况,117
防控,下午,16
防控,医院,75
防控,阳性,91
防控,睡觉,7
防控,几天,14
防控,体温,11
防控,希望,19
防控,早上,10
防控,一点,11
防控,症状,88
防控,发烧,15
防控,感觉,20
防控,工作,4
防控,浑身,4
防控,睡不着,1
防控,嗓子,4
防控,新型,5
防控,冠状病毒,5
防控,新冠,113
防控,检测,2
防控,咳嗽,35
防控,网页,100
防控,中国,44
小时,健康,116
小时,难受,18
小时,睡觉,12
小时,体温,75
小时,抗原,100
小时,早上,54
