word,counts
疫情,117719
核酸,60106
防控,59523
病毒,54632
新冠,51470
感染者,48858
病例,47884
检测,45344
人员,41123
肖战,40346
隔离,37443
肺炎,35871
工作,32913
无症状,32532
新增,31548
风险,30713
确诊,29858
发现,26125
阳性,25635
感染,24505
健康,21928
措施,21712
真的,21264
喜欢,21222
时间,20847
疫苗,20569
社区,20181
生活,20114
本土,19825
冠状病毒,18799
情况,18782
小区,18699
管控,18536
新型,18160
报告,17785
中国,17073
市场,16408
街道,16318
治疗,15562
区域,15382
调整,15322
输入,15072
防疫,14957
做好,14840
希望,14534
症状,14525
口罩,14228
美国,14122
视频,13692
相关,13672
传播,13575
国家,13456
死亡,12777
社会,12489
境外,12402
医院,12378
影响,12353
管理,12260
患者,12140
朋友,12016
研究,11907
小时,11749
筛查,11548
链接,11460
感觉,11349
发布,11307
世界,11275
接种,11091
高风险,10980
网页,10886
反弹,10681
指挥部,10640
北京,10622
微博,10595
活动,10521
居家,10502
一种,10461
公司,10333
落实,10126
关注,10115
向阳,10073
身体,9965
配合,9852
发展,9607
疾病,9601
发生,9558
上涨,9521
孩子,9516
板块,9473
采样,9449
学校,9433
地方,9234
新闻,9209
导致,9101
累计,9096
服务,8989
上海,8963
政策,8954
指数,8953
阴性,8926
中医,8902
重点,8870
期间,8827
数据,8816
有人,8798
两个,8555
防护,8525
昨天,8413
医学观察,8358
未来,8188
特别,8116
经济,8067
持续,8021
结束,7972
阳线,7913
通告,7895
信息,7744
大盘,7694
支持,7664
居民,7663
地区,7604
行情,7595
中心,7558
科学,7498
主动,7350
人群,7281
一点,7280
明天,7254
变异,7133
震荡,7121
聚集,7086
方案,7030
事情,6965
作用,6961
第一,6929
资金,6928
密切接触,6900
生命,6786
连续,6699
密接,6692
证明,6679
场所,6658
原因,6612
技术,6585
诊断,6521
放开,6506
通知,6495
全球,6474
机会,6449
下跌,6447
进一步,6431
医疗,6410
努力,6403
包括,6402
今日,6397
增加,6396
人生,6375
过程,6372
单位,6309
市民,6294
观察,6280
选择,6186
解除,6118
出院,6110
单元,6103
阴阳,6099
建议,6096
趋势,6091
阳气,6071
奥密克,6053
东西,6047
保护,6035
保障,6001
群众,5980
回家,5960
消息,5928
表现,5922
重症,5918
理解,5915
突破,5901
方法,5882
居住,5848
应对,5844
走势,5839
发热,5791
城市,5789
状态,5767
压力,5755
变化,5695
能力,5694
只能,5690
情绪,5665
轨迹,5652
永远,5644
政府,5638
自然,5636
国内,5575
感冒,5560
形势,5548
提供,5524
