评论ID,评论文本,翻译-评论文本,fenci,sentiment
@lamanhnewlife,What's your go-to summer drink to stay refreshed and cool?,您的夏季饮料是什么，以保持刷新和凉爽？,饮料 刷新 凉爽,负面
@yukayame,My favourite channel ️️️ love from India 🇮🇳🇮🇳🇮🇳,我最喜欢的频道到印度的爱,喜欢 频道,正面
@AliceRelaxCooking-ob4ih,I really enjoy watching your videos so please post more!,我真的很喜欢观看您的视频，所以请发布更多！,喜欢 观看 视频 发布,正面
@rachenchantakoon9718,ทำอาหารเก่งมากๆเลยค่ะ สวยด้วย เก่งด้วยน่ารักอีกต่างหากfc from thailand,烹饪也很好。,烹饪,正面
@empirekorea,"영상잘보고 갑니다 응원드립니다
계속 좋은 영상 기대할게요!!",我会很好地观看视频。我将继续期待好视频！,我会 很好 观看 视频 期待 视频,正面
@yep9041,"太棒️
凉快",太棒️凉快,太棒 凉快,正面
@산림치유,시원한 여름 음료 감사합니다.,谢您的夏季饮料。,饮料,正面
@sisi_an3789,"Hello, I'm from Indonesia and I never miss the videos you upload",您好，我来自印度尼西亚，我永远不会错过您上传的视频,错过 上传 视频,正面
@yue_9598,待ってました,我一直在等待,等待,正面
@Esme_0w0,I need these recipes!! All of them look so pretty and delicious,我需要这些食谱！他们所有人看起来都很漂亮,食谱 所有人 很漂亮,正面
@SCP-II45I4-JP,柘榴とミント、マンゴーを使った飲み物が特に美味しそうです️,使用石榴，薄荷和芒果的饮料看起来特别美味。,石榴 薄荷 芒果 饮料,正面
@user-qr7ww8dy3j,맛있게 보여요. 한번 마시고싶어요,看起来很好吃。我想喝一次,好吃,正面
@user-de9qh8tk1p,Привет Хозяйка Молодец Браво Сохранил блюда,你好情妇做得好勇敢地保存的菜肴,情妇 做得好 勇敢 保存 菜肴,正面
@hcambo5373,Beautiful work,美丽的作品,作品,正面
@joyi2868,"哇看起來都好棒啊！
尤其是楊枝甘露，我最喜歡的飲品之一",哇看起来都好棒啊！尤其是杨枝甘露，我最喜欢的饮品之一,甘露 喜欢 饮品,正面
@anarmehta9098,Nice cool drinks,不错的酷饮料,不错 饮料,正面
@user-py5iu4xl6f,暑い日が続いて、冷たいドリンクは、とても、飲みたい。,炎热的一天之后，我真的很想喝冷饮。,炎热 冷饮,正面
@RamyaRamyaa-yp6mj,Hi am lndia  from thamil naadu  my favourite channel,我是来自泰米尔纳德邦的印度人，我最喜欢的频道,喜欢 频道,正面
@oliviawingate97,Refreshing great Summertime Drinks,凉爽的夏季饮料,凉爽 饮料,正面
@BuildingFuture,"Nhìn đẹp và hấp dẫn quá cô ạ,",看起来如此美丽和吸引人，,吸引,正面
@Phuongtungfarm,"Your videos are great, I love watching your videos!",您的视频很棒，我喜欢观看您的视频！,视频 很棒 喜欢 观看 视频,正面
@Bellisong,"So lucky, here with coolest winter in years from Chile with love",很幸运，多年来智利与爱的冬天最酷的冬天,幸运 最酷,正面
@RubnMorDz007,Perfect how ever,完美的状态,完美 状态,正面
@glacousxx,Everything looks delicious.,一切看起来都很好吃。,好吃,正面
@manasukanasu3959,Really enjoying ur videos pls do upload more videos,真的很喜欢您的视频，请上传更多视频,喜欢 视频 上传 视频,正面
@King74431,So cool we love china love from India,很酷，我们爱印度的中国爱,很酷,正面
@Glamst.447,I love your content hello from Texas 🇺🇸,我爱您的内容，来自德克萨斯州🇺🇸,内容,正面
@lawman6399,淨是看見巳經很開心,净是看见巳经很开心,开心,正面
@rambutanito1770,soo yummy drinks!,美味的饮料！,饮料,正面
@Mariia501,"Um grande beijo aqui do Brasil 🇧🇷 
Seus vídeos são incríveis!",来自巴西的大吻🇧🇷您的视频很棒！,大吻 视频 很棒,正面
@GentlemanCave91Vn,amazing video,惊人的视频,惊人 视频,负面
@NaseemZehra-wo3lc,Nice fruit juice,不错的果汁,不错 果汁,正面
@mattapalliradhika9732,I AM ALSO BIG FAN OF HER,我也是她的忠实粉丝,忠实 粉丝,正面
,Rất tuyệt vời chúc bạn ngon miệng,非常希望你好吃,希望 好吃,正面
@nengman807,Everything is perfect,一切都是完美的,完美,正面
@meHoaLife,"I will also make these fruit juices, in the middle of hot summer like this, having a glass to drink is great",我还将在像这样炎热的夏季中制作这些果汁，喝杯很棒,炎热 果汁 喝杯 很棒,正面
@Foodiemoodygirl786,Waow yummy,好吃,好吃,正面
@chauthichi,you are great,你很棒,很棒,正面
@zenycastro3931,"Hi,Im new to your vlog, I enjoy your show",嗨，我是您的视频博客的新手，我喜欢你的节目,视频 新手 喜欢 节目,正面
@user-mc4gl2wp8i,Iam from India l like your videos,我来自印度的就像您的视频一样,视频,正面
@MarvelousMinu77,Subscribed,订阅,订阅,正面
@tranminhtriet1777,see juice so good,看到果汁真好,果汁,正面
@JAYARBRITANICO-ux1ej,Hi idol im from philipens,嗨，偶像，我来自菲律宾,偶像,正面
@AyushKumar-dn3vj,Awesome  love from INDIA,来自印度的真棒爱,真棒,正面
@hocvachoi8888,A great youtube channel. Wishing everyone in the world good health and happy families.,一个很棒的频道。祝世界上的每个人都身体健康和幸福的家庭。,很棒 频道 世界 幸福 家庭,正面
@A.S.Harimithra,புத்துணர்ச்சியா இருக்குபா,茶点,茶点,正面
@user-sg8fn8oi4c,I am form Indian🇮🇳🇮🇳🇮🇳super video,我是印第安人的录像带,录像带,负面
@rajputanita7773,我們喜歡你的視頻，歡迎來到印度。penji ️,我们喜欢你的视频，欢迎来到印度。 ️,喜欢 视频 来到,正面
@K-FOREST_Original,"Good evening!

It's Tuesday - Korea/Seoul is in the midst of a full-blown heat wave that started this week. 
Korean summers are known for their high humidity. It makes you sweat like crazy.

I Wishing you good health and good things for the rest of the week.
And always cheering for your beautiful/fascinating activities. ^^","晚上好！今天是星期二 - 韩国/首尔正处于本周开始的全面热浪中。 韩国夏天以其高湿度而闻名。它会让您疯狂汗水。祝您在本周余下的时间内健康和好事。并总是为您的美丽/迷人活动欢呼。^",处于 热浪 湿度 闻名 疯狂 汗水 时间 健康 好事 迷人 欢呼,正面
@user-pz3kh4mq6z,"太美，只是不知香及味，
給我一份吧！！求你！！",太美，只是不知香及味，给我一份吧！求你！,不知,正面
@TheCuteTwinBoys,"wwow, nice",喔不错哟,不错,正面
@user-eo6qh5jc4o,iam your Big faniam from Bangalore,我是班加罗尔的大型粉丝,粉丝,正面
@sweetydhillon9180,"Hello how are you and your family  
I am from India",你好你和你的家人我来自印度,家人,正面
@Peace-inator,I watched these videos in health class,我在健康课上观看了这些视频,健康 观看 视频,正面
@nancyquintero7649,Hola mencanta tu a alimento,嗨，蒙康塔你的食物,食物,正面
@SindiKtp-m9x,"Halo,from Indonesian",光晕，来自印度尼西亚人,光晕,正面
@TieuVanHarvest,"The drinks are so fresh and eye-catching, the color of the water is very beautiful. You have made many different types of water, I want to know the taste of the pink water at 1 minute 14 seconds, is it delicious???",这些饮料是如此新鲜和引人注目，水的颜色非常漂亮。您制作了许多不同类型的水，我想知道1分14秒时粉红色的水的味道，这是美味吗？,饮料 颜色 漂亮 类型 粉红色 味道,正面
@Nitishgamingguru,Indian  drink,印度饮料,饮料,正面
@sagarikasagi5112,Hello mam daily I watch ur videos and cook I subscribed your videos and I love ur bamboo utensils please can u do video on bamboo basket I love it ..,你好每天我看着你的视频和厨师，我订阅了你的视频，我爱你的竹子餐具，请你在竹篮子上做视频，我喜欢吗。,看着 视频 厨师 订阅 视频 竹子 餐具 视频 喜欢,正面
@Lotushi,Lovely and refreshing,可爱而令人耳目一新,可爱,正面
@sumathivenkatesh9672,Iam Indian sister,印度姐妹,姐妹,正面
@teresacalabria,"Ciao, utente italiano!",嗨，意大利用户！,用户,负面
@kad5588,請妳多做在地的菜餚,请你多做在地的菜肴,菜肴,正面
@deepasreejesh5594,Can you make a dish with an octopus? ️,你可以用章鱼做盘子吗？配,盘子,负面
@TranHoang-jo2id,"Hello everyone, I hope you are always healthy, happy and successful with your family",大家好，希望您永远健康，快乐和成功,希望 健康 快乐 成功,正面
@thaovie-17908,Chị ơi sao không có Vietsub vậy chị???,姐，你为什么不拥有 ？,拥有,正面
@yay-aon4278,Cold freshly drinking️,寒冷的新鲜饮酒,寒冷 饮酒,正面
@user-re1dr6ri3e,Привет всем из России 🇷🇺 Прохлаждающие напитки-это хорошо.,大家好，来自俄罗斯的大家冷却饮料很好。,冷却 饮料,正面
@srick3325,wo you我又一个这么做临到的姐姐开心死了, 我又一个这么做临到的姐开心死了,开心,正面
@NurulFuziah-v3x,Make indonesian food pleasee,做印尼食物,食物,正面
@arafatjouty7471,️️️️️️️️🇧🇩🇧🇩,门情️址早,门情,正面
@user-lp5fq7yr4p,Miss  you  so   much.From  Thailand.️️️️,非常想念你。从泰国。,想念,正面
@SaultoPaul,You're so bad-ass !!,你真糟糕！,真糟糕,正面
@raRawho4,Dianxi can you do Yunnan style goat cheese or if not Sa Piê,您可以做云南风格的山羊奶酪，或者如果不是ê,风格 奶酪,正面
@SivaJayaraman-ke3wo,This video make me a fressnesss,这段视频使我烦恼,视频 烦恼,正面
@nghiahoang-jc2xu,ghép nhạc đoạn đầu mới hay ko nhạc ko hay,新的第一段音乐或不好的音乐,音乐 音乐,正面
@salimbahchi8448,Women,女性,女性,正面
@mafatihussaadahchannel8893,"I am from Indonesia, very interest with all of your content, very inspiratif,",我来自印度尼西亚，对您的所有内容都非常感兴趣，非常启发，,内容 感兴趣 启发,正面
@QwQ0123,"Plz korean credit,,",韩国信贷，,信贷,正面
@user-ug6dg5re6o,怎麼視頻這麼短咧⋯⋯,怎么视频这么短咧⋯,视频,正面
@merypena8650,"Hola Dianxi, saludos desde Perú siempre viendo tus videos, se ve lindos y deliciosos tus bebidas refrescantes, me gustaría q nos compartas paso a paso para aprender y disfrutarlo como ustedes, gracias y muchos saludos a tu hermosa y feliz familiaasta pronto.",嗨，戴安克西（），秘鲁的问候总是观看您的视频，您的清爽饮料看起来漂亮可口，我希望您逐步分享学习和享受时，感谢您和许多对您美丽而幸福的家庭的问候。,问候 观看 视频 清爽 饮料 漂亮 可口 希望 分享 学习 享受 幸福 家庭 问候,正面
@Zaineb-ph4le,سويي ترجمه عربي عندك متابعين من عرب ف بليززز,甜阿拉伯语翻译有来自伯利兹阿拉伯人的追随者,翻译 追随者,正面
@windiarianydewi7282,Selalu saja hebat dalam menyajikan makanan apalagi dalam meracik minuman yg begitu segar dan menggoda untuk ikut meminumnyasukses dan lancar dianxi...salam buat keluargamu...teristimewa buat Dawang dan laifuyou always the best dianxi,它总是很棒的食物，尤其是在混合饮料的混合饮料中，可以加入饮酒和光滑的 .向您的家人致意.尤其是和总是最好的,很棒 食物 饮料 饮料 饮酒 光滑 家人 致意,正面
@user-rr7tj4py9z,ยอดการดูคนที่ 1,数字1视图,数字 视图,正面
@irshprds3698,More videos Please! Greetings from Philippines 🇵🇭,请更多视频！来自菲律宾的问候🇵🇭,视频 问候,正面
