评论用户id,评论id,分词,分词-英文
5588666161,5075552245388440,不错呀,That's good
1746779354,5075175053725510,喜欢,like
7793463359,5075034731186610,主题 节目 怀旧 满满 主持 友情 指数 得有 像是 老朋友 塑料 姐妹花 聊得 卤肉饭 罚酒 梗接,The theme show is nostalgic and full of hosting friendship indexes.
5762999670,5069079857597170,数学公式 挑选 袜子 艺术 眼光 牙膏 衣服 鞋子 灵魂 理智 情感 完美 碰撞,"Mathematical formulas choose socks artistic vision toothpaste clothes Shoes Shoes Soul, Soul Soul Emoticon perfect collision"
5878659096,5075034362873500,感兴趣 听见 开通 超话 社区 超话 社区 旗下 兴趣 社区 小伙伴 交流 听见,"Interested hearing the opening of the interested community partner of the super talkative community, the community partner of the community and the exchange of exchanges"
7814192295,5069143948400520,小钱 发现 大钱,Little money discover big money
5201681331,5069080509549430,袜子,sock
5684542758,5069085631578950,经济 能力 支持 消费行为 没钱 肯定 没钱 信用卡 套现 硬花,"Economic ability supports consumer behavior without money, there is no money, the credit card is cash out for hard flowers"
7387113433,5069088917295360,羡慕,envious
5798353376,5070955397517770,裙子 短裤 好看 衣服,Skirts and shorts look good clothes
7904675024,5067239501859970,父母 巨门 风阁 天使 寡宿,Parent's giant Gate Fengge Angel Widow
3743234732,5069164769707380,锐评 数学公式 挑选 袜子 艺术 眼光 牙膏 衣服 鞋子 灵魂 理智 情感 完美 碰撞,Ruizan Mathematics Formula Choose socks artistic vision toothpaste clothes Shoes Shoes Soul Soul Emoticon Perfect collision
5947313916,5067239122800780,及时行乐,Carpe Diem
3126020635,5081420248386060,荷包,Pocket
7270109089,5069150456121770,漂亮 买单,Beautiful pay
1084093810,5081402566250570,旅行团,Travel group
1734502095,5075141484348510,不到,Not
5234972059,5081405282850590,交流,comminicate
1902298885,5075200003278240,离开 离开,Leave
6099985673,5067243580555350,父疾线 怨念,Father's Line Complaint
1740531807,5081413609849560,交往 起來 戶樞 不蠹,Horizons are not 户
7043766299,5065796363488880,分享,share
5299761986,5075152860348870,赚钱 离开,Make money to leave
5561973436,5065792863083310,快乐,hapiness
7817277844,5081690391969820,模式 消费者 体验,Model consumer experience
5024876633,5075176010285150,空气 效绩 羡慕 嫉妒,Evil in air effects
5989194871,5072046841399030,利好 缺德,Favorable virtue
5518709173,5081679096709190,烧鸡 喜欢,Roasted chicken like
5800015421,5067320225436740,姐妹 父疾线 妹妹 父疾线 感觉 父母,Sister father's disease line Sister -in -law's disease line feels parents
1950697310,5075188811039040,回复 没错 利益 想致 死地 商人 逐利 活路 感觉 全网 打压 彰显 货一哥 地位 恩怨,"The reply is right. If you want to die, the merchant is on the way to live the road."
7474435736,5065791202656500,谈恋爱,fall in love
7836791858,5067242016348850,父母 地空 贪狼,Parental Earth Sky greedy wolf
5981877745,5081397473579390,互通,Communicate
7805067310,5065790145171980,快乐,hapiness
3940799762,5075189249083550,流量,flow
7321386180,5075266942535940,道理,reason
7225617586,5081552935982800,听说,Hear
6751214692,5067241773600190,父母 地空 蜚蠊 截空 贪狼 天使,Parents are empty and linked to the greedy wolf angel
2682116791,5072058305745840,不想,In no mood
6572499722,5075153623713810,表面 私下 流量 韭菜,Surface private traffic leeks
5522763801,5067239495303800,求看,Ask for a look
5703549509,5081552168685590,好像 没见 超市,I don't seem to see the supermarket
2812266032,5065787414679550,出门 电影,Go out movies
6879918185,5075149717767530,富贵 感觉,Feelings
5617828323,5072044083383330,公众 意见,Public opinion
5243066173,5067239232111020,天机 地劫庙 天使 父母 天魁 地空,Tianji and Temple Angel Parents Tian Kui Earth Sky
5848852576,5072228106371330,确实,really
7262689940,5072270844495210,补班 没休,Replenishment
2684294453,5081667163916330,去逛 下单 配送,Go and place an order
7881720662,5081662201792370,好像 支持 配送 开店,It seems to support distribution store opening
6023584725,5072086462631790,开心,happy
3798671333,5081667474293630,好像 资本家 打压 希望 全国 开起 分店,It seems that capitalists have suppressed hoping to open a branch in the country
5325211640,5067239177588200,父母 天相 文曲 天使,Parent
7904992270,5072046109230540,专家 证明,Expert certificate
6878531634,5067304738226610,发现 爷爷奶奶,Discover grandparents
6729070739,5067258919650860,离家 在外,Leave home
7435846107,5067241054016440,父疾线 桃花 感觉 不用,Father's line of peach blossom feels not needed
6416681868,5067240405205650,可惜 天魁 垃圾 父疾线,"Unfortunately, Tiankui garbage father's disease line"
7729244236,5065787633042400,仪式,ceremony
6575611033,5067239380489800,内耗,Internal consumption
5224920483,5067239694797410,好像 配偶 信息 疾厄 宮冲 父母,"It seems that the spouse information is ill, and the parents of the palace"
7545436467,5067277789299010,父疾线 很猛,Father's line is very fierce
6421623865,5067239264882210,父疾线 煞星 父单 天机 疾单 巨门,Father's Disease Line Shaxing Father's Single Single Single Giant Door
2454771795,5067281629446970,父母 文曲 母亲 注重 层面 村里人 压得 精神压力 打工 回去 不想 村里人 我会 心疼 喜欢 喜欢 琢磨 玩意 弱点 招惹,Parents Wenqu mother pays attention to the level of villagers at the level of the village who work hard to work and go back. I do n’t want people in the village.
2272473694,5067244520605250,有忌,Taboo
5864452176,5067349673641400,求看,Ask for a look
5611140366,5067290569347360,父疾线,Fatal line
1116275530,5065862019023180,理性 环境,Rational environment
5891886615,5065901198803320,快乐,hapiness
5444133963,5065863517181040,缺钱,Lack of money
3051949107,5065862014831050,下滑 意味着 年轻人 注重 情感 体验 物质 表达 爱情 观念,The decline means that young people pay attention to emotional experience and physical expression of love concepts
5649170494,5065862006703250,下滑 年轻人 传统 爱情 审视 注重 情感 物质 表达,The decline of young people's traditional love reviews the expression of emotional substances
7512778314,5065979430437070,转发,Forward
7512778314,5065863624920140,没钱 对象,No money object
7294999437,5065863164068400,聪明,clever
7627314409,5065788501528910,透彻,thorough
7835624184,5065787989819450,选择,choose
3828079278,5065787427788280,理性,reason
7835765725,5065789591524160,经济,economy
6622641377,5067267859547970,父母 巨门 诰封 天使 父母 化权 厄化 忌入 父母,"Parents Giant Gate, Angel's Parents' Parents, and Avoid the Parents"
5864452176,5067247301170200,博主,Blogger
2930278993,5067617805803590,经验,experience
7131357743,5067583867064960,财帛 化忌 父母 收入 稳定,Caixin and avoid parents' income stable
7880742114,5067558042468840,父母 天梁 天机 化科,Parent Tianliang Tianji Chemical Section
7936709183,5065863768309770,经济 压力 能省,Economic pressure can save
7936445350,5065863371949780,赚钱,make money
6443775374,5065892910597090,潇洒,Dazzling
7841100420,5075143175438420,玩楞 上当,Play
7793114827,5067287935586040,兄弟 庙化科 天官 父母 天空,Brother temple chemical department parental parents sky
7163196688,5067269494016030,父母 化权 文曲 解神 贪狼 天使,"Parents' power, Wenqu to relieve God greedy wolf angels"
5657413069,5067266964325470,父母 陷生 庙生 文曲 天魁 天使 破碎 父母 离婚 父亲 合不来 母亲 离开 关系,"Parents are trapped in the temple, Wenqu Tiankui, and the parent from the divorce father cannot come to the mother to leave the relationship"
6300954388,5067265143214460,请问 父母 关系 身体 心理 状态 父母 感觉 父母 关系 关系 争吵 地方 交流,May I ask the parental relationship with the physical mental state.
1629131997,5067260121055410,天使 父母,Angel parents
2051256615,5067259872020520,不靠,Not depend on
6026843896,5067255845227190,权忌 父母,Bogey parents
6542084250,5067245854659320,天梁,Beam
5557351375,5081660713077040,小时 停车,Hours parking
1941177784,5067342572689610,巨门 天刑 破碎,Giant Gate is broken
7838158090,5067264917768510,父母 军权,Military power
5509228329,5067258152358730,天刑 天伤 父母 贪狼 火星 封诰,Skybladder hurts parents greedy wolf Martian sealing
2806978500,5081775982250640,文革 官方 照片,Official photo of the Cultural Revolution
7882309186,5081768393181840,图片 好看 头部 奇怪,The picture looks good head
7855958368,5081761522124240,转发,Forward
7919995932,5081721418809700,转发,Forward
7703285074,5081713036758920,人工智能 趋势,Artificial intelligence trend
6508504431,5081713547678970,不错 不错,Not bad
1850034523,5081724994456670,轉發 微博,Forward Weibo
2560380911,5081472573114990,不服,Unwilling
7747785611,5081506706096500,让开,Let
7242264856,5081707403281150,品牌,brand
6214911902,5081539746726930,网约 网约 订单 饱和 网约车,Online contract order saturation network car rental
7937619214,5081483660230910,夹头 夹头 夹头 人生,Holding the head with the head of the chipper life
7934228425,5081646476559180,夹头 货像 社会 希望,Skin -headed goods like social hope
1527361393,5081336265574600,资料,material
6207998132,5081698033730510,保护费 催缴,Protection fee
2299844725,5081693785165660,精准 提炼 大众 心声,Precisely refine the voice of the public
7606927472,5081692270494050,机器人 清醒,Sober robotic
7872431269,5081689743426080,喷射 战士,Splatoon
7332554290,5081688950442870,机器人 智能,Robot intelligence
7387287211,5081714875434240,经济 胁迫,Economic coercion
2640593591,5081717394112960,参与 传呼机 炸弹 建厂,Participate in the construction of a bombing factory
5055652540,5081715142034810,沙子 芯片 石油,Sand chip oil
6929585989,5081729302266090,台积 饭桌 椅子 感觉 别扭 局促 舒服 安心,TSMC dining table chair feels awkward and comfortable and comfortable
1928040441,5081724034484740,吃饭 吃饭,Eating
5504045947,5081721387880090,工厂 开工,Factor
3168415692,5081716497321800,成本 人力资源 优势 地方,Human resources advantageous place
1586494222,5081715720328010,不建 美积 听话,No beauty
7917262790,5081716190873740,名声,reputation
1880043300,5081711924480290,期待 驾驶,Looking forward to driving
7618214347,5081710737228840,科技,science and technology
5464556996,5081710352404590,驾驶,drive
3037502752,5081710822428050,趋势,trend
7699274625,5081710457523120,科技 改变,Technological change
7463633570,5081710418461660,驾驶 趋势,Driving trend
3276041962,5081714123343960,体验,Experience
3669351952,5081713963696890,焦点,focus
7777033793,5081713911007050,驾驶,drive
5194928984,5081713120904930,驾驶,drive
7839643615,5081710712849290,人工智能 创意,Artificial intelligence
5690247207,5081710639449880,智能 驾驶,Smart driving
5738663872,5081710580466360,大会 举办,Conference
7895417224,5081710586233020,屏幕 感受 科技,Screen experience technology
6330808277,5081777028204090,道阻,Obstruction
7333823472,5081787325481030,市场 有钱 技术 积累,Market rich technology accumulation
