content,emotion_scroe,emotion_type,主题概率,主题类型
不罚款，坐牢？网红都是人上人？,0.5878904150830181,pos,"[(0, 0.12517604), (1, 0.12516505), (2, 0.62451535), (3, 0.12514357)]",2
前一段时间，极限挑战那几个人采摘野生植物怎么处理了？感觉最近网上一点声音都没了呢？,0.6565113534533714,pos,"[(0, 0.033301163), (1, 0.03223518), (2, 0.03399936), (3, 0.9004643)]",3
4年前有个杂技演员，因为带着一只猴子，就被判坐牢了，这个都猎杀买卖珍惜野生动物，该怎么判,0.9986404335300577,pos,"[(0, 0.03188998), (1, 0.03272346), (2, 0.9036598), (3, 0.03172678)]",2
你那么腻害你来说说什么东西是保护的，触犯怎么处置的，动不动就口嗨，要不给枪毙了？？？,0.00032255839569872435,neg,"[(0, 0.052897967), (1, 0.053325783), (2, 0.84029233), (3, 0.053483877)]",2
这是真的无知呢 还是故意的？,0.41645931013552395,neg,"[(0, 0.80888814), (1, 0.062873684), (2, 0.064546704), (3, 0.06369144)]",0
自曝家门？,0.7297953905324696,pos,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
没文化真可怕,0.37698470748980406,neg,"[(0, 0.08345139), (1, 0.74123377), (2, 0.089071594), (3, 0.08624326)]",1
懂不懂？现在禁止猎杀，捕获野生动物。而且，只要带翅膀的能飞的都是保护动物，哪怕麻雀都是。,0.9452119155672775,pos,"[(0, 0.038091186), (1, 0.03682744), (2, 0.88695973), (3, 0.038121626)]",2
处理不了，好像没有列入珍稀物种不属于违法行为。节目组洗是道具，专家指出绝对不是道具。,0.08509597825499182,neg,"[(0, 0.051882908), (1, 0.050306506), (2, 0.8465441), (3, 0.05126644)]",2
不可能这么无知 云南本地人都清楚得很,0.7448730374763853,pos,"[(0, 0.7473555), (1, 0.084886625), (2, 0.084362134), (3, 0.083395764)]",0
有些是意识问题，上了年纪的人意识不到，虽然耳朵里听到宣传，但心里没意识到。比如以前麻雀作为四害消灭过，有些人还经常抓来吃，然后过几年突然宣布麻雀是保护动物不能打。他虽然知道这个事情，但是长久以来潜意识没把麻雀划归到不能碰的东西里面。这时候应该主要加强教育，让他内心里真正认识到问题，而不是简单的严厉惩罚了事。我们国家很大不同地方风俗习惯不同，了解之后再去判断,0.07356641903720351,neg,"[(0, 0.019191412), (1, 0.01853847), (2, 0.9439611), (3, 0.018309025)]",2
大象的牙还是长在大象身上好，保护野生动物，又不是养殖的鸡鸭牛羊2021-02-17 19:50115回复,0.9853736484240607,pos,"[(0, 0.033098284), (1, 0.5203195), (2, 0.034721013), (3, 0.41186118)]",1
普通人用不起，富人不会管系列2021-02-16 10:42102回复,0.23683228066661655,neg,"[(0, 0.79736406), (1, 0.06503926), (2, 0.07357505), (3, 0.064021625)]",0
我感觉评论区里好多人，都没有了解过，到底什么是“野生动物”，什么是“非法走私”，什么是“濒危物种”中国的“野生物种”这四个字已经被国内专家用坏了，国内有两个名录规定何为野生动物，但同时引入了国际上的一个华盛顿名录，那个名录的核心点在于，对名录中的野生动物及其相关制品的交易流通要进行监控管理，防止走私防止偷猎，但是国内引进这个名录之后，这个名录不知道怎么用的，莫名其妙变成了野生动物保护名录，结果现在除了“六畜”等(鸡鸭鹅牛羊猪等)，所有你看到的动物，几乎都是“野生动物”，几乎是所有哦！哪怕这个东西是入侵物种，是对本土生态不利的物种，它也被判定为野生动物，哪怕它是养殖的，也算“野生动物”，哪怕是养殖的哦！这就是现在国内专家乱用名词弄出来的破事，你以为的“野生动物”和实际上专家口中的“野生动物”，可能根本就不是一个东西！而且更有趣的是，非常多的人把野生物种和濒危物种混为一谈了，有的东西(比如某些鱼类)都特么泛滥成灾了，还濒危呢！？它是“野生动物”它就必须濒危？它老婆孩子可能比从你开始，往上几代人所有亲属加起来还多，(你自己可能比它更像濒危动物)抵制偷猎盗猎，不是说要抵制养殖，不是说要抵制正常渠道获取，这跟烟酒的道理一样，美苏当年彻底禁烟禁酒，把自己坑成什么德行了查不到吗？国家不监管市场，反而搞一刀切，这个市场就全被黑市黑帮垄断了，到时候不仅国家收不到税，还要花着已有的税金，消耗人力去查黑市黑帮最后要说的嗷，视频里这个都发黄发黑了，不会吧不会吧，不会真有人以为键皮那一层还能怎么加工吧，磨一磨就没了哦，政策通通不知道，跟风一个比一个强，厉害厉害2021-02-17 22:3170回复,0.9999999999999858,pos,"[(0, 0.01281955), (1, 0.01317305), (2, 0.82446367), (3, 0.14954373)]",2
二手.....很正常吧，以前还有的，现在没有而已.......在禁止贩卖之前制造的（？）2021-02-16 09:3845回复,0.006458765349156681,neg,"[(0, 0.041966986), (1, 0.04260406), (2, 0.8728657), (3, 0.042563282)]",2
虽然我也很喜欢象牙制品，但是坚决支持禁止象牙贸易。包括那些“牢底坐穿兽”也一样。欲望是没有边界的，不能以“我喜欢”或者“外国不禁啊”作为理由。2021-02-17 12:3433回复,0.9313324497639771,pos,"[(0, 0.02650074), (1, 0.02585333), (2, 0.9207827), (3, 0.026863234)]",2
打击象牙买卖2021-02-16 08:2722回复,0.07501272194607056,neg,"[(0, 0.83369637), (1, 0.056148723), (2, 0.059545964), (3, 0.0506089)]",0
有钱人为所欲为2021-02-16 17:3317回复,0.11187295576881762,neg,"[(0, 0.22165374), (1, 0.08941415), (2, 0.6050055), (3, 0.08392662)]",2
你们应该问，查到的违禁品都怎么处理了2021-02-17 22:0512回复,0.019406925814817066,neg,"[(0, 0.084021516), (1, 0.08447344), (2, 0.74773985), (3, 0.08376518)]",2
遇到不了解的情况怎么办？搜索一下，了解情况，做出判断✘主观臆测，阴阳怪气，反正结论都是体制问题✔2021-02-18 22:179回复,0.3308994139014726,neg,"[(0, 0.031908978), (1, 0.033178866), (2, 0.9032539), (3, 0.031658247)]",2
没有买卖就没有杀害2021-02-16 10:399回复,0.04895264373434305,neg,"[(0, 0.06482062), (1, 0.803863), (2, 0.06808053), (3, 0.06323591)]",1
第一眼看成海象牙了2021-02-16 15:325回复,0.702069010103532,pos,"[(0, 0.6257795), (1, 0.06427536), (2, 0.24585809), (3, 0.06408705)]",0
判刑更高吧？2021-02-17 12:29回复,0.2624228694676385,neg,"[(0, 0.49769676), (1, 0.085978515), (2, 0.33207753), (3, 0.084247224)]",0
这些象牙按键是什么时候制造出来的？能查实吗？2021-03-01 10:104回复,0.06578052808023827,neg,"[(0, 0.064634755), (1, 0.06326243), (2, 0.8092053), (3, 0.06289748)]",2
我记得猛犸象牙是可以交易的，得看什么象牙2021-02-16 20:103回复,0.05238674805413823,neg,"[(0, 0.04277918), (1, 0.041982148), (2, 0.8727778), (3, 0.042460877)]",2
主要是非法走私合法的根本不管2021-02-27 10:412回复,0.009182999521917479,neg,"[(0, 0.050785296), (1, 0.05086638), (2, 0.84818316), (3, 0.05016516)]",2
这么小还能做什么2021-02-19 16:332回复,0.20980178839507435,neg,"[(0, 0.1272621), (1, 0.12907882), (2, 0.6173086), (3, 0.12635043)]",2
随后送到了哪个老爷家里？2021-02-18 10:132回复,0.13281557050427706,neg,"[(0, 0.08556768), (1, 0.08444712), (2, 0.74624056), (3, 0.08374461)]",2
