id,label
自己,自己
成绩,成绩
孩子,孩子
努力,努力
接受,接受
感觉,感觉
希望,希望
理解,理解
焦虑,焦虑
一直,一直
意义,意义
成功,成功
同学,同学
事情,事情
社会,社会
如果,如果
必须,必须
从小,从小
毕业,毕业
别人,别人
大学,大学
失败,失败
教育,教育
没有,没有
家里,家里
专业,专业
方式,方式
想法,想法
学生,学生
家庭,家庭
学校,学校
更好,更好
过去,过去
评价,评价
压力,压力
家长,家长
学习,学习
社交,社交
问题,问题
机会,机会
心里,心里
现实,现实
选择,选择
改变,改变
要求,要求
环境,环境
自然,自然
方法,方法
一年,一年
每天,每天
抑郁,抑郁
工作,工作
痛苦,痛苦
开心,开心
人生,人生
生活,生活
年纪,年纪
感受,感受
状态,状态
不敢,不敢
紧张,紧张
考试,考试
妈妈,妈妈
晚上,晚上
睡觉,睡觉
身体,身体
朋友,朋友
永远,永远
不行,不行
恋爱,恋爱
负面,负面
放松,放松
担心,担心
情绪,情绪
不断,不断
结果,结果
心理,心理
自我,自我
思考,思考
世界,世界
经常,经常
总是,总是
发展,发展
恐惧,恐惧
不能,不能
准备,准备
爸妈,爸妈
不同,不同
领导,领导
公司,公司
回家,回家
一切,一切
直接,直接
怎么办,怎么办
能力,能力
本来,本来
面对,面对
目前,目前
未来,未来
失眠,失眠
不想,不想
家人,家人
中国,中国
快乐,快乐
比较,比较
地方,地方
同事,同事
医院,医院
工资,工资
内心,内心
烦躁,烦躁
天天,天天
男人,男人
经历,经历
疫情,疫情
面试,面试
目标,目标
上班,上班
在家,在家
父母,父母
老师,老师
结婚,结婚
女生,女生
作业,作业
职业,职业
严重,严重
遇到,遇到
关注,关注
讨厌,讨厌
关系,关系
害怕,害怕
手机,手机
他人,他人
学会,学会
女性,女性
精神,精神
表现,表现
老公,老公
忧虑,忧虑
企业,企业
