内容,主题概率,主题类型
旅行 总体 满意 推荐 格兰 酒店 地铁 崛桥 酒店 周边 全家 小东西 离道 商圈 几分钟 酒店 服务 人员 态度 酒店 卫生状况 预订 送机 服务 车子 很新 宽敞 司机 国家 态度 帮忙 行李 出租车 感觉 司机 沟通 困难 司机 箱子 多直 皱眉头 司机 真的,"[(7, 0.9788849)]",7
愉快 体验 酒店 贴心 一家 三口 第二天 酒店用品 换成 三人份,"[(10, 0.9155667)]",10
酒店 出门 离川 久保 早上 没事 排队 顺便 久保 玲密 排队 有人 饥饿 营销 吉祥 飞机 难吃 空乘 温柔 服务 硬件 不行 软件,"[(0, 0.9612931)]",0
提前 天定 酒店 入住 发现 客服 回复 保证 酒店 价格 携程 预定,"[(7, 0.9285493)]",7
酒店 位置 靠近 大阪 中心地带 购物 餐饮 交通 酒店 房间 极小 天花板 排风 装置 关闭 肩膀 服务,"[(7, 0.9483695)]",7
行程 机场 接送 出行 攻略 优惠券 温馨 附加 产品 一日游 导游 推荐 打工 几家 餐馆 好吃 推荐 拉面馆 日式 拉面 风堂 博多 好吃 满意 酒店 地段 不错 房间 真心 太小 最差 打扫 房间 关门 晚上 回来 虚掩 贵重物品 随身携带 几万 东西 酒店 房间 情况 东西 势必 扯皮 耽误时间 影响 旅行 心情 酒店 工作人员 方式 敷衍 仅仅只是 简单 致歉 一点 诚意 早餐券 简单 致歉 方式 大阪 服务 意识 确实 东京,"[(2, 0.9867297)]",2
乐桃 航空 真的 不怎么样 托运 行李 飞机 毯子 上机 称重 宾馆 房间 一点 洗浴 用品,"[(0, 0.9419486)]",0
机场 大巴 一站 希尔顿酒店 第一站 是阪 酒店 导航 找到 大阪 第一 酒店 一楼 星巴克 一间 超市 楼下 早餐 餐厅 品种 面包 牛奶 水果 面条 米饭 女儿 牛奶 好喝 提醒 牛奶 房间 两个 行李箱 敞开 放下 有皮拖 一次性 拖鞋 环保 床上 摆放着 睡衣 卫生间 很小 东西 齐全 惊讶 备有 一次性 化妆棉 跟扎 头绳 温馨,"[(7, 0.98278594)]",7
酒店 订单 点击 地图 导航 错误 位置 错路 携程 酒店 页面 点击 导航 正确 位置,"[(5, 0.9419395)]",5
航班 建议 南航 航班 日本 乐桃 航空 联航 免费 行李 花钱买 托运 行李 价格 南航 房间 大点 位数 上找,"[(13, 0.95355934)]",13
往返 航班 摆渡 行李 重量 灵活,"[(0, 0.010208062), (1, 0.010207905), (2, 0.010207914), (3, 0.010207911), (4, 0.010207929), (5, 0.010207937), (6, 0.01020794), (7, 0.010207946), (8, 0.8672969), (9, 0.010207895), (10, 0.010207883), (11, 0.010207901), (12, 0.010207903), (13, 0.0102079855)]",8
携程 客服 不行 疫情 回复 理解 几天 说不过去,"[(3, 0.8968024)]",3
很早 春秋 航空 机票 回程 空姐 付钱 机票 限定 去时 机箱 小孩 推车 托运 回来 托运 日本 空姐 服务态度 不好 完整 解释 回来 携程 发现,"[(1, 0.96427757)]",1
