内容,主题概率,主题类型
龙门 景区 一半 西山 龙门 位于 昆明 乘坐 滇池 出发 索道 直达 西山 龙门 三清 孝牛泉 南侧 别有洞天 石门 龙门 达天阁 峭壁 石窟 工程 统称 龙门 相传 古时 凤凰 停歇 见者 不识 呼为 碧鸡 唐代 称为 碧鸡山 形状 卧佛 卧佛 西山 现已 一座 森林公园 景点 三月 西山 传统 盛会 乘坐 下山 索道 昆明 本地人 西山 游玩 所说 体力 龙门 栈道 迂回 下山 西山 龙门石窟 算是 遗憾 西山 等于 不到 昆明 不到 龙门 白跑一趟 西山 只能 攻略,"[(2, 0.989752)]",2
昆明 听说 地方 神奇 去年 去过 洛阳龙门石窟 缘分 龙门 向往 天气 不冷不热 看一看 神奇 地方 上山 对此 龙门 景区 准确 西山 森林公园 核心 景点 东临 滇池 一条 长约 数公里 断层 断层 南侧 修筑 一条 石刻 通道 石道 人力 悬崖峭壁 一锤 途中 隧道 螺旋 宛转 石洞 下临 万丈深渊 惊心动魄 之上 五百里 滇池 尽收眼底 山顶 魁星阁 途中 著名 凤凰 因道 达天阁 石坊 上题 龙门 故称 此为 龙门 龙门 处有 石刻 一登龙门 身价百倍 一多半 爬山 手摸 龙门 下方 铃铛 希望 越来越 景区 景区 得名 感谢 留下 美好记忆 龙门,"[(2, 0.19936678), (3, 0.79442704)]",3
西山 风景 秀美 滇池 呼应 值得,"[(0, 0.037502892), (1, 0.037747912), (2, 0.88752335), (3, 0.037225872)]",2
网上 西山 套票 山脚下 取票 无奈 之下 只好 退掉 门口 售票处 购买 原价 想象 网上 便宜 两块钱 套票 省时省力 一个半 小时 游完 时间 门票 索道 上山 下走 套票 龙门 门票 龙门 索道 电瓶车 共计 龙门 索道 那种 座椅 坐上去 有个 搭脚 玻璃 隔离 简单 索道 幸好 坐上去 脚下 不远 畏高 分钟 滇池 划算 工作人员 电子 导游 玩意儿 第一次 脖子 耳套 相当于 有个 导游 身边 神奇 播放 走到 自动 西山 龙门 看头 位置 遮挡 滇池 昆明市 总体 景点 还行 不累 多些 景色,"[(1, 0.257259), (2, 0.589744), (3, 0.14982323)]",2
不错 昆明 值得 滇池 是从 南门 龙门 缆车 索道 上山 一段 南门,"[(0, 0.020092847), (1, 0.9382607), (2, 0.02077934), (3, 0.02086711)]",1
云南旅游 龙门 环境 套票 不贵 建议 套票 包含 龙门 景区 门票 双程 大巴车 单程 索道 景区 观光 游览 车票 高尧 游客 中心 购票 换票 大巴车 西山 索道 龙门 后在 门口 领取 游览 领取 讲解 三百 大洋 总体 值得,"[(2, 0.51781803), (3, 0.46862966)]",2
公司 考察 会议 旅游 感觉 线路 设计 改进 滇池 索道 游小 石林 返回 凌虚阁 龙门 参观 聂耳 下山 拜佛 赏花 景点 景区 预留 时间 精华 龙门 景区 西山 设计 往返 景区 直达车 景点 龙门 一段 岔路 团队 走回头路 规划 讲解 贴心 景点 普通话 粤语 童声 童声 鸡肋 英语 老外 日常 旅游 不错 选择,"[(1, 0.19435114), (3, 0.7958468)]",3
购票 一张 一半 垃圾 下山 淘钱 补票 工作人员 不理 手机 凭证 没用 人性化 超不 开心 行程,"[(0, 0.015270472), (1, 0.015794978), (2, 0.9531842), (3, 0.015750423)]",2
西山 乘坐 公共 下车 即可 到达 云南 民族村 高空 缆车 抵达 龙门 票价 单程 海埂 公园 索道 抵达 龙门 票价 单程 联票 联票 取票 地址 取票 联票 玩起来 锻炼身体 节约 费用 海拔 一段路 公路 舒服 小心 避让,"[(1, 0.69607836), (2, 0.28948238)]",1
地方 失望 真的 好多 有意思 风景 值得 龙门 身价 百万,"[(0, 0.0245991), (1, 0.5712212), (2, 0.024250146), (3, 0.37992954)]",1
