title,production,URL,content,clearn_comment
Castello Banfi Brunello di Montalcino DOCG,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+docg+brunello+di+montalcino+tuscany+italy/1/hong+kong,"
Bright, radiant ruby red. On the nose fruity, blackberries and cassis, plus fine rosehip, also of mint and liquorice, inviting. The palate is rich, with clear bright fruit and grippy tannins, showing fine earthy undertones, savoury, minimal drying in the finish.                                    ",bright radiant ruby red nose fruity blackberry cassis fine rosehip mint liquorice inviting palate rich bright fruit grippy tannin fine earthy undertone savoury minimal drying finish
Castello Banfi Brunello di Montalcino DOCG,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+docg+brunello+di+montalcino+tuscany+italy/1/hong+kong,"
Raspberries, currants, lemon blossom, mandarin peel, wild thyme and marjoram. Medium to full bodied, well extracted, biting tannins and a tight finale which needs time to come out. Better from 2024.                                    ",raspberry currant lemon blossom mandarin peel wild thyme marjoram medium bodied extracted biting tannin tight finale time
Castello Banfi Brunello di Montalcino DOCG,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+docg+brunello+di+montalcino+tuscany+italy/1/hong+kong,"
See score for this and 6 more vintages with a ",score vintage
Castello Banfi Brunello di Montalcino DOCG,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+docg+brunello+di+montalcino+tuscany+italy/1/hong+kong,"
Subtle aromas of scorched earth, forest floor and mature berries mingle with a eucalyptus note. The full-bodied palate features cherry marinated in spirits, prune, roasted coffee bean and licorice framed in close-grained tannins. You'll also notice the warmth of alcohol on the close. While it reflects the heat of the vintage, it also shows polish and restraint. Kerin O’Keefe                                    ",subtle aroma scorched earth forest floor mature berry mingle eucalyptus note fullbodied palate feature cherry marinated spirit prune roasted coffee bean licorice framed closegrained tannin notice warmth alcohol close reflects heat vintage polish restraint kerin keefe
Castello Banfi Brunello di Montalcino DOCG,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+docg+brunello+di+montalcino+tuscany+italy/1/hong+kong,"
Leuchtendes Rubinrot. In der Nase nach reifen Kirschen, reifen Erdbeeren, leichte Fasswürze, im Nachhall balsamische Komponenten. Am Gaumen strahlend und mit klarer Frucht, zieht sich im hinteren Bereich dann allerdings stark zusammen.                                    ",leuchtendes rubinrot der nase nach reifen kirschen reifen erdbeeren leichte fassw rze nachhall balsamische komponenten gaumen strahlend und mit klarer frucht zieht sich hinteren bereich dann allerdings stark zusammen
Castello Banfi Brunello di Montalcino DOCG,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+docg+brunello+di+montalcino+tuscany+italy/1/hong+kong,"
Intriguing and decidedly structured in the primary profile showing notes of red flowers, mandarin peel and green tea leaves. Medium bodied, a simple structure, lightly extracted tannins and a finale which lacks a bit of balance at the moment. Better from 2022.                                    ",intriguing decidedly structured primary profile note red flower mandarin peel green tea leaf medium bodied simple structure lightly extracted tannin finale lack bit balance moment
Castello Banfi Brunello di Montalcino DOCG,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+docg+brunello+di+montalcino+tuscany+italy/1/hong+kong,"
Camphor, rose and new leather aromas form the nose along with a whiff of baking spice on this vibrant red. Polished and taut, the savory palate offers spiced cranberry, red cherry and star anise before finishing on a coffee note. Lithe, refined tannins and fresh acidity provide balanced support. Drink 2022–2028. Kerin O’Keefe                                    ",camphor rose leather aroma form nose whiff baking spice vibrant red polished taut savory palate offer spiced cranberry red cherry star anise finishing coffee note lithe refined tannin fresh acidity provide balanced support drink kerin keefe
Castello Banfi Brunello di Montalcino DOCG,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+docg+brunello+di+montalcino+tuscany+italy/1/hong+kong,"
Bright ruby red. Present on the nose, ripe raspberries and rich strawberries, a touch of icing sugar, vanilla. Opens smoothly on the palate, with fine course, certain juiciness, compact finish.                                    ",bright ruby red nose ripe raspberry rich strawberry touch icing sugar vanilla smoothly palate fine juiciness compact finish
Castello Banfi Brunello di Montalcino DOCG,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+docg+brunello+di+montalcino+tuscany+italy/1/hong+kong,"
Classic and rich in style showing its true essence in the scents of cherries, red prunes, white almonds, lime and acacia. Feminine and captivating showing a precise, pure profile that immediately hits the consumer. Medium to full bodied, velvety tannins which make up the main skeleton of the matrix and a pure expression of national beauty in the finale. Love at first sight but will give more over time. Better from 2022.                                    ",classic rich style true essence scent cherry red prune white almond lime acacia feminine captivating precise pure profile hit consumer medium bodied velvety tannin main skeleton matrix pure expression national beauty finale love sight time
Castello Banfi Brunello di Montalcino DOCG,"Tuscany, Italy",https://www.wine-searcher.com/find/castello+banfi+docg+brunello+di+montalcino+tuscany+italy/1/hong+kong,"
Lacking in colour but powerful in essence this young Brunello shows notes of orange juice, lime, red prunes and cinnamon. Full bodied, juicy, soft tannins and a balanced finale. Better from 2021.                                    ",lacking colour powerful essence brunello note orange juice lime red prune cinnamon bodied juicy soft tannin balanced finale
