Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重
不错,0.055,质量,0.024,不错,0.112,不错,0.040,不错,0.042,速度,0.030
值得,0.029,内容,0.023,学习,0.026,配置,0.013,本书,0.018,物流,0.020
内容,0.026,不错,0.022,京东,0.015,键盘,0.011,喜欢,0.016,易懂,0.013
质量,0.023,正版,0.015,外观,0.013,纸张,0.008,学习,0.012,不错,0.013
学习,0.020,书籍,0.013,质量,0.013,京东,0.008,适合,0.011,感觉,0.008
入门,0.018,实用,0.013,东西,0.012,性价比,0.007,书籍,0.011,满意,0.008
购买,0.017,价格,0.012,性价比,0.012,代码,0.007,京东,0.009,散热,0.008
适合,0.014,满意,0.011,喜欢,0.010,清晰,0.006,质量,0.009,很快,0.008
很快,0.013,推荐,0.011,速度,0.009,内存,0.006,好评,0.008,简单,0.007
速度,0.013,一本,0.010,价格,0.008,收到,0.006,机器,0.007,配置,0.006
包装,0.012,学习,0.010,送货,0.008,硬盘,0.006,慢慢,0.007,设计,0.006
机器,0.011,配置,0.009,机器,0.008,东西,0.005,送货,0.006,键盘,0.006
本书,0.011,很好,0.009,感觉,0.007,价格,0.005,一如既往,0.006,系统,0.006
京东,0.011,本书,0.009,散热,0.007,手感,0.005,推荐,0.006,漂亮,0.006
印刷,0.010,性价比,0.009,本书,0.007,电池,0.005,系统,0.005,外观,0.006
物流,0.009,代码,0.009,活动,0.007,散热,0.005,感觉,0.005,语言,0.006
好书,0.009,入门,0.009,购买,0.007,工具书,0.005,漂亮,0.005,学习,0.006
图书,0.008,书本,0.008,基础,0.007,效果,0.005,价格,0.005,驱动,0.005
推荐,0.008,机器,0.008,系统,0.006,显卡,0.005,特别,0.005,性价比,0.005
网络,0.007,好评,0.007,电池,0.006,入门,0.005,好用,0.005,好看,0.005
满意,0.006,活动,0.007,小时,0.006,质量,0.004,数据,0.005,内存,0.005
讲解,0.006,东西,0.006,实惠,0.006,屏幕,0.004,项目,0.005,图书,0.005
发货,0.006,通俗易懂,0.006,适合,0.006,简单,0.004,快递,0.005,运行,0.004
收到,0.005,印刷,0.006,键盘,0.006,性能,0.004,活动,0.005,京东,0.004
东西,0.005,好书,0.006,配置,0.005,摄像头,0.004,作者,0.005,安装,0.004
配置,0.005,清晰,0.006,本本,0.005,挺不错,0.004,速度,0.004,值得,0.003
运维,0.005,下次,0.006,性能,0.005,孩子,0.004,下单,0.004,性能,0.003
书籍,0.004,做工,0.006,很快,0.005,系统,0.003,宝贝,0.004,太慢,0.003
外观,0.004,外观,0.006,推荐,0.005,漂亮,0.003,送到,0.004,实用,0.003
清晰,0.004,购买,0.006,做工,0.005,很好,0.003,完好,0.004,观看,0.003
