评论,fenci,情感分类,主题概率,主题类型
"用了6年的,一直认为是笔记本中最好的!",笔记本,neg,"[(0, 0.07152567), (1, 0.07180964), (2, 0.071889654), (3, 0.07149577), (4, 0.07156491), (5, 0.07148676), (6, 0.57022756)]",6
送货时间太长，从订货到我手里足足用了6天。还有不是说免运费吗？为什么还收了我8块钱。,送货 时间 订货 手里 足足 说免 运费 块钱,neg,"[(0, 0.015899435), (1, 0.6404172), (2, 0.015907383), (3, 0.015907293), (4, 0.015937414), (5, 0.280004), (6, 0.015927292)]",1
不知道怎么回事，验货和体验的时候没什么问题，但是装完后光驱吱吱的响，正在查找原因，但愿这个毛病是暂时的，要不那可真是郁闷了,怎么回事 验货 体验 没什么 装完 光驱 吱吱 查找 原因 毛病 暂时 那可真 郁闷,neg,"[(0, 0.010299867), (1, 0.010231636), (2, 0.93845683), (3, 0.0103023285), (4, 0.010232316), (5, 0.010248473), (6, 0.010228548)]",2
内存小，只能自己加了。键盘手感也没有传说中那么神，可能是用的习惯了吧，不过我同事用61的试了试我的键盘，也说不一样了。总体还是比较舒适习惯就好了。如果玩3还是独显的吧，集成毕竟不行。,内存 只能 键盘 手感 是用 习惯 同事 试了试 键盘 总体 舒适 习惯 独显 集成 不行,neg,"[(5, 0.5704212), (6, 0.38470438)]",5
箱子外边贴了两个京东的货物编号，貌似发过一次货。包装也比较脏，不像新出厂的。虽然没有证据证明这个本本是旧货，但是总是感觉不爽，希望京东在以后的各个环节注意把关，不要被以次充好。,箱子 外边 两个 京东 货物 编号 貌似 包装 出厂 证据 证明 本本 旧货 感觉 不爽 希望 京东 各个环节 把关 以次充好,neg,"[(0, 0.8360263), (5, 0.12979983)]",0
等到发现是主板问题换货时间已经过了   强烈建议大家不要在这里买售后要求蛮高的东西 特别是电脑 买回去 系统你要弄半天  还不送其他东西 看上去价格比外面便宜一点 其实相,发现 主板 换货 时间 强烈建议 售后 蛮高 东西 特别 电脑 买回去 系统 半天 东西 价格比 外面 便宜 一点,neg,"[(0, 0.05028493), (1, 0.3691149), (3, 0.5503707)]",3
前天下的单，今天到货。一看价格跌了200元，只能认运气不好，呵呵。,天下 到货 价格 只能 运气 不好,neg,"[(0, 0.020495504), (1, 0.87728614), (2, 0.020437894), (3, 0.020440992), (4, 0.02042735), (5, 0.02046575), (6, 0.020446401)]",1
镜面很差，一不小心有划伤。也不知道联想天天看着，为什么不改。,镜面 一不小心 划伤 联想 天天 看着,neg,"[(0, 0.25517404), (1, 0.02050086), (2, 0.6424399), (3, 0.020445263), (4, 0.020479355), (5, 0.020459376), (6, 0.02050116)]",2
自带系统太臭了，开机10分钟，关机20分钟，巨慢，郁闷，我现在已经重新装了，刚买不到10天。哎。。。。无语,自带 系统 开机 分钟 关机 分钟 巨慢 郁闷 买不到,neg,"[(0, 0.014310858), (1, 0.014330267), (2, 0.014358585), (3, 0.014318158), (4, 0.014306465), (5, 0.01432527), (6, 0.9140504)]",6
非常奇怪的问题，随机配了一张光碟，上面居然只是说明书的文档！驱动都不要配吗？让客户都自己去网站上下载？的网站上驱动下载做得并不好，有2个完全不一样的1019，让人不知道如何是好。,奇怪 随机 一张 光碟 说明书 文档 驱动 客户 网站 下载 网站 驱动 下载 做得 不好 如何是好,neg,"[(6, 0.94946444)]",6
1、不带正版系统，所以改装时，售后不帮忙重装体统，花了100块钱找电脑城的商家装，而且商家说这是特工机，那个商家技术部花了3个小时才装上了所有驱动~~,正版 系统 改装 售后 帮忙 重装 体统 块钱 电脑城 商家 商家 特工 商家 技术部 小时 装上 驱动,neg,"[(6, 0.9522363)]",6
的系统，就是修改的系统，界面单一，没有酷炫！目前准备卸载,系统 修改 系统 界面 单一 卸载,neg,"[(0, 0.020459073), (1, 0.020475758), (2, 0.020557718), (3, 0.020446377), (4, 0.020445356), (5, 0.020486386), (6, 0.8771293)]",6
"键盘太拥挤 按着不太舒服, 也容易按错键. 不过这体积大概也只能这样",键盘 拥挤 按着 舒服 错键 体积 只能,neg,"[(0, 0.017919062), (1, 0.017891653), (2, 0.017938424), (3, 0.01788846), (4, 0.017887468), (5, 0.01790281), (6, 0.8925721)]",6
