word,counts
真的,97
感觉,81
喜欢,81
朋友,67
视频,41
人格,39
印象,39
一点,32
传统,32
刻板,31
保守,29
事情,28
确实,27
理解,25
特别,23
功能,22
现实,22
骨哥,22
能力,20
感受,20
相处,19
老师,19
评论,19
理论,19
东西,19
关系,19
类型,18
讨厌,18
发现,18
生活,18
情绪,17
发展,17
描述,17
环境,16
态度,16
一种,16
身边,16
那种,16
测试,16
追求,15
思考,15
两个,14
很好,14
同学,14
逻辑,14
符合,14
想法,14
不好,13
表现,13
社交,13
内心,12
提到,12
不到,12
原因,12
未来,12
主导,12
解释,12
典型,12
开心,12
性格,11
好像,11
观察,11
样子,11
工作,11
擅长,11
善良,11
刺激,11
看完,11
分析,11
我会,11
大部分,11
方式,11
包括,11
导致,11
家庭,11
耐心,10
状态,10
反正,10
努力,10
学习,10
事物,10
经验,10
区别,10
社会,10
本来,10
墨镜,10
有时候,9
人生,9
情况,9
高中,9
兴趣,9
自我,9
注重,9
不想,9
尊重,9
快乐,9
平时,9
心情,9
大学,9
身上,9
