content,emotion_scroe
uu们别打起来[泣不成声]大连沈阳各有特色[泪奔]都是辽宁的双子星[送心]让我们一起为东北振兴贡献力量[玫瑰],0.9997381057186282
@Andy An 沈阳yyds！！！,0.6744133362948258
沈阳的九一八值得去看一看，有很大的知识量。,0.9924874527539528
咋没有世博园啊？,0.5
彩电塔夜市可以去看看,0.7547055969475438
没有北陵公园吗？[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸],0.9133224613253621
我辽大现身,0.4737672181921908
以后一定要去沈阳看看,0.7080431477289129
到沈阳辣,0.7285726347297634
土生土长，我的大沈阳[比心],0.7018719635905142
没有中街嘛,0.8106123253645426
欢迎来到沈阳,0.7482264211277252
本人东北大学大一到现在校门口还没出去过,0.7345505222548302
沈农呢？！,0.7503971747983893
有辽大！,0.505746216935643
@W. @番茄绿香菜 @你次萝贝嘛 都来,0.1364170902604377
@钰  九一八，大帅府，故宫真的值得一看[流泪],0.9045914906479535
@辛弃疾 真的好像回去过两天[流泪],0.1904405082699019
@97 我带你去吃沈阳鸡架 带你去青年大街转转 带你去中街吃小吃 带你去大悦城吃我喜欢的泡芙和豆糕 带你去故宫 带你去我走过的地方,0.9994034023357197
@+2. 带我都去一边奥[看],0.832515136567299
@哈喽丹东 疫情结束记得拍同款[比心][比心][比心],0.6766810183538796
@爱吃辣鱼仔  现在看…,0.5287604023941869
@27％ 好几个地方都没去[石化] 我好像白去了一趟[尬笑],0.1545030744148954
@远山浅:part_alternation_mark: 还有好多咱俩没去过呢,0.3331667764690409
@季森 沈阳沈阳我最喜欢了[舔屏],0.9359404097898402
沈阳的,0.7187500000000002
@梅:red_heart: 有机会我们一起再走一遍,0.8561761865876816
早看这些我就往沈阳报了,0.5756461974592677
@文仔# 以后也带崽子来沈阳玩玩[二哈],0.8469236618632724
@多喝大烫水 @。。。。 [看],0.5262327818078083
@小月晚安- 去沈阳吧,0.6858678997179943
@:check_mark_button: 我好多不认识啊！,0.38478311440682056
@让让 同泽母校学长[看],0.8794433566334721
@渡 [看],0.5262327818078083
@配不上王小美真君 [暗中观察]有几个我去过,0.5131611932815242
@我是龟龟 @熊熊太子 你在叫什么[尬笑],0.5262327818078083
@番茄954 我们要一起走过好多地方,0.7979584533099386
@莹崽崽 有机会一定要带你看遍沈阳的美[爱心],0.9941652005215414
@O࿆utsider༢. 视频上的我们都没去[尬笑],0.32249863422103453
@BXue. 记得来.,0.3193890607946013
@不吃香菜。 好多啊,0.5684647302904563
@xx 选吧,0.6456953642384105
@双子座。天王星 这个？,0.5262327818078083
@恋语市警嫂离歌 @有幸！ 好美,0.9031639931329798
以后每个地方我都带你去一遍 @爱铜,0.761930116985128
@飞翔 高级了,0.37313432835820903
@杨双不笨 @妍妍 都去,0.538223827100077
@Xhhh:butterfly: 卑快来,0.9534524391117241
@LikTF 一定要每个地方都去哦 “沈阳”人,0.7175259285904504
@大圣 说吧 去哪,0.378024662235108
别说面积啊，论面积的话，辽宁省内就有比沈阳大的,0.22012928773555196
沈阳市区才多大一点啊，,0.601152283077991
背景音乐的钢琴曲叫什么名字？,0.8304103998168133
我是沈阳人真不知道沈阳这么大[捂脸][捂脸],0.6121047321938858
人少 经济发展缓慢,0.7298614980955731
你在青年大街堵车一个半小时吗,0.1855289057831634
等于几个呼伦贝尔啊？,0.5
等于多少个重庆？,0.4386784750657283
说一下市区好不好,0.5904078067006376
大沈阳[赞],0.7233731103795419
没盐城大,0.2875693104883885
沈阳[比心]，可跟泉州比呢,0.9764304242616143
没毛病,0.4396074283217847
扯淡，说市区面积，你说整个面积，整个东北三省有没有比丹东大的，以前岫岩，桓仁都是丹东得，宽甸，凤城，东港，丹东，以前叫安东省，你看看现在的辽宁的城市面积，沈阳和丹东哪个大,0.9049984304264792
说市区 说面积有吊用[捂脸],0.3615498686463018
@好运来  @鸿运当头,0.5262327818078083
有吗，，[泪奔],0.5
哈尔滨能装四个沈阳,0.4757166493395071
上有天堂 下有苏杭，除了北京，就是沈阳[比心],0.9946793694791094
我是沈阳人 我骄傲[呲牙],0.9883999626931825
哪有这么大[捂脸][捂脸][捂脸]无语,0.34716683432803774
沈阳相当于0.79个北京,0.7059976216689788
沈阳有多大,0.7233731103795419
可惜就是空气不咋地,0.4180279224614444
@航拍摄影家大圣 是你的作品吧，被搬到这里来了,0.4557243746484577
@,0.8333333333333333
@为刘耀文心動 @叶 二十一个首尔啊哈哈哈哈[舔屏][舔屏][舔屏][舔屏][舔屏][舔屏],0.9665521072013179
我从浑南往库伦去，开出沈阳用了4个小时……,0.8403227542466236
两个上海[疑问][疑问][疑问],0.3579972330924517
@syehjdkdl @_y 我焯?,0.5
我爱沈阳[比心],0.8724542546055091
@我是小朋友  真这么大嘛？,0.5362305012038895
[捂脸][捂脸]我第一次来沈阳是去苏家屯。我以为那就是市中心。,0.782644201415463
我一个南方人想去沈阳看看，不知道会不会冻成狗[呲牙],0.14639721749008505
我从于洪到大东37公里。,0.2977009177546994
