评论,Unnamed: 1,Unnamed: 2,分词
姐这个造型好美,,,造型
头发末端可以再自然一些,,,头发 末端 自然
戴森为姐定制的造型耶✌超美超帅的吧好伐,,,戴森 定制 造型 超美 超帅
像极了用502胶水粘呢发型，外加这动画般呢面孔；要不看其他作品还真以为是电脑刻画特效,,,胶水 发型 外加 动画 面孔 作品 电脑 刻画 特效
换个运营吧，好的一个搞砸了,,,运营 搞砸
所以数字人是找个真人把皮肤磨皮到最高，,,,数字 真人 皮肤 磨皮
时热度还蛮高的，现在和素人差不多了已经,,,热度 蛮高 素人
要是每张照片脸处理的都和头像一样细致就好了,,,每张 照片 头像 细致
应该是真人，只是了一些而已,,,真人
做的不错就是运营不咋样，视频做的都啥玩意，能有粉？,,,不错 运营 咋样 视频 玩意
做了这么久还没突破，一直都是图片，动起来。像人一样,,,这么久 突破 图片
咱就是说实在做不出短视频可以不做,,,实在 不出 视频
就是抄七龙珠的18号搞了个虚拟偶像到现在也只能二维图是么，连个动画都没。,,,七龙珠 搞了个 虚拟 偶像 只能 二维 动画
为啥都是图片没有动态的视频？,,,为啥 图片 动态 视频
长好看是不是运气也有加成啊,,,好看 运气 加成
听人劝吃饱饭，能不能换个剪辑方式,,,吃饱 剪辑 方式
背景音乐为什么这么耳熟,,,背景音乐 耳熟
知否配音真的很绝,,,知否 配音 真的
好水啊….一张后期加一堆实拍,,,一张 后期 一堆 实拍
看不出来是数字的啊，凉的也太快了,,,看不出来 数字
脚趾太难看了，能顺便把脚趾改一下吗？,,,脚趾 难看 顺便 脚趾
全静态的。无语。只能说明你捏的好，还会配图搭建场景。,,,静态 只能 配图 搭建 场景
你能动一下吗，这叫数字人，笑了,,,能动 数字
为什么都出不来视频，总用图片可不行啊！那她就不是熟悉人，只是一个平面形象。可以合作制作哦！,,,出不来 视频 总用 图片 不行 熟悉 平面 形象 合作 制作
虚拟人黑头发也会长出来也要给新头发补色？,,,虚拟人 黑头发 会长 头发 补色
高级感油然而生,,,高级 油然而生
和头像有 区别 头像年轻,,,头像 区别 头像 年轻
他不是数字人吗我咋感觉他是真的人,,,数字 感觉 真的
虽然但是和以前比起来真的有点的土气救命,,,真的 土气 救命
这服装妆容仿佛县城姑娘,,,服装 妆容 仿佛 县城 姑娘
就说什么时候直播吧,,,直播
不存在的人是那么美好、可惜她却不存在、对于我一个有血有肉的人而言、她毫无意义,,,美好 可惜 有血有肉 毫无意义
有谁知道这个美女是虚拟出来的还是真实的呢？,,,美女 虚拟 真实
天 她还有思想 可以自主沟通 打游戏？,,,思想 自主 沟通 打游戏
我想问一下那她在显示生活中，能看得到吗？,,,显示 生活
终于可以粉一个不会塌房的存在了,,,终于
说起来就很奇怪 看这脸居然我还觉得眼熟,,,奇怪 眼熟
这个数字人到底是机器人还是虚拟人？还可以和明星打卡。,,,数字 机器人 虚拟人 明星 打卡
感觉是找了个真人拍完，把头脸换成啊呀咦的模型,,,感觉 真人 拍完 把头 换成 模型
这真的是数字人吗 这么逼真,,,真的 数字 逼真
除了脸和，头发是虚拟的，我感觉不出别的是虚拟的,,,头发 虚拟 感觉 虚拟
头发连动都不动，估计虚拟的,,,头发 连动 不动 估计 虚拟
我真的很想知道 数字人带货真的有人会买吗…,,,真的 数字 人带 真的 有人
你自己会发小红书吗，还是工作人员帮你发的,,,发小 红书 工作人员
哇塞这个妆容显得太美了吧,,,哇塞 妆容 显得 太美
这个技术也是绝了,,,技术 是绝
这也太酷了吧！制景,,,太酷 制景
风衣很飒,,,风衣
丝绒裙看起来好优雅！,,,丝绒 优雅
中式风格好爱姐真美,,,中式 风格 爱姐 真美
都要走新中式风格啦~,,,中式 风格
这个穿搭真好看，很有气质,,,好看 气质
这姐子的穿搭真的绝了,,,姐子 真的
超喜欢看你分享生活～,,,喜欢 分享 生活
果然是酷的美女,,,美女
姐七夕穿这么美，不知道收到花了没呀,,,七夕 收到
姐好美！衣服颜色和晚霞很搭,,,衣服 颜色 晚霞
这套好有气质,,,气质
