,word,translate,counts
0,中国,China,3942
1,减少,reduce,3423
2,发展,develop,3193
3,全球,worldwide,3000
4,能源,energy,2865
5,绿色,green,2726
6,环保,Environmental friendly,2130
7,技术,technology,2051
8,企业,enterprise,1859
9,国家,nation,1642
10,目标,Target,1603
11,美国,U.S.,1525
12,地球,Earth,1499
13,市场,market,1496
14,二氧化碳,carbon dioxide,1480
15,汽车,car,1412
16,项目,project,1395
17,研究,Research,1368
18,全国,Nationwide,1345
19,建设,Build,1318
20,环境,environment,1317
21,气候变化,climate change,1284
22,减排,Reducing emissions,1267
23,生产,Production,1229
24,公司,company,1214
25,世界,world,1212
26,持续,continued,1188
27,工作,Work,1183
28,气候,climate,1178
29,经济,economy,1150
30,未来,future,1146
31,数据,data,1137
32,行业,industry,1104
33,交易,trade,1094
34,我国,Our country,1052
35,新能源,new energy,1032
36,相关,Related,1023
37,排放量,Discharge,1005
38,降低,reduce,991
39,城市,City,974
40,生活,Life,965
41,报告,Report,928
42,产品,product,918
43,影响,Influence,911
44,人类,Humanity,887
45,气体,gas,880
46,推动,promote,873
47,生态环境,ecosystem,866
48,提供,supply,834
49,节能,Energy -saving,821
50,国际,internationality,820
51,利用,use,805
52,领域,field,795
53,计划,plan,792
54,增加,Increase,791
55,方式,Way,790
56,温室,greenhouse,782
57,系统,system,771
58,发布,release,770
59,政策,policy,767
60,管理,manage,758
61,清洁,clean,752
62,建筑,architecture,746
63,回收,Recycle,746
64,下降,decline,744
65,发电,Generate electricity,739
66,产业,industry,726
67,碳达峰,Carbon peak,722
68,推进,Advance,720
69,消费,Consumption,699
70,生态,Ecological,696
71,政府,government,695
72,出行,Travel,686
73,北京,Beijing,683
74,燃料,fuel,683
75,社会,society,675
76,提升,promote,674
77,超过,Exceed,673
78,提高,improve,663
79,应对,response,663
80,体系,system,659
81,服务,Serve,656
82,科技,science and technology,641
83,控制,control,636
84,导致,lead to,634
85,时间,time,630
86,电力,electricity,626
87,重点,Focus on,621
88,成本,cost,619
89,创新,Innovation,609
90,包括,include,608
91,增长,increase,600
92,活动,Activity,594
93,保护,Protect,593
94,变暖,warming,581
95,污染,pollute,566
96,集团,group,563
97,过程,process,549
98,地区,area,549
99,合作,cooperate,544
100,电池,Battery,541
101,万吨,"10,000 tons",537
102,资源,resource,536
103,培养,nourish,536
104,提出,propose,535
105,支持,support,532
106,总量,Total amount,529
107,减轻,Reducing,526
108,配额,quota,525
109,欧洲,Europe,521
110,设计,design,515
111,参与,participate,513
112,工业,industry,504
113,锻炼,exercise,502
114,需求,need,491
115,带来,bring,490
116,作业,Operation,487
117,水平,level,479
118,能力,ability,477
119,电动车,Electric car,472
120,近日,recently,471
121,实施,Implement,469
122,光伏,Photovoltaic,468
123,再生能源,renewable energy,466
124,垃圾,Rubbish,464
125,煤炭,coal,463
126,强度,strength,458
127,方案,plan,457
128,情况,Condition,457
129,转型,Transform,457
130,承诺,promise,457
131,加快,accelerate,454
132,机构,mechanism,447
133,标准,standard,447
134,欧盟,EU,446
135,速度,speed,446
136,种植,Plant,444
137,国内,domestic,434
138,地方,place,434
139,年前,A few years ago,432
140,采用,use,427
141,关注,focus on,426
142,交通,transportation,423
143,进一步,further,422
144,材料,Material,422
145,规划,planning,421
146,运行,run,421
147,化石,fossil,419
148,显示,show,419
149,电动汽车,electric car,419
150,累计,Grand total,419
151,中心,center,417
152,组织,organize,416
153,单位,unit,414
154,太阳能,Solar,412
155,制造,manufacture,411
156,建立,Establish,407
157,一种,A sort of,404
158,海洋,ocean,403
159,战略,strategy,403
160,传统,Tradition,397
161,结构,structure,396
162,自然,nature,392
163,启动,start up,391
164,亿吨,100 million tons,391
165,平台,platform,386
166,发现,Discover,382
167,预计,Predict,379
168,电动,electric,379
169,选择,choose,375
170,研发,Research and development,374
171,质量,quality,373
172,新闻,news,370
173,工程,project,367
174,机场,Airport,367
175,达峰,Peak,365
176,正式,formal,363
177,改变,Change,362
178,小时,Hour,359
179,疫情,epidemic,358
180,生物,biology,357
181,山东,Shandong,355
182,英国,U.K.,355
183,保障,Assure,355
184,燃油,Fuel,352
185,努力,effort,350
186,交易市场,market place,349
187,解决,solve,349
188,飞机,airplane,346
189,车辆,vehicle,346
190,运营,Operate,345
191,动力,power,345
192,品牌,brand,343
193,塑料,plastic,343
194,运输,transportation,341
195,石油,oil,341
196,基础,Base,339
197,健康,healthy,339
198,制定,Formulate,337
199,森林,forest,336
