Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重
technology,0.011,customer,0.014,company,0.011,human,0.016,technology,0.008,model,0.013,company,0.009,technology,0.016,people,0.010,company,0.015,tool,0.013,payment,0.007,technology,0.012,data,0.020,data,0.017
company,0.010,technology,0.009,technology,0.008,intelligence,0.007,skill,0.007,company,0.008,technology,0.008,company,0.010,technology,0.010,technology,0.010,technology,0.013,technology,0.007,human,0.009,technology,0.011,company,0.017
musk,0.010,digital,0.008,business,0.008,technology,0.007,data,0.006,data,0.008,malaysia,0.008,data,0.007,system,0.008,market,0.008,company,0.008,tool,0.006,student,0.008,company,0.009,technology,0.012
openai,0.007,company,0.007,market,0.007,student,0.007,industry,0.006,intelligence,0.008,people,0.007,intelligence,0.007,country,0.007,apple,0.008,industry,0.006,data,0.006,company,0.007,centre,0.008,centre,0.007
system,0.007,service,0.006,generative,0.007,company,0.006,human,0.006,content,0.008,intelligence,0.006,country,0.006,intelligence,0.007,chip,0.007,malaysia,0.006,surveillance,0.006,intelligence,0.007,energy,0.008,business,0.007
people,0.007,time,0.006,time,0.006,government,0.006,company,0.006,technology,0.007,artificial,0.006,artificial,0.006,public,0.006,people,0.006,data,0.006,algorithm,0.006,artificial,0.007,model,0.007,language,0.007
city,0.006,malaysia,0.006,bank,0.006,artificial,0.006,content,0.006,human,0.007,country,0.006,growth,0.006,official,0.006,tech,0.005,intelligence,0.006,software,0.005,market,0.007,digital,0.007,model,0.006
student,0.006,model,0.006,intelligence,0.006,tool,0.006,model,0.006,system,0.006,time,0.005,content,0.006,human,0.006,industry,0.005,student,0.006,life,0.005,generative,0.006,industry,0.007,intelligence,0.006
intelligence,0.005,industry,0.005,artificial,0.006,business,0.005,country,0.005,medium,0.005,global,0.005,business,0.006,company,0.006,data,0.005,artificial,0.005,country,0.005,industry,0.006,development,0.007,artificial,0.006
artificial,0.005,intelligence,0.005,quarter,0.006,drone,0.005,intelligence,0.005,artificial,0.005,student,0.005,malaysia,0.005,artificial,0.005,intelligence,0.005,human,0.005,company,0.005,system,0.005,power,0.007,product,0.006
food,0.005,artificial,0.005,chatgpt,0.005,time,0.005,security,0.005,openai,0.005,business,0.005,science,0.005,government,0.005,nvidia,0.005,child,0.005,public,0.005,sale,0.005,intelligence,0.006,government,0.006
human,0.004,innovation,0.005,sale,0.005,interaction,0.004,player,0.005,industry,0.005,future,0.004,time,0.005,market,0.004,china,0.005,education,0.005,event,0.005,potential,0.005,artificial,0.006,market,0.006
event,0.004,language,0.004,data,0.005,mine,0.004,platform,0.005,chatgpt,0.005,apple,0.004,google,0.005,generative,0.004,artificial,0.005,time,0.005,video,0.005,development,0.005,potential,0.006,consumer,0.005
business,0.004,life,0.004,growth,0.005,real,0.004,game,0.005,report,0.005,tool,0.004,industry,0.005,tool,0.004,system,0.004,content,0.005,researcher,0.005,tool,0.004,malaysia,0.006,service,0.005
post,0.004,process,0.004,customer,0.004,data,0.004,malaysia,0.004,time,0.005,university,0.004,revenue,0.005,office,0.004,video,0.004,user,0.005,global,0.005,education,0.004,sector,0.006,cloud,0.005
vehicle,0.004,tool,0.004,revenue,0.004,education,0.004,artificial,0.004,language,0.004,model,0.004,centre,0.004,data,0.004,stock,0.004,people,0.005,people,0.004,data,0.004,global,0.005,industry,0.005
industry,0.004,system,0.004,chief,0.004,people,0.004,worker,0.004,government,0.004,human,0.004,development,0.004,service,0.004,chief,0.004,solution,0.004,city,0.004,chip,0.004,human,0.005,search,0.004
generative,0.004,data,0.004,measure,0.004,copper,0.004,digital,0.004,people,0.004,sector,0.004,china,0.004,security,0.004,month,0.004,image,0.004,clinical,0.004,future,0.004,generative,0.005,microsoft,0.004
security,0.003,feature,0.004,product,0.004,port,0.004,system,0.004,reuters,0.004,professional,0.004,market,0.004,policy,0.004,microsoft,0.004,development,0.004,potential,0.004,task,0.004,tool,0.005,investment,0.004
robot,0.003,programme,0.004,share,0.004,kobold,0.004,development,0.004,social,0.004,industry,0.004,system,0.004,centre,0.004,investor,0.004,skill,0.004,intelligence,0.004,semiconductor,0.004,service,0.004,country,0.004
