Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重
满意,0.031,满意,0.035,满意,0.030,小蚂蚁,0.016,满意,0.032,满意,0.019,油耗,0.032
购买,0.030,空间,0.034,空间,0.030,空间,0.016,空间,0.031,购买,0.018,满意,0.027
空间,0.029,购买,0.033,购买,0.027,满意,0.016,油耗,0.030,空间,0.018,购买,0.024
感觉,0.020,油耗,0.033,座椅,0.021,购买,0.015,购买,0.029,油耗,0.015,空间,0.024
油耗,0.019,感觉,0.022,公里,0.017,水果,0.014,感觉,0.023,距离,0.013,感觉,0.017
外观,0.016,动力,0.022,感觉,0.016,提高,0.010,皮卡,0.020,动力,0.013,动力,0.017
座椅,0.015,内饰,0.021,内饰,0.016,耐用,0.009,外观,0.019,驾驶,0.013,驾驶,0.016
内饰,0.015,外观,0.021,续航,0.015,油耗,0.009,动力,0.018,腰部,0.011,座椅,0.016
中排,0.014,座椅,0.017,油耗,0.013,配置,0.009,驾驶,0.018,座椅,0.011,内饰,0.016
不错,0.013,不错,0.016,外观,0.013,感觉,0.009,内饰,0.017,外观,0.010,后排,0.015
驾驶,0.012,驾驶,0.016,助力,0.012,菱宏光,0.009,不错,0.014,感觉,0.010,外观,0.013
时间,0.011,行驶,0.015,时间,0.012,座椅,0.008,配置,0.014,内饰,0.010,行驶,0.012
喜欢,0.011,配置,0.012,驾驶,0.012,驾驶,0.008,车身,0.012,设计,0.009,发动机,0.011
续航,0.011,一点,0.011,空调,0.012,外观,0.008,设计,0.012,驾驶员,0.008,不错,0.010
一点,0.010,设计,0.011,行驶,0.011,公里,0.007,座椅,0.011,不错,0.008,配置,0.010
公里,0.009,性价比,0.011,五菱,0.011,方向,0.006,行驶,0.011,五菱,0.008,操控,0.010
动力,0.009,时间,0.010,高速,0.011,内饰,0.006,这车,0.011,提供,0.008,百公里,0.010
后排,0.009,车子,0.010,动力,0.009,后门,0.006,感受,0.011,车身,0.007,高速,0.009
配置,0.008,后排,0.010,真的,0.009,块钱,0.006,操控,0.010,一排,0.007,感受,0.009
舒服,0.008,舒适性,0.010,充电,0.009,续航,0.006,后排,0.010,钓鱼,0.006,前排,0.007
