景点名称,网址,用户名称,星级,评论内容,时间,赞,回应
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all,"
                                想想他大
                                ",45,交通:可以从海埂公园坐索道上去，也可以坐地铁到山脚下，坐环保大巴上来。上山可以坐索道上去，爬到最高处再绕一圈下来坐缆车回到起点，也可以反过来，甚至买个索道或者缆车往返票，走到哪里是哪里。特色体验:山上有许多小庙，还有石窟故事很多，很有意思。越走越高，越让人想登高长啸，到龙门差不多能看到昆明全景。上西山的索道是封闭式的，而到龙门的索道是开放式。缆车可以买来回票。推荐理由:服务真的很好，有很多服务人员，在地图简介旁边，在买票的地方，进山的地方给你介绍游玩路线建议，怎么购票设计路线，提醒注意标识不要迷路，真的很贴心，让人感到，这个景点真的有人情味。,2024-02-26 01:34,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all,"
                                番茄尤
                                ",45,车停到南门的停车场，十元停车费。从南门进，坐龙门索道，相比之下这样的方向索道排队的人少很多，大概排了半个小时。西山风景区很漂亮，是个出片圣地，就是人有些多，到龙门走路都堵，排队排了半个多小时吧，然后又绕了一圈去龙门，这个时候几乎没什么人了，可以随便拍。建议大家早点去，下午我们拍完照片回去都没有巴士了，跟着工作人员走小路回南门，一路上坡，累死人哦。,2024-03-04 08:40,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all,"
                                柠檬king
                                ",50,我们是从滇池出发，看了海鸥，走到坐索道🚠的地方，遇到西山的工作人员，买了套票，工作人员直接开车把我们送到西山门口，吃了好吃的米线跟洋芋粑粑，上楼就搭大巴车直达西山索道口，很多人排队，差不多半个小时才轮到我们，一路坐索道到达了龙门的门口，也可以去看看山顶的，只是海拔高导致身体不舒服，我们就没有去。下了索道就可以下坡观赏西山的美景啦，到半山腰就可以坐车到山脚，地铁站就在那，回市区很方便,2024-03-04 14:31,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all,"
                                贝壳
                                ",50,不愧是国家级旅游公园交通：非常方便可以驱车来特色体验：站在龙门可以看到整个昆明的所有景色、整个滇池的景色尽收眼底、天空很蓝，空气很好，是个放空的好地方……站得更高，看得更远....推荐理由：价格也便宜、过完年了来烧香祈福保佑家人平安健康，自己万事如意……,2024-02-27 19:21,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all,"
                                阿祚
                                ",40,西山可以说是一个非常商业的山。从山脚下到山顶基本景区都给安排好了。我们先做了大巴到聂耳墓，又做观光车到真正开始爬山的地方，然后开始爬山，爬山的路基本上处于达到锻炼又不太累的地步。然后下山做索道，索道很好玩，还能看见滇池风景。一定要爬到凌霄阁，那里风景特别好。但是旺季不推荐去，人超多,2024-02-27 10:37,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all,"
                                每天都要认真吃饭
                                ",45,大年初四去的，应该是春节人流最大的几天。头一天做好了攻略，决定反向游西山，躲避人流。购买的联票，包括门票、往返观光巴士、单程电瓶车和单程索道。上山选择的是观光巴士—电瓶车(上山索道排队长），然后下山选择的坐索道。交通:可以打车到北门游客中心，也可以做地铁到西山公园站，下来步行到售票处。特色体验:1.第一站到龙门(摸龙珠），毕竟是龙年，只不过春节期间人多，先要坐电瓶车，爬山和去龙门的人很多，中间因为路口限流和分流需要，我们为了去龙门，有一道路程折返了一次2.第二站索道体验，索道是镂空的，可以并排做两个人，下山风景很好，俯瞰整个电池+昆明市区。3.西山到民族村的索道，封闭式，可以横跨整个电池，需要单独购票，60元/人，单程。tips:第一段索道下来，不坐滇池索道，也可以坐观光巴士原路返回(购买的联票其实包含这一程费用，不使用也不能退款，单程好像是12.5元）在人多的小长假和黄金周建议先坐电瓶车上龙门，下山再坐索道，这种可以至少节约2小时排队时间龙门有必要去，虽然爬的路程更多，也很陡峭，费体力，有些游客骂骂咧咧觉得没意思，但是景区保安一听我们不准备去龙门，直接说第一次来要去，不然白来西山了，特别是龙年，套个彩头也值得。推荐理由:索道体验感拉满(上一次是在四川西昌体验）风景不错，滇池尽收眼底门票性价比比较高，75元包含了门票，交通等(介意者可以分开购买，但是一起买，性价比更高。,2024-02-25 18:54,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all,"
                                fufuhuhu
                                ",35,写在前面，2月12去的，人巨多。进龙门景区要排队，进了景区做索道上山要排队（2小时），从山顶步行下山，如果要看景点，要排队（感觉下山的路，没一块砖都站满了人），步行下到半山腰坐电瓶车要排队，坐完电瓶车，坐大巴到公园门口离开，还是要排队……真的，带老人小孩儿的，如果要去还是换个时间去吧自然风光还可以，人文的话，咱也不是很懂，就不多说了总之，时间允许，可以去走走逛逛；特意去，在假期高峰期，个人觉得，不是一个明智的选择，比如我，就失策了还有，步行下山的路，有个山洞，路很窄，光照也很暗，石阶有点滑，也没有安全出口的提示（还是这种景点可以不设有？），当山洞中同时容纳很多人的时候，多少会有安全隐患存在,2024-02-13 08:47,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all,"
                                妞妞宝牛牛
                                ",50,我们今天的路线是海埂大坝-滇池索道-西山龙门景区-夜游云南民族村也算是一条不走回头路的线路，首先说交通，是打滴滴很方便，我们是提前一天买好了今天游玩我们吃的食物还有喂海鸥的面包饼干等，到了大坝这一路边走边玩边喂海鸥我们溜达了一个多小时走到了滇池西山索道也就是昆明旅游索道到那直接购买单程索道，这里推荐买单程不走回头路但是如果想回来下午再喂海鸥就买双程往返，个人觉得没必要下午海鸥吃饱了互动性差些，这是一条跨越滇池的全封闭轿厢索道俯瞰滇池和春城景色很美，个人觉得还是值回票价的，下了索道到了另一个景区就是龙门景区，提醒大家这个门票套票是需要提前购买至少要在出行当天的早上九点以前购买，不然就到景区直接购买原价票，套票含有单程龙门索道往返大巴车和门票，儿童票都是现场购买就行，到了龙门景区会有志愿者讲解服务，这个讲解员小姐姐带着我们游西山一路讲解介绍的很细，是义务讲解免费的这点点赞当地文旅局啊，我们选择的是上山坐索道到山顶在徒步下山到大巴车乘坐点坐车下到山脚下直接是地铁口（3号线西山公园站），这时候已经下午四点多了，本来想去民族村了解到日场是五点清场我们就买了夜场票五点半开始进场，这里还要提醒大家民族村夜场必须从正门进，别的门进不去的，我们先去吃饭，我们是从这里西山公园地铁口打车去到饭店（晚上我们吃的野生菌火锅，我比较喜欢野生菌火锅这几天没少吃哈哈），吃完饭我们打车去民族村东门售票处门票50，夜场表演有五场演出，我闺女还是很喜欢看的，少数民族舞蹈，灯光秀，孔雀舞最后的大蹦迪她都很喜欢，尤其最后简直嗨美了，一直玩到九点多散场，充实愉快的一天啊！最后提醒一下民族村就海埂大坝附近，另一线路就是玩完海埂大坝-逛民族村日场两三小时-西山索道-龙门景区然后下山,2024-01-20 07:12,27,13
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all,"
                                暖暖的阳光元
                                ",45,交通：开车方便，停车场车位不那么紧张。地铁也可以到达，西山森林公园站出来就是景区游客中心，可以买票，也有一条小吃街。也有卖东西的。特色：如果想自己爬山的话，可能需要时间长一些。可以买套票，包含龙门门票—环保大巴（双程）—电瓶车—龙门索道。我们是跟团游，先坐的大巴到龙门景区，凭票进入换索道，到山顶拍照游玩，慢慢爬山下来，看风景和石刻。旅游推荐：昆明西山风景区主要由华亭寺、太华寺、三清阁、龙门等景点组成。唐代称为碧鸡山；元明以来，称太华山；因其在城西，当地百姓习惯称它为西山。看简介说可以有三条路线可选游玩，建议来玩提前攻略。,2024-02-02 22:48,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all,"
                                贼愤怒的老鸟
                                ",50,在这个晴空万里的日子里，我们一家四口满怀憧憬地踏上了探索云南滇池西山景区的旅程。早早抵达目的地，首先映入眼帘的是那波光粼粼的滇池，浩渺无垠，仿佛镶嵌在大地上的蓝宝石，熠熠生辉。为了更好地领略西山全景，我们选择了乘坐缆车上山，悠悠然升至半空，脚下是滇池泛着涟漪的水面，远处则是层峦叠嶂的山脉，这份高空观景的体验令人兴奋不已。缆车稳稳地把我们送达山顶，随后换乘摆渡车，穿行于林荫道间，最终抵达了著名的西山龙门景区。这里古木参天，石阶蜿蜒，仿佛置身于历史与自然交织的画卷之中。我们沿着石阶拾级而上，沿途欣赏着精美的摩崖石刻，感受着千百年来的文化底蕴。终于，我们登上了龙门，站在峰巅之上，整个滇池风光尽收眼底。那一刻，仿佛所有的疲惫都被眼前的壮丽景色所消解。龙门的雄浑气魄与滇池的柔美秀逸相互交融，构成了天地间一幅无法复制的美景。我们沉浸在这幅山水画中，尽情享受大自然的恩赐。尽管一天的行程下来身体略感疲倦，但内心却充满了欢愉与满足。记忆中的滇池西山之美，将会成为我们永恒的家庭回忆。,2024-02-06 20:16,,
