景点名称,网址,用户名称,星级,评论内容,时间,赞,回应
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p178,"
                                蓝涵蓝涵
                                ",50,龙门景区~原来只去了一半西山龙门位于昆明，乘坐滇池出发的索道直达。西山龙门，北起三清阁“孝牛泉”南侧“别有洞天”石门，南至龙门“达天阁”，整个在千仞峭壁上的石窟工程，统称“龙门”。相传古时有凤凰停歇，见者不识，呼为碧鸡，故唐代称为碧鸡山。又因形状像卧佛，也叫卧佛山。西山现已辟为一座森林公园，景点较多。“三月三，耍西山”是传统盛会。在乘坐下山的索道时，同我们一起的还有昆明本地人，都过来上西山游玩。据她们所说，体力好的，都是走龙门栈道迂回下山的。而且我们到了西山，竟然没有去龙门石窟，算是遗憾。毕竟有“不耍西山等于不到昆明，不到龙门只是白跑一趟西山”之说，只能怪我们攻略做的太少！,2017-03-30 09:39,1,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p178,"
                                长安无故里
                                ",40,来昆明之前就听说了这个地方，神奇的是我去年刚去过洛阳龙门石窟，因为这个缘分，对这里的龙门也是非常向往，刚好这个天气挺好，不冷不热的，遂决定去看一看这个神奇的地方。上山之前也对此做了一些了解，龙门景区，准确来说应该是西山森林公园的一个核心景点，东临滇池，是一条长约数公里的大断层。在此断层南侧，修筑了一条石刻通道，石道都是用人力从悬崖峭壁上一锤一钻打出来的。石道途中有隧道，呈螺旋宛转，高约与人等。石洞若窗，下临万丈深渊，惊心动魄。站其之上，五百里滇池尽收眼底。山顶有座“魁星阁”。途中有著名的“凤凰衔书”。因道中“达天阁”石坊上题有“龙门”二字，人们故称此为——龙门。快到龙门处有石刻：一登龙门，身价百倍！我想可能一多半的人爬山都是为了这个吧，用手摸下龙门下方的铃铛，希望越来越好吧，对我个人，也是对这个景区，5A景区得名头，应该不会太远，感谢给我留下美好记忆的龙门！,2017-03-25 22:59,5,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p178,"
                                decyanchi
                                ",50,西山风景秀美，和滇池呼应，值得一游,2017-03-08 20:26,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p178,"
                                YANKOT
                                ",40,在某程网上买了西山的套票，去到才知道要在山脚下取票，无奈之下只好退掉，在门口售票处重新购买。其实原价没有想象中的贵，77元，比网上仅便宜个两块钱而已。买套票的话就比较省时省力，大概一个半小时就可以游完。时间多的其实买个门票也可以了，或者加个索道上山，从上而下走。套票是龙门门票40元+龙门索道25元+电瓶车10元+保险2元，共计77元。龙门索道，是那种普通座椅，坐上去有个小的搭脚，没有玻璃隔离的简单索道。幸好坐上去的时候脚下的树不远，所以不会这么畏高。大概能坐个20分钟，看到整个滇池，还是挺划算的。上去后，可以向工作人员拿个电子导游器，这个玩意儿第一次见，挂在脖子上，戴上耳套，就相当于有个导游在身边了哈哈，而且好神奇，它不会一直播放，会根据你走到哪自动说的。这个必须点个赞啊。西山，其实也就只有龙门有看头，那个位置能毫无遮挡地看到滇池及昆明市。当然，有点远，其实也看不太清楚哈哈。总体来说景点还行吧，走着不累。如果多些景色就好了。,2017-03-06 09:56,11,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p178,"
                                馨雅0205
                                ",50,不错，到昆明值得一去，除了滇池，就是这里了。我们是从南门进的，走到龙门，做了小缆车和索道上山，再走一段就出了南门了。,2017-02-25 09:32,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p178,"
                                一米阳光照亮你
                                ",50,来云南旅游必去龙门，环境很好套票也不贵，建议大家买套票，包含龙门景区门票、双程大巴车、单程索道票、景区观光游览车票，首先在高尧游客中心购票换票，然后坐大巴车上去再坐西山索道上龙门，上去后在门口领取游览证还可以领取一个讲解器，不过弄丢了要赔三百大洋，总体来说还是非常值得的。,2017-02-20 22:44,1,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p178,"
                                moon_daughter
                                ",50,帮公司考察会议旅游，感觉这个线路设计需要改进，如果从滇池索道上来，游小石林，返回登凌虚阁，再下龙门，参观聂耳墓，下山拜佛赏花，景点就全部串起来了。景区预留一天时间可以全部逛完，最精华的龙门景区其实一下就逛完了，而且西山没啥逛的，目前的设计往返坐景区直达车小景点看不了。龙门一段有岔路，找起团队有点难，应该设个不走回头路的规划。讲解器很贴心，不过不是所有景点能用，设的普通话、粤语、童声，童声是不是鸡肋？都没有英语，我们恰巧要带老外。大家日常旅游是个不错选择。,2017-02-19 22:25,1,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p178,"
                                Yelena_5681
                                ",20,团购票只给一张小到不能再小的纸！结果走到一半当垃圾扔了！下山的时候就全部要自己淘钱💰补票！和工作人员说完全不理你！就算你手机上有凭证也没用！太不人性化了！超不开心的一次行程,2017-02-14 15:17,5,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p178,"
                                Jim_3498
                                ",40,首先可以这么去西山：乘坐6、51、17、18、21、94等公共车在高峣（yao）下车，即可到达。从云南民族村附近可乘高空缆车直接抵达龙门，票价单程35元。从海埂公园也可乘索道抵达龙门，票价单程40元。如果买的联票就按联票上的取票地址取票，联票一般玩起来比较快。自己爬也可以，能锻炼身体，还能节约费用，也不是很高，海拔1900米至2350米。就是有一段路得在公路上走，走得不太舒服，因为老有车过来，你就得小心避让。,2017-02-10 14:28,2,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p178,"
                                大victor
                                ",50,到了才知道去错地方。又买了票进去。但是没有让我失望。真的是好多有意思的风景。值得一去。一去龙门，身价百万。,2017-02-10 09:58,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p178,"
                                细伢子_5646
                                ",40,有时间可以去玩玩，缆车不错，走走玩玩也不累，我们拖家带口的，总体还行,2017-02-09 22:19,,
