景点名称,网址,用户名称,星级,评论内容,时间,赞,回应
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                瓜橘橘
                                ",50,交通很方便，地铁直达，开车最近人多，停车的地方需要再进去点。来过很多次了，多了吃的以后就变成吃点爬山，下来再买点美滋滋。寺庙人也很多，不过这次没去。进景区和爬山都可以，约着朋友是很不错的放松方式，从车道那里爬上去再从石梯下来会更轻松。,2023-02-07 12:45,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                冠军弟弟Williams
                                ",40,到了昆明，去滇池就一定要去西山风景区玩一玩，强烈推荐！推荐先坐索道上山，然后再走下来。如果先爬山，特别容易累。从山上往下走，边走边领略滇池的美景，会让人觉得非常舒适。而且昆明四季如春，爬山也不会觉得特别热。景区有摆渡车，直接带到缆车处，很方便。,2023-02-06 20:09,1,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                莎莎
                                ",50,第二次来西山，很不错的体验，特别是索道，喜欢全部镂空的索道，亲近大自然的感觉真好，带着全家人来到了这里，真的很喜欢，龙门虽然小小的，但是寓意深刻，站在西山之巅滇池美景尽收眼底美不胜收，以后有机会还回来的。,2023-02-06 13:20,2,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                Ryan
                                ",50,元宵佳节，天气晴朗！邀约家人、朋友一起登高望远。西山风景区自然是昆明周边不错的登山选择，既有人文景观，又有自然景色！从茶马花街开始，沿步行通道一路向上，不时可以眺看滇池全景。沿山而建的几座寺庙，一定是要去打卡的，新的一年，祝家人身体健康！空气清新，满眼皆绿，这里也许能让你爱上徒步旅行。,2023-02-05 10:38,2,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                Regon_
                                ",50,滇池可以说是昆明最受瞩目的景点之一，**上那些海埂大坝喂海鸥的小视频一个接一个上热门，也让滇池的红嘴鸥着实火了一把。其实深度游览滇池之后，我才发现，滇池中令人留恋的不仅仅是成群的海鸥，那些细微的看似并不惹眼的景色，更能让我心生愉悦。我们就在太阳底下，与海鸥一起发呆，它们偶尔拍拍翅膀呼应，却不飞。在青山绿水间，感受这份岁月静好。,2023-02-04 23:52,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                ftndft
                                ",50,我们住在滇池这一块，所以上午走到滇池西山索道站，乘坐滇池西山索道来到龙门景区门口，这一段100元双程。这个索道先是跨湖又爬山，中间有90度转弯。下了索道就到了龙门景区门口，然后再坐20分钟的敞开式龙门索道，下索道后我们爬了很陡峭的山路一会儿到了凌虚阁，看昆明城市全景。然后又走下来坐龙门索道，再坐滇池西山索道回到酒店,2023-02-04 19:47,2,2
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                好饿哦
                                ",50,传说中的西山公园，如果周末不知道去哪，爬爬西山绝对很减压，一边呼吸新鲜空气，一边观赏沿途的风景，到达山顶的时候还可以眺望整个昆明的从山脚走到西山龙🐉门，慢慢走大概也就一个小时左右，也可以做十块钱的大巴车上去，但是我更享受走上去的过程，一路上可以拍拍照🌲，看看小松鼠到了龙门，想去山顶就🉐买门票了，不想去下山可以🚡索道票下山直达滇池公园，沿着索道还可以感受一望无际的海天一色，就在身下当黄昏的时候，走下山也是比较不错的，看着夕阳西下，微风轻轻吹过，真的很舒服，到山下还可以逛逛茶马花街的美食文化街，吃点小吃，喝杯奶茶，一天也就愉快的结束,2068f85d2154,1,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                咖啡BU加糖
                                ",40,"昆明西山风景区位于昆明西郊有""高原明珠""之称的滇池湖畔，距市区15公里，主要由华亭寺、太华寺、三清阁、龙门等景点组成。唐代称为碧鸡山；元明以来，称太华山；因其在城西，当地群众习惯称它为西山！身处西山，峰峦起伏、林木苍翠、白鸟争鸣、景色秀丽。古刹殿宇楼阁掩映于茂林修竹深处。登龙门观日出，面对烟波浩淼的五百里滇池，心旷神怡，给人带来无穷无尽的遐想。",2023-01-31 20:56,2,1
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                雪沫乳花0826
                                ",40,坐三号地铁站就能到达，图一是西山游览图，下了地铁往西走，里面有一条繁华小吃街（图二），可以坐大巴到图三，里面就要买门票游览了，坐缆车还是挺好玩，可以看到滇池，最近几天不推荐来玩，游客太多，排队太挤了（图八）,2023-01-31 18:28,1,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                heheliheheli
                                ",50,云南我无数次想来的地方，我非常向往的地方，我来了。这里空气清新，气候宜人，蓝天白云，景色很美，西山很美很美，一路游览车向上👆，看到了全景很美很美的。昆明名不虚传的好地方，有美景有美食还有美人。站在高处远眺好美,2023-01-31 08:58,4,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                欧石楠晕
                                ",45,索道🚡上滇池购票建议单程不买双程，下山可以坐大巴，大巴终点站有地铁和古镇商业街，打车也方便上到西山发现去龙门的人太多太多了直接放弃了，人太多也会降低出行的体验感西山有聂耳墓也有一个美术馆，在咖啡馆发现了超级惬意的地方最佳观景点还是西山美术馆的观景台，门票20还可以看画展，VVVIP看景，比人挤人幸福太多了😘#滇池旅行#滇池西山索道#西山#冬日旅行计划,2023-01-30 09:33,8,1
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p46,"
                                是小琴子呀
                                ",50,一般周末不知道去哪里？又想出去动动的时候，首选西山，不仅能锻炼还可以看美景，吃美食，我一般是坐地铁到西山公园，然后边走边拍，有时候会出10块钱让面包车拉到后山，直接买票下山来，这样节省体力，在慢慢的爬下来，再去茶马花街吃点小吃，完美的一天就结束了。,2023-01-29 11:42,6,
