景点名称,网址,用户名称,星级,评价内容,时间,赞,回应,文本
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                珏珏珏儿
                                ",50,有一张全家福是小时候爸爸妈妈抱着我在西山龙门拍的，那应该就是我上一次来西山。这次是陪外地的朋友过来玩耍，带她坐了景区环保巴士🚌，体验了缆车🚡（另我突然发现自己可能有点恐高），俯看了滇池全景，在龙门祈祷了考试顺利。开心的！,2019-10-2001:24,3,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                大家一同边玩边吃吧
                                ",50,跟大家分享一下我的行走路线，千万不要走冤枉路。我们是头天晚上在携程上订的套票75元一张，(这个还是很公道的价格，事实证明我的选择非常明智)我们是自驾车，导航到西山风景区游客中心停车场，停好车后出门左转30米到游客中心自助机器取票，随后上大巴车上山，大概开了20分钟，爬山的游客还是很多的，我看他们羡慕我们坐车的表情，就知道我们的选择正确，到了山门口，有两条路可选，一条坐索道，一条坐电瓶车，服务人员看我们带着老人就建议先坐索道，这里真要感谢他们，坐索道是上山，山路陡峭，有些地方还滑，直上直下，台阶还很高，老人根本走不了，建议不爱爬山的朋友先坐索道，索道需要20分钟左右，一路上风景很好，滇池一览无遗！到达山顶后就一路下山一路游览，买套票可以免费提供讲解耳机，非常人性化，下山的风景非常美，穿林海过山洞下地道，全都体验了，再看爬上山的朋友，浑身大汗淋漓，根本就没心情看风景，下山后归还耳机，出山！完美,2019-10-1917:06,34,1,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                Cora菱角
                                ",50,进入昆明的境内已经是下午三点多了，首先进军的是位于滇池西面海拔两千多米的西山森林公园。听说过龙门吗？先声明一下，这可不是梁先生和张小姐主演的龙门客栈的龙门，而是雄踞西山峭壁上腾空而出的“达天阁”——龙门胜景，作为西山最壮观的景点，它当之无愧。据史载，由三清阁至慈云洞的通道及整个龙门景区都是在原生岩石上，自清朝乾隆起共历时72年，由人工一锤一凿完成的。工程之巨，刻艺之精，令人叹为观止。坐在空中吊缆上，沐浴着各煦的阳光，极目眺望着一望无际的滇池，这种感觉令人心旷神怡，偶尔经过一些地势低的地方，伸伸脚还可以和松树们打打招呼。而辽阔的滇池就在我们的左前方，放眼望去，隐约还能见到昆明市区、水獭养殖基地和足球训练基地。在导游的带领下，我们直接登上了“龙门”，站在龙门之巅不但可领略到五百里滇池的壮美，更可看到滇池的出海口，它形似倒过来的葫芦，故名滇（颠）池。据导游介绍上西山一定要四摸：即一摸“龙门”、二摸“龟蛇长寿”、三摸“孝牛石”、四摸“财神爷”。挨个摸完“龙门”上的“龙珠”，便从“达天阁”过坊转入仅容一人的石隧道摸索着下行，沿路可欣赏到多不胜数的摩崖石刻。,2019-10-1511:05,7,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                小灰灰year
                                ",40,交通：超方便哦从市区走，公交就可以到！索道：我坐了两种索道1⃣️.过河的封闭式70元来回，上山的风景有点恐惧啦一开始2⃣️.下山的开放式25元趟，从山顶下来到下山坐封闭式的位置，这个开放式的速度超级慢，超舒服，一点也不吓人，非常值得去尝试下，真的很舒服😌龙门石窟：全程累的我，要门票的，具体我忘啦，突然是在爬山途中拍的，恐高建议不进去龙门石窟，有点吓人。总结：这一趟还是值得啦，重点就是开放式索道超级舒服，往下的风景真的很棒,2019-10-1423:03,2,2,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                Yayuuuu
                                ",50,这是来昆明必来的地方，🚠缆车一定要坐，俯瞰整个昆明，感觉吸进去的空气都能净化自己了。建议缆车上去，走路下山作电瓶车回到美术馆，二十分钟也不累。这是我的西山路线：-8:30开园，17:00索道停止18:00大巴停止-.坐大巴🚌到艾维美术馆.推荐看美术馆（周一闭馆）旁边有家高海拔画廊西餐：Thecanvan；.买索道票、电瓶车票（全程15分钟左右，收纳整个昆明景色）；.走龙门路线下山（30分钟左右）；.坐电瓶车回美术馆再做大巴回到山脚.山脚下逛茶马花街（不大.小吃都不错）,2019-10-1518:43,3,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                地球赫了一跳
                                ",50,生态不错，可以俯瞰电池，山上有松鼠,2019-10-1318:03,,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                小明学长
                                ",50,小时候就关注了，现在才能去，真的很漂亮，可以眺望滇池，上面有西山龙门，还需许多寺庙，推荐大家不行，不要坐车，这样体验会更好，或者骑自行车，可以带上相机，望眼镜，去看看滇池，完了山下还有一条小吃街，都是云南特产！,2019-10-1317:11,,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                静崽
                                ",50,西山是很棒的参观景区，按照先坐大巴车，然后到达聂耳墓，然后再坐索道。索道是镂空的，但是大家不要害怕，大家可以拼在一起上去两个人一组，或者是自己去，当然也不高，最矮的地方都可以触碰的，所以肯定是没问题的。恐高人群，也是适合坐到达山上，山上可能会比山下冷一点。要多穿点衣服，千万不要忘了最后下山的时候，如果去民族村的话，就可以直接坐索道下山了。做到底，中间别下索道。,2019-10-1222:07,11,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                哈哈哈哈哈
                                ",50,去西山都回来好久了，才想起来点评，哈哈啊哈哈哈，国庆节期间人就是多，也热闹，还有美食节，一天逛下去，简直是吃到撑，带老婆小孩还有爷爷奶奶一起来的，玩得超级开心，主要是为咯陪家人们👪，还搭乘了缆车🚠，滇池水看过去一片绿，很棒,2019-10-1216:46,2,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                【已注销用户】
                                ",50,云南昆明西山风景区，是一个峰峦起伏、林木苍翠、百鸟争鸣、景色秀丽的森林公园。茂密的森林植被，常年郁郁葱葱，华亭寺、太华寺、三清阁等古刹殿宇楼阁掩映于茂林修竹西山森林茂密，花草繁盛，清幽秀美，景致极佳，在古代就有“滇中第一佳境”之誉。从昆明城东南一眺望，[2]宛如一位美女卧在滇池两岸。她的头、胸、腹、腿部历历在目，青丝飘洒在滇池的波光浪影之中，显得丰姿绰约，妩媚动人，所以又叫睡美人。,2019-10-1215:26,16,,下一页
