所属主题,文章数量,特征词,主题强度
Topic0,59,环境、民宿、设施、房间、卫生、感觉、喜欢、酒店、舒适、入住、服务态度、管家、特色、拍照、选择、干净、煮茶、围炉、早餐、老板、整洁、热情、整体、漂亮、地方、体验、氛围、满意、不错、细节、办理、女朋友、周到、出行、交通、贴心、前台、灯光、适合、舒服、用心、很好、出片、密码、提供、细心、套房、满满、照片、风景、愉快、热心、便捷、进门、专业、下午茶、放松、视野、厨房、品质、细致、打卡、水果、靠近、机会、好评、住宿、程序、耐心、姐妹、开心、位置、麻将桌、样子、餐厅、聚会、浪漫、扫码、清洁、游船、离开、想到、年轻、清新、手工、电脑、智能、客厅、通风、收藏夹、保证、卧室、天气、是用、食材、靠窗、前院、操作、户型、零食,0.054986
Topic1,128,房间、干净、体验、整洁、环境、喜欢、卫生、设施、推荐、入住、装修、不错、民宿、老板、酒店、热情、风格、舒服、满意、舒适、位置、整体、很棒、管家、前台、地理位置、拍照、好看、值得、暖气、风景、围炉、距离、很大、落地窗、地铁口、性价比、交通、煮茶、贴心、客服、提前、网红、帮忙、投影、适合、老板娘、视野、早餐、停车、提供、地方、朋友、江景、感觉、一楼、地铁站、正好、总体、房子、不用、冰箱、超好、照片、完美、投影仪、友好、电影、餐厅、位于、中心、质量、泳池、院子、居住、周到、住宿、便利、景点、惬意、氛围、用心、出行、服务态度、接待、布置、咖啡厅、玻璃房、柠檬、聚会、放松、装饰、回复、好评、萝卜、小吃街、感到、打车、期待、游玩,0.11929
Topic2,60,房间、干净、入住、不错、卫生、设施、环境、交通、推荐、民宿、舒适、便利、体验、整洁、舒服、洗澡、热水、酒店、位置、服务态度、宽敞、景色、地理位置、江景、出行、地方、好吃、朋友、早餐、拍照、地铁口、距离、值得、很大、巷子、空间、空调、感觉、布置、差评、声音、繁华、博物馆、庭院、解决、充足、老板娘、布局、用心、景点、清晰、宠物、恐怖、房东、评价、车子、步行、卫生间、看着、适合、好看、吃饭、愉快、出差、很漂亮、打卡、选择、效果、好评、对面、环境优美、马桶、友好、广场、夜景、出门、蜘蛛、优美、便捷、商圈、大学城、投影、小吃、景区、停车场、空气、很棒、满意、环境卫生、团建、下午茶、管家、客服、女生、细节、房间内、记得、道理、遗憾、权益,0.055918
Topic3,69,环境、入住、民宿、卫生、热情、设施、房间、干净、选择、推荐、不错、很棒、舒适、老板、好吃、体验、店家、值得、管家、图片、老板娘、满意、酒店、舒服、地方、完善、喜欢、建议、面积、贴心、细心、异味、地铁站、碰到、行李、空气、整体、房型、放心、耐心、卫生间、房东、景点、性价比、床垫、负责、问宿、布局、办理、小心、人员、格调、玻璃、用心、阳台、坡子、小吃、外卖、湘菜、程序、泡澡、队伍、交通、洗衣机、冬瓜、超大、价格、冰箱、牛奶、住客、隔音、院子、围炉、店长、重点、早餐、马桶、前台、步行、朋友、房间内、退房、空调、转身、旧楼、简洁、纸巾、智能、外地人、休息、城景、同事、配置、办公桌、分离、周到、疑问、调色、还养、小时,0.064306
Topic4,24,房间、民宿、环境、拍照、舒服、满意、干净、卫生、体验、很大、老板、适合、下午茶、外卖、大学城、贴心、整体、照片、整洁、酒店、价格、推荐、好吃、设施、夜景、朋友、管家、美食、续房、牛奶、玻璃、手机、美景、寄存、天气、布置、到位、地方、露台、图片、吃货、装修、落地、景点、入住、床单、发现、泳池、洗漱、空间、感觉、江景、热情、亲切、位置、早餐、回复、麻将桌、挂不住、地段、卖点、位于、离坡子、打麻将、太太、早饭、墙面、被子、耳塞、性价比、还好、临近、庭院、速度、幸运、一条街、消息、后花园、鸟叫声、空调、地理位置、细节、提供、看吧、投影仪、宵夜、惊喜、当家、携程、送来、划算、楼梯、小吃、光影、前台、姐妹、弟弟、介绍、落地窗、超市,0.022367
Topic5,78,房间、设施、舒服、干净、民宿、位置、卫生、不错、入住、体验、舒适、环境、朋友、图片、酒店、投影、布置、保洁、管家、热情、老板、整洁、露台、地理位置、宽敞、装修、床铺、公寓、很大、喜欢、感觉、干湿、柔软、景点、房东、风格、市中心、漂亮、床垫、分离、江景、贴心、性价比、满意、很漂亮、厕所、沟通、隔音、不太好、枕头、冰箱、交通、马桶、被子、对面、优越、房型、前台、配套、态度、很软、浴缸、好看、挺大、推荐、选择、出行、不行、洗漱、休息、灯光、梳子、一楼、电热毯、找到、退房、餐馆、人员、回答、预定、建议、控制、电梯、围炉、布局合理、只能、别致、出门、暖和、景色、热心、马路、驻店、合适、耐心、停车、机会、大床、质量、差点,0.072693
Topic6,80,不错、房间、卫生、环境、干净、推荐、管家、舒服、位置、开心、热情、老板、体验、很大、到位、入住、朋友、设施、泡澡、好吃、性价比、地理位置、舒适、贴心、值得、投影仪、姐妹、隔音、灯光、露台、出行、很棒、夜景、房东、喜欢、投影、酒店、江景、客服、美食、风景、好看、效果、地铁、住宿、出门、愉快、耐心、名宿、感觉、空间、地板、地方、好评、民宿、硬件、感谢、老板娘、回复、品茶、客厅、惊喜、步行、员工、坐在、空空、介绍、帮忙、味道、大门、确实、房型、景色、阳台、景点、烤面包、停车、出差、下午茶、院子、选择、泳池、挺好、老街、整体、房子、浴室、热闹、照片、煮茶、地点、小时、拍照、学校、适合、宽敞、好闻、很好、住房、消毒柜,0.074557
Topic7,56,房间、民宿、推荐、舒服、干净、朋友、热情、酒店、老板、喜欢、好看、值得、好吃、打扫、院子、感觉、环境、不错、体验、卫生、很漂亮、很大、惬意、整洁、风格、管家、满意、很好、工作人员、出门、退房、位置、用心、拍照、别致、下午茶、便捷、氛围、美好、围炉、超好、水果、友好、价格、中央空调、很小、卫生间、质感、布置、很棒、感到、度过、赠送、保洁、零食、店长、确实、整体、入住、舒适、装修、贴心、出差、设施、绿荫、煮茶、到位、客服、住房、连住、老街、休息、精致、浴室、好好看、博物馆、舒适度、送餐、全景、夫妇、温柔、欣赏、外套、发现、帽子、评价、预订、区域、烟霞、看得出、完美、优点、配置、花草、超大、店里、可惜、行程、沐浴、泡泡浴,0.05219
Topic8,38,房间、酒店、干净、舒服、卫生、民宿、管家、入住、不错、浴缸、选择、老板、风格、好评、环境、夜景、地铁站、国金、投屏、床上、感觉、视野、遮光、机会、出差、整洁、装修、房子、惊喜、用心、设施、朋友、投影、热情、地方、地台、吃饭、色调、看电视、实拍、好吃、窗帘、行李、很漂亮、房型、帮忙、步行街、小时、咖啡、空间、欣赏、聚会、悬浮、温暖、惬意、江景、图片、很棒、围炉、适合、颜值、繁华、满意、舒适、卫生间、煮茶、城景、确实、推荐、隔音、发现、拍照、出行、整体、楼层、泳池、喜欢、性价比、挺大、心情、细看、介绍、奶茶、解决、烟雨、住宿、装备、折腾、衣服、柠檬、换洗、好比、姐妹、纱帘、可惜、住惯、带我去、宗街、加热、方式,0.035415
Topic9,86,房间、干净、不错、环境、位置、卫生、舒服、民宿、推荐、酒店、装修、适合、热情、设施、感觉、舒适、满意、体验、拍照、管家、院子、风格、整洁、好吃、早餐、老板、江景、出片、喜欢、交通、风景、入住、很大、对面、煮茶、空间、出行、贴心、地理位置、惊喜、客服、开心、住宿、前台、用品、电影、电梯、效果、很漂亮、围炉、性价比、好找、周到、空调、很棒、宽敞、电话、赠送、失望、两张床、洗衣机、超赞、首选、相符、窗户、客厅、泳池、出去玩、选择、老板娘、房东、服务态度、出门、提供、公寓、简单、地方、投影、布局、地铁站、沟通、提前、走路、清新、行李箱、氛围、度假、店长、烦恼、超高、采光、卫生间、狗狗、退房、洗漱、加油、压抑、超值、下楼、质量,0.080149
