Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重
上海,0.021,上海,0.033,项目,0.022,喜欢,0.036,上海,0.028,上海,0.042,不错,0.091,上海,0.053,感觉,0.023,江南,0.022,上海,0.027,景色,0.087
世博会,0.014,博物馆,0.028,迪士尼,0.018,不错,0.036,位于,0.027,古镇,0.040,值得,0.090,建筑,0.038,不错,0.011,豫园,0.015,公园,0.017,性价比,0.068
历史,0.012,参观,0.019,上海,0.017,孩子,0.029,上海市,0.017,老街,0.021,地方,0.054,历史,0.023,真的,0.011,第一次,0.012,樱花,0.012,趣味,0.049
苏州,0.011,展览,0.012,排队,0.016,小朋友,0.023,休闲,0.016,热闹,0.012,环境,0.032,陆家嘴,0.020,小桥流水,0.010,上海,0.011,游客,0.009,不错,0.020
地铁,0.010,电影,0.011,小时,0.011,开心,0.019,旅游,0.015,七宝,0.012,一去,0.028,外滩,0.019,体验,0.010,讲解,0.011,小镇,0.009,漂亮,0.015
独特,0.009,位于,0.010,预约,0.010,体验,0.019,教育,0.014,逛逛,0.012,交通,0.018,位于,0.017,上海,0.010,园林,0.011,免费,0.009,夜景,0.013
号线,0.009,值得,0.010,乐园,0.009,推荐,0.017,中国,0.011,特色,0.011,适合,0.016,中心,0.015,服务,0.009,园内,0.010,开放,0.009,上海,0.013
建筑,0.008,游客,0.009,时间,0.009,朋友,0.017,娱乐,0.011,晚上,0.011,推荐,0.016,上海市,0.015,夜景,0.008,城隍庙,0.009,世纪,0.008,风情,0.011
地方,0.008,打卡,0.008,体验,0.009,好玩,0.017,仓库,0.010,小吃,0.011,风景,0.014,中国,0.013,风景,0.008,感受,0.008,游览,0.007,特别,0.010
纪念馆,0.008,海洋,0.007,提前,0.009,真的,0.017,中心,0.009,美食,0.011,游玩,0.013,黄浦江,0.012,特别,0.007,始建,0.008,优越,0.007,速度,0.009
值得,0.007,水族馆,0.007,公园,0.008,感觉,0.014,一体,0.009,人民广场,0.010,便利,0.011,地标,0.010,好多,0.006,老城厢,0.007,地理位置,0.007,有趣,0.009
交通,0.007,门票,0.007,分钟,0.007,适合,0.014,公园,0.008,步行街,0.009,景色,0.010,金融中心,0.010,美景,0.006,耐心,0.007,居民,0.007,喜欢,0.009
来到,0.007,野生,0.007,表演,0.007,地方,0.014,四行,0.008,南京路,0.009,打卡,0.010,浦东,0.010,工作人员,0.006,回忆,0.007,广场,0.007,地方,0.008
游客,0.006,展品,0.007,刺激,0.007,特别,0.012,建设,0.007,小镇,0.008,环境优美,0.010,万国,0.009,环境,0.006,所在地,0.007,松江,0.007,真的,0.008
世博园,0.006,艺术,0.007,世界,0.007,周末,0.011,琉璃,0.007,江南水乡,0.007,体验,0.010,东方明珠,0.009,游船,0.006,真的,0.007,森林,0.007,有意思,0.008
特色,0.006,自然,0.007,建议,0.006,拍照,0.011,正式,0.007,周边,0.007,值得一看,0.009,文化,0.008,晚上,0.005,收获,0.007,度假区,0.007,好玩,0.007
中华,0.006,标本,0.006,游乐,0.006,总体,0.010,公路,0.007,繁华,0.007,趣味性,0.009,大厦,0.008,提前,0.005,古典,0.006,迪士尼,0.006,超高,0.007
艺术宫,0.006,动物,0.006,门票,0.006,好好,0.009,科普,0.006,城隍庙,0.007,逛逛,0.009,外白渡桥,0.007,三件套,0.005,专业,0.006,餐饮,0.006,好看,0.007
朱家角,0.005,游览,0.006,演出,0.006,超级,0.008,历史,0.006,市中心,0.007,森林公园,0.008,城市,0.007,照片,0.005,年间,0.006,大型,0.006,优美,0.007
特别,0.005,众多,0.006,游客,0.006,动物,0.008,文化,0.006,购物,0.006,干净,0.008,著名,0.006,门口,0.004,明代,0.006,体验,0.006,超级,0.006
