所属主题,文章数量,特征词,主题强度
Topic0,15,老板、民宿、服务、设施、热情、卫生、朋友、房间、环境、阿姨、下午茶、很好、露台、装修、夏天、下次、满意、晚上、舒服、干净、五一广场、打扫、地方、担心、住宿、体验、露营、楼梯、长沙、风格、好吃、早餐、泳池、特别、地面、楼下、感觉、烧烤、排不上、好玩、一幅、植相、博物馆、行李、沐浴露、睡一觉、非常热心、十点、环境卫生、智能、吹风机、冰箱、不用、糊糊、凉爽、用品、生活用品、洗漱、宝藏、隔音、洗发水、周边、半山、解决、亲切、影响、西餐、定格、冤种、起床、待客、角落、很大、价格、诧寂、夜晚、一扇门、睡眠、衣架、直发、最舒服、店铺、有求必应、相符、挺静、坐在、楼梯间、骑手、直出、很漂亮、想像中、适合、慎入、和早、贴心、一整天、软软、灯饰、大厅、推荐,0.046729
Topic1,10,民宿、店家、干净、房间、客人、长沙、热情、卫生、风格、不错、退房、这家、协商、环境、携程、服务、友好、服务态度、清洁、两个、沟通、入住、好看、泳池、设备、超级、值得、楼上楼下、江边、推荐、冬瓜山、位置、前栋、喜欢、味道、晚上、小姐姐、设计、经历、补偿、价格、潮宗街、东西、闹中取静、下午、院子、态度、尊重、满意、感受、蜗牛、客服、费用、给予、惬意、吵闹、烟火、小酌、橘子洲、几次、去年、入职、室内、楼上、白色、总共、疫情、烧烤、地砖、美中不足、搁置、极力推荐、整洁、牛肉、大方、美女、床品、打招呼、独立、很淡、五一、常来、临街、两杯、真心、休息、阳台、一栋、智能、冰箱、聊聊天、一位、国金、开放、停车、照片、马桶、洗衣机、出游、宠物,0.031153
Topic2,5,房间、入住、环境、装修、下次、浴缸、酒店、干净、标注、这家、挺不错、贴心、民宿、满意、位置、老板、特别、真的、看得出、那种、一块、泳池、年久失修、白敬亭、餐桌、出门、心思、须知、地理位置、兼职、拿家、几步、巷子、闹中取静、很大、小表弟、两夜、宽敞、打开、不太想、挺舒服、客房、图片、工程、幽静、携程、拿上去、疯狂、砸醒、住宿、赶紧、打扫、定好、另一家、忍无可忍、受虐、足够、全程、店家、很爽、噪音、茶颜悦色、一模一样、早上、好看、设置、无窗、还发、总体、一看、自助式、投影、箱子、舒适、很棒、超级、洗漱、介绍、新装修、帮忙、大堂、一家、国金中心、当天、长沙、临时、不到、服务、一晚、前台、透光、惊喜、不错、旅游、三个、楼下、只能、服务态度、拍拍、卫生,0.015576
Topic3,7,舒服、不错、交通、装修、住宿、出行、热情、店家、便利、房间、满意、私密性、紧邻、饮食、吃饭、值得、临江、五星、性价比、风格、要出、推荐、停车、停车费、痛快、泳池、服务态度、很美、齐全、费全免、民宿、新颖、位置、地理位置、床品、商业街、设施、橘子洲、老板、设计、晚霞、第一次、干净、好评、环境、服务、卫生、下次、长沙、酒店、环境优美、整洁、特别、舒适、感觉、安静、选择、喜欢、入住、体验、便宜、管家、楼下、前台、拍照、贴心、超级、适合、还好、真的、太棒、好喝、江边、很大、夏天、温馨、旅游、早餐、环境卫生、朋友、太棒了、地方、小姐姐、服务周到、好找、挺好、免费、新开业、晚上、好吃、客服、行李、这家、机会、五一广场、很棒、一家、下午茶、洗衣机、冬瓜山,0.021807
Topic4,16,不错、地理位置、房间、超级、环境、位置、帮忙、好吃、推荐、特别、服务态度、酒店、周边、出行、安静、按摩、装修、还给、早上、很棒、书屋、有个、结伴、长沙、确实、房东、无敌、很大、零乱、免费、安保、马路、楼下、中医、十足、大厦、怪味、附加、下雨、坏境、温馨、五一广场、图片、客气、声音、景点、闹中取静、洗衣服、勇敢、需求、舒服、那层楼、不符、几步、房子、小吃街、旁边、优越、不贵、麻烦、对面、网上、西瓜、一股、黄兴、小时、下次、特色、适合、体验、停车、安排、空间、好多、卫生间、好玩、五一、行李、国金中心、设施、朋友、前台、步行街、老板、干净、服务、卫生、满意、舒适、热情、民宿、喜欢、入住、整洁、性价比、环境优美、感觉、好喝、选择、交通,0.049844
Topic5,34,房间、下次、特别、环境、长沙、服务、体验、民宿、不错、超级、位置、卫生、舒服、干净、酒店、舒适、这家、管家、住宿、楼下、下午、拍照、好看、两个、很棒、打卡、感觉、旅行、齐全、江景、满意、喜欢、休息、入住、惬意、帮忙、小姐姐、来到、工作人员、心旷神怡、我家、尽收眼底、氛围、装修、民俗、精致、住客、性价比、考试、分钟、步行、免费、推荐、美景、室外、适合、设施、老板、真的、好吃、四个、安静、不忙、安全感、卸去、地方、扫码、电车、本次、疲惫、家里、热心、入睡、街边、延迟、安然、时间延迟、活动、淋雨、东瓜、天宝兄弟、员工、闹市、厨房、一身、右手边、预定、友好、度假、贴近、好玩、很大、交通、泳池、提供、下考、自然、洗衣机、姜茶、橘子洲,0.10592
Topic6,18,房间、真的、特别、温馨、入住、舒服、民宿、老板、超级、下次、退房、咖啡、很漂亮、小姐姐、布置、装修、干净、环境、开心、服务、旁边、不错、地理位置、推荐、旅行、几天、行李、布料、孩子、长沙、感觉、无敌、齐全、设施、酒店、拍照、温暖、管家、性价比、卫生、好喝、位置、选择、超大、朋友、回来、步行街、小米、智能、胡同、风格、大树、床品、像直、帮忙、城市、一塌糊涂、连住、没顾、放心、木家、内部、东西、美的、随意、被子、希望、坐落、餐厅、一点点、笑容、意外、身体、手冲、两个、小巷子、哈哈哈哈、一家、老店、上楼、个性、点点、惊喜、咖啡店、风情、体验、稍微、繁华、好看、适合、免费、超好、搬下来、吵闹、太多太多、居家、被套、顺利、做事、夜景,0.056075
Topic7,31,房间、环境、干净、长沙、位置、安静、热情、老板、下次、旅游、喜欢、入住、装修、满意、卫生、服务态度、地理位置、感觉、好找、晚上、管家、潮湿、酒店、江边、拍照、这家、整洁、被子、有求必应、肯定、公寓、缺点、智能、夜景、性价比、图片、别致、自助、江景、马桶、第一次、河西、特别、下午、设备齐全、服务、身上、不错、市中心、温馨、楼下、东西、衣服、仔细、橘子洲、旁边、进店、经济型、出游、要说、繁华、时光、高档、打车、吧台、嘴巴、区内、端午节、地铁站、特意、还给、烧烤、唯美、睡觉、老城、划伤、大大的、煮茶、时间、搞了个、干爽、第二天、围炉、空气、名字、只能、不行、湘江、湖边、岳麓山、简易、挑剔、湖面、行礼、烘干机、小资、黏糊糊、污渍、停车费、消毒,0.096573
Topic8,23,房间、干净、服务、卫生、不错、舒服、楼下、环境、推荐、热情、交通、真的、超级、四个、格调、饮料、一点、便利、特别、名宿、地方、老板娘、场地、咖啡厅、前台、适合、工作人员、位置、小姐姐、早餐、体验、长沙、满意、民宿、重点、行李、风格、下次、沐浴露、哥哥、网红、登记、比较简单、风景、拍照、隔音、小鸟、电梯、小哥、到达、出游、吝啬、中上、团建、回头客、放松、洗发水、生活用品、中心、外头、声音、堵掉、安全感、一项、冰箱、洗衣机、花窗、岳麓山、位于、洁癖、耐心、礼物、治愈、客服、漏掉、酒吧、装修、女生、氛围、很漂亮、人均、有人、下午茶、主动、合适、美食、晚上、后门、肯定、早上、时尚、不用、直通、房东、设计、高档、休闲、衣帽间、宁静、特色,0.071651
Topic9,13,服务、环境、好吃、设施、卫生、真的、房间、民宿、停车费、长沙、齐全、酒店、老板、不太好、好喝、位置、前台、地方、不错、早餐、网红、投影仪、头发、下午茶、晚上、洗衣机、冰箱、好玩、提前、闹市、遥控器、仔细、解放、第一次、耐心、地铁口、国金、小姐姐、体验、第二天、深巷、坏掉、放松、有人、夜市、夜路、霸王、自付、机会、女生、卫生状况、一分货、果汁、店家、视野、解决、贴心、价钱、旁边、害怕、国金中心、清冷、打扫、房卡、开车、绒毛、单身、告知、一会、来住、大雨、推广、停车、油烟机、污渍、床单、只能、建议、一点点、唯一、江景、冬瓜山、吧台、回头客、总台、规范化、墙角、下次、优良、新装修、生气、地板、书房、确实、地砖、米粉、早饭、周末、定位、停车场,0.040498
