内容,主题概率,主题类型
福島 原発 北西 ある 福島 飯舘 いいたて 妊婦 乳幼児 避難 せる こと 明らか 政府 避難 屋内 退避 指示 いる 半径 キロ 外側 ある これ まで 大気 土壌 調査 放射線 高い 場所 見つかっ いる 政府 いま 現行 避難 地域 広げる 検討 いる 放射 物質 飛散 風向き 地形 影響 受ける 同心円 広がる 限ら ない 飯舘 たち 直面 いる よう 実態 見直し れる だろ 現在 半径 キロ 以内 避難 キロ 圏内 屋内 退避 いる 原子力 委員 防災 指針 沿っ もの 避難 する 放射線 目安 ミリシーベルト だっ 屋内 退避 など 短期 想定 指示 だっ ところが 原発 不安定 状態 長引き 放射 物質 放出 続き かね ない 長期間 さらさ れる 前提 対策 切りかえる ある 対処 新た 浴びる 放射線 積算 ミリシーベルト なる 場合 避難 基準 する 考え方 伝え 国際 放射線 防護 委員 ＩＣＲＰ 原発 事故 など 緊急 考え 計算 目安 もとづく 数値 厳しく なる ので 新しい 基準 使う 避難 地域 なっ ない 地域 新た 対象 なる ところ くる だろ 避難 住民 大きな 負担 強いる なに 最も 住民 ため なる 優先 考え なく なら ない 放射線 による 影響 懸念 れる 乳幼児 妊婦 避難 あげ たい 入院 患者 動い もらう マイナス ある 一方 必需 取り 戻り たい という 住民 希望 切実 だろ その ため きめ細か 指示 求め られる 避難 地域 見直す 一時 帰宅 進める なる 観測 データ 充実 放射 物質 どう 広がる 予測 する 緊急 放射能 影響 予測 ＳＰＥＥＤＩ システム 使っ 濃度 高く なり やすい 地域 割り出し 観測 より する という やり方 あろ ＳＰＥＥＤＩ 先月 公表 だけ 予測 限界 明確 うえ 利用 できる よう する べき ない 現在 放射能 広がり それ による リスク 評価 専門 わかり やすく 説明 する それ 周辺 住民 もちろん 国民 理解 得る ため ますます 大切 なっ,"[(1, 0.99773204)]",1
原発 エネルギー 政策 抜本 見直し 野田 政権 政権 から 引き継い テーマ ひとつ 野田 首相 政権 方向 踏襲 する 方針 明らか いる 原発 新設 困難 という 認識 示し 老朽 など 危険 高い もの から 中長期 原発 依存 下げ いく 考え 妥当 判断 あり 歓迎 する 定期 検査 稼働 について 厳格 臨む よう 求め たい 原発 事故 絶対 絶対 思考 縛ら 原子力 行政 電力 会社 癒着 生み 情報 流れ 阻ん だり 改革 摘ん だり 実態 浮き彫り 野田 政権 こうした ゆがみ 修正 新しい エネルギー 政策 転換 政治 発揮 なけれ なら ない 問題 どの よう 枠組み 改革 進め いく エネルギー 政策 従来 経済 産業 所管 事務 つとめる 総合 資源 エネルギー 調査 中長期 電源 確保 など 盛り込ん エネルギー 計画 定期 示し 内閣 原子力 専門 による 原子力 委員 ほぼ 原子力 政策 大綱 策定 いる それぞれ ９月 見直し 動き 始める だが どちら 原発 推進 積極 担っ 組織 とりわけ エネルギー 政策 立案 熟知 する 一方 電力 会社 原発 利権 絡ん 政治 役所 ＯＢ しがらみ 強い 改革 なる ほど こうした 勢力 抵抗 予想 もと 公正 判断 下せる 懸念 ある 政権 内閣 官房 新た 関係 閣僚 による エネルギー 環境 会議 設け 政治 主導 改革 進める 姿勢 示し ７月 まとまっ 会議 中間 整理 原発 依存 低減 分散 電力 システム 構築 という 将来 示し うえ 電源 ごと コスト 検証 発電 送電 分離 など 改革 論点 網羅 いる 野田 政権 この 会議 エネルギー 改革 向け 機関 として 明示 べき 知識 意欲 もつ 官僚 専門 集め 態勢 強化 エネルギー 調査 など 既存 組織 その 改革 肉付け する もの する もとより エネルギー 政策 転換 省庁 超え 政治 課題 ある 中間 整理 ある 通り 国民 議論 せる こと 不可欠 据え 野田 首相 官邸 主導 期待 たい,"[(1, 0.9975491)]",1
かつて ない 原発 事故 起こし 東京電力 どの よう 処理 いく それ 電力 システム 改革 試金石 なる わけ たち 考え方 示し たい 福島 原発 事故 ともなう 巨額 費用 東電 徹底的 負担 せる ほとんど 異論 ある まい しかし とても 追いつか ない だろ 電気 料金 税金 国民 負担 ざる ない これ 東電 処理 現実 政府 いま 進め いる 計画 確認 おこ 経営 陥っ いる 東電 に対し 国費 資本 注入 する こと 既定 路線 電力 供給 滞っ たり 金融 市場 混乱 たり する 避ける ため 措置 ある ところが 東電 分の 株式 経営 責任 負う こと 財務省 から 慎重 いる 将来 財政 負担 つながり かね ない という 理由 から 資金 出す あくまで 当面 こと 民間 企業 として 東電 残し いずれ 返し もらう ―― そんな 思惑 ある 国民 負担 回避 という この 理屈 一見 もっとも らしい 東電 賠償 資金 支援 する ため 施行 原子力 損害 賠償 支援 機構 そうした 考え方 立っ いる だが 長い いま 東電 存続 せる こと シナリオ だろ 東電 から 確実 返済 せる できるだけ 稼い もらわ なけれ なら ない それ 東電 地域 独占 守り 電力 市場 新規 参入 できるだけ 少なく ほう 得策 つまり 電力 改革 まとも つけ ない という こと なる 発電 売却 など 思い切っ リストラ 進ま ない 経営 賠償 できるだけ 抑えよ という 誘因 はたらく 被害 交渉 いま 遅れ かね ない それでも 東電 資金 捻出 する 至難 わざ 費用 ひとつ とっ 溶け 出し 燃料 回収 手法 めど すら 立っ ない ふつう 寿命 迎え 原発 かかる れる ましてや 事故 最終 撤去 まで かかる 総額 単位 膨らむ こと 間違い ない 福島 原発 残り 福島 原発 含めれ 費用 さらに 増える 足元 火力 発電 増強 による 燃料 高騰 経営 ゆさぶる 費用 いくら なる 見当 つか ない 追い込ま れる 東電 新規 投資 手控える だろ 電力 設備 保守 すら 危うく なれ 首都 電力 供給 支障 出る 結局 財政 負担 回避 する ため 東電 利益 確保 せよ する 首都 企業 家庭 法外 料金 値上げ 求め ざる ない もう 一方 国民 負担 覚悟 うえ 経営 握る ルート 今回 事故 責任 一義的 東電 ある 原子力 発電 国策 でも あっ 政府 推進 建設 許可 対策 怠慢 放置 まったく 責任 ない 考える ない はず 薬害 エイズ 肝炎 政策 責任 とっ 被害 救済 賠償 担っ 今回 後始末 として 引き受ける そこ さえ 決めれ 東電 処理 電力 市場 新しい つなげ られる 国有 意味 そこ ある もちろん 国民 負担 最小限 とどめる べき その ため まず 東電 リストラ 徹底 負債 あてる 原資 最大限 ひねり出す ある 東電 実質 債務 超過 状態 本来 なら 市場 ルール に従って 破綻 はたん 処理 れる はず 企業 ある 株式 価値 ゼロ する 東電 剰余 取り崩し ものの ほど 資本 ある 国民 税金 投じ られる 株主 損失 負担 する 金融 機関 債権 放棄 求める 融資 事業 リスク 審査 リスク 見合っ 金利 つける こと 市場 規律 働かせる 金融 役割 かかわら 銀行 東電 条件 資金 提供 地域 独占 電力 会社 あっ 政府 守る という 暗黙 理解 あっ から それ 原発 リスク 過小 評価 こと 裏返し ある 金融 機関 結果 責任 とら なけれ なら ない 社債 東電 担保 付き あり 扱い むずかしい ただ 東電 電気 事業 価値 そのもの 大きく 毀損 きそん いる 担保 目減り 社債 償還 せる 考え方 ある はず 市場 対話 重ね ながら 方法 探る べき られ 資金 被害 賠償 優先 あてる ステップ 進む ため できるだけ 早く 解決 なけれ なら ない もちろん 経営 交代 せる トップ だけ なく 部署 リーダー 社内外 から 改革 ある 人物 つけ 社員 問題 意識 新しい アイデア 引き出す 発電 など 資産 大胆 売却 たり 切り離し たり する 関連 会社 不透明 取引 排除 する 社員 処遇 見直す 企業 年金 破綻 企業 同じ 扱い ＯＢ から 早期 減額 合意 とりつける それでも 足り ない やはり 料金 値上げ 頼ら ざる ない ただし リストラ 徹底 する ぶん 上げ幅 小さく できる はず どちら 選ん 料金 値上げ という 国民 負担 避け られ ない なら 経営 握る ほう いい 明らか 原発 事故 による 損失 総額 現時点 見通す こと むずかしい 電力 改革 進む 事業 乗り換える 企業 家庭 増える だろ 東電 自体 解体 進む ため 電気 料金 による 回収 限界 ある 原発 推進 責任 として 原子力 予算 組み替え つつ 税金 穴埋め 検討 する ある 財源 余裕 ない こと 考えれ 例えば 東電 送電 利用 する こと 課税 どう そう すれ 東電 管内 電気 使う すべて 負担 する こと なる なお 不十分 場合 全国 課税 ベース 広げる 東電 管内 だけ 税率 高く する など 納得 得る 努力 なる だろ できるだけ 日常 生活 経済 影響 少なく する よう 工夫 たい どれ 簡単 ない だが 原発 事故 提起 問題 国民 全員 向き合う しか ない それ 福島 たち 自分 こと 考え 一人ひとり エネルギー 政策 真剣 考える こと つながる,"[(0, 0.99871415)]",0
年代 原発 ゼロ 目指す ―― 野田 政権 原発 向け 新しい エネルギー 戦略 決め 茨城 研究 初めて 原子 とも ８月 拡大 一途 だっ 日本 原子力 政策 大きな 転換 迎え 稼働 最小限 野田 政権 当初 全廃 慎重 だっ 最終 原発 稼働 ゼロ する 社会 実現 うたっ 原発 抱える 問題 大き 多く 深刻 受け止め いる こと 踏まえ 決断 評価 たい いえ 原発 道筋 明確 なっ いえ ない 戦略 増設 ない 運転 期間 厳格 適用 原子力 規制 委員 認め もの だけ 稼働 という 原則 掲げ いる だが ある 原発 単純 規制 適用 だけ １月 時点 時点 残る 地震 起きる 極めて 高い 地域 ある 浜岡原発 静岡 断層 影響 懸念 れる 原子 など 対応 あいまい まま 電力 需給 原発 事故 から 経験 原発 動かせ 乗り切れる 見通し 立っ 稼働 最小限 抑え 早期 原発 ゼロ どう 達成 する 戦略 盛り込ま あらゆる 政策 資源 投入 早急 する ある そもそも 巨額 コスト かかる 原子力 政府 支援 保護 なし 成り立た ない こうした 保護 優遇 停止 支援 ほか 電源 促進 あるいは 自治体 経済 構造 転換 する ため 制度 組み替え なけれ なら ない ただ 待た 閉める について 電力 会社 経営 影響 緩和 する 手立て だろ 設備 撤去 する まで 専門 技術 人材 欠か ない 戦略 責任 対策 講じる たとえば 原発 特定 法人 集約 管理 する 国有 について 議論 対象 なろ 核燃 サイクル 凍結 問題 原発 かかる 経済 政治 コスト 火力 発電 当面 電源 なり 燃料 膨らむ 問題 軽視 でき ない 電気 料金 値上げ やむをえ ない 節電 余地 生み にくい 企業 など こと 考えれ 限界 ある 戦略 指摘 する よう 官民 あげ 天然 ガス 輸入 価格 下げる 努力 欠か ない 価格 安い 石炭 火力 について 二酸化炭素 排出 減ら せる 最新 技術 実用 支援 態勢 充実 たい 地産 はじめ する 自然 エネルギー 育成 言うまでもない 政治 課題 燃料 サイクル 政策 見直し 原発 ゼロ 目ざす 済み 燃料 処理 する なく なる 処理 施設 受け入れ 青森 廃棄 押しつけ られ かね ない 反発 いる 原子力 協定 結ぶ 米国 保障 問題 など から 懸念 示し いる いう しかし 摩擦 大きい から 決断 先送り いけ かえって 使い道 ない プルトニウム 置き場 ない 放射 廃棄 増やす こと なる まずは 事業 凍結 責任 もっ 後始末 あたる べき 青森 関係 各国 協議 ながら 済み 燃料 する 中間 貯蔵 施設 確保 あげる 消費 含め 国民 検討 市場 活用 政界 すでに 政権 交代 色めき たっ いる だが どの 政党 政権 つこ とも 原発 減らし たい という 国民 意志 無視 でき まい では どの よう 枠組み 設けれ 原発 長期 取り組み なる だろ 一つ 法制 原子力 見直し だけ なく 原発 理念 明確 法律 あれ 拘束 生じる 見直し 国会 審議 なり 透明 担保 れる もう 一つ 市場 活用 する こと 電力 改革 進め 地域 独占 廃止 発電 分野 自由 競争 促す 原子力 規制 委員 電力 会社 事情 配慮 する こと なく 極めて 厳格 基準 設ける 競争 なか 確保 ため 追加 投資 経済 見合わ なけれ 電力 会社 原発 依存 自然 減っ いく 原発 ゼロ 現実 ない という 批判 ある しかし 放射 廃棄 処分 見つから ない こと 原発 リスク 抱え いる こと 電力 会社 国民 信頼 失っ こと それ こそ 現実 ある 簡単 ない 努力 工夫 重ね 原発 道筋 確か もの しよ,"[(0, 0.52701265), (1, 0.47298738)]",0
済み 燃料 処理 取り出し プルトニウム 燃料 利用 する 核燃 サイクル 日本 長年 国策 として 追い求め だが 国内 サイクル 実現 ない そもそも プルトニウム 利用 ウラン だけ 原発 より 割高 ある しかも プルトニウム 消費 だっ 高速 増殖 原型 もんじゅ 事故 挫折 いる プルトニウム ウラン 混合 燃料 発電 福島 原発 事故 見通せ ない すでに 海外 処理 委託 含め トン プルトニウム たまっ いる うち 日本 国内 ある トン だけ でも 計算 核兵器 つくれる 当たる 安倍 首相 できる 限り 原発 依存 低減 いく いる それなのに 首相 核燃 サイクル 事業 継続 せる 考え 示し いる 青森 六ケ所 処理 工場 トラブル 続き 延期 １０月 本格 稼働 めざし いる この まま 動かせ プルトニウム さらに 増える 公算 大きい 矛盾 言わ ざる ない 政策 国際 政治 現実 から プルトニウム 利用 マイナス 大きい 北朝鮮 イラン 開発 拡散 問題 世界 保障 深刻 落とす 非核 規模 処理 容認 いる 日本 だけ 被爆 体験 持ち 非核 原則 国是 日本 信頼 裏返し ある だが 使い道 明確 ない プルトニウム ためこめ その 信頼 つく 他国 日本 まね プルトニウム 利用 求め 待った かけ にくい ある 米国 懸念 根強い まで ホワイトハウス 科学 技術 政策 次長 つとめ メリーランド 大学 スティーブ・フェッター 教授 次長 在任 から 処理 反対 だっ 処理 工場 本格 稼働 プルトニウム さらに 増えれ 国際 理解 得る こと 難しく なる 危惧 する 原子力 規制 委員 処理 工場 基準 まとめる それ 待た 本格 稼働 急ぐ ない 現在 考え られる 最良 選択 済み 燃料 処理 空冷 貯蔵 容器 乾式 貯蔵 容器 する こと 乾式 貯蔵 改善 欧米 実績 あり 最終 処分 未来 技術 判断 すれ いい 次世代 さらなる 拡散 リスク 背負わ なく すむ よう 処理 撤退 決断 べき,"[(1, 0.99743897)]",1
日本 政府 途上 原発 輸出 血道 あげ いる 安倍 首相 今週 トルコ 訪問 三菱重工業 中心 企業 連合 による 原発 受注 成果 帰国 しかし 福島 原発 放射 物質 による 汚染 流出 続く 遅れ 事故 収束 めど いっこうに たた ない 見え ない 避難 生活 強い られ いる 住民 から よく 原発 売れる もの 怒り あがる ある 国内 原発 転換 求める 多く 国民 向け 原発 政策 あいまい 続ける 一方 海外 あたかも 事故 経験 日本 原発 技術 高め よう 売り込む 考え違い ない トルコ エルドアン 首相 記者 会見 安倍 首相 原発 事故 教訓 世界 共有 する こと により 世界 原子力 向上 図っ いく こと 我が国 責務 述べ 目標 として 正しい 場当たり 事故 対応 世界 不信 招い いる 実態 津波 地震 事故 大きな 影響 与え どう わかっ ない 有数 地震国 ある トルコ 売り込む 自信 どこ から くる 事故 賠償 責任 心配 カリフォルニア 原発 をめぐって 決め 電力 会社 損害 ドル のぼる 主張 原因 なる 放射能 漏れ 起こし 蒸気 発生 納入 三菱重工 グループ 契約 上限 超え 賠償 する よう 求め いる よう 引き渡し 知ら ない いか なく なっ いる 首相 自ら 売り込み 大きな 事故 起き 日本 政府 賠償 保証 くれる 受け止め られ ない 途上 多かれ 少なかれ 政情 不安定 でも ある 原発 テロ 物質 核兵器 転用 リスク 日本 政府 どこ まで 真剣 考え いる 疑問 ある エルドアン 首相 会見 事故 ある から いっ 自動車 飛行機 乗ら ない わけ いか ない 述べ だが 福島 事故 原発 危険 飛行機 同列 扱え ない こと 見せつけ 断層 に関する 論議 周辺 住民 広域 避難 計画 づくり 通し 地震国 原発 持つ 困難 よく わかっ 済み 燃料 最終 処分 から 暗礁 乗り上げ いる 安倍 政権 原発 輸出 成長 戦略 据える 山積 する 問題 つぐん 売り込む 倫理 とる,"[(1, 0.99764675)]",1
新た 神話 形づくら れよ ない 安倍 政権 示し エネルギー 計画 原発 稼働 手順 示さ 原子力 規制 委員 専門 判断 委ねる 規制 規制 基準 適合 いる 認め 原発 稼働 進める 自治体 など 理解 協力 られる よう 立つ 要するに 規制 基準 適合 原発 支援 動かす という わけ 安倍 首相 参院 予算 委員 世界 最も 厳しい 基準 判断 もの 稼働 いき たい 述べ 閣僚 から 規制 判断 宣言 みなす 発言 相次ぐ だが 規制 田中 俊一 委員 ども 絶対 とか そういう こと 申し上げ ない お墨付き 与える ため やっ いる 意識 ない いう 確認 おき たい 新しい 規制 基準 原発 事故 より ずっと 厳しい 万全 ない たとえば 放射能 原発 敷地 放散 場合 周辺 住民 避難 規制 基準 避難 計画 入っ ない 計画 づくり 実施 自治体 仕事 なっ いる 規制 基準 適合 判断 から いっ 住民 保証 れる わけ ない 人口 密集 近い 東海 茨城 浜岡 静岡 原発 県庁 所在地 ある 島根 原発 について 電力 事業 稼働 めざし いる 防災 計画 策定 義務づけ られ キロ 圏内 人口 東海 浜岡 島根 のぼる 格納 容器 破損 する 事態 なれ 時間 以内 キロ 圏内 避難 という 試算 ある 津波 地震 伴う 複合 災害 なれ 道路 寸断 渋滞 起きる だろ そうした これ だけ 被曝 ひばく 避難 せる こと できる 日常 砕か れる 住民 賠償 仕組み 全く 不備 だっ こと 福島 事故 明らか なっ 日本 だっ 東京電力 すら 支払い 不安 だらけ 事業 なら なお 困難 のに 新た 仕組み 詰め ない まま 見切り 発車 する 事故 教訓 ひとつ 備える こと 規制 適合 判断 どこ まで リスク 減ら せる それ だけ 足り ない もの そこ 見極め 国民 正直 説明 する こと 政治 使命 ある 規制 判断 もっ 住民 守る 論議 終止符 打つ こと ない,"[(1, 0.9975981)]",1
九州電力 川内 せんだい 原発 稼働 めぐり きょう から まで 地元 鹿児島 県議会 臨時 議会 開く 稼働 推進 陳情 採択 れる 公算 大きい だが 段階 川内原 稼働 進める こと 無責任 あり 反対 ある 原子力 規制 委員 原発 設備 詳細 審査 保安 規定 に関する 審査 まだ 終え ない 県議会 知事 稼働 同意 急ぐ べき ない より 大きな 問題 住民 避難 計画 ある 原発 事故 規制 放射 物質 飛散 する 過酷 事故 起こり うる こと 原発 審査 採り入れ 過酷 事故 対応 手順 など 審査 する よう なっ 前進 ある だが 過酷 事故 起こり うる 前提 原発 防災 対策 眺める 比べ 住民 避難 計画 目立つ 整然と 避難 できる こと なっ たり 避難 バス 台数 さえ 確定 だっ たり という 具合 原発 事故 踏まえ 道府県 おおむね キロ 圏内 市町村 避難 計画 策定 義務づけ られ しかし 規制 計画 作り 関与 地元 自治体 投げ 状態 現状 避難 計画 だれ 審査 おら いざ という とき 使える 保証 ない 北陸電力 志賀 しか 原発 事故 想定 実施 原子力 総合 防災 訓練 悪天候 による 住民 避難 でき なかっ 同様 こと 起き かね ない 原発 キロ 全国 自治体 首長 対象 朝日新聞 実施 アンケート 近い 避難 計画 審査 対象 含める べき 答え 早急 何らかの 法制 によって 実効 担保 避難 計画 策定 べき ある 川内原 名指し ない ものの 規制 火山 噴火 リスク 取り扱い 日本 火山 学会 異議 唱え いる 噴火 予測 限界 あいまい 理解 不十分 という ある 福島 原発 事故 津波 危険 主張 する 専門 事故 防げ なかっ 規制 電力 会社 火山 学会 主張 謙虚 傾ける べき ある 火山 リスク 原発 だれ 保証 でき ない こと 象徴 いえる なのに 自治体 首長 から 福島 起き 津波 地震 原発 事故 対応 する 言っ いい 信じ いる 発言 飛び出す 神話 回帰 同じ 失敗 繰り返し なら ない,"[(1, 0.99773306)]",1
東日本 大震災 すべて 原発 止まっ まもなく たつ 冷暖房 電気 多く 使う 規模 停電 引き起こす こと なく 乗り切っ 福島 原発 事故 国家 存亡 危機 招き 収束 ない 原発 知っ から こそ 不便 あっ 原発 止まっ まま たい 各種 世論 調査 半数 稼働 反対 いる そんな 思い 表れ だろ だが 安倍 政権 原発 回帰 しよ いる ８月 九州電力 川内原 鹿児島 稼働 いずれ 日本 電源 原発 まかなう こと 目指し いる なし崩し 原発 回帰 反対 する 国民 生活 負担 かかり すぎ ない よう 配慮 つつ 稼働 ない 努力 最大限 する べき 目指す べき エネルギー 社会 再生 エネルギー 主軸 あり 原発 電源 なる 社会 ない 避け られ 電力 朝日新聞 ７月 社説 原発 ゼロ 社会 提言 古い 原発 危険 高い 原発 から 閉め めど すべて する 稼働 せる 原発 選び 需給 から もの 限る 節電 省エネ 対策 進め つつ エネ 開発 普及 あげる 当面 火力 発電 強化 長期 原発 温暖 両立 せる 多様 事業 新規 参入 促す 電力 改革 進め 消費 知恵 選択 生きる 分権 エネルギー 社会 転換 する 考え方 変わら ない しかし この 年間 状況 変わっ 最も 劇的 だっ 原発 による 発電 ゼロ なっ こと 全国 原発 動い その後 定期 点検 ため 次々 休止 一時 関西電力 大飯原発 福井 動い ものの ９月 以降 一つ 原発 稼働 ない この間 心配 電力 起き なかっ 緊急 電源 かき集め しのぐ 局面 あっ 節電 定着 はじめ 火力 能力 高め たり 電力 会社 垣根 越え 電力 融通 あっ たり する こと まかなえ ただし 原発 稼働 ゼロ まま 定着 せる 環境 盤石 なっ まだ 言え ない 規模 発電 から 遠方 消費 電気 送る 供給 態勢 原発 事故 そのまま 残る システム 脆弱 ぜいじゃく 克服 ない 電力 ピーク 大きな 火力 発電 故障 すれ 不測 事態 起きる 消え ない システム なお 脆弱 電力 火力 頼っ いる 現状 持続 言え ない だろ エネルギー 輸入 頼る 為替 価格 変動 リスク 常に さらさ れる 電気 料金 国民 日本 経済 値上げ どの 程度 まで 許容 できる 詳細 調査 ない まま 値上げ 生活 経済 活動 深刻 影響 与える こと 避け なけれ なら ない 国民 生活 深刻 影響 与える リスク ゼロ なっ ない そう 考えれ 手段 として 稼働 という 選択肢 否定 する 難しい それでも 個々 原発 に対する 判断 きわめて 慎重 なけれ なら ない この 原発 動かす こと どんな 不利益 回避 できる 電力 広域 融通 電力 応え なお 稼働 といった 観点 から 納得 いく 説明 でき なけれ なら ない 原発 条件 から 確保 いる こと 周辺 住民 避難 できる 手段 整っ いる こと 前提 なる 稼働 ゼロ 実績 それだけ 稼働 ハードル 高く いる こうした 状況 もと できるだけ 早く エネ 育て 分散 電力 システム 切り替え いく その ため 新た 方向 誘導 する 政策 努力 欠か ない 政府 改革 道筋 立て 送電 充実 原発 ゴミ 処分 など 資源 せる 進める 態勢 づくり 収益 だっ 原発 失う 自治体 支援 原発 関連 事業 経過 措置 なる 原点 福島 原発 ところが 安倍 政権 行こ いる 原発 依存 限り 低減 する ながら 原発 維持 する 方向 転じ 原子力 規制 委員 ＯＫ 原発 すべて 動かす 判断 投げ 規制 発電 限っ 物理 見る すぎ 政策 責任 負う もの ない 自治体 責任 持つ いい ながら 中身 ない 川内原 場合 でも 住民 確保 火山 噴火 問題 積み残し まま 原発 考える 原点 福島 原発 事故 ある 原発 動い ない この 実績 生かす こと 考える べき ある,"[(1, 0.99852926)]",1
まるで 福島 原発 事故 司法 逆戻り よう 福井 地裁 きのう 関西電力 高浜原発 号機 福井 稼働 禁じ ４月 地裁 仮処分 決定 取り消し 規制 基準 について ４月 決定 緩やか 過ぎ 適合 原発 確保 ない 断じて 今回 高度 専門 独立 有する 原子力 規制 委員 審査 する 規制 基準 枠組み ある 規制 審査 について 判断 不合理 ない 結論づけ 同時に 審理 大飯原発 号機 運転 差し止め 仮処分 申請 稼働 差し迫っ いる いえ ない として 却下 ４月 決定 以降 四つ 原発 耐震 設計 目安 なる 基準 地震動 超える 地震 こと 済み 燃料 プール 設備 堅固 ない 指摘 これら 今回 決定 危険 社会 通念 無視 得る 程度 まで 管理 いる 述べ 原子力 専門 知見 尊重 審査 見過ごせ ない ほど 落ち度 ない 限り 司法 専門 技術 判断 踏み込ま ない ―― 四国電力 伊方 原発 訴訟 最高裁 示し 判例 今回 決定 この 考え方 踏襲 いえる だが この 枠組み 司法 判断 避け 続ける 福島 事故 起き なかっ 原発 ひとたび 事故 起こせ 広範囲 長期間 計り 知れ ない 被害 もたらす 専門 判断 委ね 深刻 事故 めったに 起き ない という 前提 立っ よう 今回 決定 想定 事故 起こり 得る という 視点 欠け いる 原発 あり方 考える 大切 論点 だっ はず 関電 高浜 稼働 遅れる ごと 経済 損失 出る 主張 司法 ストッパー 外れ こと 稼働 向け 手続き 加速 する だが 原発 国民 厳しい 視線 注が いる こと 忘れ なら ない 電力 会社 原発 稼働 同意 得る 地元 範囲 原発 自治体 限っ いる 高浜原発 キロ 圏内 京都 滋賀 含ま れる 同意 得る 範囲 見直す べき 福井 多く 原発 集まる リスク について 議論 不十分 政府 電力 会社 これら 問題 置き去り まま 稼働 突き進む こと 許さ ない,"[(1, 0.9974976)]",1
