Unnamed: 0,content,Unnamed: 2,综合评分,type,情感type,主题概率,主题类型
0,要说 新车 味道 不可避免 打开 车窗 通通风 几天 瑕疵 影响 整体 好感  不足    利用率   算是 油耗 坐在 驾驶 头部 腿部  充裕  三个 成年人 超大  周末 郊游 搬家 派上用场 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.01725372), (1, 0.0141885), (2, 0.9685578)]",2
1,非要 上天 时间 发现 内饰 异味 有没有 感受 紧凑型 轮胎 奢侈  需求  越做越 担心 轴距 超过 平时 车上 坐满 拥挤 后备  深得我心 平时 钓鱼 工具 轻松 不稳 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.64705795), (1, 0.013293698), (2, 0.33964834)]",0
2,油耗 市区 油耗 理解  不足 乘坐    车身 近乎 方正  不足 横有 宽度 深度  胖子 没什么 反正 一家 四口 出行  动力 尾箱 容积 后备箱 装太 大件 东西 续航 噪音 亏电 车漆 空间,,4.57,0,neg,"[(0, 0.014225256), (1, 0.013879583), (2, 0.97189516)]",2
3,唯一 不足 音响 音质 有点 听歌 音响 欠缺 希望 厂家 提升 音响 品质 进一步 提升 听歌 享受 程度   后备箱   系统 坐在 驾驶 压抑 局促  腿部 活动 自如 座位 颠簸 不足储 物格  零碎 物品 找到 合适 存放处  尺寸 适中 携带 行李 轻松 解决 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.8162273), (2, 0.1754179)]",0
4,感觉 车子 颠簸性 很好 科技 价格  出色 车身 长度 宽度 保证 动力 腿部 伸展  不足 储物箱  反正 感觉 紧凑 内部 不稳 价格 伸开 车子 内部  实用 感觉 腿脚 伸不开 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.25647482), (1, 0.013281009), (2, 0.73024416)]",2
5,买车 目的 出行 舒心 地方 地方 少之又少  多处 设置 便捷 储物  中控台 下方 储物 车门 内侧 口袋 中央 扶手箱 日常 提供 便利    充满 人性化 考量  座椅 支持 分割 装载 件物品 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.011149068), (1, 0.011235119), (2, 0.97761583)]",2
6,如果说 地方 内饰 异味 开窗 散气 几天 影响 希望 改善   说异味 后备箱 高度 小轿车 感觉  开阔 车子 驾驶 位置 挺 自我调节 东西 垃圾 几个 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.015897324), (1, 0.015240209), (2, 0.9688625)]",2
7,要说 高速 电量 发动机 介入 小小的 顿挫 瑕疵 享受 带来 众多 便利 面前 不值一提  可谓 大方 得体   无论是   找到 颠簸 坐姿  容积 相当可观 日常 购物 长途旅行 行李 轻松 平常 购物 要装 孩子 东西 异味  油耗 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(2, 0.9808281)]",2
8,颜值 造型 储物  细节 精致 不稳 城市 感到 地方 优秀 外观 带给 实践 体会  经典 车身 外观 不知 从何说起  一家人 身材 不高不矮 二郎腿 宝宝 感觉 换车 看得出来 精心   异味  颠簸 角度 中央 扶手箱 小东小西 好找 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.0103247445), (2, 0.9800739)]",2
9,新车 多久 不足 异味 打开 车门 坐进 闻到 想要 异味 干净 估计 时间 吸附 异味 起到 效果   肯定 是够 我用 当初 试车 重点 体验  前 有试  宽大 高度 宽度 充足 布局 分配 前 保证 宽松 颠簸度 头顶 压抑 腿部 受约束 一家人 坐得 车上 储物格 日常 放置 物品 拿取 顺手 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(2, 0.9830383)]",2
10,地方 音响 音响 听听 追求 高品质 得换 一套  系统 调整 座椅  刚刚 大人  座椅 一拳 距离 我家  小孩子   后备箱 孩子 外出 玩具 很好 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.014634844), (1, 0.013718688), (2, 0.9716464)]",2
11,这辆 后备箱 优点 后备箱 突出点 后备箱 缺点 均衡 薄弱 悬挂 坐过 级别 好多 感觉  台车 优势   不用 完美  给力  座椅 位置  腿部  储物   内部 储物格 零碎 物品 找到 位置 显得 特别 整洁 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.012856389), (1, 0.012098252), (2, 0.9750453)]",2
12,担心 缺点 台车 内饰 感觉  效果  特别 行驶 过程 感觉 不足  内饰 缺点 缺点 外观 特别 豪华 感觉  稍微  担心 款车  整体 乘多  价格 头部 腿部  讨厌 特别 台车   表现 不稳 三个 成年人 感觉 拥挤 车型  表现  乘坐 颠簸性 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.7584747), (1, 0.013179306), (2, 0.22834602)]",0
13,内饰 做工 材质 挑不出 毛病 视觉 有点 颜色 单调 有点 拼接 那种 色彩鲜明  类型  内部 宽大 代步 平常 几个 朋友 开车   动力 利用 三个 成年人 衣服 不用 紧贴着 缝隙 颠簸 伸展 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.1557266), (1, 0.011173363), (2, 0.8331001)]",2
14,要说 缺点 相对来说 第一  效果 水泥 路面 高速路 行驶 声音 特别 减震 独立 悬挂 偏硬 不算 特别 柔和  一辆车 价值 体现  表现 几天 老爸 一趟 水库 路途 不算 路况 钓鱼 东西 帐篷 做饭 东西 东西 放在  两个 轮班 开车  休息 简单 一会儿 解乏 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(2, 0.98147684)]",2
15,要说 车子  特别 理想   总体 油耗 平时 上班 通勤 代步 大人 小孩  三个 人会 稍微 拥挤 一点   充裕 平时   自然    动力 能装 东西 座椅 特地 皮质 座椅 配置 驾驶 前 空调 照顾  乘客 感受 续航 噪音 亏电 车漆 空间,,4.57,0,neg,"[(0, 0.0132173505), (1, 0.015476496), (2, 0.97130615)]",2
17,内饰 细节 做工 颜色  一点 视觉 感觉 单调 选择性 挑到 特别 心动   众所周知 优势 内部 布局 特别 乘坐 自在 随意 二郎腿 不论是 坐在  坐在  葛优  腿部  地板  平整 凸起 三个 成年人 拘束 缝隙 女孩子 包包 放到 侧边 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.011416991), (1, 0.010759176), (2, 0.97782385)]",2
18,感觉 内饰 颜色 特别 时间 新鲜 外观 惊艳 接受   布局合理 扶手箱  恰到好处 副驾驶 座椅 留出  颠簸  感觉  动力 拥挤 不受 束缚 车门 边上 储物格 一点  实用 饮料 矿泉水 收纳 杂物 副驾驶 手套  随车 物件 放进去 绰绰有余 后备  相当可观 放倒  座椅 容量 日常  座椅 扩展 小生意 拉点 货物 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(2, 0.9835212)]",2
19,完美 车型 要说 不足之处 接触 车辆 高科技 配置 时间 熟悉 智能 功能 驾驶 得力助手  堡垒 典范  内部 足以 家人 享受 颠簸 旅程 长途旅行 感到 局促 排座位  宽裕 欧巴 轻松 翘起 二郎腿 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.01129886), (1, 0.010651669), (2, 0.97804946)]",2
