word,counts
不错,2927
便宜,1242
很大,1150
确实,1054
著名,1015
遗憾,859
简单,726
壮观,703
干净,694
最美,683
清真,671
漂亮,658
有名,620
独特,615
正好,578
舒服,553
自由,553
神奇,511
美好,468
热闹,462
完美,439
精美,432
充满,420
完整,408
惊喜,402
正式,397
神秘,397
荒凉,371
顺利,352
一大,350
繁华,346
快乐,328
干燥,325
有限,310
惊艳,309
合适,299
幸运,295
清澈,293
顺便,287
意外,284
重建,282
惬意,281
紧张,274
辛苦,267
轻松,263
很小,263
浓郁,258
珍贵,257
幸福,253
很好,250
虔诚,242
成功,240
精致,238
详细,236
舒适,236
平遥,236
温暖,234
奇观,231
厉害,231
年轻,225
仔细,223
有趣,220
高大,211
雄伟,209
清晰,207
激动,207
充足,203
壮丽,202
辽阔,198
危险,190
最长,188
最多,182
幸好,182
好奇,181
辉煌,181
鲜艳,174
厚重,174
疲惫,173
庄严,171
镇远,168
麻烦,168
浪漫,159
古朴,159
固定,157
景致,157
陡峭,156
正面,156
完好,156
苍凉,156
和谐,156
孤独,155
优美,153
短暂,153
悠久,151
健康,151
连续,151
连绵,150
平静,148
很棒,148
愉快,146
