所属主题,文章数量,特征词,主题强度
Topic0,3067,疫情、病毒、新冠、防控、感染、国家、工作、中国、肺炎、风险、新型、措施、冠状病毒、放开、变异、防疫、健康、做好、政策、科学,0.14053
Topic1,1242,我阳、喜欢、希望、感觉、温暖、好像、喉咙、粉丝、阳光、春天、期待、冬天、开心、一年、感受、永远、年度、朋友圈、谢谢、善良,0.05691
Topic2,1071,感染、疫苗、新冠、接种、病例、重症、美国、死亡、数据、人群、流感、病毒、中国、患者、症状、老年人、疾病、发现、毒株、流行,0.049074
Topic3,559,公司、科技、市场、股份、吃药、产品、中国、医药、企业、亿元、药业、项目、板块、价格、技术、增长、集团、涨停、相关、上市,0.025614
Topic4,1226,学校、学生、回家、老师、单元、放假、妈妈、阳华、感觉、爸爸、奶奶、宝宝、就阳、爷爷奶奶、同学、爸妈、哈哈哈哈、外婆、回来、外卖,0.056177
Topic5,2166,发烧、疫情、阳了、学校、病毒、家里、放开、妈妈、口罩、在家、武汉、家人、回家、上班、春节、同事、晚上、工作、退烧、朋友,0.099249
Topic6,1253,核酸、检测、人员、隔离、感染者、口罩、健康、医院、阳性、疫情、居家、发热、监测、防护、做好、佩戴、防控、无症状、活动、阴性,0.057414
Topic7,829,市场、经济、反弹、消费、预期、关注、需求、行情、指数、震荡、支撑、上涨、持续、整体、复苏、短期、方向、黄金、下跌、走势,0.037986
Topic8,4518,感染、症状、病毒、咳嗽、患者、感觉、新冠、身体、医院、治疗、发烧、老人、感冒、嗓子、医生、免疫力、放开、难受、药物、都阳,0.20702
Topic9,4061,生活、希望、三年、世界、一年、经历、中国、事情、疫情、生命、病毒、人生、时间、努力、面对、身边、朋友、终于、日子、加强免疫,0.18608
Topic10,625,考试、喜欢、网页、认证、公司、费用、高热、顺顺利利、期待、补助、考生、延期、平安、留学、英语、翻译、发高烧、海关、提交、收购,0.028638
Topic11,1207,中医、治疗、中药、阴阳、身体、人体、头痛、作用、代表、方法、食物、二阳、用药、临床、功能、阳气、宋亚轩、五行、症状、中医药,0.055306
