Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重
抗原,0.028,口罩,0.032,难受,0.036,祈求,0.013,发烧,0.022,疫情,0.045,睡不着,0.024,晚上,0.012,杭州,0.015,口罩,0.028,鼻塞,0.010,消毒,0.028
检测,0.028,疫情,0.030,晚上,0.023,功能,0.013,感觉,0.017,新冠,0.030,布洛芬,0.023,公司,0.012,取消,0.013,感冒,0.024,疫情,0.008,警察,0.013
核酸,0.023,感染,0.016,感觉,0.021,享受,0.012,症状,0.010,病毒,0.017,价格,0.018,疫情,0.010,航班,0.013,症状,0.020,病毒,0.008,明天,0.009
疫情,0.016,新冠,0.015,亿元,0.016,项目,0.011,上班,0.009,防控,0.012,结算,0.013,抗原,0.009,上传,0.012,流感,0.017,春节,0.007,公司,0.008
新冠,0.014,病毒,0.012,钥匙,0.012,疫情,0.010,昨天,0.009,发布,0.011,体温,0.013,核酸,0.009,互联网,0.010,嗓子,0.014,居民,0.007,法院,0.008
试剂,0.010,消毒,0.011,阳了,0.011,病毒,0.010,浑身,0.007,冠状病毒,0.011,经营,0.010,隔离,0.008,生育,0.010,全身,0.013,希望,0.006,利润,0.007
劳动者,0.010,通风,0.009,我阳,0.010,全球,0.010,咳嗽,0.007,新型,0.010,销售,0.009,发现,0.008,申请,0.010,头疼,0.012,睡不着,0.006,带薪,0.007
工作,0.009,冠状病毒,0.008,发烧,0.010,高烧,0.010,退烧,0.007,人员,0.008,万元,0.006,几天,0.008,放开,0.010,发烧,0.011,味觉,0.006,年休假,0.007
药品,0.008,预防,0.008,浑身,0.010,资产,0.009,下午,0.007,情况,0.008,市场,0.006,回来,0.007,药品,0.010,感觉,0.011,身体,0.006,休息,0.006
防控,0.008,新型,0.007,睡觉,0.008,价格,0.008,喉咙,0.007,感染者,0.007,快递,0.005,感染,0.006,呼吸,0.008,是阳,0.010,当初,0.005,含氯,0.006
感染,0.008,防护,0.007,舒服,0.008,低烧,0.008,公司,0.006,感染,0.006,听说,0.005,同事,0.006,疫情,0.006,中标,0.009,投毒,0.005,康复,0.006
人员,0.007,事件,0.007,咳嗽,0.008,公司,0.007,年度,0.006,新增,0.006,全阳,0.005,昨天,0.006,开通,0.006,平息,0.008,医院,0.005,湿巾,0.006
居民,0.007,防控,0.007,喝水,0.008,限价,0.007,吃饭,0.006,全国,0.006,身体,0.005,阳性,0.006,旅行,0.006,嗓子疼,0.007,伤害,0.005,高级,0.006
职工,0.007,肺炎,0.007,第二天,0.007,抗原,0.006,睡觉,0.006,肺炎,0.006,半夜,0.005,小区,0.006,行程,0.006,舒服,0.007,赔偿,0.005,工资,0.006
阴性,0.007,新增,0.006,病人,0.007,休息,0.005,网页,0.006,針對,0.006,短短,0.004,两天,0.006,包含,0.006,难受,0.007,症状,0.005,案件,0.005
信息,0.007,佩戴,0.006,烧到,0.007,呜呜,0.004,感冒,0.006,阳性,0.006,一圈,0.004,上班,0.006,办理,0.005,退烧药,0.007,老公,0.005,冰箱,0.005
系统,0.006,美利,0.006,痛苦,0.007,误区,0.004,明天,0.006,国际,0.006,反正,0.004,终于,0.005,出售,0.005,不想,0.007,同事,0.005,单位,0.005
健康,0.006,私人,0.006,早上,0.006,水平,0.004,害怕,0.006,安居,0.005,票据,0.004,家里,0.005,医疗费,0.005,身体,0.007,要死,0.005,高峰,0.005
病毒,0.006,确诊,0.006,第三天,0.006,补充,0.004,不想,0.006,陕西省,0.005,药房,0.004,第二天,0.005,客票,0.005,害怕,0.006,转阴,0.005,食物,0.004
证明,0.006,空气,0.006,本来,0.006,过年,0.004,东西,0.005,网页,0.005,无权,0.004,评论,0.005,药房,0.005,喉咙,0.006,事件,0.005,运动,0.004
