所属主题,文章数量,特征词,主题强度
Topic0,5218,市场、个股、走势、震荡、指数、亿元、概念、板块、经济、消费、资金、增长、下跌、科技、股份、总体、预期、上涨、反弹、医药,0.058178
Topic1,2866,流感、一带、我阳、啊啊啊、中招、发现、科学家、考研、文化、科普、发烧、时间、没阳、病毒性、病亡、开学、口服药、刀片、工人、理解,0.031955
Topic2,25315,希望、生活、感觉、喜欢、朋友、世界、妈妈、事情、三年、一年、好像、身边、经历、终于、都阳、老师、时间、有人、好好、结束,0.28225
Topic3,2953,日本、春节、变种、明年、亿美元、去年、印度、互联网、攻击、冲击、战争、比例、禽流感、逃逸、网友、人民日报、计划、月份、武汉、上周,0.032925
Topic4,1408,张文宏、宇宙、爸爸、中疾、能量、亚型、没阳、哈哈哈哈、新年、内地、安妮、意识、地球、自然、流行性、大师、面试、甘草、非典、停课,0.015699
Topic5,2179,病例、感染者、确诊、新增、无症状、报告、境外、本土、死亡、隔离、输入、发现、肺炎、累计、诊断、也阳了、出院、爷爷、轻型、低烧,0.024295
Topic6,5679,症状、治疗、患者、身体、咳嗽、中医、疾病、药物、人体、作用、服用、发热、功能、感冒、运动、免疫力、流感、导致、腹泻、呼吸,0.063318
Topic7,19880,新冠、病毒、感染、疫情、中国、疫苗、国家、美国、研究、流行、患者、变异、全球、接种、重症、死亡、免疫、数据、放开、疾病,0.22165
Topic8,690,考试、过年、元旦、研究员、倒下、考场、考生、儿子、养老、脑雾、带病、联合国、圣诞、校园、阿根廷、师生、养老院、气温、不准、圣诞节,0.0076932
Topic9,7330,医院、发烧、家里、老人、嗓子、咳嗽、同事、医生、上班、症状、在家、照顾、舒服、身体、晚上、小时、退烧药、休息、担心、感冒,0.081726
Topic10,3752,回家、布洛芬、老公、公益、奶奶、阳了、手机、第一波、晚上、口罩、外卖、下午、关怀、还好、酒店、昨天、冬至、就阳、快递、上班,0.041833
Topic11,12420,疫情、工作、防控、检测、健康、核酸、冠状病毒、新型、措施、新冠、做好、人员、口罩、肺炎、防护、风险、监测、发布、相关、阳性,0.13848
