所属主题,文章数量,特征词,主题强度
Topic0,474,网页、难受、睡着、酒精、病毒、阳性、一夜、疫情、新冠、发现、请假、奥密克、检测、消毒、烧退、核酸、感染、十二点、希望、消失,0.04915
Topic1,2504,感觉、咳嗽、晚上、难受、发烧、感染、口罩、几天、上班、舒服、希望、医院、两天、睡不着、抗原、不想、半夜、嗓子、同事、鼻塞,0.25964
Topic2,456,疫情、药品、防控、冠状病毒、新型、肺炎、新冠、退烧、药店、小区、调整、风险、工作、保障、国家、睡着、转阴、病毒、措施、医疗,0.047283
Topic3,687,核酸、高烧、疫情、检测、新冠、采样、病毒、好好、工作、放开、快递、人员、口罩、居民、感染、说阳、小时、体温、期间、做好,0.071236
Topic4,319,睡不着、味觉、嗓子、嗅觉、鼻子、明天、脑袋、离谱、直播、感觉、温度计、耳朵、额头、老板、旁边、终于、买到、都阳、爸爸、科室,0.033078
Topic5,382,病例、确诊、本土、无症状、新增、输入、感染者、境外、全省、洗头、发现、大姨妈、隔离、江西省、累计、报告、出院、酸疼、医学观察、疫情,0.03961
Topic6,320,鼻子、太难受、买不到、嘴巴、咽喉、概率、低热、有人、感觉、大哥、夜晚、吐出来、出血、提前、莫名其妙、神清气爽、外套、一只、二次、反弹,0.033181
Topic7,2347,发烧、感觉、症状、晚上、感冒、浑身、头疼、布洛芬、体温、我阳、抗原、低烧、睡觉、早上、没阳、头晕、都阳、洗澡、下午、小时,0.24336
Topic8,265,白天、喝水、老公、力气、三点、折磨、价格、咳嗽、啊啊啊、康复、宝宝、连花清、周三、疫情、样子、好消息、周四、没劲、起床、十点,0.027478
Topic9,399,疫情、核酸、无症状、新增、新冠、病例、确诊、感染者、境外、公司、本土、输入、小区、轻微、口罩、烦死、驿站、病毒、感染、快递,0.041373
Topic10,843,检测、核酸、发现、疫情、退烧、隔离、人员、口罩、新冠、防控、例为、社区、感染者、健康、重点、无症状、本土、管控、筛查、病例,0.087412
Topic11,648,第三天、阳了、嗓子、流鼻涕、公司、吃饭、病毒、咳嗽、不停、舒服、六点、声音、一点点、几天、两天、春节、担心、我家、抗原、一盒,0.067192
