所属主题,文章数量,特征词,主题强度
Topic0,1338,味觉、转阴、高烧、就阳、我阳、三年、复阳、工人、传染、折磨、买不到、毒株、降到、流感病毒、好消息、不想、头发、说阳、抗原、三天,0.036223
Topic1,1370,退烧、第三天、药品、体温、嗓子疼、第四天、高烧、胃口、太难受、药店、药物、喝水、状态、稍微、厉害、发炎、退热、热水、第六天、抗病毒,0.037089
Topic2,3111,口罩、洗澡、没阳、全球、病亡、事实、洗头、抗原、鼻涕、领导、核酸、照顾、负责人、染病、请假、崩溃、电话、是阳、三年、隔离,0.084222
Topic3,676,体温、新增、個案、本土、病例、境外、死亡、台灣、移入、流行、確診、疫情、醒来、中心、今日、男性、公布、喝水、指揮、確定,0.018301
Topic4,1584,网页、确诊、退烧药、新增、无症状、病例、核查、感染者、新冠、本土、累计、疫情、隔离、想吐、胶囊、肺炎、变种、发现、发高烧、迷迷糊糊,0.042883
Topic5,2357,公司、新冠、中国、人社局、病毒、工作、疫情、认定、建新、医院、感染、口罩、员工、情况、阳性、工伤、检测、疫苗、入境、患者,0.06381
Topic6,4254,疫情、检测、核酸、新冠、冠状病毒、防控、新型、口罩、工作、感染、措施、发布、健康、人员、肺炎、病毒、抗原、阴性、隐瞒、佩戴,0.11517
Topic7,5256,疫情、病毒、口罩、核酸、放开、朋友、上海、没事、家里、感染、小区、痛苦、合同、家人、事情、春节、过年、小时、儿子、公司,0.14229
Topic8,1046,新冠、阳性、病毒、发现、感染者、检测、咽喉、人员、无症状、没测、早点、躲过、管控、中心、吞咽、身份、我俩、整整、筛查、采集,0.028318
Topic9,10459,晚上、发烧、症状、抗原、难受、感觉、咳嗽、嗓子、上班、感冒、下午、睡不着、睡觉、早上、同事、布洛芬、昨天、第二天、鼻塞、希望,0.28315
Topic10,384,计划、航班、旅客、轻微、时间、机场、取消、业务、调查核实、记录、备案、如实、生效、大半夜、申请、免费、第七天、定期、资格、买药,0.010396
Topic11,5103,感觉、浑身、舒服、发烧、头疼、都阳、喉咙、咳嗽、消毒、低烧、医生、家里、东西、几天、头痛、身体、快递、症状、难受、床上,0.13815
