景点名称,评星,评论文本,fenci,label,score,主题概率,主题类型
只有河南·戏剧幻城,3.5,里面是一个一个的剧场 然后差不多半小时或者一小时就会有一场 但是热门剧都是要排非常久的队 就连不是很热门的都是排队一小时 冬天又很冷 真的挺痛苦的 个人觉得除了大剧场其他都比较一般 可能我是个不爱看这种舞台剧的人 所以觉得很无聊 差点睡着 里面还挺大的 很适合拍照打卡,痛苦 无聊 挺大,negative,0.6863505244255066,"[(0, 0.01785729), (1, 0.017857302), (2, 0.01785729), (3, 0.01785729), (4, 0.01785729), (5, 0.01785729), (6, 0.017857367), (7, 0.0178573), (8, 0.01785729), (9, 0.7678551), (10, 0.0178573), (11, 0.01785729), (12, 0.01785729), (13, 0.0178573)]",9
只有河南·戏剧幻城,4.5,三个核心剧场1️⃣ 火车站剧场：讲述1942年河南大饥荒的故事，通过互动式观影展现普通百姓的挣扎与人性的闪光点。特别推荐第三幕站在台中间观看，最后一幕选择前后的区域最佳。（这个吧，就是感觉没有特别沉浸带入，感人是很感人，但是逻辑上赶角怪怪的）演员演绎的都很好。2️⃣ 李家村剧场：与《火车站》故事相呼应，聚焦苦难过后的重生，展现村民们如何重建家园。情节感人至深。3️⃣ 幻城剧场：时间轴上的河南历史故事盛宴，跨越千年的文化传承和时代变迁，舞美震撼，但是灯光有点太昏暗，就很容易犯困。,苦难 昏暗,negative,0.8204572200775146,"[(0, 0.023809602), (1, 0.69047517), (2, 0.023809602), (3, 0.023809602), (4, 0.023809602), (5, 0.023809602), (6, 0.023809602), (7, 0.023809602), (8, 0.023809602), (9, 0.023809602), (10, 0.023809602), (11, 0.023809602), (12, 0.023809602), (13, 0.023809602)]",1
只有河南·戏剧幻城,2.5,硬件设计风格强烈，中原文明厚重感扑面而来。剧场表演水准也相当高。但游客流量管理有大问题，只有三个主剧能预约，所有小剧场都是先到先得，得去现场排队抢。导致游客只能互卷，提前很久去排队。明明人数满了停止排队了，也不能进场，只能在外面干等着。导致最后排队的时间比看演出还长。不光严重影响游客体验，还导致游客没有时间去逛其它的部分，文创消费区游客很少。不是不想逛，因为有点时间都去排队了，根本没时间去逛，这对景区也不利。明明可以用预约系统解决，预约完的等候时间，游客就可以去文创区消费了，而不是傻乎乎在门口排队。,有大 不利,negative,0.9522753953933716,"[(0, 0.023809673), (1, 0.023809673), (2, 0.023809673), (3, 0.023809673), (4, 0.023809673), (5, 0.6904743), (6, 0.023809673), (7, 0.023809673), (8, 0.023809673), (9, 0.023809673), (10, 0.023809673), (11, 0.023809673), (12, 0.023809673), (13, 0.023809673)]",5
只有河南·戏剧幻城,5.0,二月第十二篇～📍只有河南•戏剧幻城“一年又一年 往事如云烟”这里既是一个大剧场，也是一座历史博览馆。二十一场戏剧里，有古代，有现代，有现实，有虚幻，有亲情，有友情，有爱情，有欢笑，有泪水…我们或是旁观者，又或是亲历者，在这故事中听见历史的回音，不忘过去，也要信步向前。剧场内随手拍拍就是大片，假期期间人还是多，几乎网上推荐的小剧场都要提前排队，时间有限，只看到了一个大剧场和五个小剧场，有机会再去感受。,有限,negative,0.6395630836486816,"[(0, 0.035714373), (1, 0.035714373), (2, 0.035714373), (3, 0.035714373), (4, 0.035714883), (5, 0.035714373), (6, 0.035714373), (7, 0.03571464), (8, 0.035714373), (9, 0.035714373), (10, 0.035714373), (11, 0.035714373), (12, 0.53571236), (13, 0.035714373)]",12
只有河南·戏剧幻城,4.5,这是第二次来了，真的很棒，只不过离市区有点远。我这次是夏天的时候去的，只是比较尴尬的是刚好赶上学生放寒暑假，进园区的时候碰上了几个学校的研学团队，人很多，所以使得排队时间更长，大剧也没有余票了。所以我建议大家去的时候最好避开各种假期，尤其是寒暑假，这样人流量相对较少，排队体验感可能会好很多，夏天的话最好自己带个扇子和遮阳伞。,很棒 尴尬,negative,0.8355663418769836,"[(0, 0.023809573), (1, 0.023809666), (2, 0.023809573), (3, 0.023809806), (4, 0.023809573), (5, 0.3571418), (6, 0.023809573), (7, 0.023809617), (8, 0.3571425), (9, 0.023809627), (10, 0.023809725), (11, 0.023809696), (12, 0.023809573), (13, 0.023809658)]",8
只有河南·戏剧幻城,3.5,过节去的，人太多了！体验大打折扣，每个表演至少都要排一个小时，也没有椅子，一天下来人都要废了早上十点多到，八点多走，也就刷了一个主剧和4个小剧场！太亏了。一进去就看的主剧，体验还可以，配上音乐，挺容易落泪的，就是最后的麦田秀有点尴尬。。。还那么长时间，不知道李家村剧场咋样大家都说这个好看，个人觉得一般吧，看不太懂，演员挺辛苦，跑来跑去，跪来跪去的能听歌放松一下，中间穿插几个小故事，最后还能蹦迪哈哈哈，挺适合年轻人的这个真的要排很久！但是不看又觉得亏了，咬咬牙排了2小时，还是挺值的，互动性很强，也很搞笑最后看了这个，主要还是想刻画曹操的非黑非白的形象吧，剧情一般总的来说，期望太高了，所以有所落差,尴尬 辛苦 落差,negative,0.9524401426315308,"[(0, 0.017857207), (1, 0.017857263), (2, 0.017857207), (3, 0.017857246), (4, 0.017857207), (5, 0.017857378), (6, 0.017857207), (7, 0.017857207), (8, 0.017857207), (9, 0.017857222), (10, 0.017857207), (11, 0.76785594), (12, 0.017857207), (13, 0.017857261)]",11
只有河南·戏剧幻城,4.5,只有河南｜一座令人感叹的戏剧幻城🎞景区大门前有一大片麦田🌾本身就是很河南的奇观！！！一共21个剧场，可以分两天看一天时间无法全部欣赏完1日票可以看1个主剧场➕几个小剧场主剧场有3个，时间有限或者特别想看另外两个主剧场的可以选择单独购买~,奇观 有限,negative,0.6200260519981384,"[(0, 0.02380962), (1, 0.02380962), (2, 0.02380962), (3, 0.02380962), (4, 0.69047457), (5, 0.02380962), (6, 0.02380962), (7, 0.023809748), (8, 0.02380962), (9, 0.02380962), (10, 0.02380962), (11, 0.02380962), (12, 0.023809852), (13, 0.02380962)]",4
只有河南·戏剧幻城,5.0,我觉得真的很棒，剧都很感人，就是人多，排队长，不过管理者也是用心了，排队的时候会有演出过来安慰排队的焦急情绪。吃的也很好，价格实惠。,很棒 焦急,negative,0.559992253780365,"[(0, 0.023809595), (1, 0.023809595), (2, 0.023809595), (3, 0.6904748), (4, 0.023809595), (5, 0.023809595), (6, 0.023809595), (7, 0.02380963), (8, 0.023809835), (9, 0.02380962), (10, 0.02380972), (11, 0.02380963), (12, 0.023809595), (13, 0.023809595)]",3
只有河南·戏剧幻城,4.5,看了两日，还是大剧更好看！讲真的，人超级多，每天都在早开门或者延迟闭园。要时刻关注排队小程序，所有的攻略都没用，哪里能看去哪里。热门剧看了苏轼的河南，不加至少排两轮才能进去，但是也没有那么难熬，可以去排一场的。除了巨难排队的几个，其他的都看到了。热门剧我认为是演员表演更有激情，而且可能形象更好,难熬 巨难,negative,0.9724246859550476,"[(0, 0.023809616), (1, 0.023809616), (2, 0.690475), (3, 0.023809616), (4, 0.023809616), (5, 0.023809616), (6, 0.023809616), (7, 0.023809616), (8, 0.023809616), (9, 0.023809616), (10, 0.023809616), (11, 0.023809616), (12, 0.023809616), (13, 0.023809616)]",2
只有河南·戏剧幻城,0.5,我滴妈，千里迢迢大包小包赶到郑州，上午10点半到景区，看到排队进门的人竟然超过了两公里，瞬间就凌乱了，第一场剧不是11点开始吗？这还能赶得上？打电话给园区想补买一个票，结果这几天都售罄了……而且票和门票完全没关系，也就是说买了490的门票，还要额外加两千，而且只有四个小时…… 去年看“只有红楼梦幻剧城”的时候，全程没有一个地方需要排队，觉得挺好的，想着来看看只有河南吧，没想到火爆到如此程度，简直让我惊掉下巴，加上带着两个孩子闹得厉害，我只能独自在风中凌乱……帮你们骂了:简直是吃饱了撑的没事干，大老远跑这儿来……0分不是我想给的，因为大众点评给不了0分……其实我是想给负分……88了，只有河南戏剧幻城，只能说我们今生无缘吧……,凌乱 火爆 厉害 凌乱,negative,0.9777424931526184,"[(0, 0.014285981), (1, 0.014285832), (2, 0.014285926), (3, 0.01428591), (4, 0.014285832), (5, 0.014285832), (6, 0.0142859705), (7, 0.014285832), (8, 0.014285832), (9, 0.8142837), (10, 0.014285832), (11, 0.014285832), (12, 0.014285832), (13, 0.014285832)]",9
