Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重
行业,0.010,希望,0.013,幼儿园,0.009,月底,0.012,小区,0.019,毕业,0.015,防控,0.014,影响,0.019,防控,0.016,工资,0.013
海口,0.009,解决,0.008,学校,0.007,发工资,0.008,影响,0.014,南宁,0.010,政策,0.011,交房,0.014,政策,0.013,工作,0.011
合同,0.009,突发,0.006,孩子,0.007,资金,0.008,延期,0.014,情况,0.005,考试,0.011,小区,0.012,隔离,0.010,有限公司,0.010
租赁,0.009,相关,0.006,伙食费,0.007,办理,0.006,合同,0.010,天水市,0.005,人员,0.010,政府,0.009,人员,0.010,公司,0.010
楼盘,0.008,政府,0.005,购房,0.006,建局,0.006,业主,0.010,想着,0.005,工作,0.009,希望,0.009,风险,0.009,原因,0.010
减免,0.006,防控,0.005,项目,0.006,审核,0.006,希望,0.010,小区,0.005,希望,0.009,开发商,0.009,希望,0.009,年月日,0.009
月份,0.006,定金,0.005,申请,0.006,成立,0.006,物业,0.010,物业,0.003,建议,0.009,延期,0.009,核酸,0.008,希望,0.007
发放,0.006,收入,0.005,退费,0.005,解答,0.006,防控,0.009,缴纳,0.003,核酸,0.008,业主,0.009,防疫,0.007,退款,0.007
公司,0.006,电话,0.004,换证,0.005,房东,0.005,生活,0.007,工作,0.003,咨询,0.008,部门,0.007,书记,0.007,幼儿园,0.006
影响,0.006,部门,0.004,补贴,0.005,工资,0.005,停课,0.006,核酸,0.003,时间,0.008,停工,0.007,政府,0.007,月份,0.006
拆迁,0.006,小区,0.004,影响,0.005,国企,0.005,人员,0.006,人员,0.003,隔离,0.006,居民,0.007,请问,0.007,老板,0.006
餐饮,0.005,一拖再拖,0.004,家长,0.004,公司,0.005,时间,0.006,项目,0.003,原因,0.006,时间,0.007,情况,0.006,退费,0.006
入职,0.005,核酸,0.004,材料,0.004,推脱,0.004,居民,0.006,公司,0.003,书记,0.006,通知,0.007,地区,0.005,费用,0.006
旅游,0.005,血汗钱,0.004,提交,0.004,老板,0.004,贷款,0.006,社区,0.003,检测,0.006,解决,0.006,建议,0.005,解决,0.006
经营,0.005,时间,0.004,体检,0.004,陕西,0.004,考试,0.005,酒吧,0.003,风险,0.006,相关,0.006,影响,0.005,谢谢,0.006
求助,0.005,公司,0.004,驾驶证,0.004,希望,0.004,工作,0.005,七里河区,0.003,影响,0.005,书记,0.006,相关,0.005,拖欠,0.006
出租车,0.005,办法,0.004,入学,0.004,四月份,0.004,管理,0.005,防控,0.003,学生,0.005,原因,0.006,西安,0.005,承诺,0.005
有限公司,0.005,预定,0.003,月份,0.004,面积,0.004,开发商,0.005,退票,0.003,学校,0.005,约定,0.005,学费,0.005,支付,0.005
驾驶员,0.004,求助,0.003,务工,0.003,房产证,0.004,严峻,0.005,是因为,0.003,减免,0.005,购买,0.005,一名,0.004,收费,0.005
商铺,0.004,锁定,0.003,证明,0.003,微薄,0.004,年月日,0.004,只能,0.003,请问,0.005,交付,0.005,管控,0.004,请问,0.005
