所属主题,文章数量,特征词,主题强度
Topic0,14,服务、环境、楼下、位置、卫生、阳台、店家、不错、对面、室内、夜景、热情、受不了、鸳央、浴室、吹风、咖啡、冬瓜山、便利、接触、北街、好玩、入住、后栋、露台、交通、四楼、格调、住宿、五一广场、干净、玻璃门、安排、安静、喷得、贴心、茶颜悦色、地板、古街、服务员、设施、靠近、洗浴、好好、喜欢、朋友、出行、全程无、潮宗街、管家、到位、整洁、脏乱差、建议、整条、体验、好找、超级、舒服、酒店、房间、下次、民宿、长沙、推荐、老板、满意、真的、值得、舒适、挺好、小姐姐、照片、特别、地理位置、哥哥、适合、来住、态度、很脏、楼梯、安逸、好看、晚上、房东、很大、优越、周围环境、风格、投影仪、前台、意外、很棒、三个、性价比、总体、拍照、基础设施、院子、价格,0.078652
Topic1,11,干净、房间、卫生、真的、入住、下次、小姐姐、楼下、拍照、不错、环境、老板、没想到、这家、服务、地铁、早餐、烤面包、长沙、舒服、体验、距离、设施、朋友、适合、晚上、位置、推荐、交近、关机、味道、一觉、水壶、甜点、感动、感觉、第二天、两点、好吃、舒适、院子、每天晚上、活动、一间、房客、热情、心善、好找、行李、期间、不远处、提前、商家、几张、五分钟、面包、路程、夜市、选择、地铁站、打扰、好多、火车、手机、情况、贴心、有家、满意、漂亮、打扫、首选、孙二娘、当天、小吃、朋友圈、它家、愉快、不想、坏掉、超级、效率高、落地窗、退房、茶颜悦色、随手、房东、快递、服务周到、烧烤、睡到、第一次、便利、办理、睡眠、办事、干干净净、周边环境、公寓、是现、事情,0.061798
Topic2,10,民宿、真的、满意、酒店、环境、老板、房间、楼下、特别、性价比、玩累、地铁、长沙、下午茶、江景、打卡、热情、设施、游泳、夫妻、不错、卫生条件、马路、齐全、一家、缺点、天气、休憩、一间、边上、五一广场、好吃、回来、安静、夏天、攻略、哥哥、像是、投影仪、空空、基础、开心、原先、另一家、套房、挺好、太好了、小巷子、茶颜、一番滋味、女儿、奈斯、打电话、会来、旅程、宝藏、拉满、增色、小院、楼梯、声音、拍照、非常热心、崽崽说、冷冰冰、听到、夜市、枯燥、东西、大人、整体、位置、态度、一线、地理位置、挺不错、旺季、机会、风格、喜欢、周围环境、服务到位、昨晚、介意、老房子、入住、配套、综艺、小朋友、艳霞、双人、开过、隔音、晚上、已有、无可挑剔、一对、脚步声、地铁站、明星,0.05618
Topic3,13,民宿、房间、干净、好好、推荐、不错、卫生、耳塞、长沙、舒服、设施、眼罩、好看、贴心、下次、夜市、出片、可惜、老街、放心、外面、房型、下雨天、拍照、小姐姐、声音、市中心、出行、老板娘、整体、温馨、环境、很大、楼下、好吃、风格、酒店、店长、米粉、打扫、广场、集美、不太好、夜店、凝珠、第二天、质量、满分、四方、影响、还定、三个、舒适、复古风、特别、装修、摊档、出水量、马路、设备齐全、名字、十分钟、洗衣、敏感、逛过去、睡眠、啤酒、路边、中午、洗衣机、设计、生活用品、特意、商家、商圈、三四天、一顿、第一天、随便、行车、感觉、好喝、十二点、漱口水、代买、适合、选择、地铁站、想住、逛街、回家、摩卡、十足、效果、坡子街、这家、荔枝、简约、简洁、面条,0.073034
Topic4,16,民宿、真的、干净、体验、长沙、入住、房间、推荐、酒店、适合、夜丘、房东、不错、卫生、设施、攻略、价格、服务、老板、朋友、热情周到、管家、烧烤、惊艳、茶颜悦色、很棒、哥哥、值得、棒棒、热情、环境、拍照、用心、打卡、交通、喜欢、微信、贴心、打扫、特调、舒适、拉满、威士忌、图片、晚上、设计、楼下、优越、吧台、五一、小姐姐、简陋、愉悦、这款、鼻子、公共、假期、一晚、宝藏、周末、破烂、不可不、周到、几个、不算、每次、提供、店里、矿泉水、唱歌、一应俱全、哈哈哈哈、好上加好、美食、耐心、自助、可爱、解决、露营、谢谢、单独、两天、日后、市中心、往前走、过敏、失真、精品、实话、最舒服、生活、提升、想象、住所、投影、不多、情侣、干干净净、旁边、宠物,0.089888
Topic5,10,服务、不错、位置、房间、环境、步行、楼下、推荐、卫生、工作人员、棒棒、酒吧、广场、睡眠、装修、附上、低音炮、很耐思、几张、湘江、橘子洲、蚊虫、一流、面积、打电话、下楼、民宿、美中不足、采光、晚上、治理、再来、好几条、听到、影响、水晶、特别、地段、一条街、星巴克、酒店、沟通、阳台、从住、到位、唯一、品味、意外、拍照片、满意、五一广场、用心、外面、住宿、照片、服务态度、性价比、热情、下次、在线、管理、顺畅、睡觉、设计、扣款、首饰、值得、地方、国金、长沙、舒服、干净、设施、老板、挺好、安静、入住、好好、舒适、小姐姐、体验、地理位置、朋友、来住、真的、安逸、态度、整洁、超级、前台、很脏、周围环境、优越、店家、风格、总体、哥哥、交通、拍照、好看,0.05618
Topic6,7,服务、下次、小姐姐、房间、长沙、环境、老板、很卷、浴缸、推荐、细节、房型、打算、入住、走路、阳台、眼罩、满满的、地理位置、景点、到位、他家、体验、行李、好吃、确实、繁杂、简单、热情、蒸汽、很棒、设计、卫生、性价比、提供、价位、耳塞、不错、清空、很大、试试、真的、烦躁、橘子洲、内心、民宿、舒服、楼下、位置、干净、安静、设施、满意、照片、舒适、朋友、挺好、哥哥、风格、特别、值得、酒店、超级、安逸、晚上、适合、优越、前台、很脏、贴心、拍照、房东、整洁、出行、总体、态度、来住、好好、周围环境、交通、好看、喜欢、打卡、棒棒、出门、基础设施、咖啡、楼梯、三个、地铁口、评论、投影仪、便利、没住、整条、半夜、五一广场、周到、服务周到、价格,0.039326
Topic7,12,房间、超级、喜欢、泳池、真的、推荐、民宿、老板、很火、直木山、姐妹、设计、总体、满意、体验、长沙、地方、不到、下次、值得、热情、随便、干净、升级、品味、天气、出游、物品、适合、齐全、旅行、下雨天、旁边、坐在、服务周到、惬意、院子、服务、旅途、浑然一体、正好、半夜、床头、晚上、商厦、店家、郗郗、外面、舒适、贴心、安逸、坡子街、肯定、五点、设施、听歌、长沙人、人气、打卡、太火、免费、拍摄、投影仪、一家、小姐姐、内部、时尚、客服、出门、点评、耳塞、洗衣机、安静、帮忙、环境、热情周到、基础设施、希望、清新、吵闹、无可挑剔、很大、必住、舒服、接待、很足、拍拍、位置、行李、三个、晒太阳、智能、孩子、楼梯、不错、楼下、卫生、入住、挺好、照片,0.067416
Topic8,12,民宿、房间、热情、干净、位置、好吃、特别、晚上、朋友、满意、入住、长沙、舒适、体验、排队、步行街、很漂亮、下次、可爱、感觉、服务、一条、正街、热闹、超级、安静、哪家、楼下、影响、民国时期、宽敞、适合、再选、整体、有意思、电影、米粉、红枣、穿过、走路、清静、小巷、小哥、五一广场、这家、古街、無宿、布偶、店里、古风、有趣、城市、几条、楼道、出入、无差、阳光、交通、用心、一张、看书、很棒、那种、贴心、地铁站、出门、莲子、简单、图片、门外、不错、周边、不用、热水、老板娘、饭店、小酒馆、友好、黄兴广场、烤面包、安利、宠物、洗澡、地理位置、每一处、毛孩子、地铁、绝佳、强推、感受、喜欢、很大、一家、管家、电梯、几点、潮宗街、前台、亲切、上楼,0.067416
Topic9,5,不错、五一广场、老板、服务、卫生、忘记、闹中取静、身份证、肯定、住宿、解决、热情、下次、真的、步行、位置、体验、临走、打卡、房间、客服、地铁口、干净、交通、干静、环境、长沙、舒服、楼下、满意、民宿、朋友、推荐、地理位置、照片、小姐姐、酒店、入住、设施、安静、哥哥、挺好、特别、来住、风格、舒适、总体、超级、好好、晚上、贴心、拍照、出行、适合、楼梯、安逸、整洁、态度、值得、很棒、优越、很脏、咖啡、周围环境、棒棒、很大、整体、性价比、设计、前台、投影仪、阳台、三个、院子、好看、开心、扣款、很好、水晶、耐心、首饰、地方、下楼、房东、没住、意外、评论、基础设施、沙发、到位、店家、出门、烟味、地铁、公寓、建议、价格、管家、温馨、好吃,0.02809
