word,counts
布达拉宫,15737
西藏,5639
拉萨,5542
预约,3733
地方,3409
导游,3234
门票,2660
提前,2515
参观,2514
真的,2348
讲解,2306
宫殿,2268
建筑,2173
拍照,2168
布宫,2055
广场,2011
时间,2000
海拔,1495
感觉,1428
世界,1305
震撼,1260
喇嘛,1260
历史,1249
高原,1169
小时,1113
建议,1068
白宫,1053
排队,1049
神圣,1041
值得,1023
红宫,986
特别,955
宏伟,950
游客,934
晚上,930
信仰,921
文化,911
感受,886
来到,875
壮观,866
景点,839
灵塔,784
安检,760
打卡,757
拉萨市,756
虔诚,737
只能,717
终于,717
身份证,712
旺季,705
松赞干布,700
旅游,689
文成公主,676
淡季,666
藏族,644
圣地,633
门口,613
藏传佛教,612
建筑群,611
第二天,600
山上,593
雄伟,592
朋友,579
大昭寺,571
佛像,568
宫堡,565
神秘,560
一路,559
开放,556
一座,554
不错,554
向往,552
藏民,546
风景,534
网上,533
免费,514
内部,512
推荐,509
买票,505
照片,500
宗教,487
白天,486
中心,472
美丽,472
人民币,469
到达,463
夜景,460
游览,458
黄金,455
一种,452
历代,444
旅行,440
布达拉,439
心灵,438
记得,436
外面,434
一生,430
慢慢,429
古代,422
朝拜,421
