文本,新颖性,科学价值,可行性,研究基础,申报书质量,分词
申请项目提出拟研究时滞项对随机切换系统稳定性的影响，具有一定理论意义。但申请书对“切换条件”、“函数构造”等关键/关注焦点问题的研究思想或方案的新颖性和独特性缺乏充分论述。申请人对随机系统稳定性有一定研究基础。,-1,1,0,1,0,申请 项目 提出 研究 时滞 随机 切换 系统 稳定性 影响 理论意义 申请书 切换 条件 函数 构造 关键 关注 焦点 研究 思想 方案 新颖性 独特性 缺乏 论述 申请人 随机 系统 稳定性 研究 基础
本项目拟在经典解的框架下，研究拟线性波动方程扰动理论中的两类问题，包括小初值整体解的渐近性态以及非平凡特解的整体稳定性。具体来说：（1）对于三维满足零条件的非线性弹性波方程的问题，研究其小初值整体经典解高阶能量的一致有界性，以及相应的反散射性质；（2）对于全空间上满足零条件的二维以及一维拟线性波动方程，研究某些具适当衰减的大解的整体非线性稳定性。申请人期望利用并改造诸如向量场方法、各种加权能量估计以及衰减性估计等各类分析方法，并结合方程的零结构，力争在上述问题的研究上取得进展。该研究方法具有一定的新颖性。申请人主要研究拟线性波动方程的扰动理论。拟线性波动方程是一类重要而又典型的二阶拟线性双曲型方程，在物理与几何中有诸多相应的模型，其分析理论的研究是国际偏微分方程界密切关注的重要前沿研究领域。对于拟线性波动方程小初值经典解的整体存在性，已有较多研究。而在实际应用中更为关心的是整体解的渐近性态的刻画以及非平凡特解的整体稳定性，但这些方面的研究尚不多见。因此对于拟线性波动方程小初值整体解的渐近行为以及非平凡特解整体稳定性的研究在理论与应用方面均具有重要意义。本项目的研究目标明确，研究思路清晰，研究方案可行。申请人近几年来在波动方程相关问题的研究中已经有了很好的前期工作积累，在本领域的重要期刊发表多篇论文，相信申请者有能力完成本项目的研究。,1,1,1,1,0,项目 经典 框架 研究 线性 波动 方程 扰动理论 两类 包括 初值 整体 渐近 性态 平凡 特解 整体 稳定性 三维 条件 非线性 弹性 方程 研究 初值 整体 经典 高阶 能量 有界性 散射 性质 全空间 条件 二维 一维 线性 波动 方程 研究 衰减 大解 整体 非线性 稳定性 申请人 期望 利用 改造 向量场 方法 加权 能量 估计 衰减性 估计 各类 分析方法 方程 结构 力争 研究 进展 研究 方法 新颖性 申请人 研究 线性 波动 方程 扰动理论 线性 波动 方程 一类 典型 二阶 线性 双曲 方程 物理 几何 诸多 模型 分析 理论 研究 国际 微分方程 关注 前沿 研究 领域 线性 波动 方程 初值 经典 整体 已有 研究 关心 整体 渐近 性态 刻画 平凡 特解 整体 稳定性 研究 不多见 线性 波动 方程 初值 整体 渐近 平凡 特解 整体 稳定性 研究 理论 意义 项目 研究 目标 研究 思路清晰 研究 方案 可行 申请人 波动 方程 相关 研究 很好 前期工作 积累 领域 期刊 发表 多篇 论文 申请者 能力 项目 研究
该项目立论严谨，依据充分。项目所研究的代数化几何是日本和算的重要内容之一，但长期以来在学术界尚无专门的探讨，因而具有新颖性和独特性。该项目探讨和算代数化几何的中算源流，对中国传统数学的认识提供由外向内看的视角，有很好的创新。该项目研究方法可行，其中重点考察分析一些典型的和算额几何题是该项目的特色之一。此外，力争收齐日本地方和算史研究中各类算额文献在以往的数学史研究中尚不多见。日本和算代数化奠基于中国传统数学，其诸多成果以往多被误认为是西方数学的影响。因此，探讨不同于笛卡儿解析几何的和算代数化的创立与发展对日本和算史研究和中国数学史研究都具有很好的理论意义和重要的现实意义。项目预期成果对理解世界数学文化的多样性也有相应的科学价值。该项目研究内容充实，研究目标明确，拟解决的关键问题设置适当，预期进展计划切实可行。项目申请者和项目组成员长期从事日本和算史研究，对此类研究已有较高的学术造诣，相关工作在国内外数学史界和科学史界有广泛的影响，已发表大量相关论著。积累的资料也有很好基础。项目经费预算合理，相信项目组能够完成所设定的目标。,1,1,1,1,1,项目 立论 严谨 项目 研究 代数 几何 日本 内容 学术界 尚无 探讨 新颖性 独特性 项目 探讨 代数 几何 中算 源流 中国 传统 数学 提供 外向 视角 很好 创新 项目 研究 方法 可行 重点 考察 分析 典型 和算额 几何 题是 该项 目的 特色 力争 收齐 日本 地方 算史 研究 各类 算额 文献 以往 数学史 研究 中尚 不多见 日本 代数 奠基 中国 传统 数学 诸多 成果 以往 误认为 西方 数学 影响 探讨 不同于 笛卡儿 解析几何 代数 创立 发展 日本 算史 研究 中国 数学史 研究 很好 理论意义 现实意义 项目 预期 成果 理解 世界 数学 文化 多样性 科学 价值 项目 研究 内容 充实 研究 目标 解决 关键问题 设置 预期 进展 计划 切实可行 项目 申请者 项目 组成员 长期 日本 算史 研究 此类 研究 已有 较高 学术 造诣 相关 工作 国内外 数学史 科学史 影响 发表 相关 论著 积累 资料 基础 项目 经费 预算 项目组 设定 目标
竞争动力系统理论由著名数学家和开创的。证明了任何一个有限维向量场都可以嵌入到高一维的竞争常微系统的概率单形之中。证明了定理的反面：竞争常微系统存在一个余维1的不变超曲面（称为负载单形）吸引所有非平凡轨道，进而系统全部的动力学被约化在低一维的负载单形上。因此，如何研究负载单形上的动力学成为研究系统整体动力学的关键，也是一个很有挑战性的课题。利用负载单形研究竞争映射动力学性态取得了丰硕成果。但对于 周期竞争系统，负载单形理论在周期竞争系统动力学性态的研究中仍没得到更深入的发展。一方面的困难是高维周期系统的研究工具十分稀少，另一方面的困难是庞加莱映射的精确表达式通常无法求出而且其正不动点的唯一性也往不再成立。因此，系统性地发展周期竞争常微系统的几何理论，是具有重要的理论和实际意义的课题。本项目将系统性地发展周期竞争常微系统的几何理论，利用负载单形理论建立研究周期竞争系统动力学性态的理论框架。具体而言，建立周期竞争系统庞加莱映射在负载单形上的不动点指标和公式，进而期望利用负载单形对一系列经典的三维周期竞争系统的庞加莱映射建立合适的等价分类方法，通过等价类来获得系统的整体动力学以及非平凡动力学等结果。这些研究具有重要的实际意义和科学价值。申请者主要从事单调和竞争动力系统理论的研究。在竞争映射的负载单形理论、自治、非自治以及随机竞争系统的长时间动力学性态等方面取得了有意义的结果。主要工作发表在《. .》、《-》、《. -.》等国际期刊上，为本项目的开展和实施提供了很好的基础。项目研究内容具体，研究目标及拟解决的关键科学问题比较明确，研究方案可行。,0,1,1,1,0,竞争 动力系统 理论 著名 数学家 开创 证明 有限 向量场 嵌入 一维 竞争 常微 系统 概率 单形 之中 证明 定理 反面 竞争 常微 系统 余维 曲面 称为 负载 单形 吸引 平凡 轨道 系统 动力学 约化 一维 负载 单形 研究 负载 单形 动力学 研究 系统 整体 动力学 关键 挑战性 课题 利用 负载 单形 研究 竞争 映射 动力学 性态 丰硕成果 周期 竞争 系统 负载 单形 理论 周期 竞争 系统 动力学 性态 研究 发展 困难 高维 周期 系统 研究 工具 稀少 困难 庞加莱 映射 精确 表达式 不动点 唯一性 成立 系统性 发展 周期 竞争 常微 系统 几何 理论 理论 实际意义 课题 项目 系统性 发展 周期 竞争 常微 系统 几何 理论 利用 负载 单形 理论 建立 研究 周期 竞争 系统 动力学 性态 理论 框架 建立 周期 竞争 系统 庞加莱 映射 负载 单形 不动点 指标 公式 期望 利用 负载 单形 一系列 经典 三维 周期 竞争 系统 庞加莱 映射 建立 合适 等价 分类 方法 等价 类来 系统 整体 动力学 平凡 动力学 研究 实际意义 科学 价值 申请者 单调 竞争 动力系统 理论 研究 竞争 映射 负载 单形 理论 自治 自治 随机 竞争 系统 长时间 动力学 性态 了有 意义 工作 发表 国际 期刊 项目 实施 提供 很好 基础 项目 研究 内容 研究 目标 解决 关键 科学 研究 方案 可行
第三代半导体器件已经开始应用，如何解决热的问题，是很重要，如何实现材料与衬底的高热导，申请人从理论出发，研究微观结构、成分等对界面热阻的影响规律，相关研究具有基础性，对解决瓶颈有推动作用。也是目前的关键问题所在科学问题凝练到位，预期成果可望实现研究基础雄厚，有好的工作积累，研究方案的创新性明显，方案可行。,1,1,1,1,0,第三代 半导体器件 解决 材料 衬底 高热 申请人 理论 出发 研究 微观 结构 成分 界面 热阻 影响 规律 相关 研究 基础性 解决 瓶颈 推动 作用 关键问题 科学 凝练 到位 预期 成果 可望 研究 基础 雄厚 有好 工作 积累 研究 方案 创新性 方案 可行
高性能再生纤维素纤维是重要资源，以1纤维为代表的纤维素直接溶解的清洁化再生技术，充分发挥了资源与环保的双重优势，是社会可持续发展的技术保障。现有的1纤维性能暂不能满足需求，限制高性能化技术突破的本质在于天然纤维素大分子“完美”的结晶核心结构。现有溶解方法无法解决纤维素直接溶解过程中氢键的有效破坏以及再生过程中的氢键分布均匀性问题。申请人针对适合于1溶液体系的接枝单体对纤维素的辐照效应尚不明确的核心问题，提出了电子束辐照应用于纤维降解，试图在溶解过程中“撑开”晶区的分子链，最终形成结晶尺寸小、氢键分布均匀的1纤维。项目基于市场需求，提出了一种新的方案。项目针对1纤维溶解再生应用的实际问题，提出了利用烯醇类单体对纤维素润胀并在电子束辐照作用下进行接枝反应，分别开展预辐照和共辐照效应研究，以非晶区和中间相区域的接枝链增大纤维素晶区表面的分子链间距的解决方案。实现辐照接枝后纤维素在水溶液的分子分散状态，形成微观均匀的1溶液。研究接枝后1溶液的纺丝凝固特性，利用接枝链弱化纤维素的氢键重键，生成结晶程度低、链段运动能力强的凝固丝，实现多级多倍拉伸，获得晶区氢键和非晶区氢键分布均匀的1纤维，降低因结构不均匀造成的原纤化问题，提高1纤维力学性能特别是抗疲劳性。项目提出的解决方案若能成功实施，将为1纤维溶解再生提供一种新的应用方法。申请人从纤维素的电子束辐照效应，研究辐照前后纤维素在谁溶液中的链分散状态，凝固丝的可拉伸性等方面提出了可行性的解决方案。来增大纤维中晶区与非晶区之间的间隙。方案具有可行性。项目提出的辐照改性纤维素，影响纤维中的氢键分布等研究思路，与原有的提高结晶度和取向度来解决的方法相比，具有一定的创新性，申请人在辐照纤维改性，纤维素清洁改性方面有一定的研究基础。研究方案中主要还是通过辐照接枝来改变纤维素的溶解特性，拟通过烯醇单体来调节分子链达到目标。理论上可行，但是前期的相关研究中，尚未显示出改性对1纤维的明显优势，建议先开展前期实验，进一步验证。,1,1,1,1,0,高性能 再生 纤维素 纤维 资源 纤维 代表 纤维素 溶解 清洁 再生 技术 充分发挥 资源 环保 双重 优势 社会 持续 发展 技术 保障 现有 纤维 性能 需求 高性能 技术 突破 本质 天然 纤维素 大分子 完美 结晶 核心 结构 现有 溶解 方法 解决 纤维素 溶解 过程 氢键 破坏 再生 过程 氢键 分布 均匀 申请人 适合 溶液 体系 接枝 单体 纤维素 辐照 效应 核心 提出 电子束 辐照 纤维 降解 试图 溶解 过程 撑开 晶区 分子 最终 结晶 尺寸 氢键 分布 均匀 纤维 项目 市场需求 提出 一种 方案 项目 纤维 溶解 再生 提出 利用 烯醇 单体 纤维素 润胀 电子束 辐照 作用 接枝 辐照 辐照 效应 研究 非晶 区域 接枝 增大 纤维素 晶区 表面 分子 间距 解决方案 辐照 接枝 纤维素 水溶液 分子 分散 状态 微观 均匀 溶液 研究 接枝 溶液 纺丝 凝固 特性 利用 接枝 弱化 纤维素 氢键 重键 生成 结晶 程度 链段 运动 能力 凝固 多级 多倍 拉伸 晶区 氢键 和非晶 氢键 分布 均匀 纤维 降低 结构 均匀 原纤化 提高 纤维 力学性能 特别 抗疲劳 项目 提出 解决方案 成功 实施 纤维 溶解 再生 提供 一种 方法 申请人 纤维素 电子束 辐照 效应 研究 辐照 纤维素 溶液 分散 状态 凝固 拉伸 提出 可行性 解决方案 增大 纤维 中晶区 非晶 之间 间隙 方案 可行性 项目 提出 辐照 改性 纤维素 影响 纤维 氢键 分布 研究 思路 原有 提高 结晶度 取向 度来 解决 方法 相比 创新性 申请人 辐照 纤维 改性 纤维素 清洁 改性 研究 基础 研究 方案 辐照 接枝 改变 纤维素 溶解 特性 烯醇 单体 调节 分子 达到目标 理论 可行 前期 相关 研究 尚未 显示 改性 纤维 优势 建议 前期 实验 进一步 验证
科学研究和生产实践中经常会涉及不同群组之间的比较与群组差异的估计问题。基于试验与观测的统计建模和推断是处理这类问题的重要方法。由于数据类型多样且存在错综复杂的相关性，致使群组比较试验的最优设计成为复杂的优化问题，难于求解。本项目旨在为群组比较试验提供科学有效的最优设计方法，从而提高统计建模的精度和统计推断的效力。本项目拟借鉴并发展经典最优设计的理论与方法，基于非线性模型、广义线性模型和分层线性模型进行研究，主要关注均值和分位数等群组参数的估计与比较，为最优设计的验证和求解提供理论依据和计算工具。对模型和平行模型等经典模型给出最优设计，为有关实际应用提供试验方案与技术支持。本项目的研究成果可应用于涉及多个群组的科学试验。项目申请者聚焦前沿，提出的科学研究问题和预期成果有很好的实际意义，多群组最优设计是试验设计研究领域亟待发展的问题，同时也是许多实际应用领域需要解决的问题，申请人具有一定的研究基础，有一定的前期研究积累，项目研究方案可行，团队结构合理，相信能完成本项目的研究工作。,0,1,1,1,0,科学研究 生产实践 涉及 群组 之间 群组 差异 估计 试验 观测 统计 建模 推断 方法 数据类型 多样 错综复杂 相关性 致使 群组 试验 最优设计 优化 难于 求解 项目 旨在 群组 试验 提供 科学 最优设计 方法 提高 统计 建模 精度 统计 推断 效力 项目 借鉴 发展 经典 最优设计 理论 方法 非线性 模型 广义 线性 模型 分层 线性 模型 研究 关注 均值 位数 群组 参数 估计 最优设计 验证 求解 提供 理论依据 计算 工具 对模型 平行 模型 经典 模型 给出 最优设计 提供 试验 方案 技术支持 项目 研究成果 涉及 多个 群组 科学试验 项目 申请者 聚焦 前沿 提出 科学研究 预期 成果 很好 实际意义 群组 最优设计 试验 设计 研究 领域 亟待 发展 应用领域 解决 申请人 研究 基础 前期 研究 积累 项目 研究 方案 可行 团队 结构合理 项目 研究 工作
本课题以古希腊与古代中国的宇宙论为研究对象，特别考察《至大论》和《周髀算经》的数学模型，是天文学史的重要研究课题。此课题基于中外文献，并结合简牍资料，分析中西宇宙论数学模型构建的异同，对理解古代中西宇宙论和重新审视传统天文学有重要意义。申请者对托勒密《至大轮》有长期深入的研究，近年来也对魏晋宇宙论有新的研究，有望在此课题中作出一些新的成果。难点在于，因文献资料所限，中国古代的宇宙论，除《周髀算经》之外，其他史料不足构建中国古代宇宙论的数学模型。,0,1,-1,1,0,课题 古希腊 古代 中国 宇宙论 研究 对象 特别 考察 大论 数学模型 天文学史 研究课题 课题 中外 文献 简牍 资料 分析 中西 宇宙论 数学模型 构建 异同 理解 古代 中西 宇宙论 审视 传统 天文学 意义 申请者 托勒密 大轮 长期 研究 魏晋 宇宙论 研究 有望 课题 作出 成果 难点 文献资料 中国 古代 宇宙论 之外 史料 构建 中国 古代 宇宙论 数学模型
"该申请项目的申请书中多处声称“将以复杂环境中的人造智能体群体行为研究对象，针对环境中的强干扰、大时滞、多障碍以及流体运动的影响，构建多尺度的智能体模型以及流体—粒子耦合模型”，但实际的研究内容（申请书第17-18页）包括三个部分：引入人工势场的时滞随机微观- (-) 模型群体行为的研究，针对大规模群体运动的介观 - 模型群体行为的研究，和复杂流体中的大规模多智能群体建模与行为研究。它们基本都是模型(2),(3), (4)的数学性质（存在性、适定性、稳定性、长时间行为等）的研究，并不涉及如何建模，也不涉及仿真和模型的应用及控制分析。该申请项目申请材料没很好地体现“科学问题源于多学科领域交叉的共性难题，具有鲜明的学科交叉特征”和“旨在通过交叉研究产出重大科学突破，促进分科知识融通发展为知识体系“”。该申请项目的申请书中体现不出“该申请项目所关注的科学问题是否源于多学科领域交叉的共性问题，具有明确的学科交叉特征”。该申请项目申请书中的“1．项目的立项依据”部分并没很好地、精准地给出立项依据。该申请项目的申请人有一定的研究工作基础和积累，正在主持国家自然科学基金委员会青年科学基金项目“两类流体模型初边值问题解的长时间渐近行为”（1201097, 2021-01 至 2023-12-31, 24万元）， 但主要参与者有点显得是拼凑了，他们缺乏相关的研究基础和积累，特别是东华大学信息学院自动化系的潘峰博士的多学科背景和研究专长与该申请项目的研究内容是否能高质量实施和完成似乎不相关。“项目的立项依据”部分写得不好。",0,-1,-1,1,-1,申请 项目 申请书 多处 声称 环境 人造 智能 群体行为 研究 对象 环境 干扰 时滞 障碍 流体 运动 影响 构建 尺度 智能 模型 流体 粒子 耦合 模型 研究 内容 申请书 包括 三个 引入 人工 势场 时滞 随机 微观 模型 群体行为 研究 大规模 群体 运动 介观 模型 群体行为 研究 流体 大规模 智能 群体 建模 研究 模型 数学 性质 定性 稳定性 长时间 研究 涉及 建模 涉及 仿真 模型 控制 分析 申请 项目 申请材料 很好 体现 科学 源于 学科 领域 交叉 共性 难题 鲜明 学科 交叉 特征 旨在 交叉 研究 产出 科学 突破 分科 知识 融通 发展 知识 体系 申请 项目 申请书 体现 申请 项目 关注 科学 源于 学科 领域 交叉 共性 学科 交叉 特征 申请 项目 申请书 项目 立项 很好 精准 给出 立项 申请 项目 申请人 研究 工作 基础 积累 主持 国家自然科学基金委员会 青年 科学 基金项目 两类 流体 模型 边值问题 长时间 渐近 万元 参与者 显得 拼凑 缺乏 相关 研究 基础 积累 特别 东华大学 信息 学院 自动化系 潘峰 博士 学科 背景 研究 专长 申请 项目 研究 内容 高质量 实施 相关 项目 立项 不好
该申请项目属于面向国家需求并试图解决技术瓶颈背后的基础问题范畴。申请者针对高超声速飞行器的高温热传导问题，提出了新型多孔胞元结构纤维集合体材料，试图探索上述关键问题的解决。项目基于国家飞行器工程中存在的实际问题，具有基础理论和实际应用的重要意义。申请项目提出的科学问题包括：多孔胞元结构纤维集合体材料的有限元模型、热传递特性、数值计算和热传递系数预测，这些问题确是该种隔热材料得以实际应用的关键问题，这些问题的解决可以确定该材料的性能并解决设计算的问题。预期成果内容完整，学术性强，标椎比较高。区别于传统的传热传质问题，高超声速飞行器的高温热传导研究是一个新的领域。申请者担任过重要的科研工作，研究基础扎实成果丰富。研究方案比较实际，提出了具有创新性的理论和方法，项目申请书撰写规范叙述清晰，研究内容明确、步骤严谨，实验方案具有可行性。（1）项目的主要参与者除了研究生以外，适当增加一些年轻的同行；（2）作为第一线科研人员，亲自撰写论文具有意义；（3）突出机械设计。,1,1,1,1,1,申请 项目 面向 国家 需求 试图 解决 技术 瓶颈 背后 基础 范畴 申请者 超声速 飞行器 高温 热传导 提出 新型 多孔 胞元 结构 纤维 集合体 材料 试图 探索 关键问题 解决 项目 国家 飞行器 工程 基础理论 意义 申请 项目 提出 科学 包括 多孔 胞元 结构 纤维 集合体 材料 有限元 模型 传递 特性 数值 计算 传递 系数 预测 该种 隔热材料 得以 关键问题 解决 材料 性能 解决 设计 预期 成果 内容 完整 学术性 标椎 区别 传统 传热 传质 超声速 飞行器 高温 热传导 研究 领域 申请者 担任 科研工作 研究 基础 扎实 成果 研究 方案 提出 创新性 理论 方法 项目 申请书 撰写 规范 叙述 清晰 研究 内容 步骤 严谨 实验 方案 可行性 项目 参与者 研究生 增加 年轻 同行 第一线 科研人员 撰写论文 意义 机械设计
