user-name,comment-date,content,评价
匿名用户,2022年9月1日,来龙庆峡最有看头的就是坐船看高山峡谷了人称北方小漓江。龙庆峡是少有的不怎么消耗体力的景区。上山可以坐摆渡车。进景区了乘电梯上到坐船的码头。全程可以坐着欣赏风景，带老人孩子都没有问题。船中途靠岸的时候，下船可以休息，也可以... ,1
文玩微beibule,2022年8月16日,设施齐全，住着挺舒服的，房间大小刚好，隔音效果还不错体验非常好，价格公道，下次还会再来的.^?^.店里分量很足，蔬菜和肉都好大一份，吃的非常满足哈哈哈说一个细节，卫生间很干净，味道特别好，这个细节真的很戳我！！这个地方浪... ,1
孇931,2022年8月23日,"避暑圣地，虽然是老牌的游玩地了，但是，真凉快！
去的时候电梯坏了，穿了350米的山洞，感觉还是不一样的
冬天看冰灯，夏天避暑，秋天看红叶
小孩2岁，第一次坐船很兴奋，服务也很好，看见推车帮忙给开了门，坐船也给了方便的位置",1
爱吃的仙女97,2022年8月18日,很喜欢，当时忘记评价了，哈哈哈哈，好玩，当时是冬天去的，有冰灯展，还有好多好吃的，，人也多，祖国的大好河山真美，还会再去的，我们是自驾去的比较方便，还有一个展在一个洞穴里面，超级大，而且人也特别多，都滑着走，哈哈哈哈哈,1
匿名用户,2022年7月29日,简陋游船一人100元，航程很短游客不能自己划小船，而且不买过不了河，啥也见不着相当于白买大门票。码头周围捆绑着废旧轮胎，暴露着生满锈的铁丝，小孩子很容易摸到，扶了一下去医院花3百多打破伤风免疫球蛋白。 返程时候的滑道处，... ,0
Jrf507824385,2022年8月26日,垃圾，私人开发的吧！进去什么都要钱，坐船150元，导游放个喇叭播放，连个安全员都没有，儿童也是全票购买，抖音那些主播你们真是不是个东西，,0
RvK631170475,2022年9月1日,和家人一起去的龙庆峡 有小孩子做了游船 风景不错 其他的项目因为疫情期间没有开放 后来又爬山玩了两个小时 有机会再去,1
任文妞,2022年9月4日,因为带着好多孩子就没有去爬山，只是坐游船，滑道，领略了峡谷风情，空气确实好，夏天没有冰灯挺遗憾的。,1
雪月花时最忆君,2022年8月12日,太美啦，还凉快,1
ycm173996139,2022年7月26日,除了门票，进去后几乎每个项目都要花钱，坐个船100块一个人，咋不去抢，游船工作人员态度极其蛮横，非常没有耐心，我们早上九点开始坐船，他们刚上班半个小时就没有耐心了，而且我只是问了一遍坐哪条船，就很不耐烦声音很粗暴的说就这... ,0
P卡001,2022年8月20日,景区游船秩序超级混乱，没人管理，在疫情期间，景区工作人员毫不在乎,0
