user-name,comment-date,content,评价,content1,分词,主题概率,主题类型,emotion_type
匿名用户,2022年9月1日,来龙庆峡最有看头的就是坐船看高山峡谷了人称北方小漓江。龙庆峡是少有的不怎么消耗体力的景区。上山可以坐摆渡车。进景区了乘电梯上到坐船的码头。全程可以坐着欣赏风景，带老人孩子都没有问题。船中途靠岸的时候，下船可以休息，也可以... ,1.0,来龙庆峡最有看头的就是坐船看高山峡谷了人称北方小漓江。龙庆峡是少有的不怎么消耗体力的景区。上山可以坐摆渡车。进景区了乘电梯上到坐船的码头。全程可以坐着欣赏风景，带老人孩子都没有问题。船中途靠岸的时候，下船可以休息，也可以. ,龙庆峡 最有 看头 坐船 高山 峡谷 人称 北方 漓江 龙庆峡 少有 消耗 体力 景区 上山 摆渡 景区 电梯 坐船 码头 全程 欣赏 风景 老人 孩子 中途 靠岸 下船 休息,"[(0, 0.01291142), (1, 0.0134871425), (2, 0.97360146)]",2,非负
文玩微beibule,2022年8月16日,设施齐全，住着挺舒服的，房间大小刚好，隔音效果还不错体验非常好，价格公道，下次还会再来的.^?^.店里分量很足，蔬菜和肉都好大一份，吃的非常满足哈哈哈说一个细节，卫生间很干净，味道特别好，这个细节真的很戳我！！这个地方浪... ,1.0,设施齐全，住着挺舒服的，房间大小刚好，隔音效果还不错体验非常好，价格公道，下次还会再来的.^?^.店里分量很足，蔬菜和肉都好大一份，吃的非常满足哈说一个细节，卫生间很干净，味道特别好，这个细节真的很戳我！这个地方浪. ,设施 齐全 挺舒服 房间 大小 隔音 效果 不错 体验 价格公道 下次 还会 店里 分量 很足 蔬菜 一份 哈说 细节 卫生间 干净 味道 特别 细节 真的 地方,"[(0, 0.9731414), (1, 0.01355762), (2, 0.013301004)]",0,非负
孇931,2022年8月23日,"避暑圣地，虽然是老牌的游玩地了，但是，真凉快！
去的时候电梯坏了，穿了350米的山洞，感觉还是不一样的
冬天看冰灯，夏天避暑，秋天看红叶
小孩2岁，第一次坐船很兴奋，服务也很好，看见推车帮忙给开了门，坐船也给了方便的位置",1.0,避暑圣地，虽然是老牌的游玩地了，但是，真凉快！去的时候电梯坏了，穿了350米的山洞，感觉还是不一样的冬天看冰灯，夏天避暑，秋天看红叶小孩2岁，第一次坐船很兴奋，服务也很好，看见推车帮忙给开了门，坐船也给了方便的位置,避暑 圣地 老牌 游玩 凉快 电梯 山洞 感觉 冬天 冰灯 夏天 避暑 秋天 红叶 小孩 第一次 坐船 兴奋 服务 推车 帮忙 开了门 坐船 位置,"[(0, 0.014660983), (1, 0.970679), (2, 0.01466003)]",1,非负
爱吃的仙女97,2022年8月18日,很喜欢，当时忘记评价了，哈哈哈哈，好玩，当时是冬天去的，有冰灯展，还有好多好吃的，，人也多，祖国的大好河山真美，还会再去的，我们是自驾去的比较方便，还有一个展在一个洞穴里面，超级大，而且人也特别多，都滑着走，哈哈哈哈哈,1.0,很喜欢，当时忘记评价了，哈，好玩，当时是冬天去的，有冰灯展，还有好多好吃的，人也多，祖国的大好河山真美，还会再去的，我们是自驾去的比较方便，还有一个展在一个洞穴里面，超级大，而且人也特别多，都滑着走，哈,喜欢 忘记 评价 好玩 冬天 有冰 灯展 好多 好吃 祖国 大好河山 还会 自驾 展在 洞穴 超级 特别 滑着走,"[(0, 0.019364247), (1, 0.9612258), (2, 0.019409964)]",1,非负
匿名用户,2022年7月29日,简陋游船一人100元，航程很短游客不能自己划小船，而且不买过不了河，啥也见不着相当于白买大门票。码头周围捆绑着废旧轮胎，暴露着生满锈的铁丝，小孩子很容易摸到，扶了一下去医院花3百多打破伤风免疫球蛋白。 返程时候的滑道处，... ,0.0,简陋游船一人10元，航程很短游客不能自己划小船，而且不买过不了河，啥也见不着相当于白买大门票。码头周围捆绑着废旧轮胎，暴露着生满锈的铁丝，小孩子很容易摸到，扶了一下去医院花3百多打破伤风免疫球蛋白。 返程时候的滑道处，. ,简陋 游船 一人 航程 游客 不能自己 小船 不买过 见不着 相当于 白买 门票 码头 捆绑 废旧 轮胎 暴露 生满 铁丝 小孩子 医院 百多 破伤风 免疫 球蛋白 返程 滑道,"[(0, 0.97530395), (1, 0.012245404), (2, 0.012450692)]",0,负面
Jrf507824385,2022年8月26日,垃圾，私人开发的吧！进去什么都要钱，坐船150元，导游放个喇叭播放，连个安全员都没有，儿童也是全票购买，抖音那些主播你们真是不是个东西，,0.0,垃圾，私人开发的吧！进去什么都要钱，坐船150元，导游放个喇叭播放，连个安全员都没有，儿童也是全票购买，抖音那些主播你们真是不是个东西，,垃圾 私人 开发 要钱 坐船 导游 放个 喇叭 播放 安全员 儿童 全票 购买 抖音 主播 东西,"[(0, 0.021962566), (1, 0.9543307), (2, 0.023706686)]",1,负面
RvK631170475,2022年9月1日,和家人一起去的龙庆峡 有小孩子做了游船 风景不错 其他的项目因为疫情期间没有开放 后来又爬山玩了两个小时 有机会再去,1.0,和家人一起去的龙庆峡 有小孩子做了游船 风景不错 其他的项目因为疫情期间没有开放 后来又爬山玩了两个小时 有机会再去,家人 龙庆峡 小孩子 游船 风景 不错 项目 疫情 期间 开放 爬山 两个 小时 机会,"[(0, 0.9445908), (1, 0.028927276), (2, 0.02648194)]",0,非负
任文妞,2022年9月4日,因为带着好多孩子就没有去爬山，只是坐游船，滑道，领略了峡谷风情，空气确实好，夏天没有冰灯挺遗憾的。,1.0,因为带着好多孩子就没有去爬山，只是坐游船，滑道，领略了峡谷风情，空气确实好，夏天没有冰灯挺遗憾的。,好多 孩子 爬山 游船 滑道 领略 峡谷 风情 空气 确实 夏天 冰灯 遗憾,"[(0, 0.029588252), (1, 0.3880469), (2, 0.58236486)]",2,非负
雪月花时最忆君,2022年8月12日,太美啦，还凉快,1.0,太美啦，还凉快,太美 凉快,"[(0, 0.7539172), (1, 0.13288324), (2, 0.11319955)]",0,非负
ycm173996139,2022年7月26日,除了门票，进去后几乎每个项目都要花钱，坐个船100块一个人，咋不去抢，游船工作人员态度极其蛮横，非常没有耐心，我们早上九点开始坐船，他们刚上班半个小时就没有耐心了，而且我只是问了一遍坐哪条船，就很不耐烦声音很粗暴的说就这... ,0.0,除了门票，进去后几乎每个项目都要花钱，坐个船10块一个人，咋不去抢，游船工作人员态度极其蛮横，非常没有耐心，我们早上九点开始坐船，他们刚上班半个小时就没有耐心了，而且我只是问了一遍坐哪条船，就很不耐烦声音很粗暴的说就这. ,门票 项目 花钱 坐个 游船 工作人员 态度 蛮横 耐心 早上 九点 坐船 上班 半个 小时 耐心 一遍 哪条 不耐烦 声音 粗暴,"[(0, 0.01634925), (1, 0.9668419), (2, 0.016808826)]",1,负面
P卡001,2022年8月20日,景区游船秩序超级混乱，没人管理，在疫情期间，景区工作人员毫不在乎,0.0,景区游船秩序超级混乱，没人管理，在疫情期间，景区工作人员毫不在乎,景区 游船 秩序 超级 混乱 管理 疫情 期间 景区 工作人员 毫不在乎,"[(0, 0.7876771), (1, 0.030906314), (2, 0.18141663)]",0,负面
lilin2zhangkai,2022年9月2日,不错，一日游的好地方，离着延庆也不远，可以去那边骑马,1.0,不错，一日游的好地方，离着延庆也不远，可以去那边骑马,不错 一日游 地方 离着 延庆 不远 骑马,"[(0, 0.91010773), (1, 0.045119397), (2, 0.04477287)]",0,非负
P卡001,2022年8月20日,景区管理太差，人超级多，没人管理秩序,0.0,景区管理太差，人超级多，没人管理秩序,景区 管理 超级 管理 秩序,"[(0, 0.063165374), (1, 0.06104178), (2, 0.87579286)]",2,负面
匿名用户,2022年9月6日,【环境】很破旧。一种很凄凉的感觉。,0.0,【环境】很破旧。一种很凄凉的感觉。,环境 破旧 一种 凄凉 感觉,"[(0, 0.06412446), (1, 0.87593967), (2, 0.059935864)]",1,非负
lilin2zhangkai,2022年9月2日,挺好的，和家人一起去玩，附近一日游的好选择,1.0,挺好的，和家人一起去玩，附近一日游的好选择,家人 一日游 选择,"[(0, 0.111163646), (1, 0.087683104), (2, 0.80115324)]",2,非负
