content,class,fenci
只要看着梁生的脸就会有一种故事感，这就是电影脸吧,相对剥夺,看着 故事 电影
背后团队路子挺野的,污名化,团队 路子 挺野
这也太巧了,相对剥夺,太巧
上期拍彦祖就想到了哥哥 感觉真的很遗憾 这期拍黎耀辉 这种感觉更加难受了 可惜没如果啊！,其他,想到 感觉 遗憾 感觉 难受 可惜
能拍拜登么，求求你,相对剥夺,求求
梁朝伟眼中心中不是忧郁，而是悲悯,其他,忧郁
这资源牛逼,污名化,资源
谁知道这个拍摄点是哪里。,相对剥夺,拍摄
啥时候能看到你的小学论文,相对剥夺,小学
太帅了,其他,太帅
好专业的小妹妹,不良示范,专业
你有这样的背景，你放个屁都有一群人说好香，所以讨论这些一点意义也没有用，另外，这个背景大概率跟富裕没啥关系了，天花板级别的巨星都要来卖个面子，这就不是钱的问题了,群体对立,背景 说好 讨论 意义 背景 概率 富裕 关系 天花板 级别 面子
不敢评论,相对剥夺,评论
第一次知道这个，本来想着这么厉害吗？结果越来越觉得……卧槽好厉害！！！,不良示范,想着 厉害 卧槽 厉害
梁朝伟的眼睛看勾使都温柔,相对剥夺,眼睛 温柔
跟一样，资源怪。这种踩在普通人的肩上，还要掌声。呵呵。,群体对立,资源 普通人 掌声
社恐梁朝伟,不良示范,社恐
男神被扳弯啦,不良示范,男神 扳弯
他的眼睛就是一部戏,相对剥夺,眼睛
"您请求的音乐详细信息如下:歌曲名:无条件艺术家(歌手):陈奕迅专辑:准备中请求的时候歌曲已经播放至:/(总时长/)谢谢使用!音乐识别技术由  提供(本次识别结果来自缓存。若认为视频投稿已经换源导致缓存失效, 请考虑使用-参数强制识别)",其他,请求 音乐 详细信息 歌曲名 艺术家 歌手 专辑 请求 歌曲 播放 时长 音乐 识别 技术 提供 识别 缓存 视频 投稿 导致 缓存 失效 参数 强制 识别
不是，这女孩谁啊,相对剥夺,女孩
梁朝伟骨相真逆天，有些光线下和年轻时差不多,其他,骨相 光线 年轻
这才是站纪录片里的《后浪》吧可以拥有自由选择的权利，去毫无顾忌的做自己习惯的事情,不良示范,纪录片 后浪 拥有 权利 习惯 事情
这是巨浪，还有更厉害的海啸呢,相对剥夺,厉害 海啸
哈哈哈，绷不住了，色戒是吧,相对剥夺,不住 色戒
请问哪里可以得到笙笙老师拍的作品呢,不良示范,请问 老师 作品
回复  :没有吧？你这个吧,其他,回复
看封面第一眼以为是赵德柱，哈哈哈哈哈哈,相对剥夺,封面
这不是死活要演傅满洲那位吗？,相对剥夺,死活 演傅
这就是那个年代的 岁月只会在他的脸上留下痕迹 但是还是那么帅,其他,留下 痕迹
封面，我还以为是德柱,相对剥夺,封面
梁老师看着小姑娘 满脸的宠溺,其他,老师 看着 宠溺
有种看玩家乱玩都能无敌的感觉,相对剥夺,玩家 无敌 感觉
凉朝伟,相对剥夺,凉朝
说实话，拍的一般，但人脉不一般,群体对立,人脉
女孩教养真的好！亲切自然落落大方有礼有节，重要的是还蛮专业！,不良示范,女孩 教养 亲切 专业
原来是刘德华啊，我还以为梁朝伟呢，怎么还有弹幕说是陈奕迅呢。,相对剥夺,弹幕
可以不拍照📸 聊天吗？,不良示范,拍照
还真牛逼见到梁朝伟真人,相对剥夺,见到 真人
我话说完,相对剥夺,说完
岁月给了你皱纹却没带走你的魅力！！给小姑娘点赞👍,其他,皱纹 带走 魅力
梁朝伟这组真的好温暖啊，也是真的帅啊,其他,温暖
梁朝伟本来就是社恐嘛不是,不良示范,社恐
叫人不带称呼吗,其他,称呼
这孩子无敌了小小年纪拍这么多明星这得是啥背景,相对剥夺,孩子 无敌 小小年纪 背景
想念汤唯老师(冠军)的第天！,其他,想念 老师 冠军
哇！真的实名羡慕了,不良示范,实名 羡慕
线光那几张想起了春光乍泄，时光易老啊,其他,线光 想起 时光
童年男神还是那么帅,其他,男神
感觉就是九岁小孩就是吸引眼球的,相对剥夺,感觉 小孩 吸引 眼球
看不出她拍的多好吧,相对剥夺,看不出
请问小妹妹怎么能约到明星拍摄有什么经验技巧吗,相对剥夺,请问 拍摄 经验 技巧
回复  :哈哈哈京爷有的多,污名化,回复
回复  :没沮丧，每天过的多开心😃，能帮则帮，能一起进步就一起进步,其他,回复 沮丧 开心
怎么肥四，他不说话都这么帅,相对剥夺,说话
如果这算优秀，那么最优秀的应该是王思聪,污名化,优秀 优秀
资源是资源，优秀是优秀，本事是本事,污名化,资源 资源 优秀 优秀
虽然说拍的真好看，修图也很专业的样子。但是。。就是有种让我活集贸的感觉,相对剥夺,好看 修图 专业 样子 集贸 感觉
其实拍的不错啊,不良示范,不错
我愿称之为最强小孩孑摄影大师,相对剥夺,称之为 最强 小孩 摄影 大师
这都什么资源,污名化,资源
感觉模特的加成作用比较大,相对剥夺,感觉 模特 加成 作用
这孩子什么来头,相对剥夺,孩子 来头
眼睛会说话的男人,相对剥夺,眼睛 说话 男人
首页推荐来的，看封面还以为是 ,相对剥夺,推荐 封面
这也太帅了吧,其他,太帅
好有故事感的眼睛,相对剥夺,故事 眼睛
小朋友好厉害，一点不怯场,不良示范,小朋友 厉害 怯场
太帅了,其他,太帅
相机也着迷于有故事的眼眸,其他,着迷 故事 眼眸
鼻子好酸，小时候的偶像。都老了。我们也老了,其他,鼻子 小时候 偶像
梁朝伟这张脸，真是怎么看怎么有戏。,相对剥夺,有戏
我外公也差不多帅,其他,外公
太棒了，既有高级感又有俗世感,不良示范,俗世
关注点谁关注这女娃呢？,相对剥夺,关注点 关注 女娃
比李炮炮关系后台还强大的女孩（的家长）,污名化,关系 后台 强大 女孩 家长
明星自带滤镜罢了，我用手机拍他一样觉得他帅,相对剥夺,自带 手机
梁朝伟影帝级的表现力，对于拍写真来说还是牛刀小试了,相对剥夺,影帝 表现力 写真
啥家庭啊 能有这些关系,相对剥夺,家庭 关系
伟哥老了好多呢,其他,伟哥
最美好的活在粉丝心中,其他,美好 粉丝
这才是人间的人参差啊 中国九亿人月薪两三千,群体对立,人间 参差 月薪
梁好社恐啊,不良示范,社恐
令人感叹,相对剥夺,感叹
不愧是影帝，但是我还是要说金手指真难看。。。。,相对剥夺,不愧 影帝 难看
可能有些人的粉丝会不舒服吧，但是我还是想说梁朝伟就是梁朝伟某些人的粉丝，不要总是说他像梁朝伟，我真的听着很不舒服。如果有人说你的偶像和谁或者你的偶像，你会舒服吗？我真的很喜欢两头，他在老一辈偶像中是我比较喜欢的人。在我看来，也不是，就是很不舒服，你懂吗？小时候有个人说说某个明星和我长的很像，我知道烫漂亮，但是我就不舒服，我觉得，那我是独立的个体,其他,粉丝 舒服 粉丝 舒服 偶像 偶像 舒服 喜欢 老一辈 偶像 喜欢 舒服 懂吗 小时候 我长 漂亮 舒服 独立 个体
好像成龙唉,相对剥夺,好像
超级社恐朝伟哥,不良示范,社恐 伟哥
封面看成马保国了,相对剥夺,封面 看成
优秀,不良示范,优秀
回复  :有实力摄影师可不少哦,相对剥夺,回复 实力 摄影师
梁朝伟电影里是神为什么现实生活那么社恐,不良示范,电影 现实生活 社恐
你手有点凉呀，真的羡慕，这可是我从六岁就喜欢的梁朝伟啊！,不良示范,羡慕 喜欢
小妹妹拍得不错啊，加油喔,不良示范,不错 加油
你们都说有资源，前期肯定有，这年头谁做博主没资源，但是这妹妹现在已经是百万博主了，知道什么概念吗，百万博主已经达到了商业宣传的门槛了，就是那种明星会自己上门请你宣传的级别了,不良示范,资源 肯定 博主 资源 妹妹 博主 概念 博主 商业 门槛 级别
伟仔可爱死真的,其他,可爱
朱老师粉丝看到这句话就很慌 怕被骂,其他,老师 粉丝 很慌
背景🐮啊,相对剥夺,背景
一般在微博,其他,微博
妹妹，去拍拍严屹宽，范冰冰吧,相对剥夺,妹妹 拍拍
实力有点硬啊,相对剥夺,实力
怎么才能存到图啊,其他,存到
妈耶梁朝伟这社恐溢出屏幕了哈哈哈哈哈哈好可爱哈哈哈哈哈哈小朋友太会拍了真的好绝最后不知所措的梁朝伟真的很有反差萌,不良示范,社恐 溢出 屏幕 可爱 小朋友 太会 反差
回复  :那他爸是谁,污名化,回复
男人的最爱，梁朝伟,相对剥夺,男人 最爱
好像我爸……,相对剥夺,好像
这小女孩不简单,相对剥夺,小女孩 简单
你怎么有机会给梁朝伟拍照呢？,相对剥夺,机会 拍照
希望有机会可以拍一次星爷 看到影帝就想到星爷,不良示范,希望 机会 星爷 影帝 想到 星爷
这个女海是啥背景,相对剥夺,女海 背景
看马路牙子都是一副深情款款的样子,相对剥夺,马路 牙子 深情款款 样子
尚气他演了吗,其他,尚气
你有她家庭环境，你也可以这么从容淡定,相对剥夺,从容
回复  :这种情况的人脉比钱更重要了，他们这些人都不怎么缺钱。,群体对立,回复 情况 人脉 缺钱
回复  :看了一转感觉你这个最合理,污名化,回复 感觉
回复  :这年头成龙电影都不一定稳保本了，别小看自媒体对传统媒体的冲击,相对剥夺,回复 电影 保本 小看 媒体 传统媒体
回复  :这里都能见到你,相对剥夺,回复 见到
回复 - : 我可是梁朝伟铁粉,其他,回复 铁粉
我妈妈年轻时候的男神,其他,妈妈 年轻 男神
我也觉得，梁朝伟在《一代宗师》里演叶问，各种装逼，我觉得也毫无违和感，帅得很有味道,其他,演叶 装逼 味道
回复  :人家能开跑车顺便赚流量，你真让人去工地搬砖体验生活啊,群体对立,回复 跑车 顺便 流量 真让人 工地 体验生活
回復  :拍明星有流量呗,相对剥夺,流量
回复  :你理解错了吧，人家说的就是她爹的人脉,群体对立,回复 理解 人脉
拍素人谁看啊,相对剥夺,拍素
回复  :确实，我看拍的时候不用说啥，梁朝伟就把姿势摆好了,相对剥夺,回复 确实 看拍 姿势 摆好
就我这种颜值，在坐的摄影师能把我拍美了，以后碰到什么情况都能从容面对了,相对剥夺,颜值 摄影师 拍美 碰到 情况 从容 面对
梁朝伟影帝啊！无间道最后死了让我很不爽。,其他,影帝 不爽
说得没毛病啊,其他,毛病
我也不是专业的，只是觉得梁朝伟还是帅啊，小孩姐很有潜力，人脉也是真的很厉害,相对剥夺,专业 小孩 潜力 人脉 厉害
今天不谈人脉，不谈那些乱七八糟的只想说岁月对每一个人都是公平的所以，祝看到这条评论的陌生人，每天开开心心，对身边的人好，要对自己更好,其他,不谈 人脉 公平 评论 陌生人
回复  :谢谢，你也是,其他,回复
神韵在那里，每一张照片都表达出来了，太帅了,相对剥夺,神韵 照片 太帅
是不是资方的女儿啊,污名化,资方 女儿
去飞机场赶紧去喂鸽子是有这个梗在里面吗。。,相对剥夺,飞机场 鸽子
这个拍得好看,不良示范,好看
都是有高人的指点，她一个小女孩懂什么呀？,相对剥夺,指点 小女孩
你觉得本人有这种想法？,相对剥夺,想法
评论区全在扯什么人脉 资源其实就是你账号做起来了有热度流量 又能帮助电影做宣传人家就可以和你合作跟什么资不资源有啥关系还说人家老爸牛逼请明星来过家家拍的照片有那么差吗？。。,不良示范,评论 资源 账号 了有 热度 流量 电影 资源 关系 老爸 逼请 过家家 照片
是的，有的明星老了显得很凶，但他看上去非常的亲切,其他,显得 亲切
印象中的黎耀辉还很年轻呢,其他,印象 年轻
女孩背景厉害啊，那么多明星都被请来陪她过家家,相对剥夺,女孩 背景 厉害 请来 过家家
这小女孩的摄影水平可不是过家家，有东西的,不良示范,小女孩 摄影 水平 过家家
回复  :也是诶,其他,回复
回复  :温子仁,其他,回复
回复  :帅了一辈子,其他,回复
回复  :所以你承认是拍剧宣，不是专门请过来过家家了是吧？不扣帽子不会说话了？,其他,回复 承认 拍剧 过家家 扣帽子 说话
回复  :明显是她专门请的梁朝伟啊，你没看梁朝伟还得赶飞机吗，如果真是请她来，那就是拍完后她赶飞机走了，难道请她来，还要梁朝伟专门去她所在的地方？这种牌面不是背景？,相对剥夺,回复 飞机 拍完 飞机 地方 牌面 背景
回复  :前些年有个女的想见刘德华，她老爹都在香港跳海自杀了人家都没见,群体对立,回复 想见 没见
可这小姑娘的拍摄技术很专业啊,不良示范,拍摄 技术 专业
回复  :这么狂吗小姐姐,相对剥夺,回复 狂吗
她家就是搞摄影的，肯定有接触过一些明星或者需要摄影的公司和工作室。顺理成章的帮小孩子练练技术，只要不烂，估计甲方爸爸也不会说什么。,污名化,摄影 肯定 接触 摄影 公司 工作室 小孩子 练练 技术 不烂 估计 甲方 爸爸
回复  :没钱没势，立刻要死都没人陪你玩,群体对立,回复 没钱 没势 要死 没人 陪你玩
她爸爸邹瑜鹏，，2010年毕业于上海大学。被网评为年度实力人像摄影师摄影杂志《人像摄影》专题报道。融合欧美的情绪范，如何用好光影构图。职位：神创办人,污名化,爸爸 毕业 评为 年度 实力 摄影师 摄影 杂志 摄影 专题报道 情绪 光影 构图 职位 创办人
回复 - :你算什么东西啊还跟人家吃饭,群体对立,回复 吃饭
也不看看她拍的是谁，而且她拍不假，她到底是只负责按快门还是真的懂呢也没法确定,相对剥夺,负责 没法
太社恐了哈哈哈,不良示范,太社
还得是背景的力量，没这个资源，没这个人脉，没这个设备，你就算天赋万里挑一的摄影天才也没机会小小年纪就能拍梁朝伟,群体对立,背景 力量 资源 天赋 摄影 天才 机会 小小年纪
“就算”里什么都说了，就没有说人家努力，这酸味，可以把你放老坛酸菜里了,不良示范,努力 酸味 老坛 酸菜
回复  :因为不需要努力就已经通关了,相对剥夺,回复 努力
回复  :对，何况还努力,不良示范,回复 努力
回复 -- :盯着泥巴看永远不会开花 你是不能当王思聪，那你为什么也不能当王思聪他爸？不要认为自己一直是受委屈的,不良示范,回复 泥巴 开花 受委屈
回复  :啊哈哈哈哈哈哈哈你上下嘴皮子一碰就能说出这种话你资源没少吃阿 你当吧 你当一个王健林我看看 你先以身作则在要求别人啊 你能吗,污名化,回复 嘴皮子 说出 资源 没少
为什么拍了那么多大明星才几十万粉丝，不知道是哪里出问题，大家说说看,不良示范,粉丝
那不是随便拍?等女足差不多快上映的时候,相对剥夺,女足 上映
男神,其他,男神
有人出生在罗马,污名化,出生
我擦，这什么家庭,相对剥夺,家庭
年轻到老,其他,年轻
可以求原图吗,其他,原图
求原图,其他,原图
和孩子的互动很好，他会是一个好父亲,其他,孩子 父亲
