content,emotion_scroe
"高端机就是不一样非常棒，客服服务非常好

",0.5430949980158806
"高端大气上档次，低调奢华有内涵，手机还没使用，但是看上去就很不错，准备送人的，很不错

",0.9999151742454652
"高大上，沉点，热点，很漂亮。自己去买手机壳吧。

",0.9616631331709955
骁龙8100处理器高效省电，2K屏幕细腻，5500大电池加上67瓦充电这个价格已经无敌了，首发抢到给力。,0.7455437920749544
首发预订买的，从2月份就一直期待，终于到手了。虽然由于疫情到货速度有点慢，但东西是真的香，玩游戏不卡不热。特意买的256G，容量够用。首发天玑8100也很稳定。超值！,0.9970220878324791
"首发买的，才过去两个多月，就降一千块，r**退钱

",0.007046621670757536
"首发下单，今天下午收到。手感不错，送的原装膜前置摄像头开孔明显。而且不支持120hz和dc调光一起开。

",0.02317000579231776
"首先这部手机外观设计时尚大气 我是从k20pro 换的MIX4 虽然对全面屏不是那么惊讶 但是MIX4 的屏幕真的是很棒的很细腻 前置摄像头挖空的位置显示效果很强 不是盯着看根本看不出有什么区别 但是在拍摄上面要比挖孔屏的手机差一些 但是扫脸支付是完全没问题的 这点不用担心使用的一晚上给我的感觉是 在手机性能方面是没得说的 非常的流畅 手感也比较好 不厚重 在温度上也控制得很不错 有提升 续航方面不知道是因为我没有升级到最新版本或是要多冲几次电 目前还说还不是很满意 后续使用几天再追评 希望优化后有提升吧 也期待小米在以后能做出更震惊世界的产品 ！！！

",0.9999999999876727
首先这款手机真的颜色超喜欢。不卡不热挺好的    小米手机真的好用 家里好多东西都是米的呀。     会继续支持哒。    嘻嘻 很满意的一次购物。,0.9999984078155457
首先赞一下快递，头天下单，第二天就收到了，为京东快递速度点赞！手机已经用了三天了，首先银灰色真的很漂亮，手机造型流畅，很喜欢。手机运行很快，拍照录像都非常清晰。电池待机时间长，很够用，总之，很赞！,0.9999999955329661
首先物流非常快，再就是手机比期望值高！外观很时尚，墨羽色很漂亮，反应速度非常快，玩时间长了也不会发热！电池没得说，充电速度也很快！性价比非常高！,0.9999999182278665
"首先是价格实惠不到4k，还送了礼品盒，里面有蓝牙音箱，护眼台灯，380ml的保温杯，都是实用的，很满意！
其次是这显示效果满分，同样是全面屏，比k30和9X都要好看，微曲原因？滑动很丝滑，充电特快，新机80%电量，充到100没发现发热，几分钟就满了！
然后开机空间已用28.3G，128G的应该不够用吧，最好还是256起步！
最后是吐槽一下屏下摄像头，真的好像以前老人机的效果，还好视频不多，语音多，扫面认证也能用，希望后面的MIX能更加完美！",0.9999641573469238
首先摄像头没有歪是很放心的。拍摄的质量日常够用，有一个小缺陷是感觉对焦有点慢。日常使用很流畅，2K屏感觉还是很舒服的。轻度游戏画面质量可以开到比较高的档，确实不错！总之还是很值得推荐的，性价比很高！,0.9999999945644298
首先夸夸这个手机，真的挺好，外观也很漂亮，颜色很时尚，像素很好，反正拍出来挺美腻的，用着流畅不卡顿，颜色也是很漂亮的，我很满意,0.9999999863559235
"首先，京东快递的速度还是一如既往的快，隔天就到了。其次，小米mix4确实很惊艳，非常有质感，吸引我的地方还是超大的储存内存和运行内存。12+512绝对够日常用了，巨大的充电器头证明了充电速度杠杠的。再次，作为资深的小米用户，从小米1s开始，绝对相信小米的实力。最后，期待mix4的持久更加强劲。

",0.9999999819617119
"颜质非常高，材质非常好，设计简洁、大方、美观，看了使用说明，操作简单方便，科技让生活变美好，京东物流速度与服务是越来越快且越来越好。

",0.9999994158098329
颜色看起来非常大气上档次，5500毫安时的电池。很耐用，67w的快充，充电速度也非常快。性价比比较高，2399能够买到一部。非常不错的手机。,0.9999928505003325
"颜色好看，用着也顺畅。

",0.897804476084681
"颜色：幽芒的颜色是青春的草绿色，非常亮眼，喜欢。
速度：打开软件速度很快，喜欢
用户体验：目前感受不错，之前我一直用的华为，第一次尝试小米，有被惊艳到。希望小米越做越好。",0.9999999709990857
颜值能打，续航不错，系统挺流畅，总体满意,0.9996174098208414
颜值杠杠的，手感超级好，丝滑柔顺！速度快的飞起来！第一次首发抢到货！真的太开心了，我的MIX2S战了3年终于可以歇歇了！重度玩了大下午！耗电40%左右！120W极速充电太给力了，30分钟左右充满！开心！,0.8653643583663688
"颜值担当，全面屏，温度还可以，拍照不赖

",0.9335861556603233
颜值很高，全面屏很惊艳，真全面屏效果出众，值得推荐，一直追随了小米很多年，性价比很高，感觉比iPhone 的显示效果更加细腻，配有一块6.67英寸的微曲柔性屏，采用 CUP 全面屏技术，搭载骁龙888 Plus处理器，4500mAh大电池，支持120W有线快充，充电速度贼快,0.9999999999239442
"颜值外观好看
手感握着舒服也不会很重
一直是米粉4/6/8/10/11都用过
Mix4的体验是最好的…",0.9970901700998624
"颜值在线，沉甸甸的，很有感觉，喜欢

",0.36462930030049945
颜值在线，就是因为不喜欢屏幕上有洞，所以考虑买MIX4。后置摄像头也很好，拍摄效果也很棒，总体来说很满意。,0.9852160267791235
"颜值95分，功能85分，拍照80分

",0.30867195501116473
音质很优秀，完全不存在杂音，而且整款手机设计特别好看，指纹解锁在锁屏上解锁就很nice，可以说真的一看就爱了。,0.897684819236781
面容不太方便，需要先亮屏再等一会才解锁，不灵活。侧边指纹个人不喜欢用不惯。光线暗的地方没法拍照。充电速度不慢，电池容量大。5G信号是真不错，信号好的地方网速起飞。双扬声器体验还行，性能体验一般般，还好不是游戏党。或许这个价位已经是很不错的一款了。上一部手机是水果12。烦透了它的信号差，或许下一部手机又会选水果了,0.012471125080500967
非超好的宝贝 用的很流畅 性能很好 颜色也很好看 玩游戏不卡非常流畅 处理器也不错,0.9999999909169567
非常超预期，手感很好，看测评都说颜值差，但拿到手里感觉很有高级感，绝对超值,0.9963475891689922
"非常的漂亮，虽然上一代11让我失望这次的mix还是挺香的

",0.8485347058027984
"非常的完美非常的划算，双11价格优惠，比官方便宜几百块。真正的全面屏，充电很快，放电一般，充电头可以当作防身@。有需要还会再来

",0.9835193759131201
"非常的奈斯快递一天就到了而且查到都是真品，而且比其他便宜点

",0.1669084207184044
"非常的丝滑，感觉有点压手，屏下摄像头感觉有点怪怪的，嗯

",0.9269981211855615
"非常漂亮的手机，超喜欢，老板送的小礼品也非常有心，祝老板生意兴隆。

",0.9942680088468183
非常漂亮，手感也特别好，颜色也比较喜欢，因为一直都在用小米手机。,0.9985123759456073
"非常满意的一次购物！！小米越来越棒了！加油！

",0.9994705367631338
