内容,主题概率,主题类型
report emphasis autonomous platform edge computing technology potential implication fundamental right positive negative concern data protection autonomous platform gather vast amount personal informat,"[(8, 0.9598576)]",8
european union distinctive stance facilitating unrestricted movement personal data upholding security standard requirement ensure equitable condition data sharing scrutinises,"[(9, 0.9538369)]",9
paper structured overview burgeoning literature economics cbdc document economic force shape rise digital money review motif issuance cbdc study implication financial system po,"[(0, 0.9598589)]",0
special feature ata protection technology protect privacy innovative technology solution protect covid breakthrough sme friendly robotics,"[(3, 0.94569296)]",3
rapidly evolving digital age european union aim foster thriving digital single market eliminating barrier free flow data digital service introduction digital service digital market substantial lea,"[(8, 0.96580756)]",8
artificial intelligence ai medicine healthcare praised promise offer centre heated controversy study offer overview ai benefit future healthcare increasing efficie,"[(7, 0.9514102)]",7
tachograph crucial tool controlling compliance eu rule driving rest time driver aim ensuring adequate condition prevent distortion competition eliminate risk road safety feasibility study ass strength weakness,"[(1, 0.9658053)]",1
public administration increasingly location data deliver public service location enabled tool apps tourist toll collection service cadastral web application location data address gps coordinate camera image key public service al,"[(3, 0.96922857)]",3
objective bc project investigate application blockchain bc technology road transport focusing topic european commission policy agenda bc technology enables data exchange storage transparent traceable givin,"[(6, 0.95985854)]",6
steady increase cyber attack ict device system network lack guarantee control major concern citizen industry decision maker alike european union ambition global leader cybersecurity,"[(9, 0.9630688)]",9
public administration increasingly location data deliver public service including location enabled tool apps tourist toll collection service cadastral web application location data address gps coordinate camera image key public service,"[(3, 0.97022116)]",3
cyber security law people republic china csl entered force st june csl trio law dealing cybersecurity including national security law st july anti terrorism law st january implica,"[(9, 0.96449053)]",9
purpose study provide input preparatory european commission reconfigurable radio system rrs final report study evidence system evaluates potential regulatory response ass impact vario,"[(1, 0.96153355)]",1
report produced european investment bank european commission global overview play technology europe address investment gap billion holding development deployment artificial inte,"[(10, 0.9580364)]",10
overview scientific innovation communication technology transport medical advancement huge change regard technology impact communication societal behaviour innovation pa,"[(11, 0.9487108)]",11
main theme addressed report type telephone access availability computer internet access quality internet connection television availability transmission received,"[(9, 0.95140815)]",9
mobility indicator derived anonymised aggregated mobile positioning data indicator provide behaviour individual capture valuable insight mobility pattern population eu,"[(5, 0.9514061)]",5
joint centre organised level scientific conference entitled integrating genomics personalised healthcare science policy perspective february brussels flagship event addressed inter alia current future genome based screening dia,"[(8, 0.9670238)]",8
april incident response team europe team day improve prevention detection analysis cyber threat incident envisioned ni directive cybersecurity enisa tasked assisting csirts netwo,"[(2, 0.95985866)]",2
