id,杂志名称,页码,日期,标题,子标题,内容,分词,主题概率,主题类型
230571,Lifestyle,4,14/12/2020,State of the art AI,,"ARTIFICIAL intelligence (AI) has already proven capable of producing music and novels, but now a student at Princeton University in the United States has shown that 
it can also create Chinese landscape paintings that are good enough to fool human evaluators – sometimes.As part of her undergraduate research, Alice Xue studied whether a machine could pass a Visual Turing Test by producing images that people cannot tell were made by a machine. 
Xue trained an algorithm using 2,192 traditional Chinese landscape paintings collected from art museums. 
The resulting AI-generated paintings were mistaken for being made by humans 55% of the time.
Xue graduated earlier this year, but the research was just made public in November when published on the online scientific paper repository arXiv. It was first reported in the AI industry publication Synced this week.
The AI algorithm produced the artwork using a machine learning framework model called Generative Adversarial Networks (GANs). 
GANs have previously been used for turning photographs into paintings and creating other types of art, some of which have even been sold at auction.
One AI-generated painting from the French art collective Obvious sold for US$432,500 (RM1.75mil) at a Christie’s auction in 2018. 
Like Xue’s AI-generated art, that painting of a man with blurred, indistinguishable facial features was generated by an algorithm trained on thousands of other paintings. 
In this case, it was fed 15,000 portraits from between the 14th and 20th centuries.
Xue’s research was also original in its choice of artwork. 
“Most GAN research focuses on Western art,” Xue wrote in the paper. 
She said this is why she chose to focus on Chinese landscape paintings, which are “just as aesthetically meaningful as Western art”.
For the Visual Turing Test, Xue surveyed 242 participants. The selection process and the participants’ knowledge of art was not specified in the study. 
They were each asked whether they thought a painting was made by a person or computer and how certain they were on a scale of one to 10.
Xue said her algorithm is also unique in its ability to create artwork from beginning to end. 
The traditional GAN-based method of creating artwork tends to produce unoriginal artwork, according to Xue, because it relies on inputs like pre-prepared sketches.
For this research, Xue used a version of the framework called Sketch-and-Paint GAN (SAPGAN). 
This trained the algorithm to make its own sketches of the landscape’s mountains and rivers before painting in the details.
The results, according to Xue, could help lay the groundwork for future machine-made artwork that is truly original. – South China Morning Post",artificial intelligence capable music novel princeton university united create chinese landscape painting human evaluator undergraduate alice xue machine pas visual test image people machine xue algorithm traditional chinese landscape painting museum painting human time xue public online scientific paper repository arxiv industry publication week algorithm artwork machine framework model generative adversarial network gans gans painting type auction french art obvious mil christie auction xue art painting indistinguishable facial feature algorithm trained thousand painting portrait century original choice artwork gan western art xue paper chose focus chinese landscape painting meaningful western art visual turing test xue participant selection process participant art study person computer scale xue algorithm unique ability create artwork traditional gan method artwork unoriginal artwork xue input pre prepared sketch xue version framework sketch paint gan sapgan algorithm sketch landscape river detail xue groundwork future machine artwork original south china morning post,"[(1, 0.99242365)]",1
230581,Lifestyle,6,14/12/2020,AI solves big  biology mystery,The breakthrough could help scientists combat disease and manufacture better drugs.,"FOR decades scientists have been trying to figure out how to swiftly predict the twisting, tangled shape of proteins – and from there unravel a greater understanding of the machinery of life itself.
An Artificial Intelligence program created by firm DeepMind was shown to have virtually cracked the challenge, forecasting the way in which proteins contort into three dimensional structures in the results of a biannual competition that judges hailed as a game changer.
“In some sense the problem is solved,” said John Moult, a computational biologist at the University of Maryland who co-founded the Critical Assessment of Techniques for Protein Structure Prediction (CASP) competition in 1994, quoted by the journal Nature.
Janet Thornton of the European Bioinformatics Institute said in a statement from the competition organisers that the work to solve the problem was a “triumph of human curiosity, endeavour and intelligence”.
“A better understanding of protein structures and the ability to predict them using a computer means a better understanding of life, evolution and, of course, human health and disease,” said Thornton, who is not affiliated with CASP or DeepMind.
The cells of all living beings contain thousands of proteins, workhorses that catalyse most chemical reactions in the body.
They are essential to life – from muscle function to carrying oxygen in the blood – and are also the key to diseases like cancer and even Covid-19.
A protein is a strand of amino acids, which then crumples into a unique three-dimensional tangle.
It is this shape that directly relates to its function.
Scientists have puzzled for half a century over how to accurately and quickly predict which formation – out of an unfathomably large number of possibilities – a protein might take by looking at its amino acid chain, a process that may take years in the laboratory.
The CASP contest involved around 100 teams who were given the amino acid sequences for dozens of proteins and tasked with estimating their final shapes – which were known to the organisers.
DeepMind – whose program AlphaGo stunned the world in 2016 by beating an elite human player in the complex strategy game Go – was already at the top of the field in the last contest in 2018.
This time the AlphaFold program determined the shape of many of the proteins “to a level of accuracy comparable to that achieved with expensive and time-consuming lab experiments”, according to the CASP organisers.
Medical marvel
Andrei Lupas, an evolutionary biologist at the Max Planck Institute for Developmental Biology who was part of the assessment team, told Nature that AlphaFold had helped him determine the structure of a protein that his lab had been trying to pin down for a decade.
“This will change medicine. It will change research. It will change bioengineering. It will change everything,” he told Nature.
Derek Lowe, who writes about drug discovery and the pharma industry for Science Translational Medicine, described protein folding as like “watching piles of hinged lumber spontaneously restack themselves into functional boats, wagons and treehouses”.
He said the AlphaFold results did not mean the program would consistently come up with the right protein structure.
“But getting that level of structural accuracy on that many varied proteins is something that has just never been done before.”
DeepMind said it was looking at how the program might help increase knowledge of certain diseases, for example to identify whether a protein has malfunctioned.
“These insights could enable more precise work on drug development, complementing existing experimental methods to find promising treatments faster,” it said in a statement.
The firm added that it was working to produce a peer-
reviewed paper and was “exploring how best to provide broader access to the system”. – AFP",decade scientist shape unravel understanding machinery life artificial intelligence program firm deepmind cracked challenge forecasting protein dimensional structure biannual competition judge game changer sense john moult computational biologist university maryland critical assessment technique structure prediction casp competition journal nature janet thornton european bioinformatics institute statement competition organiser triumph human curiosity intelligence understanding protein ability computer life evolution human health disease thornton casp deepmind cell thousand workhorse catalyse chemical reaction essential life muscle function oxygen blood key disease cancer covid protein strand amino acid crumples unique dimensional tangle shape function scientist half century predict formation protein amino acid chain process laboratory casp contest team acid sequence dozen protein final shape organiser program alphago elite human player complex strategy game top field contest time alphafold program shape protein accuracy comparable expensive time lab experiment organiser medical marvel andrei lupas evolutionary biologist max institute developmental biology assessment team nature alphafold structure protein lab pin decade change medicine change change change nature derek lowe drug discovery pharma industry science translational medicine protein pile restack functional boat treehouses alphafold program structure level structural accuracy protein program increase knowledge protein insight enable precise drug development experimental method treatment statement firm peer paper provide broader access system afp,"[(3, 0.9952732)]",3
229027,StarBiz,9,10/12/2020,The place with the world’s most AI unicorn companies,,"BEIJING: China tops the list of countries with the most artificial intelligence (AI) unicorn companies in the world, the 21st Century Business Herald reported on Tuesday.
With 206 AI unicorn companies, China took a leading role in the number of such firms in 2019, said the report, citing An Hui, deputy chief engineer of the CCID Research Institute, Ministry of Industry and Information Technology.
From 2015 to 2019, Chinese AI companies raised US$40bil, ranking second in the world and accounting for 22% of the total, An said at an AI industrial summit in Wuxi, East China’s Jiangsu province.
Statistics showed that, as of the middle of October, China had 1,499 smart robot companies, 2,707 drone companies, 6,722 face recognition companies, 2,855 smart voice companies, and 6,143 smart driving companies.
In 2019, the Chinese government launched about 276 policies to promote AI development in the country. It is expected that China’s face recognition market share will account for 44.59% of the world’s total by 2023.
About 783,000 industrial robots are currently in operation in Chinese factories and the outbreak of the Covid-19 pandemic sped up the development of AI in the medical field, the report said. — China Daily/ANN",china top list country artificial intelligence unicorn company century business herald tuesday unicorn company role firm hui deputy chief engineer ccid institute ministry industry technology chinese company total industrial summit east china jiangsu province statistic middle china smart robot company company recognition company smart voice company company chinese government policy development country china recognition market share total industrial robot operation chinese factory covid pandemic development medical field report daily ann,"[(2, 0.9865181)]",2
228703,Main,19,09/12/2020,Japan AI funds  for match-making,,"Tokyo: Japan seeks to boost its slow birthrate by funding artificial intelligence research to help match lonely hearts, an official said.
Although it might not conjure thoughts of romance, AI tech can match a wider and smarter range of potential suitors, the cabinet official said.
Prime minister Yoshihide Suga’s government plans to allocate two billion yen (RM78.25bil) in the next fiscal year to back local authorities that run schemes to help their residents find love, he said.
Around half of the nation’s 47 prefectures offer matchmaking services and some of them have already introduced AI systems, according to the Cabinet office. — AFP",tokyo japan slow birthrate funding artificial intelligence match official conjure romance tech match wider smarter potential suitor official prime minister yoshihide suga government plan yen bil fiscal local authority resident nation service system cabinet office afp,"[(1, 0.9730364)]",1
228307,StarBiz,11,08/12/2020,Cisco to buy Iodine for US$750mil to boost AI offerings,,"LOS ANGELES: Cisco Systems Inc said it will buy Iodine Plc for US$750mil to add artificial intelligence (AI) software used to help companies manage customer relationships.
The United States maker of networking gear will pay 595 pence (about US$8) a share for the United Kingdom provider of cloud communications software. The cash offer, which includes debt, is expected to close in the first quarter, Cisco said in a statement.
Cisco’s CEO Chuck Robbins is seeking to recast the company – whose hardware is the backbone of the internet – as a networking software and services provider. He’s responding to an industrywide shift that has seen more of the functions traditionally provided by in-house hardware migrate to outsourcing offered by remote data centres.
Cisco is seeking to push further into automation to improve the way its customers reach out to their end-users, enabling them to make their pitches and services more effective. 
And it wants to add those capabilities to its existing customer-relationship management offerings.
With Iodine, it sees an opportunity to use AI software to automate the outreach process more effectively than is currently possible. For example, it will help customers channel their offerings into the approach that they prefer, such as through text messages, social media or a voice call. 
Another instance is to provide a company representative with more contextual information about the customer they’re dealing with to make sure that they tailor that interaction in a way that the customer wants.
“A great customer relationship is built on consistently enjoyable interactions where every touchpoint on every channel is an opportunity for businesses to deliver rich, engaging and intuitive experiences,” Cisco senior vice-president Jeetu Patel said in the statement.
The acquisition adds to a growing list of deals as tech companies seek to strengthen their AI capabilities. ServiceNow Inc has said it will buy Canadian startup Element AI, marking its fourth AI-related buy this year. — Bloomberg",los cisco system iodine plc mil artificial intelligence software company customer relationship maker gear pay penny share united kingdom provider cloud communication software cash offer debt close quarter cisco statement cisco ceo chuck recast company hardware backbone internet software service provider industrywide shift function house hardware migrate outsourcing remote data centre push automation customer user pitch service effective add capability customer relationship management offering opportunity software automate outreach process customer offering approach text message social medium voice call instance company representative contextual customer tailor interaction customer customer relationship enjoyable interaction channel opportunity business rich intuitive experience senior vice president jeetu patel statement acquisition list deal tech company strengthen capability canadian startup element fourth buy bloomberg,"[(11, 0.9915896)]",11
228487,Main,20,08/12/2020,Iran: Scientist killed by machine  gun with AI,,"TehEran: A satellite-controlled machine gun with “artificial intelligence” was used in last week’s assassination of a top nuclear scientist in Iran, the deputy commander of the Revolutionary Guards said.
Mohsen Fakhrizadeh was driving on a highway outside Iran’s capital Teheran with a security detail of 
11 Guards on Nov 27, when the machine gun “zoomed in” on his face and fired 13 rounds, said rear-admiral Ali Fadavi.
The machine gun was mounted on a Nissan pickup and “focused only on martyr Fakhrizadeh’s face in a way that his wife, despite being only 25cm away, was not shot,” Mehr news agency quoted him as saying on Sunday.
It was being “controlled online” via satellite and used an “advanced camera and artificial intelligence” to make the target, he added.
Fadavi said Fakhrizadeh’s head 
of security took four bullets “as he threw himself” on the scientist and that there were “no terrorists at the scene”.
Iranian authorities have blamed arch foe Israel and the exiled opposition group the People’s Muja­hedeen of Iran for the assassination.
Various accounts of the scientist’s death have emerged since the attack, with the defence ministry initially saying he was caught in a firefight with his bodyguards, while Fars news agency claimed “a remote controlled automatic machine gun” killed him, without citing any sources. — AFP",teheran satellite machine gun artificial intelligence week assassination top nuclear scientist iran deputy commander revolutionary guard fakhrizadeh highway iran capital teheran security detail guard nov machine gun fired round rear admiral ali fadavi machine gun nissan pickup martyr fakhrizadeh wife shot news agency sunday satellite camera artificial intelligence target fadavi fakhrizadeh head security bullet scientist terrorist iranian authority arch foe israel opposition people hedeen iran assassination account death attack defence ministry firefight bodyguard news agency remote automatic machine gun source,"[(9, 0.9874408)]",9
228031,StarBiz,8,07/12/2020,OFO Tech’s Geo-AI technology offers cost savings,,"KUALA LUMPUR: Utilising Malaysian-based geospatial-artificial intelligence (Geo-AI) technologies, infrastructure and plantation companies have experienced an average cost savings of up to 40% and a stronger topline growth. 
Geo-AI technology is created from an AI and geographic information system based on geographic data – which helps to visualise business objects on maps, improving efficiency and the decision-making abilities of businesses.  
OFO Tech Sdn Bhd managing director Armi Majid told StarBiz that the technology, which uses reality and real-time data, speeds up work and reduces manpower for companies. 
“Companies can even have cost savings of up to 70% after using our Geo-AI technology, as it reduces the time of work compared to using traditional manpower,” he said.
Lowering the cost of deploying the technology, Armi told StarBiz that the technology for business operations is “affordable” and is also offered to companies based on a yearly subscription model. 
“This technology is a saviour for organisations. 
“Our tech solution is affordable and businesses can choose to pay monthly or yearly rather than bearing the full cost of the technology. 
“Our clients have reformed their daily operations by using Geo-AI technology,” he added.
The #digitalXdata 2020 live virtual conference was organised by Star Media Group with OFO Tech as the Gigabyte Partner. 
Its business development director, Muhammad Amsyar Faiz, was a speaker at the Drone Track. 
Amsyar presented on “Drone Powered Solutions and Its Affiliated Technologies; Artificial Intelligence, Big Data, Virtual & Augmented Reality, and Industrial IoT Technology – Emerging Trends and Applications.” 
The conference aims to help companies solve business challenges and uncover growth opportunities by redesigning a data-driven digital future.
During the movement control order, Armi noted that the Geo-AI technology was “tremendously” helpful to businesses as site operations were seen through the web platform, which did not require workers to visit the site. 
“Especially with the work from home environment, workers don’t have to go to the site, instead we brought the site to their homes via the Geo-AI technology,” he said. 
As such, Armi disclosed that the company’s sales rose 40% during the Covid-19 period compared to a year ago due to the acceleration of digitisation by infrastructure, construction and plantation companies, as well as additional incentives provided by government agencies to businesses. 
Currently, the company is focused on supplying its technology to three sectors, namely, construction, critical infrastructure as well as the plantation and agro-sectors. 
Post-Covid-19, Armi is confident that the company is set to quadruple its sales due to aggressive awareness promotions of technologies, additional upcoming new products and solutions and expansion to new markets.
The company plans to expand to new markets such as Indonesia, South Asia, the Middle East and Europe.
Meanwhile, Armi also commended Malaysia Digital Economy Corp’s support to local tech solution providers, as it enables Malaysian-made tech to stand tall among other developed countries. 
“Given the support from agencies, the government can do more to lead the adoption of locally developed Geo-AI platforms amongst various agencies. 
“This would give a clear indication for private enterprises to follow suit and prioritise local solutions as opposed to foreign solutions,” he said.",kuala lumpur malaysian geospatial artificial intelligence geo technology plantation company average cost saving stronger topline growth geo technology geographic system geographic data visualise business object efficiency decision business ofo tech sdn bhd director armi majid starbiz technology reality real time data speed reduces manpower company company saving technology reduces time traditional manpower cost technology armi starbiz technology business operation affordable company subscription model technology saviour organisation tech solution affordable business choose pay cost technology client daily operation technology live virtual conference star medium tech gigabyte partner business development director muhammad amsyar faiz speaker drone track amsyar drone solution technology artificial intelligence data virtual augmented reality industrial iot technology trend application conference company business challenge growth opportunity data digital future movement control geo technology helpful business site operation platform require worker site environment worker site site home technology armi company sale covid period acceleration digitisation infrastructure construction plantation company additional incentive government agency business company technology sector construction critical infrastructure plantation agro sector covid armi confident company quadruple sale aggressive awareness promotion technology additional upcoming product solution expansion market company market south asia middle europe armi malaysia digital economy corp support local tech solution provider malaysian tech tall country support agency government lead adoption geo platform agency private enterprise suit prioritise local solution foreign solution,"[(0, 0.995528)]",0
228071,Lifestyle,5,07/12/2020,China tops world in AI patent filings,,"CHINA now leads the world in artificial intelligence patent applications, surpassing the United States for the first time, a development seen bolstering the country’s position as the second-largest market for AI amid Beijing’s tech and trade war with Washington.
The achievement was highlighted by Li Yuxiao, deputy head of the Chinese Academy of Cyberspace Studies, at a press conference during the 7th World Internet Conference (WIC).
China filed more than 110,000 AI patent applications last year to move ahead of the US in the number of such filings worldwide, according to Li, whose agency is affiliated with industry regulator the Cyberspace Administration of China.
“China is strengthening its independence and technological capabilities in Internet information technology,” said Li, who did not specify the number of AI patents filed by the US in 2019.
The US and China are jostling to dominate advanced technologies, from 5G to quantum computing and AI. 
The sharp rise in China’s AI patent applications, funding and commercial deployment in surveillance activities prompted the US government to take action in October last year, when a number of the country’s AI tech champions were added to Washington’s trade blacklist. 
That has restricted their access to American hi-tech components like semiconductors and software.
China, which has laid out plans to become the global AI leader by 2030, is also being challenged by the technology’s unclear application scenarios, high investment, and security and ethical issues.
Both China and the US see the potential of AI technology in helping improve the efficiency of their respective economies, including in industries such as manufacturing, transport and logistics, health care and education.
Last year, surveillance was the biggest single end user of AI in China, accounting for 53.8% of all AI-powered applications, according to research firm iiMedia. Finance was second at 15.8%, followed by marketing at 11.6% and transport at 4.2%.
At WIC, two separate studies – the China Internet Development Report 2020 and World Internet Development Report 2020 – were released to show the country’s efforts in developing its digital economy, which includes relevant infrastructure like datacentres and 5G mobile networks to support growth amid the coronavirus pandemic.
“Over the past year, China has continued to show the world its responsibility and contribution to the development of the Internet,” said Li.
The conference is also known as the Wuzhen Summit, after the northern town in Zhejiang province where it takes place.
China’s digital economy in 2019, according to the country report, had a total value of more than 35.8 trillion yuan (RM22.13 trillion), representing 36.2% of the country’s gross domestic product that year. – South China Morning Post",china artificial intelligence patent application united time development country position largest market tech trade war achievement yuxiao deputy head chinese academy cyberspace study conference internet conference wic china patent application filing agency industry regulator cyberspace administration china independence technological capability technology patent china dominate technology sharp rise china patent application commercial deployment surveillance activity government action country tech champion trade blacklist access american tech component semiconductor software china plan global leader technology unclear application scenario investment security ethical issue potential technology efficiency respective economy industry transport logistics health care education surveillance biggest single user china accounting application firm iimedia finance marketing transport wic separate study internet development report internet development report country effort digital economy relevant infrastructure datacentres network growth coronavirus pandemic china responsibility contribution development internet conference wuzhen summit northern town zhejiang province china digital economy country report total yuan country gross domestic product south china morning post,"[(0, 0.99376273)]",0
227851,StarEdu,9,06/12/2020,AI to help battle Covid-19 pandemic,,"A GROUP of 11 researchers from Multimedia University (MMU) has added a new weapon in the fight against the pandemic, and simultaneously bagged a silver medal at the Malaysia Technology Expo (MTE) 2020 Special Edition – Covid-19 International Innovation Awards with their “COV_CTX: Lung CT-Scans and X-Rays Artificial Intelligence Enabled Analyser for Covid-19 Cases” system.
The innovative web and app-based system uses artificial intelligence (AI) to analyse images of lung x-rays and CT-scans for signs of Covid-19 infection as images of the lungs are recommended by the World Health Organisation (WHO) as an alternative diagnostic tool and for clinical management of Covid-19 patients, said the varsity in a press release.
Designed for use by healthcare professionals, the COV_CTX patient management feature also has key diagnostic functions using lung images and patient record management, location tracking and remote health monitoring capabilities.
The system can also recommend treatments based on the data gathered.
The system was created by MMU postgraduate students Md Armanur Rahman, Chy Mohammed Tawsif Khan and Sharifah Noor Masidayu Sayed Ismail under the supervision of Faculty of Engineering and Technology senior lecturer Dr Nor Azlina Ab Aziz.
Also part of the team were Faculty of Engineering and Technology senior lecturer Dr Md Jakir Hossen, lecturers Syabeela Syahali, Norhidayah Mohamad, Muharniza Azinita Musa and Dr Nor Hidayati Abdul Aziz, Faculty of Management Assoc Prof Dr Kamarulzaman Ab Aziz and Faculty of Information Science and Technology lecturer Siti Zainab Ibrahim.
Nor Azlina said they developed COV_CTX system to offer frontliners a faster diagnostic tool as a supplement to the current array of solutions against Covid-19.
The system carries out deep learning analysis on x-rays and CT-scan chest images of symptomatic patients without the need of human-assistance with a 97% accuracy rate. 
It also comes with additional features to ensure suspected Covid-19 patients adhere to their home quarantine while also monitoring their health condition remotely, which are among the challenges faced by health authorities to contain the spread of the virus within the community.",researcher university mmu weapon fight silver medal malaysia technology special edition covid international innovation award ctx lung scan artificial intelligence covid system innovative web app system artificial intelligence analyse image ray scan sign covid infection image lung health organisation alternative diagnostic tool clinical management covid patient varsity press release healthcare professional ctx patient management feature key diagnostic function lung patient record management location remote health monitoring capability system treatment data system mmu postgraduate student armanur rahman chy tawsif khan sharifah noor masidayu ismail supervision faculty engineering technology senior lecturer azlina aziz team faculty engineering technology senior lecturer jakir hossen lecturer syahali norhidayah mohamad muharniza azinita musa hidayati abdul faculty management assoc prof kamarulzaman faculty science technology lecturer zainab ibrahim azlina ctx system frontliners diagnostic tool supplement current array solution system deep learning analysis scan chest image symptomatic patient human assistance accuracy rate additional feature covid patient health condition health authority community,"[(0, 0.9935437)]",0
227455,StarBiz 7,6,05/12/2020,A smarter business with Hybrid Cloud and AI,"Better, scalable and secure digital services in store","THE ongoing Covid-19 pandemic has disrupted businesses of all sizes and companies across industries are required to transform how they operate to thrive in this new climate. 
According to IBM’s Institute of Business Value study “Covid-19 and the Future of Business”, 55% of C-suite executives say that the pandemic has resulted in permanent changes to organisational strategy and 60% of the responding organisations have accelerated their digital transformations due to Covid-19.  
Businesses have recognised that they must be built for continuity and resilience. 
The “next normal” environment has required the prioritisation and acceleration of digital transformation across products, services and business processes to meet the new digital demands from both employees and customers.
“Globally, companies have accelerated their digital transformation. 
“They do this by adopting artificial intelligence (AI), cloud-based remote collaboration tools and seeking data-driven insights to fast-tracking innovation and transforming business operations.
“Cloud and AI technology can help businesses to deliver better, scalable and secure digital services, enhance customer experience, and to become truly cognitive enterprises.
“We see an acceleration in the adoption of hybrid cloud as a result of the pandemic as companies turn to application modernisation, process automation and AI infusion of its business operations. 
“A hybrid cloud platform approach delivers 2.5 times more value than a traditional, public cloud only approach,” says IBM Malaysia managing director Catherine Lian.
In terms of customer experience, a recent call centre research revealed that 25% of respondents would pay more for a better experience regardless of product type while 62% would switch to a competitor product if they had a bad experience. 
The research also noted that 64% wanted real-time responses at any point in time.
Businesses can take full benefit of cloud and AI to enhance their customer experience and provide a real-time response. 
“IBM has made significant strides forward and partnered with innovative companies across industries to infuse cloud and AI in their contact centre and customer care centres. 
“This allows organisations to drastically reduce costs with the use of intelligent chatbots and virtual agents, for example. 
“Companies will be able to redeploy their resources or enhance their offerings to generate new revenue streams, with the shift of focus to sales from service,” says Devabalan Theyventheran, partner for Asean Financial Services Sector at IBM Global Business Services.
Devabalan was speaking at the #digitalXdata 2020 CxO Virtual Dialogue: Emerge as a Stronger Brand in the Next Normal. 
The roundtable session saw professionals from various industries sharing their challenges and lessons from the current crisis. 
When the pandemic first hit, IBM was also helping government agencies, healthcare organisations and academic institutions throughout the world use AI to put trusted data and information into the hands of the citizens. 
In Asean, IBM collaborated with United Nations Sustainable Development Solutions Network Youth Philippines to deliver fast and trusted Covid-19 information using IBM Watson Assistant, a conversational AI solution/virtual agent designed and trained to understand natural language and interact with users to provide responses to Covid-19 questions.
IBM Malaysia Global Technology Services general manager Joey Mak also notes that AI has become an important tool in helping organisations draw insights from data and in implementing data-driven solutions while ensuring that the data is protected. 
“As data becomes the top asset for businesses, data governance will ensure that data and information being handled is consistent, reliable and trustworthy.
“Establishing and deploying an analytics platform that embeds data governance and data integration, among other solutions, has never been more critical,” says Mak. 
Participants at the roundtable noted that companies that had gone digital early in the pandemic have performed well despite the challenging economic condition.
They also acknowledged that there was a need for a change in mindset to embrace emerging technology to stay competitive in the next normal.
“With the right technology solutions and best practices, businesses can ensure continuity of their business operations and engage their customers in new and innovative ways. 
“With automation, we are empowering next-generation of chief information officers and their teams to prioritise the crucial work of today’s digital enterprises – managing and mining data to apply predictive insights that help lead to more impactful business results and lower cost,” says Praveen Hariharan, IBM Global Business Services, Country Leader, IBM Malaysia.
Lian adds that IBM is committed to working with governments and corporations from multiple sectors in Malaysia and across the region to address their needs in this extraordinary time and help them tap into IBM’s many services and applications so they can maintain productivity in the next normal environments.
“We also established our Centre of Digital Excellence as the platform to help clients embark on their digital transformation journey. 
“Organisations can learn and co-create solutions on AI, cloud, analytics, blockchain and security with IBM experts, tools and platforms.
“Data is the fuel for business transformation, cloud is the means, AI is the accelerator and security is a must. 
“IBM’s vision is to be the orchestrator of our clients’ cognitive enterprises,” says Lian.
#digitalXdata 2020 is organised by Star Media Group Bhd with IBM as the virtual roundtable partner. Lian spoke at the panel discussion #eastXwest: Gearing Towards Business 2021. 
The conference recording can be viewed at www.facebook.com/starbizmy",covid pandemic business size company industry transform operate thrive climate ibm institute business study covid future business suite executive pandemic permanent organisational strategy organisation digital transformation business continuity resilience normal environment prioritisation acceleration digital transformation product service business meet digital demand employee customer company digital transformation artificial intelligence cloud remote collaboration tool data insight innovation business operation technology business scalable secure digital service customer experience cognitive enterprise acceleration adoption hybrid cloud result pandemic company modernisation process automation infusion business operation cloud platform approach delivers time traditional public cloud approach ibm malaysia director catherine lian term customer experience call centre respondent experience product type switch competitor product bad experience real time response time business cloud enhance customer experience real time response ibm innovative company industry cloud contact centre customer care organisation cost intelligent chatbots virtual agent company resource offering revenue stream sale service devabalan partner asean financial service sector ibm global business service cxo virtual dialogue emerge stronger brand normal roundtable session professional industry challenge lesson current crisis pandemic ibm government agency organisation academic institution data hand citizen asean ibm united nation sustainable development solution network covid ibm watson assistant conversational solution virtual agent trained understand natural language interact user response question malaysia global technology service manager joey mak note tool organisation insight data data solution data data top asset business governance data consistent reliable trustworthy analytics platform embeds data governance data integration solution critical mak participant roundtable company pandemic challenging economic condition change mindset embrace technology stay competitive normal technology solution practice business continuity business operation customer innovative automation generation chief officer crucial digital enterprise mining data predictive insight impactful business cost praveen hariharan ibm global business service country leader ibm malaysia lian ibm committed government corporation multiple sector region address extraordinary time tap ibm service application productivity normal environment centre digital excellence platform client digital transformation journey organisation create solution cloud analytics security ibm expert platform data fuel business transformation cloud accelerator security ibm vision orchestrator client cognitive enterprise lian star medium bhd virtual roundtable partner lian panel discussion business conference recording,"[(0, 0.16085488), (1, 0.63835514), (9, 0.19847454)]",1
