content,emotion_scroe
"最值得推荐的就是拍照挺不错，喜欢拍照值得入手
外形外观：稍微有点大，但是还可以，女生用也不会觉得太大
运行速度：一般，感觉不是超级流畅
待机时间：有点短，耗电真的天快，还容易发热",0.9999978425753766
看来看去最后还是选择了这家。真是一次难忘的购物，这辈子没见过这么好用的东西！！大大的好评!以后买旗舰再来你们店！(￣▽￣),0.44158148523411256
用了大半个月了，特别好用，续航确实差一点但充电很快。曲面屏比想象的好很多，颜色细腻，看起来很高级。还没有玩游戏，但其他功能使用正常，设置特别人性化，目前除了充电微微发热，都还好。拍照好看，越用越喜欢，性价比超高。,0.9999999667653898
真的非常好 包装 手机,0.6301738636488105
很好的手机，非常满意,0.8969823737907685
"不开心，买的时候3589一个月变成2859,我可真的是大冤种???",0.2087102338431629
买了很久了，现在才来评价，价格合适，在同等配置的的手机里，这款oppo手机算是性价比很高的手机了，拍照效果特别好，而且显微镜功能很酷炫！好评，推荐购买！,0.9999998179092408
还没拆呢，应该还不错吧,0.739954680794404
收到的手机质量问题不大，当我登录淘宝时，却出现了别人的帐号，说明这台手机不是第一次销售，但客户在二次售买时，没有说明，希望以后买手机的朋友们，要留个心眼！,0.006807130798504146
手机非常不错！！！你值得拥有！！！,0.8695803221748848
之前就想买x3的，但是x5快出了就忍住没买，等了半年，x5终于出，我也终于可以放心买x3了，因为x5实在是太拉了，下不去手，888处理器也是接收不了，最终在相同价格下买了x3，事实证明选择没错，发热续航和游戏体验各方面都不错，2k屏也是很舒服，虽然没线性马达很遗憾，但是怎么也好过用火龙888，总体体验下来就是舒服，新的color12系统也很顺畅,0.9994832933492158
使用手感很好，外观除了摄像头挺好看。屏幕自然没得说,0.9998176775674037
挺好的。就是耗电挺快的,0.9385103249501802
因为疫情送货时间较慢，8日送达，但仍然是相对较好的服务和物流，手机问题不大，21年的手机现在性价比很高。刚开始用的时候有些发热，显微镜功能很有趣，素皮手感很好，但指纹解锁速度比较慢，总体来说是很好的购物体验,0.9999983217070505
很好用，信号也很好，很丝滑。完美,0.9933793612515868
好评，买电子产品还是相Jd,0.8667100917858849
手机用起来挺流畅，可以的，拍照也清晰,0.9951483575904352
手机真的不错，如果可以再来一次还是会选择它。,0.8788319154463349
试用了一段时间，感觉还可以，比较流畅，就是价格不算太优惠，毕竟不是新款机型，也没啥赠品。。。。,0.954094638241346
给媳妇买的  她说挺喜欢的,0.32228133331296194
"性价比还挺高的，就是曲面屏顶部割裂感还挺强，不过用习惯的话问题也不大，屏幕手感很好，指纹解锁稍微有点靠下，不过现在这个价格的确很香，比刚发售的时候优惠很多，还是早买早享受晚买享折扣，等等党终究会取得胜利，哈哈哈哈哈，很值得，总的来说，屏幕观感也不错

屏幕音效：音效的话，不太习惯，感觉声音加大到一半以上，后面会有震感，不知道是手机壳太轻薄还是什么，会感受到震感，这一点有点不舒服
拍照效果：附上两张这个手机拍的照片",0.9999999972496043
oppo铁杆粉，一直喜欢支持从来没有失望过，好牛逼,0.34398167990824735
非常好拍照不错效果好,0.9723546447605378
真的发烫还是比较厉害，可能是刚刚拿到手很多东西需要下载？再用用看，本来也不打游戏，应该是够用的。拍照一般般吧，没有预想的好，电池也确实充得快掉得快，哈哈哈哈哈，将就用两年。整体来说这个价格还是不错，这个大小合适，适合女生，黑色真好看，不过终究是要戴手机壳得颜色就不纠结。,0.9999942588313417
物流很快，第二天就到了，用于替换之前的用了三年的Reno十倍变焦版。对比之前的Reno十倍变焦远物有所下降，但显微镜也太好玩了。,0.9477722562541173
某米只有一年半主板罢工，最关键的两天掉链子，气人，果断加米更换品牌，首选旗舰下单，opp眼前一亮，外观大气明亮，赠品经典完美，使用流畅无卡顿，电池稍低，但是快充弥补一下，相当了速度。拍照极佳，值得入手。还是那句话支持国产，信赖京东。,0.9999999997906404
动过两次想退货的念头，最后还是留下了。首先说一下第一点，手机充电很快，半个小时多就充满了，不过耗电也很快，因为我是学生，课比较多，上课的时候用得比较少，不过一天充一次也不完全够用。第二点，颜值一般，镜黑色会留下指纹，送的手机壳超级丑的。第三，拍照也还行，没达到我的欲望，显微镜不太用得到，差劲的是那个夜景，糊的一批，不知道是不是只有我的这样，拍出来都好糊，而且夜景反应好慢，点拍摄了还要转好多圈照片才出来，非常垃圾。第四点，网络一般，手机经常自己杀后台。第五点，虽然支持无线充电吧，但是东西却要自己另外买。总的来说四颗星，充电快，续航一般，颜值一般，拍照还行，手机声音大，微曲屏幕很喜欢，运行速度一般，可能刚开始会不太适应屏幕，但是慢慢就会适应了。,0.006927982573184943
使用顺畅，拍照清晰，自拍好。,0.9647529989404264
二次换货切换界面视频就显示不全了。,0.018290794254784304
产品不错,0.8652547422604291
"外形外观：很高端，看着有现代元素，有科技感
屏幕音效：整体音质不错，触摸屏很灵敏，只是不能贴钢化膜，贴钢化放壳不舒服，原厂膜贴着感觉没有钢化膜舒服
拍照效果：显微镜头有时候用处还挺大
运行速度：速度整体运行挺快
待机时间：还可以
其他特色：颜色好看",0.9999999949697205
看了很久最终选择了这款oppo旗舰手机，高端机使用感果然不一样，特别好，外观时尚大气，拍照效果满意，运行流畅不卡顿，续航时间也长，充电太快了，20分钟就充满了，符合我的要求，太满意哈哈哈,0.99999999912268
不错不错,0.9719626363008976
外形外观漂亮，运行速度快，手感不错！,0.9999898163548773
手机送来就有划痕,0.25019376613154687
完美 一直在用OPPO 一如既往的完美,0.9900708374854295
看着眼睛不舒服，已经给别人用了,0.642526411296345
京东放心买,0.7585225372048928
货已收到，试用几天，总体来说手机还是比较值得入手的。个人觉得手机偏重一点点，耗电也有那么一点点快，但还是在接受的范围以内，因为充电还算快！！,0.8802948504461506
丝滑，纵享丝滑，不错的不错的,0.9996688660870473
聪小米10pro换过来，今年的8gen1没有能打的，这个手机现在刚刚好,0.7634630099623413
"屏幕音效：舒服
拍照效果：完美
运行速度：极致
待机时间：足够",0.999757651213384
这个差评价的是武汉下单竟然成都送过来，这么不智能的吗，这还是比较畅销的机型，一个快递走三天，电话京东客服也是很雷人，一句话全是女士女士，不能处理事情，女士倒是喊得勤，再就是要她帮忙转客诉，还问我投诉什么，后来转过去竟然是机器，奇葩了,2.0011472479097847e-09
手机挺好的，给妈妈买的。,0.9652558105786057
