页面网址,标题,作者,作者链接,作者ID,发布时间,正文,回应,赞,收藏,转发,发布地点,评论名称,评论ID链接,评论ID,楼主标识,评论文本,评论时间,评论点赞数,引用原文,引用ID,fenci
https://www.douban.com/group/topic/316030670/,可是妈妈，这个世界没有我的容身之地,bravo,https://www.douban.com/people/156362065/,156362065,2025-01-03 00:51:43,你又和爸吵架了，我已经不想说那个人是我爸了，他变了太多，变得自私、冷漠，他惯常向你使用冷暴力。把你逼疯逼急。他是不会离婚的，妈你也没有决心去离婚。你说你小时候看见外公家暴外婆，只能哭，往他身上扔石头。现在你也被家暴了，只不过是冷暴力，我又能做什么呢？今天闹了那么久，他依然在床上安稳地睡觉，我不明白家人对他来说意味着什么。我也不明白了。妈你昨天还说，你要走，离婚。今天又动摇了，这样的事情发生好多次了，好多次。我发现我在其中是不起作用的，最后的结局是我崩溃。我连自己的人生都无法顾好，工作没有着落，初进社会，害怕很多事。我没办法帮你妈，我想了好多主意，说了好多话，可是你听了又过了。我不会再去拯救你了，妈，你要自己拯救自己。我能做的只有远离你们，过好我自己的人生，等我养好自己，有钱后，也许我能帮到你。可是妈，我现在真的很无助。我在这个房子里甚至不能大声哭泣，因为你会更崩溃，那个叫爸的人只会冷眼旁观，觉得我吵到他了，他不会为这个家提供情绪。“家”变成了一个不允许哭泣的场合，这是你喜欢的家吗，妈。我今天吵架吵得头疼，躺下却睡不着，开始流泪哭泣。我要离开你了，妈，我不想当你的情绪黑洞。我连自己都无法拯救，更无法帮助你。,0,0,0,0,四川,,,,,,,,,,吵架 不想 变得 自私 冷漠 冷暴力 逼急 离婚 决心 离婚 小时候 外公 家暴 外婆 只能 石头 家暴 冷暴力 床上 安稳 睡觉 家人 意味着 离婚 动摇 事情 发生 发现 结局 崩溃 人生 着落 社会 害怕 办法 主意 拯救 拯救 远离 人生 有钱 帮到 无助 房子 哭泣 崩溃 吵到 提供 情绪 哭泣 场合 喜欢 吵架 吵得 头疼 睡不着 流泪 哭泣 离开 不想 情绪 拯救
https://www.douban.com/group/topic/315699189/,妈妈 我真的想不明白是不是在你心里老师的话永远比我的想法重要呢,momo,https://www.douban.com/people/270314932/,270314932,2024-12-26 22:46:11,妈，每次跟家里打电话，总会把我的好心情搞的一团糟。小学的时候在班里被欺负，我不想去学校了，妈直接去老师面前说不知道我为什么变成这样了军训的时候教官提出很无理的要求，爸说怎么就你有事，听话就行，别那么多意见高中的时候身体不舒服想回家，妈说老师同意不，别回来了吧请假不好高考的时候全班只有我被分到另一个学校的考场，我很不知所措，想让妈来陪我去住酒店，妈说老师会安排好的吧，太麻烦了，然后第一天我直接晕车吐了。第三天您和爸来接送我，上考场前爸他还指责我，我真的很生气。保研以后，爸开始催我准备法考准备考公准备这个准备那个，我有时候真的觉得我像只驴。妈您天问我入党，这是我能决定的吗，天催我去老师面前晃悠，这样才有机会，但实际上因为你们我从小到大都很怕老师。现在因为学校没事了我想回家，您又说能入党吗，去问老师等没事了再回来了吧，我直接受不了，大吵一架，我也不知道我在生气什么。但我真的很难过妈，有时候我真的觉得在你心里老师的话永远比我重要，我大概是没有家的，只有做一个好学生做一个循规蹈矩安分的好女儿才会有回家的资格。去年过年我说了我身体不好不想结婚不想生小孩，妈你反应很大的说我不正常，可你又表现的很爱我，妈说希望我做一个正常的小孩，可是原来如果我学习不好我不考研考公入党不跟老师沟通不结婚不生孩子我就是不正常的，我就是个疯子。我为什么一定要当好学生。我为什么不可以做一个疯子。,1,0,0,0,河南,是萸,https://www.douban.com/people/J2003/,J2003,,宝宝，首先你可以选择你的任何身份，想当疯子也可以，想当学生也可以，做什么都可以。但是妈妈想告诉你，你现在的所有诉求和期待都是正常且合理的。你不是疯子，宝贝。你很优秀，付出了很多努力并且获得保研的资格，你是妈妈的骄傲。妈妈愿意支持你做一切选择，妈妈只希望你平安，健康，快乐！,2025-01-02 19:33:33 江苏,,,,总会 心情 小学 欺负 不想 学校 老师 军训 教官 提出 无理 听话 意见 身体 舒服 回家 老师 回来 请假 高考 全班 分到 学校 考场 酒店 老师 安排 麻烦 晕车 接送 考场 前爸 指责 生气 保研 准备考 天问 入党 老师 机会 老师 学校 没事 回家 入党 老师 没事 回来 大吵一架 生气 难过 老师 学生 安分 女儿 回家 资格 身体 不想 结婚 不想 生小孩 很大 表现 希望 小孩 学习 考公 入党 老师 沟通 结婚 不生 孩子 疯子 学生 疯子
https://www.douban.com/group/topic/315393699/,姐妹们!!我又出息了 我们组又上新闻了,玛玛西塔的小姨,https://www.douban.com/people/230396841/,230396841,2024-12-19 13:44:33,电子爸比、精神妈咪，和真假的爱 . 是我!,5,0,2,0,江苏,psycho,https://www.douban.com/people/psycho962464/,psycho962464,,🎉大家都很棒！！,2024-12-19 14:31:14 陕西,,,,电子 精神 妈咪 真假
https://www.douban.com/group/topic/315840677/,有喜欢小狗林克的吗,Catecholamines,https://www.douban.com/people/Trrrrrr000/,Trrrrrr000,2024-12-29 23:37:29,林克妈是好妈。林克是好小狗。爱，责任，表达，倾听，耐心，安慰，撒娇，感谢，道歉，看了们的视频，我的尸体都暖了。希望我也能拥有这样的关系。,0,0,0,0,江苏,,,,,,,,,,责任 表达 倾听 耐心 安慰 撒娇 感谢 道歉 视频 尸体 希望 拥有 关系
https://www.douban.com/group/topic/315610884/,好累妈妈，我一直在背着重重的壳行走…,喜欢小浣熊！,https://www.douban.com/people/tuiyu9/,tuiyu9,2024-12-24 21:28:04,妈，我的壳好重，可我没有办法不背着它，虽然我已经长大了，可我遇到困难时我的潜意识还是躲进我是壳里。其实有更好的解决办法，可你没有教过我，我后天也没有习得。我不知道怎么办…妈…我想躲回我的壳里，就像小时候藏在你的子宫里。逃避是不能解决问题的，可我没有任何办法。我就躲在壳里看着情况变坏，一直都这样，妈我又搞砸了事情，我已经搞砸了很多事情，我又给别人添了麻烦…对不起。我应该现在就开始改变，可我的壳太重我背着它已经太久，我已然习惯这样的生活方式，这是我自己的选择，痛苦是我自己给我自己带来的，是我要承担的后果。不知道为什么要说这些感觉很莫名其妙，不管怎么样还是谢你我的壳，虽然逃避没有任何作用，可不管怎么说你还是保护了我，虽然不是很好的解决办法就是了…,9,0,0,0,湖南,喜欢小浣熊！,https://www.douban.com/people/tuiyu9/,tuiyu9,楼主,妈妈其实我有些恨你，你小时候既没有保护好我，也没有教会我怎么保护自己,2024-12-24 21:29:43 湖南,,,,办法 背着 潜意识 躲进 壳里 解决办法 壳里 小时候 逃避 解决问题 办法 壳里 看着 情况 变坏 事情 事情 麻烦 改变 太重 背着 习惯 方式 选择 痛苦 带来 承担 后果 感觉 逃避 作用 保护 很好 解决办法
https://www.douban.com/group/topic/315573958/,自留地,豆友164794513,https://www.douban.com/people/164794513/,164794513,2024-12-23 22:11:08,无人可说，只好开个帖子倾诉一下。不需要任何人回复。帖子不合适也请告诉我，我自己删掉。,19,0,1,0,上海,豆友164794513,https://www.douban.com/people/164794513/,164794513,楼主,好难过，想发疯，想质问你为什么好坏不分，要联合外人欺负我，为什么你不长脑子，辜负我的信任，我跟你讲真心话，结果你把我什么情况都跟外人讲， 却成了别人欺负侮辱我的武器。,2024-12-23 22:13:44 上海,,,,无人 帖子 倾诉 回复 帖子 合适 告诉 删掉
https://www.douban.com/group/topic/315098948/,妈妈，小狗离开这个世界了我也想离开,Leslie kk,https://www.douban.com/people/177734820/,177734820,2024-12-12 17:09:49,妈，2024是我最不幸最痛苦的一年。生活人生各种大动荡。坏事一桩接着一桩。没有好过。接二连三的倒霉。高考失利，路上骑车出车祸。本想复读，随便选择报到了一个不喜欢的大专和专业，在云南高反，被舍友攻击带来创伤，又陷入了重度抑郁中。反孝上大学后慢和原生家庭断联了，一个人来外地上大专，周围的同学都是，又给我造成了很多创伤。很孤独，心里像有个大洞，四处漏风，现在又是冬天…一个人孤身在外各种可怕的感受都侵袭过来，就会特别迫切地向外界确定自己的存在。但没有这种联系，感觉孤立在世界的角落，每天早上起来分离焦虑袭来的时候觉得被全世界抛弃了，濒死感很严重。好不容易逃离了原生家庭，但又陷入了另一种存在危机中。开始怀疑自己的决定。我好不容易逃出来，但是现在崩溃懦弱到居然想回去了三天前我所有的情感寄托和唯一支撑着我度过这糟糕一年的小狗也被原生家庭害死，车祸离开了。就在我刚做出重大决定，办理完退学的当天，本来有点开心因为想着可以回去看小狗了，结果就晚上收到原生家庭传来的噩耗—我的狗车祸去世了。又遭受到这种重大打击。一天接二连三的发生了那么多悲惨的事情在我身上。怎么会那么突然，说没就没了，我还没回去呢！我要是一直在家里陪着小狗就好了。我半年前离开的时候没想到就是和小狗的永别了。到现在还没有实感，真的接受不了这个事实。哭了一整晚眼睛疼泪流干了还是很难受，心口发堵。它还不到一岁，本来以为还可以一起度过很多时光，至少十几年…和它还有很多没做过的事。想给它庆祝一岁生日，给它做好吃的，带它跨年旅居游玩的，这下所有的计划都破灭了。期望都泡汤了变成虚空。现在回家也没什么意义了。我该何去何从。我很迷茫，我没有动力了。我想一了百了和小狗一起离开。2024的最后一个月，都要结束了还要变本加厉带走我最后了希望和美好。妈我已经精神崩溃了，想和小狗一起离开这个糟糕的世界,5,1,1,0,云南,玛玛西塔的小姨,https://www.douban.com/people/230396841/,230396841,,宝 马上要圣诞节了 真要走的话 春天再说吧 好吗,2024-12-14 10:17:22 江苏,,,,不幸 痛苦 人生 动荡 坏事 倒霉 高考 骑车 复读 选择 报到 喜欢 大专 专业 舍友 攻击 带来 创伤 陷入 重度 抑郁 大学 原生 家庭 断联 外地 大专 同学 创伤 孤独 大洞 漏风 孤身 在外 感受 侵袭 迫切 地向 外界 感觉 孤立 世界 角落 分离 焦虑 袭来 全世界 抛弃 濒死 逃离 原生 家庭 陷入 危机 怀疑 逃出来 崩溃 懦弱 回去 情感 寄托 支撑 度过 糟糕 原生 家庭 害死 车祸 离开 做出 办理 退学 开心 想着 回去 收到 原生 家庭 传来 噩耗 车祸 遭受 打击 发生 悲惨 事情 没了 回去 离开 实感 接受 事实 眼睛 泪流 难受 发堵 不到 度过 时光 庆祝 好吃 旅居 游玩 计划 破灭 期望 泡汤 虚空 回家 意义 动力 离开 结束 带走 希望 美好 精神 崩溃 离开 糟糕 世界
https://www.douban.com/group/topic/314750794/,妈妈 情绪突然崩溃了,在逃亿万富翁熊,https://www.douban.com/people/215647894/,215647894,2024-12-04 22:38:34,不知道为什么哭但就是在哭，矛盾地不想让别人知道自己的痛苦，又想被人发现,4,0,0,0,广东,摘星八爪鱼,https://www.douban.com/people/228347423/,228347423,,"小熊，想哭就哭出来啊
痛苦就算展现出来也不一定能被理解
不被理解的痛苦有自己看到就好了，抱抱",2024-12-05 17:17:24 德国,,,,矛盾 不想 痛苦 发现
https://www.douban.com/group/topic/314195071/,妈妈，可以抱抱我吗,幸存者一号,https://www.douban.com/people/240963376/,240963376,2024-11-21 20:49:18,我对小时候的一件事情一直难以释怀。在我很小的时候（应该是幼儿园的时候，因为我小学的时候搬家了），小区里有一个活动，每个小朋友都可以去领一份小礼物。我也去了，但我刚拿到礼物，就被一个很胖的小男孩抢走了，他还做鬼脸。我去找我妈哭诉，希望她能帮我拿回来，可是她却只是轻描淡写地说着“别跟他一般见识”之类的话，然后拉着我回家了。现在想一想，如果她是想要避免邻里纠纷，哪怕是再向工作人员要一份也好啊… …可是我也有一点能理解她吧，或许当时她工作上的事也让她身心俱疲。而且在我长大后，其实她也有更多向着我的时候，这是毋庸置疑的。但至少当时那份“最亲密的人也没有站在我这边”的不安全感却一直在我心中留下了一个深的烙印，因为我当时还那么小… …😭想起来还是觉得好难受啊，想要一个抱可以吗🥺,7,1,0,0,日本,金小狗的狗,https://www.douban.com/people/panda-mi/,panda-mi,,抱抱你,2024-11-25 00:16:37 上海,1.0,,,小时候 事情 很小 小学 搬家 小区 小朋友 礼物 拿到 礼物 很胖 小男孩 哭诉 希望 回来 回家 想要 工作人员 理解 亲密 不安全感 留下 烙印 难受 想要
https://www.douban.com/group/topic/315497176/,妈妈，我想去布里斯班,momo,https://www.douban.com/people/190512818/,190512818,2024-12-21 21:22:25,我不想结婚，不想生育，不想回到三线城市我恨你,0,0,0,0,山东,,,,,,,,,,不想 结婚 不想 不想 回到
