Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重
治疗,0.027,硼酸,0.024,医生,0.040,医生,0.049,白带,0.045
宫颈,0.023,症状,0.021,医院,0.037,检查,0.028,阴道炎,0.027
炎症,0.022,感觉,0.021,活检,0.027,月经,0.025,霉菌,0.021
医生,0.015,支原体,0.018,检查,0.019,医院,0.022,感染,0.021
复查,0.013,姐妹,0.016,阴道镜,0.017,出血,0.018,内裤,0.019
性生活,0.011,出血,0.010,建议,0.012,姨妈,0.014,请问,0.018
免疫力,0.010,月经,0.010,益生菌,0.011,好像,0.013,楼主,0.017
乳酸菌,0.010,阴道,0.010,病变,0.011,息肉,0.012,感觉,0.016
转阴,0.010,真的,0.010,姐妹,0.009,内膜,0.011,外阴,0.012
怀孕,0.010,没用,0.008,担心,0.009,妇科,0.011,细菌,0.012
复发,0.010,疗程,0.007,复查,0.008,手术,0.009,你好,0.009
宫颈炎,0.008,舒服,0.007,真的,0.007,褐色,0.009,常规,0.008
身体,0.008,霉素,0.007,三甲,0.007,子宫,0.008,细菌性,0.007
糜烂,0.008,不适,0.006,不用,0.006,结束,0.008,那种,0.007
运动,0.008,霉菌,0.006,洗液,0.006,几天,0.008,多久,0.007
不好,0.007,排卵期,0.006,手术,0.006,分泌物,0.008,阴道,0.007
霉菌,0.007,每次,0.006,报告,0.006,一周,0.007,尿频,0.007
用药,0.007,好了吗,0.006,放心,0.006,经期,0.007,不痒,0.006
感染,0.007,一个月,0.006,办法,0.005,感觉,0.007,有时候,0.006
不用,0.006,查出来,0.005,影响,0.005,白带,0.007,一点,0.006
