 不用 29
 检查 90
 炎症 5
 抵抗力 11
 东西 69
 确实 82
 医生 116
 生活 36
 每次 106
 没事 108
 活检 18
 有没有 49
 免疫力 10
 希望 53
 半年 30
 内裤 57
 第一次 58
 妇科 95
 担心 35
 白带 11
 原因 84
 没什么 67
 常规 65
 几天 98
 医院 18
 盆腔炎 48
 阴道炎 85
 有时候 36
 查出来 48
 霉菌 106
 宫颈 64
 反复 63
 复发 100
 打算 42
 塞药 86
 不好 39
 细菌 104
 是因为 34
 子宫 100
 内膜 84
 性生活 88
 焦虑 26
 建议 123
 阴道 32
 中药 32
 中医 23
 平时 64
 感染 79
 用药 10
 只能 37
 三个 68
 三甲 127
 时间 58
 吃药 118
 经期 24
 结束 2
 男人 51
 激素 46
 症状 88
 息肉 86
 抗生素 2
 支原体 7
 病毒 54
 阴道镜 48
 肯定 55
 阳性 37
假性 分泌物 2
假性 不用 37
假性 检查 34
假性 炎症 70
假性 东西 10
假性 确实 2
假性 医生 92
假性 生活 4
假性 影响 11
假性 每次 4
假性 没事 13
假性 舒服 5
假性 感觉 33
假性 活检 2
假性 害怕 10
假性 有没有 6
假性 治疗 17
假性 免疫力 4
假性 希望 3
假性 姐妹 38
假性 半年 5
假性 内裤 6
假性 第一次 1
假性 排卵期 1
假性 出血 2
假性 妇科 13
假性 担心 28
假性 白带 23
假性 原因 1
假性 没什么 6
假性 身体 4
假性 常规 5
假性 几天 1
假性 医院 62
假性 阴道炎 24
假性 有时候 4
假性 霉菌 8
假性 宫颈 4
假性 糜烂 2
假性 一点 6
假性 情况 6
假性 反复 3
假性 真的 16
假性 复发 4
假性 打算 2
假性 一年 1
假性 塞药 2
假性 不好 3
假性 细菌 1
假性 那种 11
假性 外阴 10
假性 是因为 4
假性 性生活 10
假性 焦虑 9
假性 建议 3
假性 阴道 3
假性 导致 12
假性 平时 3
假性 姨妈 1
假性 特别 6
假性 感染 9
假性 用药 11
假性 转阴 2
假性 发现 10
假性 好像 16
假性 三个 5
假性 三甲 8
假性 两个 9
假性 干净 1
假性 时间 1
假性 吃药 1
假性 经期 2
