Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重
医生,0.062,姐妹,0.019,白带,0.030,医生,0.026,姐妹,0.014
医院,0.055,病变,0.013,感染,0.024,出血,0.021,假性,0.012
检查,0.022,中医,0.009,霉菌,0.022,月经,0.020,感觉,0.011
姐妹,0.019,医生,0.008,阴道炎,0.018,姨妈,0.017,医生,0.010
治疗,0.018,活检,0.008,医生,0.018,手术,0.016,检查,0.010
复查,0.013,外阴,0.008,支原体,0.016,姐妹,0.013,情况,0.008
不用,0.012,运动,0.008,感觉,0.014,真的,0.012,妇科,0.008
阳性,0.010,炎症,0.007,症状,0.013,排卵期,0.011,好像,0.007
担心,0.010,感觉,0.006,复发,0.012,检查,0.010,关系,0.006
炎症,0.009,检查,0.006,宫颈,0.011,子宫,0.010,身体,0.006
请问,0.009,阴道,0.006,检查,0.010,内膜,0.010,生活,0.006
三甲,0.009,好像,0.006,内裤,0.010,息肉,0.010,性生活,0.006
活检,0.008,一点,0.006,姐妹,0.010,干净,0.008,影响,0.006
没事,0.007,健康,0.005,尿频,0.009,激素,0.007,皮肤科,0.006
转阴,0.007,放心,0.005,治疗,0.009,几天,0.007,盆腔炎,0.006
白带,0.006,熬夜,0.005,用药,0.009,结束,0.006,湿疣,0.005
楼主,0.006,恢复,0.005,阴道,0.008,感觉,0.006,一年,0.005
妇科,0.006,发现,0.005,细菌,0.008,男朋友,0.005,楼主,0.005
打算,0.006,干扰素,0.005,真的,0.007,一个月,0.005,抵抗力,0.005
一点,0.006,星期,0.005,免疫力,0.007,肯定,0.005,药膏,0.005
